EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	TREATMENT_ACCESSION
ES833806	EXP13915	TRT1785
ES833807	EXP13915	TRT1785
ES833819	EXP13915	TRT1785
ES833826	EXP13915	TRT1785
ES833833	EXP13915	TRT1785
ES833837	EXP13915	TRT1785
ES833840	EXP13915	TRT1785
ES833845	EXP13915	TRT1785
ES833856	EXP13915	TRT1785
ES833861	EXP13915	TRT1785
ES833870	EXP13915	TRT1785
ES834764	EXP13921	TRT1783
ES834781	EXP13921	TRT1783
ES834791	EXP13921	TRT1783
ES834798	EXP13921	TRT1783
ES834799	EXP13921	TRT1783
ES834821	EXP13921	TRT1783
ES834829	EXP13921	TRT1783
ES834835	EXP13921	TRT1783
ES834837	EXP13921	TRT1783
ES834844	EXP13921	TRT1783
ES834845	EXP13921	TRT1783
ES834846	EXP13921	TRT1783
ES834848	EXP13921	TRT1783
ES834858	EXP13921	TRT1783
ES834860	EXP13921	TRT1783
ES834862	EXP13921	TRT1783
ES834864	EXP13921	TRT1783
ES834865	EXP13921	TRT1783
ES834875	EXP13921	TRT1783
ES834889	EXP13921	TRT1783
ES834891	EXP13921	TRT1783
ES834916	EXP13921	TRT1783
ES834920	EXP13921	TRT1783
ES834922	EXP13921	TRT1783
ES834937	EXP13921	TRT1783
ES834938	EXP13921	TRT1783
ES834951	EXP13921	TRT1783
ES834959	EXP13921	TRT1783
ES834966	EXP13921	TRT1783
ES834967	EXP13921	TRT1783
ES834971	EXP13921	TRT1783
ES834977	EXP13921	TRT1783
ES834983	EXP13921	TRT1783
ES834986	EXP13921	TRT1783
ES834998	EXP13921	TRT1783
ES835002	EXP13921	TRT1783
ES835004	EXP13921	TRT1783
ES835008	EXP13921	TRT1783
ES835031	EXP13921	TRT1783
ES835035	EXP13921	TRT1783
ES835039	EXP13921	TRT1783
ES835041	EXP13921	TRT1783
ES835071	EXP13921	TRT1783
ES850721	EXP13950	TRT1834
ES850727	EXP13950	TRT1834
ES850735	EXP13950	TRT1834
ES850740	EXP13950	TRT1834
ES850751	EXP13950	TRT1834
ES850762	EXP13950	TRT1834
ES850773	EXP13950	TRT1834
ES850801	EXP13950	TRT1834
ES850820	EXP13950	TRT1834
ES850831	EXP13950	TRT1834
ES850840	EXP13950	TRT1834
ES850849	EXP13950	TRT1834
ES850851	EXP13950	TRT1834
ES850852	EXP13950	TRT1834
ES850862	EXP13950	TRT1834
ES850866	EXP13950	TRT1834
ES850885	EXP13950	TRT1834
ES848205	EXP13922	TRT492
ES848206	EXP13922	TRT1753
ES848219	EXP13922	TRT1754
ES848223	EXP13922	TRT492
ES848232	EXP13922	TRT1755
ES848235	EXP13922	TRT492
ES848237	EXP13922	TRT1754
ES848243	EXP13922	TRT1754
ES848250	EXP13922	TRT1755
ES848252	EXP13922	TRT495
ES848255	EXP13922	TRT1754
ES848260	EXP13922	TRT1753
ES848271	EXP13922	TRT492
ES848280	EXP13922	TRT1755
ES848290	EXP13922	TRT1753
ES848294	EXP13922	TRT495
ES848305	EXP13922	TRT494
ES848309	EXP13922	TRT1754
ES848326	EXP13922	TRT1753
ES848335	EXP13922	TRT494
ES848352	EXP13922	TRT1755
ES848353	EXP13922	TRT494
ES848368	EXP13922	TRT1753
ES848370	EXP13922	TRT1755
ES848375	EXP13922	TRT1754
ES848377	EXP13922	TRT494
ES848383	EXP13922	TRT494
ES848387	EXP13922	TRT1754
ES848388	EXP13922	TRT1755
ES848391	EXP13922	TRT492
ES848392	EXP13922	TRT1753
ES848399	EXP13922	TRT1754
ES848402	EXP13922	TRT495
ES848415	EXP13922	TRT492
ES848420	EXP13922	TRT495
ES848438	EXP13922	TRT495
ES848443	EXP13922	TRT494
ES848456	EXP13922	TRT495
ES833876	EXP13915	TRT1785
ES833887	EXP13915	TRT1785
ES847993	EXP13922	TRT494
ES848002	EXP13922	TRT1753
ES848011	EXP13922	TRT494
ES848021	EXP13922	TRT1754
ES848022	EXP13922	TRT1755
ES848024	EXP13922	TRT495
ES848072	EXP13922	TRT495
ES848076	EXP13922	TRT1755
ES848078	EXP13922	TRT495
ES848081	EXP13922	TRT1754
ES848088	EXP13922	TRT1755
ES848102	EXP13922	TRT495
ES848104	EXP13922	TRT1753
ES848106	EXP13922	TRT1755
ES848117	EXP13922	TRT1754
ES848123	EXP13922	TRT1754
ES848132	EXP13922	TRT495
ES848134	EXP13922	TRT1753
ES848135	EXP13922	TRT1754
ES848140	EXP13922	TRT1753
ES848141	EXP13922	TRT1754
ES848144	EXP13922	TRT495
ES848145	EXP13922	TRT492
ES848147	EXP13922	TRT1754
ES848149	EXP13922	TRT494
ES848165	EXP13922	TRT1754
ES848169	EXP13922	TRT492
ES848184	EXP13922	TRT1755
ES848189	EXP13922	TRT1754
ES848193	EXP13922	TRT492
ES834572	EXP13921	TRT1783
ES834579	EXP13921	TRT1783
ES834613	EXP13921	TRT1783
ES834618	EXP13921	TRT1783
ES834630	EXP13921	TRT1783
ES834635	EXP13921	TRT1783
ES834637	EXP13921	TRT1783
ES834659	EXP13921	TRT1783
ES834661	EXP13921	TRT1783
ES834669	EXP13921	TRT1783
ES834679	EXP13921	TRT1783
ES834696	EXP13921	TRT1783
ES834704	EXP13921	TRT1783
ES834714	EXP13921	TRT1783
ES834728	EXP13921	TRT1783
ES834736	EXP13921	TRT1783
ES834743	EXP13921	TRT1783
ES834756	EXP13921	TRT1783
ES850903	EXP13950	TRT1834
ES850918	EXP13950	TRT1834
ES850923	EXP13950	TRT1834
ES850925	EXP13950	TRT1834
ES850934	EXP13950	TRT1834
ES850940	EXP13950	TRT1834
ES850943	EXP13950	TRT1834
ES850946	EXP13950	TRT1834
ES850977	EXP13950	TRT1834
ES850983	EXP13950	TRT1834
ES850984	EXP13950	TRT1834
ES850986	EXP13950	TRT1834
ES850987	EXP13950	TRT1834
ES850995	EXP13950	TRT1834
ES850996	EXP13950	TRT1834
ES850998	EXP13950	TRT1834
ES851009	EXP13950	TRT1834
ES851010	EXP13950	TRT1834
ES851012	EXP13950	TRT1834
ES851017	EXP13950	TRT1834
ES851029	EXP13950	TRT1834
ES851031	EXP13950	TRT1834
ES851035	EXP13950	TRT1834
ES851056	EXP13950	TRT1834
ES851064	EXP13950	TRT1834
ES851067	EXP13950	TRT1834
ES851068	EXP13950	TRT1834
ES851103	EXP13950	TRT1834
ES851108	EXP13950	TRT1834
ES851110	EXP13950	TRT1834
ES851112	EXP13950	TRT1834
ES851116	EXP13950	TRT1834
ES851119	EXP13950	TRT1834
ES851136	EXP13950	TRT1834
ES851140	EXP13950	TRT1834
ES851144	EXP13950	TRT1834
ES851147	EXP13950	TRT1834
ES851152	EXP13950	TRT1834
ES851154	EXP13950	TRT1834
ES851156	EXP13950	TRT1834
ES851159	EXP13950	TRT1834
ES851173	EXP13950	TRT1834
ES851176	EXP13950	TRT1834
ES851209	EXP13950	TRT1834
ES851211	EXP13950	TRT1834
ES851216	EXP13950	TRT1834
ES851218	EXP13950	TRT1834
ES851228	EXP13950	TRT1834
ES851234	EXP13950	TRT1834
ES851238	EXP13950	TRT1834
ES851249	EXP13950	TRT1834
ES851285	EXP13950	TRT1834
ES851297	EXP13950	TRT1834
ES851300	EXP13950	TRT1834
ES851301	EXP13950	TRT1834
ES851302	EXP13950	TRT1834
ES851303	EXP13950	TRT1834
ES851304	EXP13950	TRT1834
ES851314	EXP13950	TRT1834
ES833755	EXP13915	TRT1785
ES833758	EXP13915	TRT1785
ES833764	EXP13915	TRT1785
ES833768	EXP13915	TRT1785
ES833773	EXP13915	TRT1785
ES833775	EXP13915	TRT1785
ES833778	EXP13915	TRT1785
ES833797	EXP13915	TRT1785
ES833799	EXP13915	TRT1785
ES833800	EXP13915	TRT1785
ES833816	EXP13915	TRT1785
ES833821	EXP13915	TRT1785
ES833828	EXP13915	TRT1785
ES833830	EXP13915	TRT1785
ES833843	EXP13915	TRT1785
ES833848	EXP13915	TRT1785
ES833854	EXP13915	TRT1785
ES833859	EXP13915	TRT1785
ES833863	EXP13915	TRT1785
ES833865	EXP13915	TRT1785
ES833871	EXP13915	TRT1785
ES834767	EXP13921	TRT1783
ES834768	EXP13921	TRT1783
ES834769	EXP13921	TRT1783
ES834771	EXP13921	TRT1783
ES834773	EXP13921	TRT1783
ES834778	EXP13921	TRT1783
ES834780	EXP13921	TRT1783
ES834784	EXP13921	TRT1783
ES834786	EXP13921	TRT1783
ES834794	EXP13921	TRT1783
ES834803	EXP13921	TRT1783
ES834807	EXP13921	TRT1783
ES834808	EXP13921	TRT1783
ES834811	EXP13921	TRT1783
ES834813	EXP13921	TRT1783
ES834814	EXP13921	TRT1783
ES834819	EXP13921	TRT1783
ES834820	EXP13921	TRT1783
ES834825	EXP13921	TRT1783
ES834833	EXP13921	TRT1783
ES834838	EXP13921	TRT1783
ES834841	EXP13921	TRT1783
ES834850	EXP13921	TRT1783
ES834876	EXP13921	TRT1783
ES834878	EXP13921	TRT1783
ES834887	EXP13921	TRT1783
ES834894	EXP13921	TRT1783
ES834923	EXP13921	TRT1783
ES834935	EXP13921	TRT1783
ES834952	EXP13921	TRT1783
ES834964	EXP13921	TRT1783
ES834980	EXP13921	TRT1783
ES834982	EXP13921	TRT1783
ES834984	EXP13921	TRT1783
ES834991	EXP13921	TRT1783
ES834995	EXP13921	TRT1783
ES835010	EXP13921	TRT1783
ES835024	EXP13921	TRT1783
ES835026	EXP13921	TRT1783
ES835028	EXP13921	TRT1783
ES835045	EXP13921	TRT1783
ES835064	EXP13921	TRT1783
ES835074	EXP13921	TRT1783
ES835078	EXP13921	TRT1783
ES850729	EXP13950	TRT1834
ES850734	EXP13950	TRT1834
ES850737	EXP13950	TRT1834
ES850738	EXP13950	TRT1834
ES850739	EXP13950	TRT1834
ES850741	EXP13950	TRT1834
ES850742	EXP13950	TRT1834
ES850744	EXP13950	TRT1834
ES850760	EXP13950	TRT1834
ES850770	EXP13950	TRT1834
ES850772	EXP13950	TRT1834
ES850776	EXP13950	TRT1834
ES850784	EXP13950	TRT1834
ES850788	EXP13950	TRT1834
ES850823	EXP13950	TRT1834
ES850836	EXP13950	TRT1834
ES850838	EXP13950	TRT1834
ES850843	EXP13950	TRT1834
ES850846	EXP13950	TRT1834
ES850858	EXP13950	TRT1834
ES850861	EXP13950	TRT1834
ES850863	EXP13950	TRT1834
ES850873	EXP13950	TRT1834
ES850874	EXP13950	TRT1834
ES850875	EXP13950	TRT1834
ES850876	EXP13950	TRT1834
ES850877	EXP13950	TRT1834
ES850882	EXP13950	TRT1834
ES850884	EXP13950	TRT1834
ES850897	EXP13950	TRT1834
ES850898	EXP13950	TRT1834
ES850900	EXP13950	TRT1834
ES848203	EXP13922	TRT494
ES848204	EXP13922	TRT495
ES848207	EXP13922	TRT1754
ES848208	EXP13922	TRT1755
ES848213	EXP13922	TRT1754
ES848225	EXP13922	TRT1754
ES848226	EXP13922	TRT1755
ES848231	EXP13922	TRT1754
ES848239	EXP13922	TRT494
ES848249	EXP13922	TRT1754
ES848264	EXP13922	TRT495
ES848266	EXP13922	TRT1753
ES848267	EXP13922	TRT1754
ES848273	EXP13922	TRT1754
ES848278	EXP13922	TRT1753
ES848289	EXP13922	TRT492
ES848298	EXP13922	TRT1755
ES848303	EXP13922	TRT1754
ES848304	EXP13922	TRT1755
ES848327	EXP13922	TRT1754
ES848337	EXP13922	TRT492
ES848343	EXP13922	TRT492
ES848344	EXP13922	TRT1753
ES848360	EXP13922	TRT495
ES848362	EXP13922	TRT1753
ES848365	EXP13922	TRT494
ES848371	EXP13922	TRT494
ES848374	EXP13922	TRT1753
ES848393	EXP13922	TRT1754
ES848435	EXP13922	TRT1754
ES848441	EXP13922	TRT1754
ES848442	EXP13922	TRT1755
ES848447	EXP13922	TRT1754
ES848448	EXP13922	TRT1755
ES833890	EXP13915	TRT1785
ES847981	EXP13922	TRT494
ES848015	EXP13922	TRT1754
ES848019	EXP13922	TRT492
ES848029	EXP13922	TRT494
ES848038	EXP13922	TRT1753
ES848042	EXP13922	TRT495
ES848049	EXP13922	TRT492
ES848055	EXP13922	TRT492
ES848061	EXP13922	TRT492
ES848075	EXP13922	TRT1754
ES848085	EXP13922	TRT492
ES848094	EXP13922	TRT1755
ES848108	EXP13922	TRT495
ES848112	EXP13922	TRT1755
ES848128	EXP13922	TRT1753
ES848131	EXP13922	TRT494
ES848133	EXP13922	TRT492
ES848137	EXP13922	TRT494
ES848139	EXP13922	TRT492
ES848153	EXP13922	TRT1754
ES848155	EXP13922	TRT494
ES848156	EXP13922	TRT495
ES848178	EXP13922	TRT1755
ES848191	EXP13922	TRT494
ES834571	EXP13921	TRT1783
ES834576	EXP13921	TRT1783
ES834583	EXP13921	TRT1783
ES834584	EXP13921	TRT1783
ES834593	EXP13921	TRT1783
ES834605	EXP13921	TRT1783
ES834606	EXP13921	TRT1783
ES834608	EXP13921	TRT1783
ES834612	EXP13921	TRT1783
ES834634	EXP13921	TRT1783
ES834647	EXP13921	TRT1783
ES834651	EXP13921	TRT1783
ES834657	EXP13921	TRT1783
ES834665	EXP13921	TRT1783
ES834676	EXP13921	TRT1783
ES834685	EXP13921	TRT1783
ES834688	EXP13921	TRT1783
ES834699	EXP13921	TRT1783
ES834703	EXP13921	TRT1783
ES834722	EXP13921	TRT1783
ES834725	EXP13921	TRT1783
ES834726	EXP13921	TRT1783
ES834729	EXP13921	TRT1783
ES834733	EXP13921	TRT1783
ES834740	EXP13921	TRT1783
ES834741	EXP13921	TRT1783
ES834742	EXP13921	TRT1783
ES850906	EXP13950	TRT1834
ES850907	EXP13950	TRT1834
ES850910	EXP13950	TRT1834
ES850914	EXP13950	TRT1834
ES850922	EXP13950	TRT1834
ES850933	EXP13950	TRT1834
ES850935	EXP13950	TRT1834
ES850957	EXP13950	TRT1834
ES850965	EXP13950	TRT1834
ES850969	EXP13950	TRT1834
ES850978	EXP13950	TRT1834
ES850982	EXP13950	TRT1834
ES851008	EXP13950	TRT1834
ES851022	EXP13950	TRT1834
ES851034	EXP13950	TRT1834
ES851038	EXP13950	TRT1834
ES851048	EXP13950	TRT1834
ES851061	EXP13950	TRT1834
ES851072	EXP13950	TRT1834
ES851074	EXP13950	TRT1834
ES851098	EXP13950	TRT1834
ES851102	EXP13950	TRT1834
ES851105	EXP13950	TRT1834
ES851107	EXP13950	TRT1834
ES851113	EXP13950	TRT1834
ES851126	EXP13950	TRT1834
ES851129	EXP13950	TRT1834
ES851142	EXP13950	TRT1834
ES851150	EXP13950	TRT1834
ES851179	EXP13950	TRT1834
ES851182	EXP13950	TRT1834
ES851199	EXP13950	TRT1834
ES851203	EXP13950	TRT1834
ES851205	EXP13950	TRT1834
ES851207	EXP13950	TRT1834
ES851219	EXP13950	TRT1834
ES851229	EXP13950	TRT1834
ES851244	EXP13950	TRT1834
ES851265	EXP13950	TRT1834
ES851271	EXP13950	TRT1834
ES851272	EXP13950	TRT1834
ES851281	EXP13950	TRT1834
ES851289	EXP13950	TRT1834
ES851295	EXP13950	TRT1834
ES851308	EXP13950	TRT1834
ES851319	EXP13950	TRT1834
ES851325	EXP13950	TRT1834
ES851326	EXP13950	TRT1834
ES833753	EXP13915	TRT1785
ES833765	EXP13915	TRT1785
ES833784	EXP13915	TRT1785
ES833790	EXP13915	TRT1785
ES833801	EXP13915	TRT1785
ES833809	EXP13915	TRT1785
ES833813	EXP13915	TRT1785
ES833818	EXP13915	TRT1785
ES833823	EXP13915	TRT1785
ES833824	EXP13915	TRT1785
ES833831	EXP13915	TRT1785
ES833847	EXP13915	TRT1785
ES833853	EXP13915	TRT1785
ES833857	EXP13915	TRT1785
ES833866	EXP13915	TRT1785
ES833868	EXP13915	TRT1785
ES833872	EXP13915	TRT1785
ES834760	EXP13921	TRT1783
ES834763	EXP13921	TRT1783
ES834765	EXP13921	TRT1783
ES834770	EXP13921	TRT1783
ES834774	EXP13921	TRT1783
ES834790	EXP13921	TRT1783
ES834795	EXP13921	TRT1783
ES834815	EXP13921	TRT1783
ES834826	EXP13921	TRT1783
ES834827	EXP13921	TRT1783
ES834843	EXP13921	TRT1783
ES834851	EXP13921	TRT1783
ES834852	EXP13921	TRT1783
ES834856	EXP13921	TRT1783
ES834895	EXP13921	TRT1783
ES834910	EXP13921	TRT1783
ES834911	EXP13921	TRT1783
ES834932	EXP13921	TRT1783
ES834939	EXP13921	TRT1783
ES834941	EXP13921	TRT1783
ES834944	EXP13921	TRT1783
ES834950	EXP13921	TRT1783
ES834954	EXP13921	TRT1783
ES834968	EXP13921	TRT1783
ES834976	EXP13921	TRT1783
ES834978	EXP13921	TRT1783
ES834981	EXP13921	TRT1783
ES834988	EXP13921	TRT1783
ES834989	EXP13921	TRT1783
ES834994	EXP13921	TRT1783
ES835001	EXP13921	TRT1783
ES835011	EXP13921	TRT1783
ES835015	EXP13921	TRT1783
ES835033	EXP13921	TRT1783
ES835040	EXP13921	TRT1783
ES835060	EXP13921	TRT1783
ES835061	EXP13921	TRT1783
ES850719	EXP13950	TRT1834
ES850720	EXP13950	TRT1834
ES850722	EXP13950	TRT1834
ES850725	EXP13950	TRT1834
ES850726	EXP13950	TRT1834
ES850731	EXP13950	TRT1834
ES850752	EXP13950	TRT1834
ES850756	EXP13950	TRT1834
ES850761	EXP13950	TRT1834
ES850792	EXP13950	TRT1834
ES850799	EXP13950	TRT1834
ES850802	EXP13950	TRT1834
ES850803	EXP13950	TRT1834
ES850819	EXP13950	TRT1834
ES850842	EXP13950	TRT1834
ES850844	EXP13950	TRT1834
ES850854	EXP13950	TRT1834
ES850859	EXP13950	TRT1834
ES850869	EXP13950	TRT1834
ES850878	EXP13950	TRT1834
ES850888	EXP13950	TRT1834
ES850891	EXP13950	TRT1834
ES850902	EXP13950	TRT1834
ES848216	EXP13922	TRT495
ES848217	EXP13922	TRT492
ES848241	EXP13922	TRT492
ES848244	EXP13922	TRT1755
ES848245	EXP13922	TRT494
ES848279	EXP13922	TRT1754
ES848295	EXP13922	TRT492
ES848306	EXP13922	TRT495
ES848321	EXP13922	TRT1754
ES848322	EXP13922	TRT1755
ES848329	EXP13922	TRT494
ES848333	EXP13922	TRT1754
ES848341	EXP13922	TRT494
ES848345	EXP13922	TRT1754
ES848349	EXP13922	TRT492
ES848351	EXP13922	TRT1754
ES848366	EXP13922	TRT495
ES848369	EXP13922	TRT1754
ES848373	EXP13922	TRT492
ES848384	EXP13922	TRT495
ES848385	EXP13922	TRT492
ES848389	EXP13922	TRT494
ES848397	EXP13922	TRT492
ES848400	EXP13922	TRT1755
ES848404	EXP13922	TRT1753
ES848405	EXP13922	TRT1754
ES848407	EXP13922	TRT494
ES848413	EXP13922	TRT494
ES848430	EXP13922	TRT1755
ES848440	EXP13922	TRT1753
ES848446	EXP13922	TRT1753
ES848455	EXP13922	TRT494
ES833877	EXP13915	TRT1785
ES833882	EXP13915	TRT1785
ES833885	EXP13915	TRT1785
ES833891	EXP13915	TRT1785
ES847979	EXP13922	TRT1754
ES847985	EXP13922	TRT1754
ES847994	EXP13922	TRT495
ES847995	EXP13922	TRT492
ES847996	EXP13922	TRT1753
ES847997	EXP13922	TRT1754
ES848009	EXP13922	TRT1754
ES848010	EXP13922	TRT1755
ES848023	EXP13922	TRT494
ES848027	EXP13922	TRT1754
ES848032	EXP13922	TRT1753
ES848033	EXP13922	TRT1754
ES848050	EXP13922	TRT1753
ES848056	EXP13922	TRT1753
ES848073	EXP13922	TRT492
ES848089	EXP13922	TRT494
ES848098	EXP13922	TRT1753
ES848100	EXP13922	TRT1755
ES848107	EXP13922	TRT494
ES848109	EXP13922	TRT492
ES848111	EXP13922	TRT1754
ES848119	EXP13922	TRT494
ES848124	EXP13922	TRT1755
ES848126	EXP13922	TRT495
ES848136	EXP13922	TRT1755
ES848150	EXP13922	TRT495
ES848159	EXP13922	TRT1754
ES848180	EXP13922	TRT495
ES848190	EXP13922	TRT1755
ES848199	EXP13922	TRT492
ES834574	EXP13921	TRT1783
ES834577	EXP13921	TRT1783
ES834580	EXP13921	TRT1783
ES834585	EXP13921	TRT1783
ES834595	EXP13921	TRT1783
ES834598	EXP13921	TRT1783
ES834622	EXP13921	TRT1783
ES834624	EXP13921	TRT1783
ES834629	EXP13921	TRT1783
ES834640	EXP13921	TRT1783
ES834656	EXP13921	TRT1783
ES834658	EXP13921	TRT1783
ES834664	EXP13921	TRT1783
ES834666	EXP13921	TRT1783
ES834682	EXP13921	TRT1783
ES834691	EXP13921	TRT1783
ES834700	EXP13921	TRT1783
ES834718	EXP13921	TRT1783
ES834720	EXP13921	TRT1783
ES834727	EXP13921	TRT1783
ES834746	EXP13921	TRT1783
ES834757	EXP13921	TRT1783
ES850927	EXP13950	TRT1834
ES850939	EXP13950	TRT1834
ES850944	EXP13950	TRT1834
ES850947	EXP13950	TRT1834
ES850952	EXP13950	TRT1834
ES850954	EXP13950	TRT1834
ES850968	EXP13950	TRT1834
ES850975	EXP13950	TRT1834
ES850980	EXP13950	TRT1834
ES850991	EXP13950	TRT1834
ES851006	EXP13950	TRT1834
ES851013	EXP13950	TRT1834
ES851019	EXP13950	TRT1834
ES851023	EXP13950	TRT1834
ES851028	EXP13950	TRT1834
ES851033	EXP13950	TRT1834
ES851051	EXP13950	TRT1834
ES851054	EXP13950	TRT1834
ES851065	EXP13950	TRT1834
ES851069	EXP13950	TRT1834
ES851076	EXP13950	TRT1834
ES851078	EXP13950	TRT1834
ES851082	EXP13950	TRT1834
ES851088	EXP13950	TRT1834
ES851089	EXP13950	TRT1834
ES851097	EXP13950	TRT1834
ES851111	EXP13950	TRT1834
ES851122	EXP13950	TRT1834
ES851133	EXP13950	TRT1834
ES851189	EXP13950	TRT1834
ES851192	EXP13950	TRT1834
ES851194	EXP13950	TRT1834
ES851201	EXP13950	TRT1834
ES851210	EXP13950	TRT1834
ES851225	EXP13950	TRT1834
ES851233	EXP13950	TRT1834
ES851235	EXP13950	TRT1834
ES851242	EXP13950	TRT1834
ES851246	EXP13950	TRT1834
ES851255	EXP13950	TRT1834
ES851256	EXP13950	TRT1834
ES851261	EXP13950	TRT1834
ES851264	EXP13950	TRT1834
ES851270	EXP13950	TRT1834
ES851278	EXP13950	TRT1834
ES851283	EXP13950	TRT1834
ES851298	EXP13950	TRT1834
ES851306	EXP13950	TRT1834
ES851312	EXP13950	TRT1834
ES851321	EXP13950	TRT1834
ES851327	EXP13950	TRT1834
ES833746	EXP13915	TRT1785
ES833747	EXP13915	TRT1785
ES833750	EXP13915	TRT1785
ES833759	EXP13915	TRT1785
ES833762	EXP13915	TRT1785
ES833766	EXP13915	TRT1785
ES833783	EXP13915	TRT1785
ES833785	EXP13915	TRT1785
ES833805	EXP13915	TRT1785
ES833812	EXP13915	TRT1785
ES833817	EXP13915	TRT1785
ES833829	EXP13915	TRT1785
ES833832	EXP13915	TRT1785
ES833835	EXP13915	TRT1785
ES833849	EXP13915	TRT1785
ES833864	EXP13915	TRT1785
ES834762	EXP13921	TRT1783
ES834782	EXP13921	TRT1783
ES834789	EXP13921	TRT1783
ES834822	EXP13921	TRT1783
ES834834	EXP13921	TRT1783
ES834870	EXP13921	TRT1783
ES834871	EXP13921	TRT1783
ES834874	EXP13921	TRT1783
ES834877	EXP13921	TRT1783
ES834885	EXP13921	TRT1783
ES834908	EXP13921	TRT1783
ES834913	EXP13921	TRT1783
ES834914	EXP13921	TRT1783
ES834915	EXP13921	TRT1783
ES834918	EXP13921	TRT1783
ES834926	EXP13921	TRT1783
ES834931	EXP13921	TRT1783
ES834940	EXP13921	TRT1783
ES834949	EXP13921	TRT1783
ES834960	EXP13921	TRT1783
ES834963	EXP13921	TRT1783
ES834965	EXP13921	TRT1783
ES834970	EXP13921	TRT1783
ES835000	EXP13921	TRT1783
ES835003	EXP13921	TRT1783
ES835006	EXP13921	TRT1783
ES835007	EXP13921	TRT1783
ES835018	EXP13921	TRT1783
ES835036	EXP13921	TRT1783
ES835042	EXP13921	TRT1783
ES835044	EXP13921	TRT1783
ES835047	EXP13921	TRT1783
ES835058	EXP13921	TRT1783
ES835066	EXP13921	TRT1783
ES835067	EXP13921	TRT1783
ES835070	EXP13921	TRT1783
ES835072	EXP13921	TRT1783
ES850755	EXP13950	TRT1834
ES850782	EXP13950	TRT1834
ES850786	EXP13950	TRT1834
ES850791	EXP13950	TRT1834
ES850794	EXP13950	TRT1834
ES850798	EXP13950	TRT1834
ES850805	EXP13950	TRT1834
ES850811	EXP13950	TRT1834
ES850827	EXP13950	TRT1834
ES850832	EXP13950	TRT1834
ES850841	EXP13950	TRT1834
ES850856	EXP13950	TRT1834
ES850857	EXP13950	TRT1834
ES850864	EXP13950	TRT1834
ES850865	EXP13950	TRT1834
ES850867	EXP13950	TRT1834
ES850872	EXP13950	TRT1834
ES850883	EXP13950	TRT1834
ES850894	EXP13950	TRT1834
ES848212	EXP13922	TRT1753
ES848224	EXP13922	TRT1753
ES848230	EXP13922	TRT1753
ES848254	EXP13922	TRT1753
ES848261	EXP13922	TRT1754
ES848268	EXP13922	TRT1755
ES848270	EXP13922	TRT495
ES848281	EXP13922	TRT494
ES848282	EXP13922	TRT495
ES848292	EXP13922	TRT1755
ES848299	EXP13922	TRT494
ES848311	EXP13922	TRT494
ES848315	EXP13922	TRT1754
ES848317	EXP13922	TRT494
ES848331	EXP13922	TRT492
ES848336	EXP13922	TRT495
ES848347	EXP13922	TRT494
ES848356	EXP13922	TRT1753
ES848359	EXP13922	TRT494
ES848361	EXP13922	TRT492
ES848376	EXP13922	TRT1755
ES848378	EXP13922	TRT495
ES848390	EXP13922	TRT495
ES848396	EXP13922	TRT495
ES848406	EXP13922	TRT1755
ES848411	EXP13922	TRT1754
ES848419	EXP13922	TRT494
ES848423	EXP13922	TRT1754
ES848444	EXP13922	TRT495
ES848449	EXP13922	TRT494
ES848450	EXP13922	TRT495
ES833875	EXP13915	TRT1785
ES833884	EXP13915	TRT1785
ES847982	EXP13922	TRT495
ES847989	EXP13922	TRT492
ES847990	EXP13922	TRT1753
ES848001	EXP13922	TRT492
ES848012	EXP13922	TRT495
ES848017	EXP13922	TRT494
ES848044	EXP13922	TRT1753
ES848045	EXP13922	TRT1754
ES848051	EXP13922	TRT1754
ES848052	EXP13922	TRT1755
ES848053	EXP13922	TRT494
ES848059	EXP13922	TRT494
ES848066	EXP13922	TRT495
ES848087	EXP13922	TRT1754
ES848090	EXP13922	TRT495
ES848092	EXP13922	TRT1753
ES848114	EXP13922	TRT495
ES848116	EXP13922	TRT1753
ES848151	EXP13922	TRT492
ES848152	EXP13922	TRT1753
ES848157	EXP13922	TRT492
ES848163	EXP13922	TRT492
ES848166	EXP13922	TRT1755
ES848168	EXP13922	TRT495
ES848170	EXP13922	TRT1753
ES848173	EXP13922	TRT494
ES848174	EXP13922	TRT495
ES848176	EXP13922	TRT1753
ES848177	EXP13922	TRT1754
ES848186	EXP13922	TRT495
ES834573	EXP13921	TRT1783
ES834581	EXP13921	TRT1783
ES834590	EXP13921	TRT1783
ES834596	EXP13921	TRT1783
ES834600	EXP13921	TRT1783
ES834601	EXP13921	TRT1783
ES834604	EXP13921	TRT1783
ES834628	EXP13921	TRT1783
ES834632	EXP13921	TRT1783
ES834638	EXP13921	TRT1783
ES834643	EXP13921	TRT1783
ES834645	EXP13921	TRT1783
ES834649	EXP13921	TRT1783
ES834652	EXP13921	TRT1783
ES834653	EXP13921	TRT1783
ES834654	EXP13921	TRT1783
ES834660	EXP13921	TRT1783
ES834670	EXP13921	TRT1783
ES834675	EXP13921	TRT1783
ES834677	EXP13921	TRT1783
ES834678	EXP13921	TRT1783
ES834689	EXP13921	TRT1783
ES834692	EXP13921	TRT1783
ES834701	EXP13921	TRT1783
ES834702	EXP13921	TRT1783
ES834744	EXP13921	TRT1783
ES834745	EXP13921	TRT1783
