EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	TREATMENT_ACCESSION
ES835020	EXP13921	TRT1783
ES835029	EXP13921	TRT1783
ES835034	EXP13921	TRT1783
ES835046	EXP13921	TRT1783
ES835048	EXP13921	TRT1783
ES835049	EXP13921	TRT1783
ES835051	EXP13921	TRT1783
ES835052	EXP13921	TRT1783
ES835054	EXP13921	TRT1783
ES835069	EXP13921	TRT1783
ES835073	EXP13921	TRT1783
ES835075	EXP13921	TRT1783
ES835077	EXP13921	TRT1783
ES850728	EXP13950	TRT1834
ES850743	EXP13950	TRT1834
ES850745	EXP13950	TRT1834
ES850746	EXP13950	TRT1834
ES850747	EXP13950	TRT1834
ES850758	EXP13950	TRT1834
ES850767	EXP13950	TRT1834
ES850768	EXP13950	TRT1834
ES850771	EXP13950	TRT1834
ES850774	EXP13950	TRT1834
ES850775	EXP13950	TRT1834
ES850781	EXP13950	TRT1834
ES850793	EXP13950	TRT1834
ES850804	EXP13950	TRT1834
ES850813	EXP13950	TRT1834
ES850825	EXP13950	TRT1834
ES850835	EXP13950	TRT1834
ES850839	EXP13950	TRT1834
ES850848	EXP13950	TRT1834
ES850853	EXP13950	TRT1834
ES850868	EXP13950	TRT1834
ES850870	EXP13950	TRT1834
ES850896	EXP13950	TRT1834
ES848201	EXP13922	TRT1754
ES848209	EXP13922	TRT494
ES848210	EXP13922	TRT495
ES848214	EXP13922	TRT1755
ES848220	EXP13922	TRT1755
ES848234	EXP13922	TRT495
ES848238	EXP13922	TRT1755
ES848242	EXP13922	TRT1753
ES848276	EXP13922	TRT495
ES848283	EXP13922	TRT492
ES848287	EXP13922	TRT494
ES848288	EXP13922	TRT495
ES848296	EXP13922	TRT1753
ES848307	EXP13922	TRT492
ES848310	EXP13922	TRT1755
ES848312	EXP13922	TRT495
ES848314	EXP13922	TRT1753
ES848324	EXP13922	TRT495
ES848328	EXP13922	TRT1755
ES848355	EXP13922	TRT492
ES848381	EXP13922	TRT1754
ES848382	EXP13922	TRT1755
ES848403	EXP13922	TRT492
ES848409	EXP13922	TRT492
ES848412	EXP13922	TRT1755
ES848414	EXP13922	TRT495
ES848417	EXP13922	TRT1754
ES848418	EXP13922	TRT1755
ES848427	EXP13922	TRT492
ES848432	EXP13922	TRT495
ES848437	EXP13922	TRT494
ES848451	EXP13922	TRT492
ES848453	EXP13922	TRT1754
ES848457	EXP13922	TRT492
ES848458	EXP13922	TRT1753
ES833892	EXP13915	TRT1785
ES847987	EXP13922	TRT494
ES848006	EXP13922	TRT495
ES848014	EXP13922	TRT1753
ES848020	EXP13922	TRT1753
ES848034	EXP13922	TRT1755
ES848035	EXP13922	TRT494
ES848043	EXP13922	TRT492
ES848054	EXP13922	TRT495
ES848060	EXP13922	TRT495
ES848065	EXP13922	TRT494
ES848067	EXP13922	TRT492
ES848068	EXP13922	TRT1753
ES848071	EXP13922	TRT494
ES848093	EXP13922	TRT1754
ES848095	EXP13922	TRT494
ES848096	EXP13922	TRT495
ES848099	EXP13922	TRT1754
ES848101	EXP13922	TRT494
ES848113	EXP13922	TRT494
ES848118	EXP13922	TRT1755
ES848130	EXP13922	TRT1755
ES848138	EXP13922	TRT495
ES848143	EXP13922	TRT494
ES848146	EXP13922	TRT1753
ES848167	EXP13922	TRT494
ES848171	EXP13922	TRT1754
ES848172	EXP13922	TRT1755
ES848179	EXP13922	TRT494
ES848192	EXP13922	TRT495
ES848197	EXP13922	TRT494
ES834570	EXP13921	TRT1783
ES834575	EXP13921	TRT1783
ES834587	EXP13921	TRT1783
ES834592	EXP13921	TRT1783
ES834597	EXP13921	TRT1783
ES834602	EXP13921	TRT1783
ES834607	EXP13921	TRT1783
ES834611	EXP13921	TRT1783
ES834617	EXP13921	TRT1783
ES834621	EXP13921	TRT1783
ES834627	EXP13921	TRT1783
ES834644	EXP13921	TRT1783
ES834655	EXP13921	TRT1783
ES834671	EXP13921	TRT1783
ES834674	EXP13921	TRT1783
ES834680	EXP13921	TRT1783
ES834681	EXP13921	TRT1783
ES834694	EXP13921	TRT1783
ES834697	EXP13921	TRT1783
ES834715	EXP13921	TRT1783
ES834724	EXP13921	TRT1783
ES834734	EXP13921	TRT1783
ES834737	EXP13921	TRT1783
ES850921	EXP13950	TRT1834
ES850930	EXP13950	TRT1834
ES850941	EXP13950	TRT1834
ES850945	EXP13950	TRT1834
ES850953	EXP13950	TRT1834
ES850955	EXP13950	TRT1834
ES850956	EXP13950	TRT1834
ES850959	EXP13950	TRT1834
ES850961	EXP13950	TRT1834
ES850963	EXP13950	TRT1834
ES850972	EXP13950	TRT1834
ES850973	EXP13950	TRT1834
ES850974	EXP13950	TRT1834
ES851001	EXP13950	TRT1834
ES851020	EXP13950	TRT1834
ES851036	EXP13950	TRT1834
ES851043	EXP13950	TRT1834
ES851045	EXP13950	TRT1834
ES851047	EXP13950	TRT1834
ES851049	EXP13950	TRT1834
ES851055	EXP13950	TRT1834
ES851057	EXP13950	TRT1834
ES851059	EXP13950	TRT1834
ES851084	EXP13950	TRT1834
ES851086	EXP13950	TRT1834
ES851094	EXP13950	TRT1834
ES851095	EXP13950	TRT1834
ES851099	EXP13950	TRT1834
ES851106	EXP13950	TRT1834
ES851135	EXP13950	TRT1834
ES851139	EXP13950	TRT1834
ES851146	EXP13950	TRT1834
ES851155	EXP13950	TRT1834
ES851171	EXP13950	TRT1834
ES851181	EXP13950	TRT1834
ES851183	EXP13950	TRT1834
ES851184	EXP13950	TRT1834
ES851202	EXP13950	TRT1834
