EXPSAMPLE_ACCESSION	DATA_FORMAT	DESCRIPTION	EXPERIMENT_ACCESSION	NAME	RESULT_SCHEMA	RESULT_TOTAL_RECS	WORKSPACE_ID
ES833767	Other		EXP13915		HAI	3	2883
ES833778	Other		EXP13915		HAI	6	2883
ES833793	Other		EXP13915		HAI	3	2883
ES833795	Other		EXP13915		HAI	3	2883
ES833817	Other		EXP13915		HAI	3	2883
ES833827	Other		EXP13915		HAI	3	2883
ES848074	Other		EXP13922		OTHER	0	2883
ES848084	Other		EXP13922		OTHER	0	2883
ES848089	Other		EXP13922		OTHER	0	2883
ES848103	Other		EXP13922		OTHER	0	2883
ES848108	Other		EXP13922		OTHER	0	2883
ES848111	Other		EXP13922		OTHER	0	2883
ES848114	Other		EXP13922		OTHER	0	2883
ES848132	Other		EXP13922		OTHER	0	2883
ES848134	Other		EXP13922		OTHER	0	2883
ES848141	Other		EXP13922		OTHER	0	2883
ES848147	Other		EXP13922		OTHER	0	2883
ES848158	Other		EXP13922		OTHER	0	2883
ES848170	Other		EXP13922		OTHER	0	2883
ES848178	Other		EXP13922		OTHER	0	2883
ES848179	Other		EXP13922		OTHER	0	2883
ES848185	Other		EXP13922		OTHER	0	2883
ES848188	Other		EXP13922		OTHER	0	2883
ES851051	Other		EXP13950		MBAA	55	2883
ES851066	Other		EXP13950		MBAA	55	2883
ES851067	Other		EXP13950		MBAA	55	2883
ES851069	Other		EXP13950		MBAA	55	2883
ES851076	Other		EXP13950		MBAA	55	2883
ES851086	Other		EXP13950		MBAA	55	2883
ES851087	Other		EXP13950		MBAA	55	2883
ES851097	Other		EXP13950		MBAA	55	2883
ES851099	Other		EXP13950		MBAA	55	2883
ES851107	Other		EXP13950		MBAA	55	2883
ES851110	Other		EXP13950		MBAA	55	2883
ES851117	Other		EXP13950		MBAA	55	2883
ES851122	Other		EXP13950		MBAA	55	2883
ES851123	Other		EXP13950		MBAA	55	2883
ES851124	Other		EXP13950		MBAA	55	2883
ES851145	Other		EXP13950		MBAA	55	2883
ES851146	Other		EXP13950		MBAA	55	2883
ES851159	Other		EXP13950		MBAA	55	2883
ES848191	Other		EXP13922		OTHER	0	2883
ES848196	Other		EXP13922		OTHER	0	2883
ES848206	Other		EXP13922		OTHER	0	2883
ES848207	Other		EXP13922		OTHER	0	2883
ES848218	Other		EXP13922		OTHER	0	2883
ES848224	Other		EXP13922		OTHER	0	2883
ES848233	Other		EXP13922		OTHER	0	2883
ES848241	Other		EXP13922		OTHER	0	2883
ES848247	Other		EXP13922		OTHER	0	2883
ES848252	Other		EXP13922		OTHER	0	2883
ES848264	Other		EXP13922		OTHER	0	2883
ES848266	Other		EXP13922		OTHER	0	2883
ES848269	Other		EXP13922		OTHER	0	2883
ES848274	Other		EXP13922		OTHER	0	2883
ES848275	Other		EXP13922		OTHER	0	2883
ES848279	Other		EXP13922		OTHER	0	2883
ES848281	Other		EXP13922		OTHER	0	2883
ES848299	Other		EXP13922		OTHER	0	2883
ES848305	Other		EXP13922		OTHER	0	2883
ES848306	Other		EXP13922		OTHER	0	2883
ES851166	Other		EXP13950		MBAA	55	2883
ES851170	Other		EXP13950		MBAA	55	2883
ES851180	Other		EXP13950		MBAA	55	2883
ES851183	Other		EXP13950		MBAA	55	2883
ES851191	Other		EXP13950		MBAA	55	2883
ES851210	Other		EXP13950		MBAA	55	2883
ES851224	Other		EXP13950		MBAA	55	2883
ES851225	Other		EXP13950		MBAA	55	2883
ES851229	Other		EXP13950		MBAA	55	2883
ES851259	Other		EXP13950		MBAA	55	2883
ES851263	Other		EXP13950		MBAA	55	2883
ES851268	Other		EXP13950		MBAA	55	2883
ES851270	Other		EXP13950		MBAA	55	2883
ES851280	Other		EXP13950		MBAA	55	2883
ES834624	Other		EXP13921		FCM	16	2883
ES834637	Other		EXP13921		FCM	16	2883
ES834653	Other		EXP13921		FCM	17	2883
ES834665	Other		EXP13921		FCM	16	2883
ES834682	Other		EXP13921		FCM	18	2883
ES834684	Other		EXP13921		FCM	14	2883
ES834691	Other		EXP13921		FCM	14	2883
ES834697	Other		EXP13921		FCM	22	2883
ES834699	Other		EXP13921		FCM	13	2883
ES834704	Other		EXP13921		FCM	22	2883
ES834715	Other		EXP13921		FCM	16	2883
ES834722	Other		EXP13921		FCM	16	2883
ES834727	Other		EXP13921		FCM	13	2883
ES834728	Other		EXP13921		FCM	16	2883
ES834732	Other		EXP13921		FCM	22	2883
ES848330	Other		EXP13922		OTHER	0	2883
ES848348	Other		EXP13922		OTHER	0	2883
ES848354	Other		EXP13922		OTHER	0	2883
ES848357	Other		EXP13922		OTHER	0	2883
ES848367	Other		EXP13922		OTHER	0	2883
ES848374	Other		EXP13922		OTHER	0	2883
ES848376	Other		EXP13922		OTHER	0	2883
ES848382	Other		EXP13922		OTHER	0	2883
ES848386	Other		EXP13922		OTHER	0	2883
ES848422	Other		EXP13922		OTHER	0	2883
ES848437	Other		EXP13922		OTHER	0	2883
ES848452	Other		EXP13922		OTHER	0	2883
ES834741	Other		EXP13921		FCM	13	2883
ES834742	Other		EXP13921		FCM	16	2883
ES834745	Other		EXP13921		FCM	18	2883
ES834754	Other		EXP13921		FCM	14	2883
ES834755	Other		EXP13921		FCM	13	2883
ES834764	Other		EXP13921		FCM	16	2883
ES834771	Other		EXP13921		FCM	16	2883
ES834782	Other		EXP13921		FCM	14	2883
ES834785	Other		EXP13921		FCM	16	2883
ES834803	Other		EXP13921		FCM	14	2883
ES834808	Other		EXP13921		FCM	18	2883
ES834820	Other		EXP13921		FCM	16	2883
ES834835	Other		EXP13921		FCM	17	2883
ES834839	Other		EXP13921		FCM	13	2883
ES834844	Other		EXP13921		FCM	22	2883
ES834850	Other		EXP13921		FCM	18	2883
ES834852	Other		EXP13921		FCM	14	2883
ES834870	Other		EXP13921		FCM	17	2883
ES834878	Other		EXP13921		FCM	18	2883
ES834882	Other		EXP13921		FCM	16	2883
ES834888	Other		EXP13921		FCM	13	2883
ES834890	Other		EXP13921		FCM	16	2883
ES834900	Other		EXP13921		FCM	22	2883
ES834902	Other		EXP13921		FCM	13	2883
ES834904	Other		EXP13921		FCM	16	2883
ES834909	Other		EXP13921		FCM	13	2883
ES834916	Other		EXP13921		FCM	13	2883
ES834921	Other		EXP13921		FCM	22	2883
ES834924	Other		EXP13921		FCM	16	2883
ES834927	Other		EXP13921		FCM	18	2883
ES834934	Other		EXP13921		FCM	18	2883
ES834936	Other		EXP13921		FCM	14	2883
ES834945	Other		EXP13921		FCM	16	2883
ES834970	Other		EXP13921		FCM	22	2883
ES834972	Other		EXP13921		FCM	13	2883
ES834973	Other		EXP13921		FCM	16	2883
ES850812	Other		EXP13950		MBAA	55	2883
ES850814	Other		EXP13950		MBAA	55	2883
ES850824	Other		EXP13950		MBAA	55	2883
ES850827	Other		EXP13950		MBAA	55	2883
ES850830	Other		EXP13950		MBAA	55	2883
ES850843	Other		EXP13950		MBAA	55	2883
ES850849	Other		EXP13950		MBAA	55	2883
ES850856	Other		EXP13950		MBAA	55	2883
ES850859	Other		EXP13950		MBAA	55	2883
ES850860	Other		EXP13950		MBAA	55	2883
ES850862	Other		EXP13950		MBAA	55	2883
ES850872	Other		EXP13950		MBAA	55	2883
ES850878	Other		EXP13950		MBAA	55	2883
ES850892	Other		EXP13950		MBAA	55	2883
ES850899	Other		EXP13950		MBAA	55	2883
ES850905	Other		EXP13950		MBAA	55	2883
ES834983	Other		EXP13921		FCM	18	2883
ES834988	Other		EXP13921		FCM	16	2883
ES835003	Other		EXP13921		FCM	17	2883
ES835015	Other		EXP13921		FCM	16	2883
ES835025	Other		EXP13921		FCM	18	2883
ES835029	Other		EXP13921		FCM	16	2883
ES835033	Other		EXP13921		FCM	22	2883
ES835041	Other		EXP13921		FCM	14	2883
ES835046	Other		EXP13921		FCM	18	2883
ES835049	Other		EXP13921		FCM	13	2883
ES835052	Other		EXP13921		FCM	17	2883
ES835079	Other		EXP13921		FCM	16	2883
ES850920	Other		EXP13950		MBAA	55	2883
ES850926	Other		EXP13950		MBAA	55	2883
ES850936	Other		EXP13950		MBAA	55	2883
ES850949	Other		EXP13950		MBAA	55	2883
ES850950	Other		EXP13950		MBAA	55	2883
ES850971	Other		EXP13950		MBAA	55	2883
ES850972	Other		EXP13950		MBAA	55	2883
ES850979	Other		EXP13950		MBAA	55	2883
ES850991	Other		EXP13950		MBAA	55	2883
ES851000	Other		EXP13950		MBAA	55	2883
ES851009	Other		EXP13950		MBAA	55	2883
ES851013	Other		EXP13950		MBAA	55	2883
ES851016	Other		EXP13950		MBAA	55	2883
ES851021	Other		EXP13950		MBAA	55	2883
ES851037	Other		EXP13950		MBAA	55	2883
ES847988	Other		EXP13922		OTHER	0	2883
ES848000	Other		EXP13922		OTHER	0	2883
ES848001	Other		EXP13922		OTHER	0	2883
ES848009	Other		EXP13922		OTHER	0	2883
ES848012	Other		EXP13922		OTHER	0	2883
ES848014	Other		EXP13922		OTHER	0	2883
ES848023	Other		EXP13922		OTHER	0	2883
ES848027	Other		EXP13922		OTHER	0	2883
ES848040	Other		EXP13922		OTHER	0	2883
ES848046	Other		EXP13922		OTHER	0	2883
ES848047	Other		EXP13922		OTHER	0	2883
ES848069	Other		EXP13922		OTHER	0	2883
ES833833	Other		EXP13915		HAI	3	2883
ES833842	Other		EXP13915		HAI	6	2883
ES833853	Other		EXP13915		HAI	3	2883
ES833857	Other		EXP13915		HAI	3	2883
ES833865	Other		EXP13915		HAI	3	2883
ES833873	Other		EXP13915		HAI	3	2883
ES833878	Other		EXP13915		HAI	6	2883
ES833885	Other		EXP13915		HAI	3	2883
ES833886	Other		EXP13915		HAI	3	2883
ES834572	Other		EXP13921		FCM	14	2883
ES834591	Other		EXP13921		FCM	18	2883
ES834595	Other		EXP13921		FCM	16	2883
ES834597	Other		EXP13921		FCM	17	2883
ES834606	Other		EXP13921		FCM	22	2883
ES834608	Other		EXP13921		FCM	13	2883
ES850719	Other		EXP13950		MBAA	55	2883
ES850720	Other		EXP13950		MBAA	55	2883
ES850730	Other		EXP13950		MBAA	55	2883
