FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
1095238	CD11c+	CD11c+	ANA814	548332
1095240	BDCA1+	CD1c+	ANA895	548332
1095249		Lin1-		548334
1095256	HLADR+	HLA-DR+	ANA812	548335
1095258	CD11c+	CD11c+	ANA814	548335
1095279	CD11c+	CD11c+	ANA814	548338
1095282	B7-2-	CD86-	ANA868	548338
1095308	CD14+	CD14+	ANA804	548347
1095317	HLADR+	HLA-DR+	ANA812	548349
1095330	CD16-	CD16-	ANA811	548352
1095334	CD16-	CD16-	ANA811	548353
1095340	CD16+	CD16+	ANA811	548355
1095355	B7-2-	CD86-	ANA868	548359
1095366	CD16+	CD16+	ANA811	548362
1095369	HLADR+	HLA-DR+	ANA812	548363
1095378	CD16-	CD16- granulocyte	ANA811	548367
1095403	CD8-	CD8-	ANA810	548375
1095417	CD4+	CD4+	ANA41	548377
1095428	CXCR3+	CXCR3+	ANA76	548378
1095429	CCR6+	CCR6+	ANA36	548378
1095432	CD4+	CD4+	ANA41	548379
1095435	CD45RA-	CD45RA-	ANA816	548379
1095450	CD45RA-	CD45RA-	ANA816	548381
1095453	CD3+	CD3+	ANA809	548382
1095458	CXCR3-	CXCR3-	ANA76	548382
1095479	CD3+	CD3+	ANA809	548386
1095480	CD4+	CD4+	ANA41	548386
