EXPSAMPLE_ACCESSION	TREATMENT_ACCESSION
ES717645	TRT35
ES717645	TRT36
ES717645	TRT37
ES717646	TRT36
ES717651	TRT34
ES717653	TRT36
ES717654	TRT34
ES717656	TRT35
ES717608	TRT37
ES717610	TRT36
ES773813	TRT1166
ES773841	TRT1166
ES773853	TRT1166
ES773854	TRT1166
ES773867	TRT1166
ES773892	TRT1166
ES773918	TRT1166
ES773920	TRT1166
ES773923	TRT1166
ES786717	TRT1332
ES786729	TRT1332
ES786731	TRT1332
ES786733	TRT1332
ES786735	TRT1332
ES773971	TRT1166
ES773976	TRT1166
ES773977	TRT1166
ES774002	TRT1166
ES774059	TRT1166
ES786787	TRT1332
ES786791	TRT1332
ES786798	TRT1332
ES786811	TRT1332
ES786812	TRT1332
ES786813	TRT1332
ES786817	TRT1332
ES786824	TRT1332
ES786829	TRT1332
ES786869	TRT1332
ES786872	TRT1332
ES786875	TRT1332
ES786877	TRT1332
ES786883	TRT1332
ES786938	TRT1332
ES786940	TRT1332
ES786942	TRT1332
ES786944	TRT1332
ES786950	TRT1332
ES786951	TRT1332
ES786954	TRT1332
ES786956	TRT1332
ES786963	TRT1332
ES786965	TRT1332
ES789187	TRT1332
ES789189	TRT1332
ES788345	TRT1332
ES788353	TRT1332
ES788355	TRT1332
ES788363	TRT1332
ES788364	TRT1332
ES788378	TRT1332
ES788380	TRT1332
ES788392	TRT1332
ES788401	TRT1332
ES788405	TRT1332
ES788422	TRT1332
ES788425	TRT1332
ES788431	TRT1332
ES788453	TRT1332
ES789194	TRT1332
ES789199	TRT1332
ES789205	TRT1332
ES789222	TRT1332
ES773674	TRT1166
ES773675	TRT1166
ES773685	TRT1166
ES773709	TRT1166
ES773763	TRT1166
ES773801	TRT1166
ES773651	TRT1166
ES788916	TRT1332
ES788930	TRT1332
ES788957	TRT1332
ES788959	TRT1332
ES788963	TRT1332
ES788968	TRT1332
ES787063	TRT1332
ES787064	TRT1332
ES774216	TRT1166
ES717641	TRT37
ES717643	TRT34
ES717643	TRT36
ES717646	TRT34
ES717646	TRT35
ES717648	TRT34
ES717648	TRT35
ES717648	TRT36
ES717648	TRT37
ES717649	TRT35
ES717649	TRT36
ES717650	TRT35
ES717650	TRT37
