EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES781951	ESR12183
ES781952	ESR12184
ES781953	ESR12184
ES781955	ESR12185
ES781955	ESR12182
ES781960	ESR12185
ES781961	ESR12182
ES781965	ESR12184
ES781966	ESR12182
ES781967	ESR12185
ES781968	ESR12182
ES781969	ESR12182
ES781972	ESR12183
ES781974	ESR12184
ES781979	ESR12185
ES781981	ESR12182
ES781986	ESR12183
ES781987	ESR12183
ES781989	ESR12185
ES781991	ESR12183
ES781993	ESR12182
ES781996	ESR12185
ES782002	ESR12184
ES782004	ESR12185
ES782006	ESR12183
ES782009	ESR12184
ES782009	ESR12182
ES782014	ESR12184
ES782015	ESR12183
ES782021	ESR12182
ES782022	ESR12182
ES782023	ESR12185
ES782025	ESR12183
ES782027	ESR12184
ES782031	ESR12184
ES782036	ESR12184
ES782037	ESR12182
ES782039	ESR12182
ES782042	ESR12184
ES782048	ESR12182
ES782050	ESR12182
ES782052	ESR12182
ES782057	ESR12182
ES782058	ESR12183
ES782061	ESR12182
ES782063	ESR12182
ES782065	ESR12182
ES782070	ESR12183
ES782072	ESR12184
ES782072	ESR12183
ES782073	ESR12183
ES782074	ESR12184
ES782078	ESR12184
ES782079	ESR12184
ES782080	ESR12185
ES782081	ESR12187
ES782085	ESR12188
ES782086	ESR12187
ES782090	ESR12189
ES782090	ESR12186
ES782098	ESR12187
ES782098	ESR12186
ES782100	ESR12188
ES782101	ESR12189
ES782101	ESR12188
ES782103	ESR12188
ES782105	ESR12186
ES782106	ESR12189
ES782106	ESR12188
ES782108	ESR12188
ES782108	ESR12187
ES782110	ESR12188
ES782110	ESR12187
ES782110	ESR12186
ES782112	ESR12186
ES782113	ESR12187
ES782114	ESR12186
ES782119	ESR12188
ES782122	ESR12187
ES782123	ESR12186
ES782124	ESR12186
ES782125	ESR12186
ES782126	ESR12189
ES782126	ESR12188
ES782127	ESR12188
ES782127	ESR12187
ES782130	ESR12189
ES782133	ESR12188
ES782136	ESR12188
ES785156	ESR12275
ES785156	ESR12273
ES785157	ESR12270
ES785157	ESR12267
ES785158	ESR12252
ES785158	ESR12250
ES785159	ESR12259
ES785160	ESR12275
ES785161	ESR12264
ES785162	ESR12253
ES785162	ESR12248
ES785163	ESR12253
ES785164	ESR12272
ES785165	ESR12267
ES785165	ESR12261
ES785166	ESR12253
ES785166	ESR12247
ES785169	ESR12267
ES785171	ESR12257
ES785171	ESR12256
ES785171	ESR12254
ES785173	ESR12270
ES785173	ESR12261
ES785174	ESR12261
ES785174	ESR12251
ES785174	ESR12250
ES785176	ESR12271
ES785177	ESR12280
ES785177	ESR12262
ES785178	ESR12277
ES785178	ESR12261
ES785178	ESR12252
ES785180	ESR12253
ES785181	ESR12263
ES785181	ESR12262
ES785182	ESR12253
ES785182	ESR12246
ES785183	ESR12253
ES785184	ESR12275
ES785185	ESR12268
ES785185	ESR12264
ES785186	ESR12277
ES785186	ESR12245
ES785188	ESR12271
ES785189	ESR12267
ES785190	ESR12247
ES785192	ESR12272
ES785192	ESR12261
ES785193	ESR12267
ES785194	ESR12277
ES785194	ESR12261
ES785194	ESR12252
ES785194	ESR12251
ES785194	ESR12247
ES785195	ESR12261
ES785195	ESR12257
ES785195	ESR12256
ES785197	ESR12262
ES785198	ESR12277
ES785198	ESR12261
ES785198	ESR12249
ES785199	ESR12261
ES785202	ESR12245
ES785203	ESR12259
ES785203	ESR12256
ES785204	ESR12261
ES785205	ESR12268
ES785205	ESR12263
ES785209	ESR12270
ES785209	ESR12266
ES785211	ESR12278
ES785211	ESR12257
ES785213	ESR12269
ES785214	ESR12245
ES785215	ESR12259
ES785216	ESR12275
ES785216	ESR12274
ES785217	ESR12270
ES785217	ESR12262
ES785218	ESR12253
ES785218	ESR12252
ES785219	ESR12257
ES785220	ESR12272
ES785221	ESR12265
ES785221	ESR12264
ES785221	ESR12261
ES785223	ESR12278
ES785225	ESR12280
ES785225	ESR12261
ES785226	ESR12253
ES785227	ESR12278
ES785227	ESR12260
ES785229	ESR12267
ES785229	ESR12265
ES785229	ESR12264
