EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES736191	ESR8860
ES736206	ESR8863
ES736207	ESR8863
ES736208	ESR8863
ES736214	ESR8863
ES736223	ESR8863
ES736232	ESR8863
ES1005340	ESR15680
ES1005340	ESR15673
ES1005341	ESR15677
ES1005341	ESR15674
ES1005342	ESR15722
ES1005343	ESR15724
ES1005344	ESR15673
ES1005345	ESR15687
ES1005346	ESR15721
ES1005347	ESR15721
ES1005348	ESR15687
ES1005348	ESR15686
ES1005348	ESR15684
ES1005348	ESR15679
ES1005350	ESR15731
ES1005350	ESR15704
ES1005352	ESR15674
ES1005354	ESR15703
ES1005354	ESR15673
ES1005356	ESR15715
ES1005357	ESR15681
ES1005357	ESR15678
ES1005360	ESR15680
ES1005360	ESR15674
ES1005361	ESR15678
ES1005362	ESR15699
ES1005362	ESR15695
ES1005364	ESR15709
ES1005365	ESR15710
ES1005365	ESR15680
ES1005366	ESR15725
ES1005367	ESR15735
ES1005367	ESR15678
ES1005368	ESR15682
ES1005369	ESR15720
ES1005369	ESR15678
ES1005371	ESR15725
ES1005372	ESR15690
ES1005372	ESR15680
ES1005372	ESR15679
ES1005373	ESR15725
ES1005373	ESR15678
ES1005373	ESR15673
ES1005375	ESR15702
ES1005376	ESR15689
ES1005376	ESR15674
ES1005377	ESR15725
ES1005378	ESR15720
ES1005379	ESR15734
ES1005379	ESR15676
ES1005380	ESR15735
ES1005381	ESR15694
ES1005381	ESR15689
ES1005381	ESR15673
ES1005382	ESR15734
ES1005383	ESR15694
ES1005384	ESR15691
ES1005384	ESR15689
ES1005385	ESR15685
ES1005386	ESR15676
ES1005386	ESR15671
ES1005387	ESR15727
ES1005387	ESR15678
ES1005387	ESR15675
ES1005387	ESR15672
ES1005388	ESR15680
ES1005389	ESR15688
ES1005389	ESR15687
ES1005391	ESR15705
ES1005391	ESR15673
ES1005393	ESR15723
ES1005394	ESR15722
ES1005394	ESR15720
ES1005395	ESR15729
ES1005396	ESR15674
ES1005398	ESR15673
ES1005399	ESR15718
ES1005399	ESR15680
ES1005401	ESR15725
ES1005401	ESR15674
ES1005402	ESR16852
ES1005402	ESR15706
ES1005403	ESR15695
ES1005404	ESR15675
ES1005405	ESR15680
ES1005406	ESR15688
ES1005406	ESR15684
ES1005406	ESR15682
ES1005407	ESR15701
ES1005407	ESR15697
ES1005407	ESR15676
ES1005408	ESR15705
ES1005409	ESR16852
ES1005409	ESR15722
ES1005409	ESR15706
ES1005410	ESR15707
ES1005410	ESR15706
ES1005411	ESR15678
ES1005412	ESR15722
ES1005413	ESR15705
ES1005414	ESR15693
ES1005414	ESR15690
ES1005414	ESR15679
ES1005415	ESR15706
ES1005417	ESR15687
ES1005417	ESR15686
ES1005419	ESR15735
ES1005421	ESR15686
ES1005421	ESR15683
ES1005421	ESR15682
ES1005424	ESR15699
ES1005425	ESR15714
ES1005426	ESR15709
ES1005426	ESR15678
ES1005427	ESR15674
ES1005429	ESR15688
ES1005429	ESR15685
ES1005430	ESR15673
ES1005431	ESR15729
ES1005431	ESR15693
ES1005431	ESR15690
ES1005432	ESR15721
ES1005432	ESR15720
ES1005433	ESR15720
ES1005433	ESR15679
ES1005434	ESR16851
ES1005434	ESR15723
ES1005434	ESR15678
ES1005435	ESR15679
ES1005436	ESR15684
ES1005436	ESR15679
ES1005438	ESR15680
ES1005438	ESR15673
ES1005439	ESR15694
ES1005439	ESR15689
ES1005440	ESR15706
ES1005440	ESR15705
ES1005440	ESR15704
ES1005440	ESR15703
ES1005441	ESR15678
ES1005441	ESR15673
ES1005442	ESR15678
ES1005444	ESR15720
ES1005444	ESR15678
ES1005447	ESR15691
ES1005448	ESR15679
ES1005448	ESR15678
ES1005449	ESR15687
ES1005449	ESR15684
ES1005450	ESR15678
ES1005451	ESR15714
ES1005452	ESR15689
ES1005452	ESR15680
ES1005452	ESR15674
ES1005453	ESR15720
ES1005453	ESR15678
ES1005454	ESR15722
ES1005454	ESR15721
ES1005455	ESR15685
ES1005456	ESR15704
ES1005457	ESR15728
ES1005458	ESR15701
ES1005458	ESR15683
ES1005459	ESR15678
ES1005460	ESR15693
ES1005460	ESR15680
ES1005461	ESR15732
ES1005461	ESR15709
ES1005462	ESR15676
ES1005464	ESR15726
ES1005464	ESR15674
ES1005464	ESR15673
ES1005465	ESR15690
ES1005466	ESR16851
ES1005467	ESR15679
ES1005467	ESR15675
ES1005468	ESR15679
ES1005468	ESR15677
ES1005468	ESR15673
ES1005469	ESR15710
ES1005469	ESR15709
ES1005470	ESR15695
ES1005470	ESR15676
ES1005471	ESR16852
ES1005471	ESR15674
ES1005472	ESR15722
ES1005473	ESR15678
ES1005473	ESR15673
ES1005474	ESR15734
ES1005474	ESR15678
ES1005474	ESR15674
ES1005477	ESR15695
ES1005478	ESR15690
ES1005480	ESR15729
ES1005480	ESR15694
ES1005480	ESR15693
ES1005480	ESR15679
ES1005481	ESR15680
ES1005481	ESR15679
ES1005481	ESR15674
ES1005483	ESR15727
ES1005483	ESR15678
ES1005483	ESR15676
ES1005483	ESR15674
ES1005484	ESR15678
ES1005485	ESR15673
ES1005486	ESR15706
ES1005486	ESR15703
ES1005487	ESR15731
ES1005487	ESR15708
ES1005487	ESR15705
ES1005488	ESR15676
ES1005489	ESR15701
ES1005491	ESR15679
ES1005491	ESR15674
ES1005492	ESR15702
ES1005493	ESR15731
ES1005493	ESR15704
ES1005494	ESR15731
ES1005494	ESR15706
ES1005495	ESR15678
ES1005497	ESR15708
ES1005497	ESR15702
ES1005498	ESR15687
ES1005498	ESR15684
ES1005498	ESR15678
ES1005500	ESR15682
ES1005503	ESR15688
ES1005503	ESR15682
ES1005503	ESR15679
ES1005503	ESR15678
ES1005504	ESR15700
ES1005504	ESR15697
ES1005504	ESR15696
ES1005505	ESR15673
ES1005506	ESR15677
ES1005506	ESR15676
ES1005507	ESR15724
ES1005507	ESR15720
ES1005507	ESR15673
ES1005508	ESR15693
ES1005508	ESR15691
