REAGENT_SET_ACCESSION	REAGENT_ACCESSION	WORKSPACE_ID
ESR15727	ESR15671	2668
ESR15727	ESR15672	2668
ESR15727	ESR15673	2668
ESR15727	ESR15674	2668
ESR15727	ESR15675	2668
ESR15727	ESR15676	2668
ESR15727	ESR15677	2668
ESR15727	ESR15678	2668
ESR15727	ESR15679	2668
ESR15727	ESR15680	2668
ESR15728	ESR15678	2668
ESR15728	ESR15679	2668
ESR15728	ESR15681	2668
ESR15728	ESR15682	2668
ESR15728	ESR15683	2668
ESR15728	ESR15684	2668
ESR15728	ESR15685	2668
ESR15728	ESR15686	2668
ESR15728	ESR15687	2668
ESR15728	ESR15688	2668
ESR15729	ESR15673	2668
ESR15729	ESR15674	2668
ESR15729	ESR15679	2668
ESR15729	ESR15680	2668
ESR15729	ESR15689	2668
ESR15729	ESR15690	2668
ESR15729	ESR15691	2668
ESR15729	ESR15692	2668
ESR15729	ESR15693	2668
ESR15729	ESR15694	2668
ESR15730	ESR15676	2668
ESR15730	ESR15679	2668
ESR15730	ESR15683	2668
ESR15730	ESR15695	2668
ESR15730	ESR15696	2668
ESR15730	ESR15697	2668
ESR15730	ESR15698	2668
ESR15730	ESR15699	2668
ESR15730	ESR15700	2668
ESR15730	ESR15701	2668
ESR15731	ESR15673	2668
ESR15731	ESR15680	2668
ESR15731	ESR15702	2668
ESR15731	ESR15703	2668
ESR15731	ESR15704	2668
ESR15731	ESR15705	2668
ESR15731	ESR15706	2668
ESR15731	ESR15707	2668
ESR15731	ESR15708	2668
ESR15732	ESR15673	2668
ESR15732	ESR15674	2668
ESR15732	ESR15675	2668
ESR15732	ESR15678	2668
ESR15732	ESR15679	2668
ESR15732	ESR15680	2668
ESR15732	ESR15709	2668
ESR15732	ESR15710	2668
ESR15732	ESR15711	2668
ESR15734	ESR15673	2668
ESR15734	ESR15674	2668
ESR15734	ESR15676	2668
ESR15734	ESR15678	2668
ESR15734	ESR15679	2668
ESR15734	ESR15680	2668
ESR15734	ESR15714	2668
ESR15734	ESR15715	2668
ESR15734	ESR15716	2668
ESR15734	ESR15717	2668
ESR15735	ESR15673	2668
ESR15735	ESR15674	2668
ESR15735	ESR15678	2668
ESR15735	ESR15679	2668
ESR15735	ESR15680	2668
ESR15735	ESR15718	2668
ESR15735	ESR15719	2668
ESR15735	ESR15720	2668
ESR15735	ESR15726	2668
ESR16851	ESR15673	2668
ESR16851	ESR15674	2668
ESR16851	ESR15678	2668
ESR16851	ESR15706	2668
ESR16851	ESR15720	2668
ESR16851	ESR15721	2668
ESR16851	ESR15722	2668
ESR16851	ESR15723	2668
ESR16851	ESR15724	2668
ESR16851	ESR15725	2668
ESR16852	ESR15673	2668
ESR16852	ESR15674	2668
ESR16852	ESR15678	2668
ESR16852	ESR15706	2668
ESR16852	ESR15720	2668
ESR16852	ESR15721	2668
ESR16852	ESR15722	2668
ESR16852	ESR15723	2668
ESR16852	ESR15724	2668
ESR16852	ESR15725	2668
