FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
224401	6		SSC-W		SSC-W
224403	16		PerCP-Cy5-5-A	CD4	CD4
224409	11		APC-Cy7-A	CD8A	CD8
224419	8		V500-A	HLA-DRA	HLA-DR
224420	8		V500-A	CD4	CD4
224426	2		FSC-H		FSC-H
224431	9		APC-A	CD38	CD38
224435	13		Live Dead Fixable Red-A		Viability
225713	10		Alexa Fluor 700-A	IFNG	IFNg
225726	1		FSC-A		FSC-A
225740	13		Live Dead Fixable Red-A		Viability
225741	9		APC-A	CD38	CD38
225752	6		SSC-W		SSC-W
225752	11		APC-Cy7-A	CD8A	CD8
225753	16		PerCP-Cy5-5-A	CD4	CD4
225756	3		FSC-W		FSC-W
225756	16		PerCP-Cy5-5-A	IL3RA	CD123
223864	6		SSC-W		SSC-W
223879	5		SSC-H		SSC-H
223885	3		FSC-W		FSC-W
223888	2		FSC-H		FSC-H
223889	16		PerCP-Cy5-5-A	CCR4	CCR4
223890	6		SSC-W		SSC-W
224744	8		V500-A	HLA-DRA	HLA-DR
224749	11		APC-Cy7-A	CD8A	CD8
224751	17		Time		Time
223898	4		SSC-A		SSC-A
223902	9		APC-A	PDCD1	PD-1
223907	12		PE-A	B3GAT1	CD57
223919	3		FSC-W		FSC-W
225066	1		FSC-A		FSC-A
225079	15		FITC-A		Granzyme B
225080	3		FSC-W		FSC-W
225083	13		Live Dead Fixable Red-A		Viability
225084	3		FSC-W		FSC-W
225091	14		PE-Cy7-A	NCAM1	CD56
224446	6		SSC-W		SSC-W
224450	12		PE-A	CD24	CD24
224458	8		V500-A	HLA-DRA	HLA-DR
224459	12		PE-A	TNF	TNFa
224462	15		FITC-A		CD21
224480	7		V450-A	CD3E	CD3
224481	2		FSC-H		FSC-H
224769	6		SSC-W		SSC-W
224772	3		FSC-W		FSC-W
224783	2		FSC-H		FSC-H
224789	6		SSC-W		SSC-W
224795	16		PerCP-Cy5-5-A	IL3RA	CD123
224799	14		PE-Cy7-A	PTPRC	CD45RA
224809	7		V450-A	CD3E	CD3
224816	9		APC-A	CD38	CD38
224820	12		PE-A	CXCR3	CXCR3
225112	6		SSC-W		SSC-W
225114	2		FSC-H		FSC-H
225117	9		APC-A	CD38	CD38
225122	2		FSC-H		FSC-H
225123	3		FSC-W		FSC-W
225131	10		Alexa Fluor 700-A	CD27	CD27
224496	5		SSC-H		SSC-H
223944	6		SSC-W		SSC-W
223945	1		FSC-A		FSC-A
223948	7		V450-A	IL17	IL-17
223970	13		Live Dead Fixable Red-A		Viability
224821	8		V500-A	HLA-DRA	HLA-DR
