EXPSAMPLE_ACCESSION	TREATMENT_ACCESSION
ES1003640	TRT108
ES1003652	TRT108
ES1003673	TRT108
ES1003675	TRT108
ES1003690	TRT108
ES1003707	TRT108
ES1003709	TRT108
ES1003713	TRT108
ES1003717	TRT108
ES1003723	TRT108
ES1003729	TRT108
ES1003736	TRT108
ES1003741	TRT108
ES1003743	TRT108
ES1003758	TRT108
ES1003760	TRT108
ES1003761	TRT108
ES1003773	TRT108
ES1003774	TRT108
ES1003783	TRT108
ES784394	TRT108
ES784397	TRT108
ES784401	TRT108
ES784404	TRT108
ES784407	TRT108
ES784423	TRT108
ES784426	TRT108
ES784443	TRT108
ES784455	TRT108
ES784457	TRT108
ES784458	TRT108
ES784460	TRT108
ES784489	TRT108
ES784506	TRT108
ES784507	TRT108
ES784516	TRT108
ES784522	TRT108
ES736125	TRT108
ES736163	TRT108
ES736164	TRT108
ES736169	TRT108
ES736176	TRT108
ES736187	TRT108
ES736193	TRT108
ES736196	TRT108
ES736205	TRT108
ES736207	TRT108
ES736220	TRT108
ES736225	TRT108
ES736235	TRT108
ES736239	TRT108
ES1005344	TRT108
ES1005355	TRT108
ES1005357	TRT108
ES1005377	TRT108
ES1005398	TRT108
ES1005404	TRT108
ES1005408	TRT108
ES1005420	TRT108
ES1005428	TRT108
ES1005429	TRT108
ES1005433	TRT108
ES1005448	TRT108
ES1005455	TRT108
ES1005462	TRT108
ES1005468	TRT108
ES1005481	TRT108
ES1005491	TRT108
ES1005492	TRT108
ES1005499	TRT108
ES1005507	TRT108
ES1005509	TRT108
ES1005513	TRT108
ES1005518	TRT108
ES1005525	TRT108
ES1005527	TRT108
ES1005528	TRT108
ES1004615	TRT108
ES1004616	TRT108
ES1004628	TRT108
ES1004631	TRT108
ES1004648	TRT108
ES1004663	TRT108
ES1004675	TRT108
ES1004681	TRT108
ES1004683	TRT108
ES1004684	TRT108
ES1004696	TRT108
ES1004707	TRT108
ES1004712	TRT108
ES1004716	TRT108
ES1004727	TRT108
ES1004736	TRT108
ES1004740	TRT108
ES1004753	TRT108
ES1004778	TRT108
ES1004781	TRT108
ES1004782	TRT108
ES1004785	TRT108
ES1004796	TRT108
ES1004818	TRT108
ES1004825	TRT108
ES1004852	TRT108
ES1004875	TRT108
ES1004876	TRT108
ES1004877	TRT108
ES1004889	TRT108
ES1004890	TRT108
ES1004893	TRT108
ES1003793	TRT108
ES1003797	TRT108
ES1003803	TRT108
ES1003806	TRT108
ES1003816	TRT108
ES1003833	TRT108
ES1003835	TRT108
ES1003844	TRT108
ES1003849	TRT108
ES1003851	TRT108
ES1003860	TRT108
ES1003861	TRT108
ES1003867	TRT108
ES1003879	TRT108
ES1003880	TRT108
ES1003901	TRT108
