BIOSAMPLE_ACCESSION	PROTOCOL_ACCESSION
BS752279	PTL5519
BS752295	PTL5519
BS752300	PTL5519
BS752327	PTL5519
BS752329	PTL5519
BS752337	PTL5519
BS752339	PTL5519
BS752349	PTL5519
BS752663	PTL6738
BS752668	PTL6738
BS752678	PTL6738
BS752687	PTL6738
BS752692	PTL6738
BS752703	PTL6738
BS752721	PTL6738
BS752730	PTL6738
BS769825	PTL7084
BS769826	PTL7084
BS769845	PTL7084
BS769869	PTL7084
BS769880	PTL7084
BS769881	PTL7084
BS769883	PTL7084
BS769884	PTL7084
BS769886	PTL7084
BS752668	PTL7273
BS752669	PTL7273
BS752676	PTL7273
BS752697	PTL7273
BS752700	PTL7273
BS752702	PTL7273
BS752712	PTL7273
BS752723	PTL7273
BS752732	PTL7273
BS752733	PTL7273
BS752201	PTL5519
BS752212	PTL5519
BS752220	PTL5519
BS752227	PTL5519
BS752254	PTL5519
BS752275	PTL5519
BS752283	PTL5519
BS752287	PTL5519
BS752292	PTL5519
BS752296	PTL5519
BS752297	PTL5519
BS752298	PTL5519
BS752304	PTL5519
BS752310	PTL5519
BS752313	PTL5519
BS752314	PTL5519
BS752320	PTL5519
BS752333	PTL5519
BS752336	PTL5519
BS752343	PTL5519
BS752688	PTL6738
BS752690	PTL6738
BS752704	PTL6738
BS752706	PTL6738
BS752718	PTL6738
BS752719	PTL6738
BS752724	PTL6738
BS752732	PTL6738
BS769834	PTL7084
BS769844	PTL7084
BS769861	PTL7084
BS769872	PTL7084
BS769888	PTL7084
BS769889	PTL7084
BS769890	PTL7084
BS752736	PTL7136
BS752674	PTL7273
BS752686	PTL7273
BS752696	PTL7273
BS752707	PTL7273
BS752709	PTL7273
BS752716	PTL7273
BS752717	PTL7273
BS752721	PTL7273
BS752729	PTL7273
