STANDARD_CURVE_ACCESSION	EXPERIMENT_ACCESSION	ANALYTE	ASSAY_GROUP_ID	ASSAY_ID	COMMENTS	DATA_FORMAT	FORMULA	LOWER_LIMIT	LOWER_LIMIT_UNIT	RESULTSET_NAME	RESULT_SCHEMA	RESULT_TOT_RECS	UPPER_LIMIT	UPPER_LIMIT_UNIT	WORKSPACE_ID
SC7164	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6790	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7175	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7177	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7179	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7181	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7192	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7198	EXP13950	part of the kit	H51-1	362		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7200	EXP13950	part of the kit	H51-1	364		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6829	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6832	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6835	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6845	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6847	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6862	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6866	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6869	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6880	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6882	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6886	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6890	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6893	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6901	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6917	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6926	EXP13950	part of the kit	H51-1	366		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6927	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6936	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6960	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6967	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6970	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6972	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6982	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6986	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6987	EXP13950	part of the kit	H51-1	362		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7001	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7005	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6630	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6648	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6649	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
