STANDARD_CURVE_ACCESSION	EXPERIMENT_ACCESSION	ANALYTE	ASSAY_GROUP_ID	ASSAY_ID	COMMENTS	DATA_FORMAT	FORMULA	LOWER_LIMIT	LOWER_LIMIT_UNIT	RESULTSET_NAME	RESULT_SCHEMA	RESULT_TOT_RECS	UPPER_LIMIT	UPPER_LIMIT_UNIT	WORKSPACE_ID
SC6961	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6968	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6973	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6976	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6977	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6983	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6993	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6994	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6998	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6628	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6637	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6646	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6660	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7012	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7014	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7016	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7024	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7031	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7041	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7042	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7048	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7049	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6668	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6675	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6697	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7052	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7067	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7083	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6719	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6742	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6744	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7093	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7106	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7113	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7114	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7118	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7122	EXP13950	part of the kit	H51-1	364		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6773	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6774	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6777	EXP13950	part of the kit	H51-1	362		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6783	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7131	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7136	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7148	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7161	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7168	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6791	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6796	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6801	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6802	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6808	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6814	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6818	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6822	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6823	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7178	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7182	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7183	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7184	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7186	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7201	EXP13950	part of the kit	H51-1	366		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6833	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6834	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6836	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6838	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6848	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6849	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6856	EXP13950	part of the kit	H51-1	362		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6857	EXP13950	part of the kit	H51-1	364		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6859	EXP13950	part of the kit	H51-1	366		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6867	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6879	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6887	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6892	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6904	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6905	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6923	EXP13950	part of the kit	H51-1	364		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6935	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6938	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6942	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6956	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6981	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6984	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6989	EXP13950	part of the kit	H51-1	364		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6997	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7007	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6631	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6634	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6641	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6643	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6647	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6654	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6655	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6659	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7013	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7025	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7026	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7045	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6672	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6694	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6705	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7050	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7057	EXP13950	part of the kit	H51-1	366		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7072	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7080	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7087	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6707	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6733	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6735	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6738	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6740	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7092	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7099	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7111	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7121	EXP13950	part of the kit	H51-1	364		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7125	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7127	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6748	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6751	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6754	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6755	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6771	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6778	EXP13950	part of the kit	H51-1	362		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7142	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7145	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7149	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7155	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7156	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7162	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7166	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6787	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6794	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6800	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6809	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6812	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6821	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6826	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7188	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7190	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7199	EXP13950	part of the kit	H51-1	364		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7202	EXP13950	part of the kit	H51-1	366		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6851	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6864	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6865	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6875	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6876	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6877	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6883	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6891	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6910	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6939	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6946	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6953	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6964	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6974	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6978	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6979	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6990	EXP13950	part of the kit	H51-1	364		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6991	EXP13950	part of the kit	H51-1	366		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6992	EXP13950	part of the kit	H51-1	366		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7006	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6652	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6664	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7019	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7029	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7037	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7043	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7047	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6693	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7060	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7076	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7084	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7085	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6712	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6717	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6718	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6723	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6727	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6737	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7097	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7101	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7102	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7103	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7104	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7107	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7115	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7116	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7124	EXP13950	part of the kit	H51-1	366		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6749	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6753	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6762	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6767	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6779	EXP13950	part of the kit	H51-1	364		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6782	EXP13950	part of the kit	H51-1	366		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6786	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7138	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7151	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7158	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7159	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6788	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6799	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6824	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7172	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7173	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC7194	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6828	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6840	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6854	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6861	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6868	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6897	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6898	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6906	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6913	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6919	EXP13950	part of the kit	H51-2	2782		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6924	EXP13950	part of the kit	H51-1	364		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6937	EXP13950	part of the kit	H51-2	2778		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6949	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6950	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6951	EXP13950	part of the kit	H51-2	2779		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6965	EXP13950	part of the kit	H51-2	2780		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6971	EXP13950	part of the kit	H51-2	2781		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
SC6995	EXP13950	part of the kit	H51-2	2777		Other	regression curve	1.23	pg/ml		MBAA	55	5000	pg/ml	2883
