REAGENT_SET_ACCESSION	REAGENT_ACCESSION	WORKSPACE_ID
ESR16499	ESR16444	2771
ESR16499	ESR16445	2771
ESR16499	ESR16446	2771
ESR16499	ESR16447	2771
ESR16499	ESR16448	2771
ESR16499	ESR16449	2771
ESR16499	ESR16450	2771
ESR16499	ESR16451	2771
ESR16499	ESR16452	2771
ESR16499	ESR16453	2771
ESR16499	ESR16454	2771
ESR16499	ESR16455	2771
ESR16499	ESR16456	2771
ESR16499	ESR16457	2771
ESR16499	ESR16458	2771
ESR16500	ESR16444	2771
ESR16500	ESR16445	2771
ESR16500	ESR16446	2771
ESR16500	ESR16447	2771
ESR16500	ESR16448	2771
ESR16500	ESR16457	2771
ESR16500	ESR16458	2771
ESR16500	ESR16459	2771
ESR16500	ESR16460	2771
ESR16500	ESR16461	2771
ESR16500	ESR16462	2771
ESR16500	ESR16463	2771
ESR16500	ESR16464	2771
ESR16500	ESR16465	2771
ESR16500	ESR16466	2771
ESR16501	ESR16444	2771
ESR16501	ESR16445	2771
ESR16501	ESR16446	2771
ESR16501	ESR16447	2771
ESR16501	ESR16448	2771
ESR16501	ESR16457	2771
ESR16501	ESR16458	2771
ESR16501	ESR16462	2771
ESR16501	ESR16464	2771
ESR16501	ESR16467	2771
ESR16501	ESR16468	2771
ESR16501	ESR16469	2771
ESR16501	ESR16470	2771
ESR16501	ESR16471	2771
ESR16501	ESR16472	2771
ESR16502	ESR16445	2771
ESR16502	ESR16448	2771
ESR16502	ESR16473	2771
ESR16502	ESR16474	2771
ESR16502	ESR16475	2771
ESR16502	ESR16476	2771
ESR16502	ESR16477	2771
ESR16502	ESR16478	2771
ESR16502	ESR16479	2771
ESR16502	ESR16480	2771
ESR16502	ESR16481	2771
ESR16502	ESR16482	2771
ESR16502	ESR16483	2771
ESR16502	ESR16484	2771
ESR16502	ESR16485	2771
ESR16503	ESR16445	2771
ESR16503	ESR16448	2771
ESR16503	ESR16474	2771
ESR16503	ESR16486	2771
ESR16503	ESR16487	2771
ESR16503	ESR16488	2771
ESR16503	ESR16489	2771
ESR16503	ESR16490	2771
ESR16503	ESR16491	2771
ESR16503	ESR16492	2771
ESR16503	ESR16493	2771
ESR16503	ESR16494	2771
ESR16503	ESR16495	2771
ESR16503	ESR16496	2771
ESR16503	ESR16497	2771
ESR16503	ESR16498	2771
