EXPSAMPLE_ACCESSION	FILE_INFO_ID	RESULT_SCHEMA
ES1230850	727387	OTHER
ES1230826	727387	OTHER
ES1230815	727387	OTHER
ES1230805	727387	OTHER
ES1230792	727387	OTHER
ES1230788	727387	OTHER
ES1230782	727387	OTHER
ES1230778	727387	OTHER
ES1230774	727387	OTHER
ES1230773	727387	OTHER
ES1230756	727387	OTHER
ES1230754	727387	OTHER
ES1230748	727387	OTHER
ES1230732	727387	OTHER
ES1230729	727387	OTHER
ES1230728	727387	OTHER
ES1230723	727387	OTHER
ES1230711	727387	OTHER
ES1230706	727387	OTHER
ES1230701	727387	OTHER
ES1230688	727387	OTHER
ES1230685	727387	OTHER
ES1230668	727387	OTHER
ES1230665	727387	OTHER
ES1230601	727387	OTHER
ES1230600	727387	OTHER
ES1230558	727387	OTHER
ES1230557	727387	OTHER
ES1230848	727388	OTHER
ES1230843	727388	OTHER
ES1230840	727388	OTHER
ES1230827	727388	OTHER
ES1230820	727388	OTHER
ES1230814	727388	OTHER
ES1230813	727388	OTHER
ES1230788	727388	OTHER
ES1230783	727388	OTHER
ES1230782	727388	OTHER
ES1230777	727388	OTHER
ES1230760	727388	OTHER
ES1230748	727388	OTHER
ES1230747	727388	OTHER
ES1230745	727388	OTHER
ES1230736	727388	OTHER
ES1230728	727388	OTHER
ES1230727	727388	OTHER
ES1230720	727388	OTHER
ES1230719	727388	OTHER
ES1230711	727388	OTHER
ES1230703	727388	OTHER
ES1230701	727388	OTHER
ES1230695	727388	OTHER
ES1230693	727388	OTHER
ES1230688	727388	OTHER
ES1230676	727388	OTHER
ES1230673	727388	OTHER
ES1230660	727388	OTHER
ES1230655	727388	OTHER
ES1230625	727388	OTHER
ES1230617	727388	OTHER
ES1230611	727388	OTHER
ES1230605	727388	OTHER
ES1230601	727388	OTHER
ES1230588	727388	OTHER
ES1230580	727388	OTHER
ES1230577	727388	OTHER
ES1230574	727388	OTHER
ES1230570	727388	OTHER
ES1230567	727388	OTHER
ES1230563	727388	OTHER
ES1230855	727389	FCM
ES1230846	727389	FCM
ES1230844	727389	FCM
ES1230837	727389	FCM
ES1230835	727389	FCM
ES1230818	727389	FCM
ES1230812	727389	FCM
ES1230807	727389	FCM
ES1230781	727389	FCM
ES1230777	727389	FCM
ES1230763	727389	FCM
ES1230743	727389	FCM
ES1230735	727389	FCM
ES1230732	727389	FCM
ES1230730	727389	FCM
ES1230709	727389	FCM
ES1230680	727389	FCM
ES1230662	727389	FCM
ES1230649	727389	FCM
ES1230637	727389	FCM
ES1230630	727389	FCM
ES1230617	727389	FCM
ES1230605	727389	FCM
ES1230589	727389	FCM
ES1230587	727389	FCM
ES1230572	727389	FCM
ES1230560	727389	FCM
ES1230555	727389	FCM
ES1230559	727394	FCM
ES1230560	727395	FCM
ES1230563	727398	FCM
ES1230566	727401	FCM
ES1230575	727410	FCM
ES1230580	727415	FCM
ES1230582	727417	FCM
ES1230586	727421	FCM
ES1230596	727431	FCM
ES1230604	727439	FCM
ES1230610	727445	FCM
ES1230615	727450	FCM
ES1230620	727455	FCM
ES1230621	727456	FCM
ES1230630	727465	FCM
ES1230632	727467	FCM
ES1230645	727480	FCM
ES1230646	727481	FCM
ES1230650	727485	FCM
ES1230675	727510	FCM
ES1230695	727530	FCM
ES1230704	727539	FCM
ES1230708	727543	FCM
ES1231063	727907	FCM
ES1231084	727928	FCM
ES1231088	727932	FCM
ES1231095	727939	FCM
ES1231104	727948	FCM
ES1231105	727949	FCM
ES1231108	727952	FCM
ES1231111	727955	FCM
ES1231118	727962	FCM
ES1231132	727976	FCM
ES1231135	727979	FCM
ES1231141	727985	FCM
ES1231150	727994	FCM
ES1231154	727998	FCM
ES1231157	728001	FCM
ES1231572	728391	OTHER
ES1231554	728391	OTHER
ES1231552	728391	OTHER
ES1231546	728391	OTHER
ES1231532	728391	OTHER
ES1231527	728391	OTHER
ES1231525	728391	OTHER
ES1231499	728391	OTHER
ES1231490	728391	OTHER
ES1231474	728391	OTHER
ES1231470	728391	OTHER
ES1231469	728391	OTHER
ES1231468	728391	OTHER
ES1231769	728391	OTHER
ES1231767	728391	OTHER
ES1231752	728391	OTHER
ES1231749	728391	OTHER
ES1231740	728391	OTHER
ES1231720	728391	OTHER
ES1231719	728391	OTHER
ES1231708	728391	OTHER
ES1231701	728391	OTHER
ES1231697	728391	OTHER
ES1231695	728391	OTHER
ES1231686	728391	OTHER
ES1231684	728391	OTHER
ES1231681	728391	OTHER
ES1231663	728391	OTHER
ES1231662	728391	OTHER
ES1231660	728391	OTHER
ES1231639	728391	OTHER
ES1231638	728391	OTHER
ES1231626	728391	OTHER
ES1231614	728391	OTHER
ES1231612	728391	OTHER
ES1231611	728391	OTHER
ES1231594	728391	OTHER
ES1231556	728392	OTHER
ES1231543	728392	OTHER
ES1231529	728392	OTHER
ES1231515	728392	OTHER
ES1231480	728392	OTHER
ES1231477	728392	OTHER
ES1231470	728392	OTHER
ES1231765	728392	OTHER
ES1231739	728392	OTHER
ES1231730	728392	OTHER
ES1231725	728392	OTHER
ES1231719	728392	OTHER
ES1231697	728392	OTHER
ES1231692	728392	OTHER
ES1231686	728392	OTHER
ES1231684	728392	OTHER
ES1231679	728392	OTHER
ES1231673	728392	OTHER
ES1231667	728392	OTHER
ES1231636	728392	OTHER
ES1231626	728392	OTHER
