STANDARD_CURVE_ACCESSION	FILE_INFO_ID	DATA_FORMAT	RESULT_SCHEMA
SC7008	533146	MBAA	MBAA
SC6983	533146	MBAA	MBAA
SC6963	533146	MBAA	MBAA
SC6962	533146	MBAA	MBAA
SC6944	533146	MBAA	MBAA
SC6939	533146	MBAA	MBAA
SC6936	533146	MBAA	MBAA
SC6930	533146	MBAA	MBAA
SC6928	533146	MBAA	MBAA
SC6925	533146	MBAA	MBAA
SC6921	533146	MBAA	MBAA
SC6920	533146	MBAA	MBAA
SC6909	533146	MBAA	MBAA
SC6907	533146	MBAA	MBAA
SC6896	533146	MBAA	MBAA
SC6886	533146	MBAA	MBAA
SC6881	533146	MBAA	MBAA
SC6878	533146	MBAA	MBAA
SC6872	533146	MBAA	MBAA
SC6870	533146	MBAA	MBAA
SC6869	533146	MBAA	MBAA
SC6863	533146	MBAA	MBAA
SC6843	533146	MBAA	MBAA
SC6820	533146	MBAA	MBAA
SC6809	533146	MBAA	MBAA
SC6805	533146	MBAA	MBAA
SC6804	533146	MBAA	MBAA
SC6801	533146	MBAA	MBAA
SC6785	533146	MBAA	MBAA
SC6763	533146	MBAA	MBAA
SC6760	533146	MBAA	MBAA
SC6753	533146	MBAA	MBAA
SC6747	533146	MBAA	MBAA
SC6720	533146	MBAA	MBAA
SC6708	533146	MBAA	MBAA
SC6699	533146	MBAA	MBAA
SC6697	533146	MBAA	MBAA
SC6692	533146	MBAA	MBAA
SC6690	533146	MBAA	MBAA
SC6689	533146	MBAA	MBAA
SC6679	533146	MBAA	MBAA
SC6671	533146	MBAA	MBAA
SC6668	533146	MBAA	MBAA
SC6664	533146	MBAA	MBAA
SC6656	533146	MBAA	MBAA
SC6652	533146	MBAA	MBAA
SC6649	533146	MBAA	MBAA
SC6646	533146	MBAA	MBAA
SC6645	533146	MBAA	MBAA
SC6644	533146	MBAA	MBAA
SC6641	533146	MBAA	MBAA
SC6633	533146	MBAA	MBAA
SC6630	533146	MBAA	MBAA
SC6629	533146	MBAA	MBAA
SC7202	533146	MBAA	MBAA
SC7199	533146	MBAA	MBAA
SC7194	533146	MBAA	MBAA
SC7182	533146	MBAA	MBAA
SC7180	533146	MBAA	MBAA
SC7173	533146	MBAA	MBAA
SC7172	533146	MBAA	MBAA
SC7167	533146	MBAA	MBAA
SC7155	533146	MBAA	MBAA
SC7154	533146	MBAA	MBAA
SC7149	533146	MBAA	MBAA
SC7145	533146	MBAA	MBAA
SC7140	533146	MBAA	MBAA
SC7104	533146	MBAA	MBAA
SC7099	533146	MBAA	MBAA
SC7090	533146	MBAA	MBAA
SC7086	533146	MBAA	MBAA
SC7066	533146	MBAA	MBAA
SC7051	533146	MBAA	MBAA
SC7047	533146	MBAA	MBAA
SC7034	533146	MBAA	MBAA
SC7033	533146	MBAA	MBAA
SC7016	533146	MBAA	MBAA
SC6999	533146	MBAA	MBAA
SC6998	533146	MBAA	MBAA
SC6996	533146	MBAA	MBAA
SC6988	533146	MBAA	MBAA
SC6987	533146	MBAA	MBAA
SC6986	533146	MBAA	MBAA
SC6973	533146	MBAA	MBAA
SC6965	533146	MBAA	MBAA
SC6961	533146	MBAA	MBAA
SC6956	533146	MBAA	MBAA
SC6952	533146	MBAA	MBAA
SC6949	533146	MBAA	MBAA
SC6937	533146	MBAA	MBAA
SC6935	533146	MBAA	MBAA
SC6914	533146	MBAA	MBAA
SC6908	533146	MBAA	MBAA
SC6901	533146	MBAA	MBAA
SC6890	533146	MBAA	MBAA
SC6884	533146	MBAA	MBAA
SC6877	533146	MBAA	MBAA
SC6873	533146	MBAA	MBAA
SC6865	533146	MBAA	MBAA
SC6861	533146	MBAA	MBAA
SC6858	533146	MBAA	MBAA
SC6851	533146	MBAA	MBAA
SC6842	533146	MBAA	MBAA
SC6833	533146	MBAA	MBAA
SC6818	533146	MBAA	MBAA
SC6810	533146	MBAA	MBAA
SC6797	533146	MBAA	MBAA
SC6795	533146	MBAA	MBAA
SC6783	533146	MBAA	MBAA
