STANDARD_CURVE_ACCESSION	FILE_INFO_ID	RESULT_SCHEMA
SC979	504212	OTHER
SC994	504215	OTHER
SC998	504216	OTHER
SC1005	504217	OTHER
SC1008	504217	OTHER
SC971	504211	OTHER
SC992	504215	OTHER
SC962	504210	OTHER
SC964	504210	OTHER
SC981	504213	OTHER
SC985	504213	OTHER
SC993	504215	OTHER
SC995	504215	OTHER
SC968	504211	OTHER
SC969	504211	OTHER
SC973	504211	OTHER
SC974	504212	OTHER
SC977	504212	OTHER
SC984	504213	OTHER
SC990	504214	OTHER
SC996	504215	OTHER
SC972	504211	OTHER
SC975	504212	OTHER
SC976	504212	OTHER
SC982	504213	OTHER
SC986	504214	OTHER
SC991	504214	OTHER
SC997	504215	OTHER
SC1001	504216	OTHER
SC1004	504217	OTHER
SC1007	504217	OTHER
SC965	504210	OTHER
SC978	504212	OTHER
SC980	504213	OTHER
SC1006	504217	OTHER
SC963	504210	OTHER
SC970	504211	OTHER
SC983	504213	OTHER
SC987	504214	OTHER
SC988	504214	OTHER
SC999	504216	OTHER
SC1002	504216	OTHER
SC1003	504216	OTHER
SC967	504210	OTHER
SC989	504214	OTHER
SC1000	504216	OTHER
SC1009	504217	OTHER
SC966	504210	OTHER
