EXPSAMPLE_ACCESSION	TREATMENT_ACCESSION
ES833007	TRT1761
ES833010	TRT1759
ES833072	TRT1763
ES833074	TRT1759
ES833084	TRT1756
ES833093	TRT1757
ES833098	TRT1759
ES832438	TRT1758
ES832441	TRT1762
ES832456	TRT1763
ES832465	TRT1762
ES832482	TRT1759
ES832483	TRT1760
ES832485	TRT1757
ES805353	TRT1574
ES805354	TRT1574
ES805372	TRT1574
ES805378	TRT1574
ES805395	TRT1574
ES805410	TRT1574
ES805422	TRT1574
ES805453	TRT1574
ES805456	TRT1574
ES805464	TRT1574
ES805468	TRT1574
ES805472	TRT1574
ES805478	TRT1574
ES805485	TRT1574
ES805490	TRT1574
ES805492	TRT1574
ES805508	TRT1574
ES805515	TRT1574
ES805523	TRT1574
ES805524	TRT1574
ES805528	TRT1574
ES805533	TRT1574
ES805534	TRT1574
ES832505	TRT1762
ES832511	TRT1761
ES832522	TRT1759
ES832525	TRT1757
ES832540	TRT1756
ES832542	TRT1758
ES832544	TRT1763
ES832552	TRT1763
ES832555	TRT1760
ES832564	TRT1756
ES832569	TRT1762
ES832570	TRT1759
ES832578	TRT1759
ES832585	TRT1762
ES832592	TRT1763
ES832593	TRT1762
ES832606	TRT1758
ES832625	TRT1762
ES832628	TRT1756
ES832651	TRT1760
ES832655	TRT1761
ES832674	TRT1759
ES832686	TRT1758
ES832698	TRT1759
ES832705	TRT1762
ES832708	TRT1756
ES832718	TRT1758
ES832739	TRT1760
ES832747	TRT1760
ES832759	TRT1761
ES832768	TRT1763
ES832771	TRT1760
ES832785	TRT1762
ES832793	TRT1762
ES832800	TRT1763
ES832805	TRT1757
ES832820	TRT1756
ES832823	TRT1761
ES832843	TRT1760
ES832845	TRT1757
ES832848	TRT1763
ES832857	TRT1762
ES832885	TRT1757
ES832886	TRT1758
ES832892	TRT1756
ES832896	TRT1763
ES832900	TRT1756
ES832902	TRT1758
ES832912	TRT1763
ES832919	TRT1761
ES832923	TRT1760
ES832939	TRT1760
ES832941	TRT1757
ES832967	TRT1761
ES832971	TRT1760
ES832974	TRT1758
ES832981	TRT1757
ES823826	TRT1645
ES823830	TRT1645
ES823834	TRT1645
ES823845	TRT1645
ES823847	TRT1645
ES823856	TRT1645
ES823864	TRT1645
ES823865	TRT1645
ES823869	TRT1645
ES823877	TRT1645
ES823886	TRT1645
ES823888	TRT1645
ES823918	TRT1645
ES823931	TRT1645
ES823935	TRT1645
ES823939	TRT1645
ES823940	TRT1645
ES823961	TRT1645
ES823988	TRT1645
ES823993	TRT1645
ES824012	TRT1645
ES824014	TRT1645
ES824024	TRT1645
ES824033	TRT1645
ES824034	TRT1645
ES824041	TRT1645
ES824054	TRT1645
ES824057	TRT1645
ES824061	TRT1645
ES824083	TRT1645
ES824091	TRT1645
ES824102	TRT1645
ES824118	TRT1645
ES824120	TRT1645
ES824125	TRT1645
ES824134	TRT1645
ES824161	TRT1645
ES824163	TRT1645
ES824169	TRT1645
ES824182	TRT1645
ES824183	TRT1645
ES824190	TRT1645
ES824192	TRT1645
ES824193	TRT1645
ES824204	TRT1645
ES824206	TRT1645
ES824212	TRT1645
ES824217	TRT1645
ES824241	TRT1645
ES718731	TRT85
ES718736	TRT85
ES718744	TRT85
ES718755	TRT85
ES718710	TRT85
ES718719	TRT85
ES718727	TRT85
ES805540	TRT1574
ES805558	TRT1574
ES805560	TRT1574
ES805562	TRT1574
ES805564	TRT1574
ES805566	TRT1574
ES805570	TRT1574
ES805574	TRT1574
ES805576	TRT1574
ES805581	TRT1574
ES805583	TRT1574
ES805588	TRT1574
ES805168	TRT1574
ES805169	TRT1574
ES805173	TRT1574
ES805177	TRT1574
ES805182	TRT1574
ES805218	TRT1574
ES805223	TRT1574
ES805244	TRT1574
ES805250	TRT1574
ES805256	TRT1574
ES805261	TRT1574
ES805265	TRT1574
ES805275	TRT1574
ES805277	TRT1574
ES805287	TRT1574
ES805290	TRT1574
ES805294	TRT1574
ES805297	TRT1574
ES805314	TRT1574
ES805318	TRT1574
ES805319	TRT1574
ES805320	TRT1574
ES805321	TRT1574
ES805332	TRT1574
ES805341	TRT1574
ES790486	TRT1419
ES790487	TRT1419
ES790496	TRT1419
ES790511	TRT1419
ES790517	TRT1419
ES790523	TRT1419
ES790533	TRT1419
ES790534	TRT1419
ES823704	TRT1645
ES823707	TRT1645
ES823733	TRT1645
ES823756	TRT1645
ES823764	TRT1645
ES823775	TRT1645
ES823776	TRT1645
ES823777	TRT1645
ES823778	TRT1645
ES823782	TRT1645
ES823791	TRT1645
ES823810	TRT1645
