EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES840002	ESR15861
ES840003	ESR15861
ES840025	ESR15861
ES840039	ESR15861
ES840042	ESR15861
ES840044	ESR15861
ES840048	ESR15861
ES840054	ESR15861
ES840058	ESR15861
ES840062	ESR15861
ES840074	ESR15861
ES840089	ESR15861
ES840091	ESR15861
ES840094	ESR15861
ES840097	ESR15861
ES840101	ESR15861
ES840134	ESR15861
ES840139	ESR15861
ES840148	ESR15861
ES840160	ESR15861
ES840172	ESR15861
ES840174	ESR15861
ES840196	ESR15861
ES840198	ESR15861
ES840209	ESR15861
ES1039100	ESR17743
ES1039101	ESR17751
ES1039101	ESR17738
ES1039102	ESR17752
ES1039102	ESR17743
ES1039102	ESR17741
ES1039104	ESR17750
ES1039104	ESR17740
ES1039105	ESR17751
ES1039105	ESR17747
ES1039106	ESR17743
ES1039106	ESR17741
ES1039107	ESR17753
ES1039107	ESR17743
ES1039108	ESR17747
ES1039109	ESR17749
ES1039111	ESR17738
ES1039112	ESR17750
ES1039112	ESR17745
ES1039113	ESR17753
ES1039113	ESR17750
ES1039113	ESR17746
ES1039115	ESR17751
ES1039115	ESR17744
ES1039115	ESR17743
ES1039116	ESR17753
ES1039116	ESR17743
ES1039117	ESR17739
ES1039117	ESR17752
ES1039118	ESR17751
ES1039118	ESR17740
ES1039121	ESR17743
ES1039121	ESR17741
ES1039122	ESR17750
ES1039123	ESR17747
ES1039123	ESR17745
ES1039123	ESR17744
ES1039124	ESR17738
ES1039125	ESR17745
ES1039125	ESR17742
ES1039126	ESR17745
ES1039127	ESR17746
ES1039127	ESR17743
ES1039127	ESR17737
ES1039128	ESR17744
ES1039129	ESR17750
ES1039129	ESR17749
ES1039129	ESR17738
ES1039130	ESR17753
ES1039130	ESR17752
ES1039131	ESR17752
ES1039131	ESR17750
ES1039131	ESR17747
ES1039132	ESR17751
ES1039132	ESR17745
ES1039132	ESR17743
ES1039132	ESR17742
ES1039133	ESR17744
ES1039133	ESR17743
ES1039134	ESR17747
ES1039135	ESR17749
ES1039135	ESR17744
ES1039136	ESR17751
ES1039137	ESR17746
ES1039137	ESR17744
ES1039137	ESR17743
ES1039137	ESR17740
ES1039137	ESR17737
ES1039138	ESR17741
ES1039140	ESR17776
ES1039142	ESR17776
ES1039142	ESR17771
ES1039145	ESR17776
ES1039145	ESR17774
ES1039146	ESR17771
ES1039148	ESR17774
ES1039149	ESR17776
ES1039149	ESR17774
ES1039154	ESR17776
ES1039157	ESR17771
ES1039158	ESR17777
ES1039158	ESR17775
ES1039158	ESR17773
ES1039159	ESR17774
ES1039159	ESR17771
ES1039160	ESR17775
ES1039166	ESR17776
ES1039167	ESR17773
ES1039168	ESR17772
ES1039169	ESR17775
ES1039169	ESR17773
ES1039172	ESR17771
ES1039176	ESR17777
ES1039176	ESR17775
ES1039177	ESR17774
ES1039181	ESR17776
ES1039181	ESR17773
ES1039181	ESR17772
ES1039182	ESR17777
ES1039182	ESR17775
ES1039182	ESR17773
ES1039183	ESR17775
ES1039183	ESR17771
ES1039184	ESR17774
ES1039184	ESR17772
ES1039186	ESR17776
ES1039187	ESR17775
ES1039188	ESR17774
ES1039188	ESR17773
ES1039189	ESR17772
ES1039190	ESR17776
ES1039191	ESR17773
ES1039194	ESR17773
ES1039196	ESR17772
ES1039198	ESR17777
ES1039200	ESR17773
ES1039201	ESR17775
ES1039201	ESR17772
ES1039203	ESR17777
ES1039203	ESR17771
ES1039204	ESR17773
ES1039204	ESR17771
ES1039206	ESR17774
ES1039207	ESR17774
ES1039208	ESR17776
ES1039208	ESR17771
ES1039210	ESR17771
ES1039213	ESR17775
ES1039214	ESR17775
ES1039216	ESR17777
ES1039216	ESR17776
ES1039217	ESR17775
ES1039218	ESR17777
ES1039218	ESR17776
ES1039218	ESR17772
ES1039218	ESR17771
ES1039220	ESR17774
ES1039220	ESR17773
ES1039221	ESR17773
ES1039223	ESR17777
ES1039223	ESR17771
ES1039224	ESR17775
ES1039225	ESR17772
ES1039226	ESR17776
ES1039226	ESR17772
ES1039227	ESR17771
ES1039228	ESR17773
ES1039229	ESR17776
ES1039229	ESR17775
ES1039231	ESR17774
ES1039232	ESR17776
ES1039233	ESR17776
ES1039234	ESR17777
ES1039234	ESR17774
ES1039234	ESR17772
ES1039236	ESR17776
ES1039236	ESR17773
ES1039237	ESR17777
ES1039240	ESR17773
ES1039241	ESR17772
ES1039243	ESR17777
ES1039244	ESR17777
ES1039245	ESR17776
ES1039247	ESR17772
ES1039247	ESR17771
ES1039249	ESR17774
ES1039249	ESR17773
ES1039251	ESR17773
ES1039252	ESR17772
ES1039252	ESR17771
ES1039253	ESR17775
ES1039254	ESR17771
ES1039255	ESR17775
ES1039255	ESR17772
ES1039257	ESR17774
ES1039258	ESR17771
ES1039260	ESR17771
ES1039261	ESR17771
ES1039262	ESR17773
ES1039266	ESR17775
ES1039268	ESR17776
ES1039268	ESR17773
ES1039268	ESR17772
ES1039270	ESR17772
ES1039270	ESR17771
ES1039276	ESR17776
ES1039278	ESR17776
ES1039278	ESR17775
ES1039278	ESR17772
ES1039279	ESR17776
ES1039279	ESR17774
ES1039279	ESR17772
ES1039280	ESR17774
ES1039280	ESR17773
ES1039281	ESR17777
ES1039283	ESR17776
ES1039283	ESR17772
ES1039284	ESR17771
ES1039288	ESR17776
ES1039288	ESR17773
ES1039291	ESR17772
ES1039293	ESR17776
ES1039294	ESR17772
ES1039295	ESR17776
ES1039296	ESR17777
ES1039296	ESR17776
ES1039296	ESR17775
ES1039297	ESR17773
ES1039299	ESR17776
ES1039299	ESR17773
ES1039300	ESR17773
ES1039300	ESR17771
ES1039301	ESR17775
ES1039302	ESR17776
ES1039302	ESR17774
ES1039304	ESR17777
ES1039304	ESR17771
ES1039307	ESR17774
ES1039310	ESR17773
ES1039311	ESR17777
ES1039314	ESR17777
ES1039314	ESR17775
ES1039316	ESR17774
ES1039317	ESR17775
ES1039320	ESR17773
ES1039321	ESR17775
ES1039322	ESR17772
ES1039323	ESR17777
ES1039324	ESR17776
ES1039324	ESR17774
ES1039324	ESR17772
ES1039325	ESR17775
ES1039326	ESR17774
ES1039327	ESR17771
ES1039328	ESR17772
ES1039330	ESR17777
ES1039330	ESR17776
ES1039332	ESR17771
ES1039334	ESR17775
ES1039334	ESR17771
ES1039335	ESR17771
ES1039336	ESR17777
ES1039336	ESR17772
ES1039338	ESR17774
ES1039339	ESR17776
ES1039340	ESR17774
ES1039341	ESR17773
ES1039341	ESR17772
ES1039345	ESR17775
ES1039346	ESR17773
ES1039346	ESR17772
ES1039347	ESR17775
ES1039350	ESR17772
ES1039351	ESR17776
ES1039351	ESR17771
ES1039354	ESR17773
ES1039354	ESR17771
ES1039355	ESR17773
ES1039356	ESR17777
ES1039357	ESR17773
ES1039358	ESR17773
ES1039360	ESR17775
ES1039361	ESR17771
ES1039362	ESR17776
ES1039363	ESR17776
ES1039363	ESR17774
ES1039363	ESR17773
ES1039364	ESR17773
ES1039367	ESR17777
ES1039367	ESR17776
ES1039367	ESR17772
ES1039369	ESR17776
ES1039369	ESR17773
ES1039370	ESR17773
ES1039370	ESR17772
ES1039373	ESR17771
ES1039375	ESR17773
ES1039375	ESR17772
ES1039376	ESR17774
ES1039379	ESR17774
ES846590	ESR15775
ES846591	ESR15779
ES846591	ESR15777
ES846591	ESR15771
ES846592	ESR15776
ES846593	ESR15792
ES846593	ESR15788
ES846593	ESR15786
ES846593	ESR15770
ES846594	ESR15780
ES846594	ESR15776
ES846594	ESR15773
ES846595	ESR15788
ES846595	ESR15779
ES846595	ESR15778
ES846595	ESR15775
ES846595	ESR15771
ES846596	ESR15778
ES846597	ESR15785
ES846597	ESR15783
ES846597	ESR15782
ES846597	ESR15779
ES846597	ESR15773
ES846597	ESR15771
ES846598	ESR15792
ES846598	ESR15785
ES846598	ESR15771
ES846599	ESR15786
ES846599	ESR15776
ES846599	ESR15774
ES846599	ESR15770
ES846600	ESR15788
ES846600	ESR15786
ES846600	ESR15785
ES846600	ESR15778
ES846600	ESR15776
ES846600	ESR15770
ES846602	ESR15783
ES846602	ESR15776
ES846602	ESR15772
ES846602	ESR15770
ES846603	ESR15787
ES846603	ESR15786
ES846603	ESR15783
ES846603	ESR15772
ES846603	ESR15769
ES846604	ESR15779
ES846604	ESR15778
ES846604	ESR15775
ES846605	ESR15788
ES846606	ESR15785
ES846606	ESR15781
ES846607	ESR15783
ES846607	ESR15778
ES846607	ESR15776
ES846608	ESR15784
ES846608	ESR15771
ES846609	ESR15775
ES846609	ESR15774
ES846609	ESR15770
ES846610	ESR15787
ES846610	ESR15779
ES846610	ESR15778
ES846610	ESR15777
ES846612	ESR15788
ES846612	ESR15785
ES846612	ESR15780
ES846612	ESR15774
ES846612	ESR15771
ES846613	ESR15775
ES846614	ESR15783
ES846615	ESR15785
ES846615	ESR15776
ES846615	ESR15773
ES846615	ESR15770
ES846616	ESR15777
ES846616	ESR15773
ES846617	ESR15788
ES846617	ESR15781
ES846617	ESR15772
ES846617	ESR15770
ES846618	ESR15787
ES846618	ESR15786
ES846618	ESR15782
ES846618	ESR15774
ES846619	ESR15786
ES846619	ESR15776
ES846620	ESR15792
ES846620	ESR15782
ES846620	ESR15779
ES846621	ESR15777
ES846621	ESR15773
ES846622	ESR15783
ES846622	ESR15778
ES846622	ESR15774
ES846623	ESR15778
ES846624	ESR15786
ES846624	ESR15782
ES846624	ESR15780
ES846626	ESR15792
ES846626	ESR15782
ES846626	ESR15779
ES846626	ESR15775
ES846626	ESR15773
ES846626	ESR15772
ES846628	ESR15783
ES846628	ESR15780
ES846628	ESR15770
ES846629	ESR15785
ES846629	ESR15771
ES846630	ESR15792
ES846630	ESR15780
ES846630	ESR15775
ES846630	ESR15773
ES846630	ESR15769
ES846631	ESR15780
ES846631	ESR15775
ES846631	ESR15773
ES846632	ESR15792
ES846632	ESR15779
ES846632	ESR15774
ES846632	ESR15771
ES846634	ESR15770
