REAGENT_SET_ACCESSION	REAGENT_ACCESSION	WORKSPACE_ID
ESR15789	ESR10259	2510
ESR15789	ESR10260	2510
ESR15789	ESR10261	2510
ESR15789	ESR10262	2510
ESR15789	ESR10263	2510
ESR15789	ESR15737	2510
ESR15789	ESR15738	2510
ESR15789	ESR15739	2510
ESR15790	ESR15743	2510
ESR15790	ESR15744	2510
ESR15790	ESR15745	2510
ESR15790	ESR15746	2510
ESR15790	ESR15747	2510
ESR15790	ESR15748	2510
ESR15790	ESR15749	2510
ESR15790	ESR15750	2510
ESR15790	ESR15751	2510
ESR15791	ESR15756	2510
ESR15791	ESR15757	2510
ESR15791	ESR15758	2510
ESR15791	ESR15759	2510
ESR15791	ESR15760	2510
ESR15791	ESR15761	2510
ESR15791	ESR15762	2510
ESR15791	ESR15763	2510
ESR15791	ESR15764	2510
ESR15791	ESR15765	2510
ESR15791	ESR15766	2510
ESR15791	ESR15767	2510
ESR15791	ESR15768	2510
ESR15792	ESR15769	2510
ESR15792	ESR15770	2510
ESR15792	ESR15771	2510
ESR15792	ESR15772	2510
ESR15792	ESR15773	2510
ESR15792	ESR15774	2510
ESR15792	ESR15775	2510
ESR15792	ESR15776	2510
ESR15792	ESR15777	2510
ESR15792	ESR15778	2510
ESR15792	ESR15779	2510
ESR15792	ESR15780	2510
ESR15792	ESR15781	2510
ESR15792	ESR15782	2510
ESR15792	ESR15783	2510
ESR15792	ESR15784	2510
ESR15792	ESR15785	2510
ESR15792	ESR15786	2510
ESR15792	ESR15787	2510
ESR15792	ESR15788	2510
