EXPSAMPLE_ACCESSION	FILE_INFO_ID	RESULT_SCHEMA
ES844862	527348	FCM
ES844859	527348	FCM
ES844869	527350	FCM
ES844873	527351	FCM
ES844871	527351	FCM
ES844870	527351	FCM
ES844863	527351	FCM
ES844859	527351	FCM
ES844867	527360	FCM
ES844872	527365	FCM
ES844875	527368	FCM
ES844885	527371	OTHER
ES844883	527371	OTHER
ES844890	527372	FCM
ES844893	527373	FCM
ES844889	527373	FCM
ES844888	527373	FCM
ES844882	527373	FCM
ES844879	527373	FCM
ES844890	527374	FCM
ES844887	527374	FCM
ES844880	527374	FCM
ES844879	527374	FCM
ES844894	527375	FCM
ES844892	527375	FCM
ES844889	527375	FCM
ES844878	527375	FCM
ES844893	527376	FCM
ES844882	527376	FCM
ES844878	527376	FCM
ES844894	527377	FCM
ES844891	527378	FCM
ES844890	527378	FCM
ES844881	527378	FCM
ES844877	527378	FCM
ES844877	527379	FCM
ES844890	527380	FCM
ES844887	527381	FCM
ES844893	527382	FCM
ES844879	527382	FCM
ES844910	527402	OTHER
ES844909	527402	OTHER
ES844906	527402	OTHER
ES844903	527402	OTHER
ES844896	527402	OTHER
ES844895	527402	OTHER
ES844902	527403	FCM
ES844900	527403	FCM
ES844911	527404	FCM
ES844907	527404	FCM
ES844906	527404	FCM
ES844902	527404	FCM
ES844896	527404	FCM
ES844897	527405	FCM
ES844904	527406	FCM
ES844901	527406	FCM
ES844900	527406	FCM
ES844895	527406	FCM
ES844899	527407	FCM
ES844912	527409	FCM
ES844909	527409	FCM
ES844896	527409	FCM
ES844911	527410	FCM
ES844910	527410	FCM
ES844909	527410	FCM
ES844907	527411	FCM
ES844900	527411	FCM
ES844902	527412	FCM
ES844899	527413	FCM
ES844896	527413	FCM
ES844901	527414	FCM
ES844898	527414	FCM
ES844896	527414	FCM
ES844909	527428	FCM
ES844910	527429	FCM
ES844919	527433	OTHER
ES844918	527433	OTHER
ES844917	527433	OTHER
ES844928	527434	FCM
ES844920	527435	FCM
ES844924	527436	FCM
ES844919	527436	FCM
ES844925	527437	FCM
ES844929	527438	FCM
ES844928	527438	FCM
ES844918	527438	FCM
ES844917	527438	FCM
ES844914	527438	FCM
ES844930	527438	FCM
ES844929	527439	FCM
ES844918	527439	FCM
ES844917	527439	FCM
ES844928	527440	FCM
ES844919	527440	FCM
ES844923	527441	FCM
ES844928	527442	FCM
ES844927	527442	FCM
ES844925	527442	FCM
ES844919	527442	FCM
ES844914	527442	FCM
ES844913	527442	FCM
ES844919	527443	FCM
ES844917	527443	FCM
ES844921	527444	FCM
ES844920	527444	FCM
ES844917	527444	FCM
ES844915	527444	FCM
ES844913	527444	FCM
ES844925	527445	FCM
ES844919	527445	FCM
ES844915	527445	FCM
ES844927	527459	FCM
ES844941	527464	OTHER
ES844932	527465	FCM
ES844939	527466	FCM
ES844931	527466	FCM
ES844943	527467	FCM
ES844940	527467	FCM
ES844938	527467	FCM
ES844944	527468	FCM
ES844943	527468	FCM
ES844942	527469	FCM
ES844943	527470	FCM
ES844941	527470	FCM
ES844947	527471	FCM
ES844945	527471	FCM
ES844936	527471	FCM
ES844942	527472	FCM
ES844939	527472	FCM
ES844940	527473	FCM
ES844933	527473	FCM
ES844937	527474	FCM
ES844934	527474	FCM
ES844937	527476	FCM
ES844933	527476	FCM
ES844932	527477	FCM
ES844940	527485	FCM
ES844962	527495	OTHER
ES844956	527496	FCM
ES844950	527496	FCM
ES844960	527497	FCM
ES844959	527497	FCM
ES844953	527497	FCM
ES844961	527498	FCM
ES844955	527498	FCM
ES844950	527498	FCM
ES844966	527499	FCM
ES844959	527499	FCM
ES844958	527499	FCM
ES844963	527500	FCM
ES844958	527500	FCM
ES844949	527500	FCM
ES844965	527501	FCM
ES844954	527501	FCM
ES844953	527501	FCM
ES844963	527502	FCM
ES844966	527503	FCM
ES844960	527503	FCM
ES844959	527503	FCM
ES844961	527504	FCM
ES844965	527505	FCM
ES844964	527505	FCM
ES844966	527506	FCM
ES844965	527506	FCM
ES844960	527506	FCM
ES844959	527506	FCM
ES844953	527506	FCM
ES844953	527507	FCM
ES844951	527507	FCM
ES844950	527508	FCM
ES844961	527519	FCM
ES844978	527526	OTHER
ES844975	527526	OTHER
ES844973	527526	OTHER
ES844968	527526	OTHER
ES844975	527527	FCM
ES844968	527527	FCM
ES844984	527528	FCM
ES844976	527529	FCM
ES844971	527529	FCM
ES844969	527529	FCM
ES844981	527530	FCM
ES844979	527530	FCM
ES844972	527530	FCM
ES844970	527530	FCM
ES844984	527531	FCM
ES844973	527531	FCM
ES844971	527531	FCM
ES844983	527533	FCM
ES844974	527534	FCM
ES844971	527534	FCM
ES844970	527535	FCM
ES844978	527536	FCM
ES844983	527537	FCM
ES844979	527537	FCM
ES844978	527537	FCM
ES844969	527538	FCM
ES844972	527543	FCM
ES844980	527551	FCM
ES845002	527557	OTHER
ES844987	527557	OTHER
ES844994	527558	FCM
ES844990	527558	FCM
ES844996	527559	FCM
ES844999	527560	FCM
ES844999	527561	FCM
ES844994	527561	FCM
ES844992	527561	FCM
ES845001	527562	FCM
ES845000	527562	FCM
ES844994	527563	FCM
ES844995	527564	FCM
ES844986	527564	FCM
ES844993	527565	FCM
ES844990	527565	FCM
ES844995	527566	FCM
ES844985	527566	FCM
ES844994	527567	FCM
ES844988	527567	FCM
ES844999	527568	FCM
ES844994	527568	FCM
ES844992	527568	FCM
ES844992	527569	FCM
ES844987	527569	FCM
ES844987	527571	FCM
ES845001	527585	FCM
ES845016	527588	OTHER
ES845012	527588	OTHER
ES845009	527588	OTHER
ES845015	527589	FCM
ES845014	527589	FCM
ES845008	527589	FCM
ES845007	527589	FCM
ES845005	527589	FCM
ES845010	527590	FCM
