EXPSAMPLE_ACCESSION	TREATMENT_ACCESSION
ES833881	TRT1785
ES848002	TRT1753
ES848006	TRT495
ES848012	TRT495
ES848013	TRT492
ES848018	TRT495
ES848019	TRT492
ES848024	TRT495
ES848025	TRT492
ES848045	TRT1754
ES848049	TRT492
ES848052	TRT1755
ES848053	TRT494
ES848054	TRT495
ES848064	TRT1755
ES848065	TRT494
ES848067	TRT492
ES848071	TRT494
ES848072	TRT495
ES848076	TRT1755
ES848082	TRT1755
ES848101	TRT494
ES848108	TRT495
ES848129	TRT1754
ES848136	TRT1755
ES848142	TRT1755
ES848155	TRT494
ES848160	TRT1755
ES848166	TRT1755
ES848176	TRT1753
ES834781	TRT1783
ES834785	TRT1783
ES834790	TRT1783
ES834795	TRT1783
ES834803	TRT1783
ES834812	TRT1783
ES834813	TRT1783
ES834828	TRT1783
ES834839	TRT1783
ES834840	TRT1783
ES834847	TRT1783
ES834849	TRT1783
ES834850	TRT1783
ES834862	TRT1783
ES834866	TRT1783
ES834873	TRT1783
ES834877	TRT1783
ES834882	TRT1783
ES834887	TRT1783
ES834916	TRT1783
ES834929	TRT1783
ES834937	TRT1783
ES834941	TRT1783
ES834951	TRT1783
ES834952	TRT1783
ES834972	TRT1783
ES834986	TRT1783
ES835020	TRT1783
ES835062	TRT1783
ES835069	TRT1783
ES835071	TRT1783
ES835072	TRT1783
ES848179	TRT494
ES848181	TRT492
ES848196	TRT1755
ES848207	TRT1754
ES848208	TRT1755
ES848211	TRT492
ES848214	TRT1755
ES848252	TRT495
ES848262	TRT1755
ES848263	TRT494
ES848271	TRT492
ES848285	TRT1754
ES848301	TRT492
ES848305	TRT494
ES848318	TRT495
ES848324	TRT495
ES848337	TRT492
ES848343	TRT492
ES848348	TRT495
ES848349	TRT492
ES848351	TRT1754
ES848374	TRT1753
ES848377	TRT494
ES848379	TRT492
ES848384	TRT495
ES848387	TRT1754
ES848389	TRT494
ES848392	TRT1753
ES848400	TRT1755
ES848414	TRT495
ES848421	TRT492
ES848425	TRT494
ES848434	TRT1753
ES848435	TRT1754
ES848441	TRT1754
ES834588	TRT1783
ES834589	TRT1783
ES834590	TRT1783
ES834608	TRT1783
ES834615	TRT1783
ES834647	TRT1783
ES834668	TRT1783
ES834685	TRT1783
ES834691	TRT1783
ES834695	TRT1783
ES834710	TRT1783
ES834725	TRT1783
ES834733	TRT1783
ES834744	TRT1783
ES834745	TRT1783
ES834766	TRT1783
ES833743	TRT1785
ES833744	TRT1785
ES833755	TRT1785
ES833762	TRT1785
ES833769	TRT1785
ES833774	TRT1785
ES833776	TRT1785
ES833804	TRT1785
ES833808	TRT1785
ES847979	TRT1754
ES847991	TRT1754
ES850729	TRT1834
ES850741	TRT1834
ES850743	TRT1834
ES850775	TRT1834
ES850782	TRT1834
ES850787	TRT1834
ES850800	TRT1834
ES850805	TRT1834
ES850810	TRT1834
ES850823	TRT1834
ES850833	TRT1834
ES850834	TRT1834
ES850847	TRT1834
ES850851	TRT1834
ES850852	TRT1834
ES850860	TRT1834
ES850866	TRT1834
ES850868	TRT1834
ES850871	TRT1834
ES850882	TRT1834
ES850891	TRT1834
ES850899	TRT1834
ES850904	TRT1834
ES850910	TRT1834
ES850926	TRT1834
ES850939	TRT1834
ES850953	TRT1834
ES850956	TRT1834
ES850963	TRT1834
ES850964	TRT1834
ES850965	TRT1834
ES850966	TRT1834
ES850975	TRT1834
ES850983	TRT1834
ES850987	TRT1834
ES850994	TRT1834
ES850995	TRT1834
ES851004	TRT1834
ES851006	TRT1834
ES851015	TRT1834
ES851024	TRT1834
ES851028	TRT1834
ES851035	TRT1834
ES851039	TRT1834
ES851052	TRT1834
ES851053	TRT1834
ES851068	TRT1834
ES851071	TRT1834
ES851077	TRT1834
ES851084	TRT1834
ES851091	TRT1834
ES851094	TRT1834
ES851095	TRT1834
ES851096	TRT1834
ES851097	TRT1834
ES851101	TRT1834
ES851120	TRT1834
ES851121	TRT1834
ES851124	TRT1834
ES851138	TRT1834
ES851142	TRT1834
ES851154	TRT1834
ES851158	TRT1834
ES851167	TRT1834
ES851170	TRT1834
ES851176	TRT1834
ES851180	TRT1834
ES851188	TRT1834
ES851200	TRT1834
ES851222	TRT1834
ES851226	TRT1834
ES851229	TRT1834
ES851236	TRT1834
ES851237	TRT1834
ES851239	TRT1834
ES851241	TRT1834
ES851293	TRT1834
ES851296	TRT1834
ES851300	TRT1834
ES851309	TRT1834
ES851311	TRT1834
ES851312	TRT1834
ES851316	TRT1834
ES851318	TRT1834
ES851320	TRT1834
ES851321	TRT1834
ES851322	TRT1834
ES851323	TRT1834
ES851325	TRT1834
ES851326	TRT1834
ES851331	TRT1834
ES833821	TRT1785
ES833826	TRT1785
ES833841	TRT1785
ES833843	TRT1785
ES833849	TRT1785
ES833864	TRT1785
ES833870	TRT1785
ES847998	TRT1755
ES848003	TRT1754
ES848004	TRT1755
ES848016	TRT1755
ES848034	TRT1755
ES848036	TRT495
ES848056	TRT1753
ES848057	TRT1754
ES848058	TRT1755
ES848060	TRT495
ES848061	TRT492
ES848062	TRT1753
ES848078	TRT495
ES848081	TRT1754
ES848084	TRT495
ES848089	TRT494
ES848097	TRT492
ES848119	TRT494
ES848120	TRT495
ES848122	TRT1753
ES848123	TRT1754
ES848162	TRT495
ES848169	TRT492
ES848171	TRT1754
ES848172	TRT1755
ES834783	TRT1783
ES834784	TRT1783
ES834786	TRT1783
ES834787	TRT1783
ES834793	TRT1783
ES834796	TRT1783
ES834807	TRT1783
ES834808	TRT1783
ES834809	TRT1783
ES834815	TRT1783
ES834816	TRT1783
ES834827	TRT1783
ES834834	TRT1783
ES834843	TRT1783
ES834845	TRT1783
ES834848	TRT1783
ES834853	TRT1783
ES834854	TRT1783
ES834875	TRT1783
ES834890	TRT1783
ES834905	TRT1783
ES834907	TRT1783
ES834915	TRT1783
ES834924	TRT1783
ES834936	TRT1783
ES834943	TRT1783
ES834944	TRT1783
ES834949	TRT1783
ES834989	TRT1783
ES834994	TRT1783
ES835003	TRT1783
ES835012	TRT1783
ES835016	TRT1783
ES835019	TRT1783
ES835032	TRT1783
ES835039	TRT1783
ES835045	TRT1783
ES835048	TRT1783
ES835054	TRT1783
ES835064	TRT1783
ES835076	TRT1783
ES835077	TRT1783
ES848177	TRT1754
ES848203	TRT494
ES848206	TRT1753
ES848229	TRT492
ES848236	TRT1753
ES848242	TRT1753
ES848246	TRT495
ES848247	TRT492
ES848266	TRT1753
ES848270	TRT495
ES848272	TRT1753
ES848276	TRT495
ES848287	TRT494
ES848294	TRT495
ES848326	TRT1753
ES848331	TRT492
ES848333	TRT1754
ES848345	TRT1754
ES848354	TRT495
ES848386	TRT1753
ES848390	TRT495
ES848391	TRT492
ES848397	TRT492
ES848407	TRT494
ES848408	TRT495
ES848418	TRT1755
ES848420	TRT495
ES848436	TRT1755
ES848440	TRT1753
ES848443	TRT494
ES848453	TRT1754
ES848455	TRT494
ES834599	TRT1783
ES834600	TRT1783
ES834619	TRT1783
ES834621	TRT1783
ES834622	TRT1783
ES834624	TRT1783
ES834642	TRT1783
ES834648	TRT1783
ES834654	TRT1783
ES834661	TRT1783
ES834663	TRT1783
ES834667	TRT1783
ES834699	TRT1783
ES834700	TRT1783
ES834703	TRT1783
ES834715	TRT1783
ES834717	TRT1783
ES834720	TRT1783
ES834723	TRT1783
ES834740	TRT1783
ES834748	TRT1783
ES834749	TRT1783
ES834755	TRT1783
ES834769	TRT1783
ES834777	TRT1783
ES833748	TRT1785
ES833757	TRT1785
ES833759	TRT1785
ES833760	TRT1785
ES833763	TRT1785
ES833764	TRT1785
ES833779	TRT1785
ES833783	TRT1785
ES833787	TRT1785
ES833792	TRT1785
ES833799	TRT1785
ES833802	TRT1785
ES833815	TRT1785
ES833816	TRT1785
ES847985	TRT1754
ES847986	TRT1755
ES847988	TRT495
ES847997	TRT1754
ES850723	TRT1834
ES850727	TRT1834
ES850742	TRT1834
ES850758	TRT1834
ES850760	TRT1834
ES850764	TRT1834
ES850784	TRT1834
ES850790	TRT1834
ES850793	TRT1834
ES850802	TRT1834
ES850804	TRT1834
ES850808	TRT1834
ES850815	TRT1834
ES850819	TRT1834
ES850830	TRT1834
ES850831	TRT1834
ES850844	TRT1834
ES850848	TRT1834
ES850850	TRT1834
ES850877	TRT1834
ES834576	TRT1783
ES850894	TRT1834
ES850898	TRT1834
ES850918	TRT1834
ES850924	TRT1834
ES850929	TRT1834
ES850932	TRT1834
ES850938	TRT1834
ES850944	TRT1834
ES850952	TRT1834
ES850967	TRT1834
ES850973	TRT1834
ES850978	TRT1834
ES850980	TRT1834
ES850981	TRT1834
ES850988	TRT1834
ES850989	TRT1834
ES850996	TRT1834
ES851005	TRT1834
ES851025	TRT1834
ES851026	TRT1834
ES851042	TRT1834
ES851044	TRT1834
ES851048	TRT1834
ES851055	TRT1834
ES851056	TRT1834
ES851063	TRT1834
ES851075	TRT1834
ES851076	TRT1834
ES851089	TRT1834
ES851099	TRT1834
ES851104	TRT1834
ES851108	TRT1834
ES851111	TRT1834
ES851112	TRT1834
ES851113	TRT1834
ES851117	TRT1834
ES851125	TRT1834
ES851127	TRT1834
ES851139	TRT1834
ES851143	TRT1834
ES851146	TRT1834
ES851152	TRT1834
ES851157	TRT1834
ES851162	TRT1834
ES851168	TRT1834
ES851181	TRT1834
ES851187	TRT1834
ES851197	TRT1834
ES851198	TRT1834
ES851204	TRT1834
ES851207	TRT1834
ES851214	TRT1834
ES851218	TRT1834
ES851235	TRT1834
ES851245	TRT1834
ES851253	TRT1834
ES851256	TRT1834
ES851277	TRT1834
ES851281	TRT1834
ES851282	TRT1834
ES851286	TRT1834
ES851291	TRT1834
ES851307	TRT1834
ES851329	TRT1834
ES833824	TRT1785
ES833838	TRT1785
ES833844	TRT1785
ES833874	TRT1785
ES833879	TRT1785
ES833882	TRT1785
ES833883	TRT1785
ES833886	TRT1785
ES833889	TRT1785
ES848005	TRT494
ES848010	TRT1755
ES848015	TRT1754
ES848022	TRT1755
ES848028	TRT1755
ES848032	TRT1753
ES848039	TRT1754
ES848040	TRT1755
ES848075	TRT1754
ES848077	TRT494
ES848091	TRT492
ES848106	TRT1755
ES848109	TRT492
ES848130	TRT1755
ES848131	TRT494
ES848135	TRT1754
ES848140	TRT1753
ES848146	TRT1753
ES848150	TRT495
ES848151	TRT492
ES848165	TRT1754
ES848167	TRT494
ES848173	TRT494
ES834782	TRT1783
ES834798	TRT1783
ES834819	TRT1783
ES834830	TRT1783
ES834844	TRT1783
ES834858	TRT1783
ES834860	TRT1783
ES834865	TRT1783
ES834867	TRT1783
ES834872	TRT1783
ES834874	TRT1783
ES834902	TRT1783
ES834934	TRT1783
ES834938	TRT1783
ES834940	TRT1783
ES834958	TRT1783
ES834967	TRT1783
ES834971	TRT1783
ES834977	TRT1783
ES834988	TRT1783
ES834993	TRT1783
ES835009	TRT1783
ES835024	TRT1783
ES835028	TRT1783
ES835030	TRT1783
ES835033	TRT1783
ES835037	TRT1783
ES835038	TRT1783
ES835044	TRT1783
ES835047	TRT1783
ES835050	TRT1783
ES835059	TRT1783
ES835061	TRT1783
ES835070	TRT1783
ES848180	TRT495
ES848184	TRT1755
ES848199	TRT492
ES848200	TRT1753
ES848218	TRT1753
ES848235	TRT492
ES848248	TRT1753
ES848249	TRT1754
ES848267	TRT1754
ES848269	TRT494
ES848277	TRT492
ES848283	TRT492
ES848317	TRT494
ES848330	TRT495
ES848334	TRT1755
ES848347	TRT494
ES848356	TRT1753
ES848357	TRT1754
ES848359	TRT494
ES848360	TRT495
ES848361	TRT492
ES848364	TRT1755
ES848382	TRT1755
ES848394	TRT1755
ES848412	TRT1755
ES848413	TRT494
ES848423	TRT1754
ES848427	TRT492
ES848437	TRT494
ES848439	TRT492
ES848452	TRT1753
ES834578	TRT1783
ES834581	TRT1783
ES834583	TRT1783
ES834601	TRT1783
ES834606	TRT1783
ES834612	TRT1783
ES834625	TRT1783
ES834626	TRT1783
ES834629	TRT1783
ES834631	TRT1783
ES834634	TRT1783
ES834638	TRT1783
ES834645	TRT1783
ES834658	TRT1783
ES834659	TRT1783
ES834662	TRT1783
ES834664	TRT1783
ES834671	TRT1783
ES834673	TRT1783
ES834675	TRT1783
ES834678	TRT1783
ES834679	TRT1783
ES834697	TRT1783
ES834701	TRT1783
ES834707	TRT1783
ES834708	TRT1783
ES834730	TRT1783
ES834732	TRT1783
ES834735	TRT1783
ES834736	TRT1783
ES834738	TRT1783
ES834746	TRT1783
ES834774	TRT1783
ES834778	TRT1783
ES833745	TRT1785
ES833752	TRT1785
ES833754	TRT1785
ES833758	TRT1785
ES833767	TRT1785
ES833770	TRT1785
ES833771	TRT1785
ES833782	TRT1785
ES833784	TRT1785
ES833790	TRT1785
ES833791	TRT1785
ES833796	TRT1785
ES847980	TRT1755
ES847981	TRT494
ES847989	TRT492
ES847995	TRT492
ES850728	TRT1834
ES850730	TRT1834
ES850739	TRT1834
ES850744	TRT1834
ES850749	TRT1834
ES850767	TRT1834
ES850772	TRT1834
ES850778	TRT1834
ES850779	TRT1834
ES850791	TRT1834
ES850821	TRT1834
ES850826	TRT1834
ES850827	TRT1834
ES850837	TRT1834
ES850839	TRT1834
ES850845	TRT1834
ES850853	TRT1834
ES850861	TRT1834
ES850874	TRT1834
ES850881	TRT1834
ES850883	TRT1834
ES850890	TRT1834
ES850893	TRT1834
ES850903	TRT1834
ES850906	TRT1834
ES850921	TRT1834
ES850940	TRT1834
ES850941	TRT1834
ES850950	TRT1834
ES850984	TRT1834
ES850993	TRT1834
ES851001	TRT1834
ES851008	TRT1834
ES851011	TRT1834
ES851013	TRT1834
ES851029	TRT1834
ES851037	TRT1834
ES851041	TRT1834
ES851050	TRT1834
ES851058	TRT1834
ES851078	TRT1834
ES851080	TRT1834
ES851086	TRT1834
ES851090	TRT1834
ES851102	TRT1834
ES851110	TRT1834
ES851123	TRT1834
ES851129	TRT1834
ES851130	TRT1834
ES851134	TRT1834
ES851137	TRT1834
ES851148	TRT1834
ES851161	TRT1834
ES851173	TRT1834
ES851179	TRT1834
ES851182	TRT1834
ES851191	TRT1834
ES851194	TRT1834
ES851203	TRT1834
ES851209	TRT1834
ES851212	TRT1834
ES851220	TRT1834
ES851221	TRT1834
ES851260	TRT1834
ES851270	TRT1834
ES851271	TRT1834
ES851272	TRT1834
ES851273	TRT1834
ES851310	TRT1834
ES851314	TRT1834
ES851317	TRT1834
ES833845	TRT1785
ES833855	TRT1785
ES833860	TRT1785
ES833862	TRT1785
ES833869	TRT1785
ES833875	TRT1785
ES833878	TRT1785
ES848026	TRT1753
ES848035	TRT494
ES848038	TRT1753
ES848041	TRT494
ES848079	TRT492
ES848087	TRT1754
