EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES860210	ESR10162
ES860210	ESR10155
ES860213	ESR10161
ES860213	ESR10160
ES860213	ESR10158
ES860214	ESR10159
ES860214	ESR10155
ES860215	ESR10162
ES860216	ESR10163
ES860216	ESR10161
ES860217	ESR10158
ES860390	ESR10155
ES860391	ESR10161
ES860394	ESR10163
ES860394	ESR10159
ES860395	ESR10159
ES860395	ESR10155
ES860396	ESR10160
ES860397	ESR10163
ES860397	ESR10162
ES860397	ESR10157
ES860397	ESR10155
ES860398	ESR10158
ES860399	ESR10161
ES860401	ESR10160
ES860401	ESR10158
ES860401	ESR10156
ES860402	ESR10155
ES860407	ESR10158
ES860407	ESR10155
ES860408	ESR10160
ES860409	ESR10160
ES860410	ESR10155
ES860411	ESR10159
ES860412	ESR10157
ES860412	ESR10155
ES860413	ESR10160
ES860414	ESR10160
ES860417	ESR10162
ES860419	ESR10162
ES860419	ESR10155
ES860420	ESR10162
ES860420	ESR10157
ES860422	ESR10158
ES860422	ESR10157
ES860423	ESR10157
ES860425	ESR10158
ES860427	ESR10161
ES860429	ESR10159
ES860430	ESR10161
ES860431	ESR10163
ES860431	ESR10158
ES860431	ESR10155
ES860432	ESR10156
ES860432	ESR10155
ES860433	ESR10162
ES860434	ESR10155
ES860435	ESR10158
ES860436	ESR10162
ES860436	ESR10156
ES860439	ESR10159
ES860440	ESR10160
ES860443	ESR10162
ES860443	ESR10155
ES860444	ESR10156
ES860445	ESR10163
ES860446	ESR10161
ES860446	ESR10157
ES860447	ESR10161
ES860447	ESR10158
ES860448	ESR10155
ES860449	ESR10159
ES860450	ESR10156
ES860453	ESR10162
ES860453	ESR10161
ES860453	ESR10159
ES860453	ESR10155
ES860454	ESR10160
ES860456	ESR10162
ES860457	ESR10161
ES860458	ESR10161
ES860458	ESR10156
ES860459	ESR10162
ES860459	ESR10160
ES860459	ESR10157
ES860461	ESR10157
ES860462	ESR10157
ES860464	ESR10162
ES860464	ESR10156
ES860465	ESR10162
ES860466	ESR10159
ES860468	ESR10162
ES860468	ESR10157
ES860469	ESR10163
ES860471	ESR10163
ES860471	ESR10156
ES860472	ESR10158
ES860472	ESR10155
ES860473	ESR10159
ES860474	ESR10156
ES860475	ESR10157
ES860477	ESR10163
ES860477	ESR10159
ES860479	ESR10162
ES860479	ESR10158
ES860480	ESR10162
ES860481	ESR10163
ES860481	ESR10162
ES860481	ESR10160
ES860483	ESR10162
ES860483	ESR10158
ES860483	ESR10156
ES860485	ESR10162
ES860485	ESR10158
ES860485	ESR10157
ES860485	ESR10156
ES860487	ESR10163
ES860487	ESR10156
ES860488	ESR10157
ES860489	ESR10159
ES860490	ESR10162
