EXPSAMPLE_ACCESSION	ASSAY_GROUP_ID	ASSAY_ID	DILUTION_FACTOR	PLATE_TYPE
ES815196		2292	3	
ES815199		2292	3	
ES815209		2292	3	
ES815219		2292	3	
ES815221		2292	3	
ES815227		2292	3	
ES815228		2292	3	
ES815237		2292	3	
ES815240		2292	3	
ES815250		2292	3	
ES815252		2292	3	
ES815261		2292	3	
ES815264		2293	3	
ES815282		2289	3	
ES815283		2287	3	
ES815285		2287	3	
ES815290		2287	3	
ES815295		2287	3	
ES815301		2287	3	
ES815302		2287	3	
ES815308		2287	3	
ES815320		2287	3	
ES815325		2287	3	
ES815340		2287	3	
ES815349		2290	3	
ES815369		2288	3	
ES815382		2288	3	
ES815392		2288	3	
ES815401		2288	3	
ES815413		2288	3	
ES815415		2288	3	
ES815416		2288	3	
ES815420		2288	3	
ES815428		2290	3	
ES815440		2288	3	
ES815446		2288	3	
ES815457		2289	3	
ES815461		2289	3	
ES815465		2289	3	
ES815467		2289	3	
ES815472		2289	3	
ES815479		2289	3	
ES815480		2289	3	
ES815512		2289	3	
ES815535		2290	3	
ES815545		2290	3	
ES815565		2290	3	
ES815571		2290	3	
ES815574		2290	3	
ES815576		2290	3	
ES815581		2291	3	
ES815582		2291	3	
ES815588		2291	3	
ES815594		2291	3	
ES815619		2291	3	
ES815623		2291	3	
ES815625		2291	3	
ES815626		2291	3	
ES815632		2291	3	
ES815639		2291	3	
ES815659		2291	3	
ES815179		2292	3	
ES815180		2292	3	
ES815212		2292	3	
ES815223		2292	3	
ES815226		2292	3	
ES815256		2292	3	
ES815275		2293	3	
ES815277		2293	3	
ES815288		2287	3	
ES815292		2287	3	
ES815293		2287	3	
ES815294		2287	3	
ES815299		2287	3	
ES815307		2287	3	
ES815309		2287	3	
ES815329		2287	3	
ES815335		2287	3	
ES815337		2287	3	
ES815344		2287	3	
ES815357		2288	3	
ES815359		2288	3	
ES815361		2288	3	
ES815374		2288	3	
ES815405		2288	3	
ES815419		2288	3	
ES815422		2288	3	
ES815426		2288	3	
ES815434		2288	3	
ES815436		2290	3	
ES815442		2288	3	
ES815445		2288	3	
ES815447		2288	3	
ES815466		2289	3	
ES815478		2289	3	
ES815481		2289	3	
ES815494		2289	3	
ES815495		2289	3	
ES815498		2289	3	
ES815503		2289	3	
ES815505		2289	3	
ES815507		2289	3	
ES815510		2289	3	
ES815517		2289	3	
ES815518		2289	3	
ES815522		2289	3	
ES815523		2289	3	
ES815551		2290	3	
ES815553		2290	3	
ES815564		2290	3	
ES815569		2290	3	
ES815580		2290	3	
ES815593		2291	3	
ES815595		2291	3	
ES815596		2291	3	
ES815599		2291	3	
ES815606		2291	3	
ES815612		2291	3	
ES815617		2291	3	
ES815618		2291	3	
ES815620		2291	3	
ES815629		2291	3	
ES815633		2291	3	
ES815634		2291	3	
ES815661		2291	3	
ES815189		2292	3	
ES815193		2292	3	
ES815194		2292	3	
ES815205		2292	3	
ES815206		2292	3	
ES815208		2292	3	
ES815213		2292	3	
ES815217		2292	3	
ES815224		2292	3	
ES815242		2292	3	
ES815243		2292	3	
ES815244		2292	3	
ES815251		2292	3	
ES815263		2293	3	
ES815286		2287	3	
ES815287		2287	3	
ES815300		2287	3	
ES815317		2287	3	
ES815338		2287	3	
ES815339		2287	3	
ES815368		2288	3	
ES815371		2288	3	
ES815376		2288	3	
ES815377		2288	3	
ES815381		2288	3	
ES815423		2288	3	
ES815424		2288	3	
ES815427		2290	3	
ES815431		2290	3	
ES815448		2288	3	
ES815453		2290	3	
ES815456		2289	3	
ES815458		2289	3	
ES815470		2289	3	
ES815475		2289	3	
ES815477		2289	3	
ES815499		2289	3	
ES815515		2289	3	
ES815530		2289	3	
ES815531		2289	3	
ES815532		2289	3	
ES815537		2290	3	
ES815566		2290	3	
ES815577		2290	3	
ES815603		2291	3	
ES815609		2291	3	
ES815614		2291	3	
ES815615		2291	3	
ES815627		2291	3	
ES815638		2291	3	
ES815641		2291	3	
ES815646		2291	3	
ES815647		2291	3	
ES815649		2291	3	
ES815181		2292	3	
ES815184		2292	3	
ES815204		2292	3	
ES815218		2292	3	
ES815222		2292	3	
ES815230		2292	3	
ES815239		2292	3	
ES815247		2292	3	
ES815259		2292	3	
ES815266		2293	3	
ES815270		2293	3	
ES815271		2293	3	
ES815273		2293	3	
ES815276		2293	3	
ES815314		2287	3	
ES815318		2287	3	
ES815330		2287	3	
ES815341		2287	3	
ES815343		2287	3	
