STANDARD_CURVE_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ASSAY_GROUP_ID	ASSAY_ID	EXPERIMENT_ACCESSION	FORMULA	LOWER_LIMIT	LOWER_LIMIT_UNIT	RESULT_SCHEMA	UPLOAD_RESULT_STATUS	UPPER_LIMIT	UPPER_LIMIT_UNIT	WORKSPACE_ID
SC1797		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1800		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1817		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1780		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1783		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1858		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC1871		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2190		part of the kit	H51-2	2291	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2197		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2199		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2203		part of the kit	H51-2	2292	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2209		part of the kit	H51-2	2293	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2220		part of the kit	H51-2	2287	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2230		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2236		part of the kit	H51-2	2288	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2244		part of the kit	H51-2	2289	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2249		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
SC2252		part of the kit	H51-2	2290	EXP13838	regression curve	1.23	pg/ml	MBAA	Parsed	5000	pg/ml	2883
