REAGENT_SET_ACCESSION	REAGENT_ACCESSION	WORKSPACE_ID
ESR17706	ESR17675	2634
ESR17706	ESR17676	2634
ESR17706	ESR17677	2634
ESR17706	ESR17679	2634
ESR17706	ESR17681	2634
ESR17706	ESR17682	2634
ESR17706	ESR17684	2634
ESR17706	ESR17685	2634
ESR17706	ESR17686	2634
ESR17706	ESR17687	2634
ESR17706	ESR17688	2634
ESR17706	ESR17691	2634
ESR17706	ESR17693	2634
ESR17706	ESR17696	2634
ESR17706	ESR17698	2634
ESR17706	ESR17699	2634
ESR17706	ESR17702	2634
ESR17707	ESR17673	2634
ESR17707	ESR17674	2634
ESR17707	ESR17675	2634
ESR17707	ESR17677	2634
ESR17707	ESR17678	2634
ESR17707	ESR17679	2634
ESR17707	ESR17680	2634
ESR17707	ESR17683	2634
ESR17707	ESR17685	2634
ESR17707	ESR17686	2634
ESR17707	ESR17688	2634
ESR17707	ESR17692	2634
ESR17707	ESR17695	2634
ESR17707	ESR17698	2634
ESR17707	ESR17699	2634
ESR17707	ESR17700	2634
ESR17707	ESR17701	2634
ESR17707	ESR17702	2634
ESR17707	ESR17704	2634
ESR17708	ESR17673	2634
ESR17708	ESR17674	2634
ESR17708	ESR17675	2634
ESR17708	ESR17677	2634
ESR17708	ESR17679	2634
ESR17708	ESR17680	2634
ESR17708	ESR17683	2634
ESR17708	ESR17685	2634
ESR17708	ESR17686	2634
ESR17708	ESR17688	2634
ESR17708	ESR17689	2634
ESR17708	ESR17690	2634
ESR17708	ESR17694	2634
ESR17708	ESR17695	2634
ESR17708	ESR17697	2634
ESR17708	ESR17698	2634
ESR17708	ESR17699	2634
ESR17708	ESR17702	2634
ESR17708	ESR17703	2634
ESR17708	ESR17705	2634
ESR18018	ESR18005	2634
ESR18018	ESR18006	2634
ESR18018	ESR18007	2634
ESR18018	ESR18008	2634
ESR18018	ESR18009	2634
ESR18018	ESR18010	2634
ESR18018	ESR18011	2634
ESR18018	ESR18012	2634
ESR18018	ESR18013	2634
ESR18018	ESR18015	2634
ESR18018	ESR18016	2634
ESR18018	ESR18017	2634
