EXPSAMPLE_ACCESSION	DESCRIPTION	EXPERIMENT_ACCESSION	NAME	RESULT_SCHEMA	UPLOAD_RESULT_STATUS	WORKSPACE_ID
ES1036611		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036615		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036618		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036623		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036627		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036629		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036635		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036641		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036651		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036652		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036681		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036693		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036699		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036704		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036708		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036713		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036721		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036736		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036740		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036742		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036765		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036775		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036777		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036787		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1036797		EXP14706		VIRUS NEUTRALIZATION	Parsed	2634
ES1035301		EXP14705		ELISA	Parsed	2634
ES1035316		EXP14705		ELISA	Parsed	2634
ES1035321		EXP14705		ELISA	Parsed	2634
ES1035323		EXP14705		ELISA	Parsed	2634
ES1035330		EXP14705		ELISA	Parsed	2634
ES1035339		EXP14705		ELISA	Parsed	2634
ES1035362		EXP14705		ELISA	Parsed	2634
ES1035367		EXP14705		ELISA	Parsed	2634
ES1035369		EXP14705		ELISA	Parsed	2634
ES1035383		EXP14705		ELISA	Parsed	2634
ES1035392		EXP14705		ELISA	Parsed	2634
ES1035399		EXP14705		ELISA	Parsed	2634
ES1035401		EXP14705		ELISA	Parsed	2634
ES1035410		EXP14705		ELISA	Parsed	2634
ES1035411		EXP14705		ELISA	Parsed	2634
ES1035414		EXP14705		ELISA	Parsed	2634
ES1035419		EXP14705		ELISA	Parsed	2634
ES1035426		EXP14705		ELISA	Parsed	2634
ES1035434		EXP14705		ELISA	Parsed	2634
ES1035438		EXP14705		ELISA	Parsed	2634
ES1035447		EXP14705		ELISA	Parsed	2634
ES1035453		EXP14705		ELISA	Parsed	2634
ES1035454		EXP14705		ELISA	Parsed	2634
ES1031262	Unstimulated	EXP14698		OTHER	Not_Parsed	2634
ES1031269	Unstimulated	EXP14698		OTHER	Not_Parsed	2634
ES1031271	Unstimulated	EXP14698		OTHER	Not_Parsed	2634
ES1035501		EXP14705		ELISA	Parsed	2634
ES1035502		EXP14705		ELISA	Parsed	2634
ES1035517		EXP14705		ELISA	Parsed	2634
ES1035518		EXP14705		ELISA	Parsed	2634
ES1035535		EXP14705		ELISA	Parsed	2634
ES1035548		EXP14705		ELISA	Parsed	2634
ES1035550		EXP14705		ELISA	Parsed	2634
ES1035554		EXP14705		ELISA	Parsed	2634
ES1035569		EXP14705		ELISA	Parsed	2634
ES1035587		EXP14705		ELISA	Parsed	2634
