EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES1036621	ESR16178
ES1036622	ESR16178
ES1036623	ESR16178
ES1036626	ESR16178
ES1036636	ESR16178
ES1036648	ESR16178
ES1036657	ESR16178
ES1036663	ESR16178
ES1036673	ESR16178
ES1036674	ESR16178
ES1036683	ESR16178
ES1036690	ESR16178
ES1036733	ESR16178
ES1036735	ESR16178
ES1036742	ESR16178
ES1036751	ESR16178
ES1036763	ESR16178
ES1036783	ESR16178
ES1036784	ESR16178
ES1036789	ESR16178
ES1036790	ESR16178
ES1036792	ESR16178
ES1036799	ESR16178
ES1036800	ESR16178
ES1036802	ESR16178
ES1035296	ESR11300
ES1035297	ESR11302
ES1035298	ESR11300
ES1035300	ESR11300
ES1035302	ESR11303
ES1035305	ESR11304
ES1035306	ESR11299
ES1035307	ESR11303
ES1035308	ESR11304
ES1035308	ESR11303
ES1035308	ESR11302
ES1035309	ESR11302
ES1035313	ESR11301
ES1035313	ESR11300
ES1035320	ESR11302
ES1035321	ESR11303
ES1035323	ESR11299
ES1035324	ESR11301
ES1035326	ESR11300
ES1035327	ESR11304
ES1035327	ESR11300
ES1035328	ESR11302
ES1035330	ESR11303
ES1035331	ESR11302
ES1035331	ESR11299
ES1035335	ESR11302
ES1035337	ESR11304
ES1035338	ESR11304
ES1035338	ESR11300
ES1035339	ESR11302
ES1035344	ESR11302
ES1035348	ESR11299
ES1035349	ESR11302
ES1035354	ESR11303
ES1035354	ESR11300
ES1035357	ESR11303
ES1035359	ESR11303
ES1035361	ESR11301
ES1035363	ESR11302
ES1035364	ESR11301
ES1035366	ESR11304
ES1035366	ESR11302
ES1035367	ESR11304
ES1035369	ESR11304
ES1035370	ESR11300
ES1035371	ESR11304
ES1035375	ESR11302
ES1035375	ESR11300
ES1035379	ESR11302
ES1035379	ESR11299
ES1035380	ESR11303
ES1035381	ESR11303
ES1035381	ESR11299
ES1035386	ESR11299
ES1035387	ESR11304
ES1035391	ESR11302
ES1035391	ESR11299
ES1035396	ESR11302
ES1035398	ESR11304
ES1035399	ESR11300
ES1035400	ESR11300
ES1035400	ESR11299
ES1035401	ESR11304
ES1035401	ESR11301
ES1035402	ESR11301
ES1035406	ESR11299
ES1035409	ESR11299
ES1035413	ESR11304
ES1035415	ESR11303
ES1035417	ESR11301
ES1035417	ESR11300
ES1035417	ESR11299
ES1035418	ESR11301
ES1035419	ESR11304
ES1035419	ESR11302
ES1035420	ESR11304
ES1035420	ESR11300
ES1035422	ESR11301
ES1035423	ESR11300
ES1035424	ESR11302
ES1035429	ESR11299
ES1035431	ESR11303
ES1035431	ESR11300
ES1035431	ESR11299
ES1035432	ESR11304
ES1035432	ESR11299
ES1035433	ESR11304
ES1035434	ESR11300
ES1035436	ESR11304
