FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
232863	16		AF 700-A	MKI67	Ki67
232863	11		610/20 Violet-A	PTPRC	CD45RA
232863	21		PE-Cy5-A		SirT2
232863	4		SSC-A		SSC-A
232865	10		585/42 Violet-A	CD3E	CD3
232865	4		SSC-A		SSC-A
232870	7		Pacific Blue-A	PDCD1	PD1
232870	17		APC-Cy7-A		CD14-16-19dead
232870	2		FSC-H		FSC-H
232949	14		780/60 Violet-A	CD38	CD38
232957	17		APC-Cy7-A		CD14-16-19dead
232957	20		PE-TxRed-A		Foxp3
232957	11		610/20 Violet-A	PTPRC	CD45RA
232958	7		Pacific Blue-A	PDCD1	PD1
232958	22		PE-Cy5-5-A	CD4	CD4
232958	2		FSC-H		FSC-H
232958	14		780/60 Violet-A	CTLA4	CTLA4
232958	11		610/20 Violet-A	PTPRC	CD45RA
232958	8		AmCyan-A	CXCR5	CXCR5
232990	7		Pacific Blue-A	PDCD1	PD1
232990	17		APC-Cy7-A		CD14-16-19dead
232990	2		FSC-H		FSC-H
232990	8		AmCyan-A	CXCR5	CXCR5
232991	22		PE-Cy5-5-A		Foxo1
232992	18		FITC-A		Foxp1
232992	6		SSC-W		SSC-W
232992	11		610/20 Violet-A	PTPRC	CD45RA
232992	21		PE-Cy5-A		STK39
232992	4		SSC-A		SSC-A
232992	19		PE-A		Itch
232992	8		AmCyan-A	CXCR5	CXCR5
234694	14		Qdot 800-A	CD27	CD27
234694	4		SSC-A		SSC-A
234694	8		PerCP-Cy5-5-A	CD38	CD38
234699	3		FSC-W		FSC-W
234738	15		Alexa Fluor 700-A		IgG
234738	9		Pacific Blue-A		CD3/CD14
234745	12		Qdot 605-A	PDCD1	PD-1
234745	9		Pacific Blue-A		CD3/CD14
234745	8		PerCP-Cy5-5-A	CD38	CD38
234777	6		SSC-W		SSC-W
234777	4		SSC-A		SSC-A
234790	8		PerCP-Cy5-5-A	CD38	CD38
233068	13		710/50 Violet-A	CD27	CD27
233068	14		780/60 Violet-A	CD38	CD38
234700	8		PerCP-Cy5-5-A	CD38	CD38
234700	5		SSC-H		SSC-H
234700	12		Qdot 605-A	PDCD1	PD-1
234700	2		FSC-H		FSC-H
234700	4		SSC-A		SSC-A
234697	7		FITC-A	FOXP3	FoxP3
234697	5		SSC-H		SSC-H
234697	16		PE-Gr-A		ICOS ligand
234697	13		Qdot 655-A	CD19	CD19
234697	2		FSC-H		FSC-H
234702	8		PerCP-Cy5-5-A	CD38	CD38
234702	7		FITC-A	FOXP3	FoxP3
234702	3		FSC-W		FSC-W
234702	13		Qdot 655-A	CD19	CD19
234702	18		APC-Cy7-A	IGHM	IgM
234712	16		PE-Gr-A		ICOS ligand
234712	12		Qdot 605-A	PDCD1	PD-1
234712	15		Alexa Fluor 700-A		IgG
234712	4		SSC-A		SSC-A
234737	13		Qdot 655-A	CD19	CD19
234737	17		PE-Cy7-A	IGHD	IgD
234737	2		FSC-H		FSC-H
234737	15		Alexa Fluor 700-A		IgG
234765	18		APC-Cy7-A	IGHM	IgM
234765	11		Qdot 565-A	CD20	CD20
234773	14		Qdot 800-A	CD27	CD27
234773	9		Pacific Blue-A		CD3/CD14
