EXPSAMPLE_ACCESSION	REPOSITORY_ACCESSION	REPOSITORY_NAME
ES718203	GSM745088	GEO
ES718218	GSM745001	GEO
ES718219	GSM744953	GEO
ES718221	GSM744943	GEO
ES718229	GSM744958	GEO
ES718230	GSM744959	GEO
ES718237	GSM745000	GEO
ES718241	GSM745003	GEO
ES718247	GSM745037	GEO
ES718253	GSM744983	GEO
ES823420	Not available yet	GEO
ES717782	GSM744902	GEO
ES717785	GSM744897	GEO
ES717791	GSM744857	GEO
ES717797	GSM744878	GEO
ES717808	GSM744837	GEO
ES717830	GSM744843	GEO
ES717832	GSM744876	GEO
ES717842	GSM744941	GEO
ES717844	GSM744870	GEO
ES717850	GSM744859	GEO
ES717856	GSM744892	GEO
ES717983	GSM745316	GEO
ES717993	GSM745252	GEO
ES717999	GSM745312	GEO
ES718001	GSM745380	GEO
ES718005	GSM745381	GEO
ES718017	GSM745390	GEO
ES718027	GSM745263	GEO
ES718101	GSM745162	GEO
ES718102	GSM745116	GEO
ES718120	GSM745083	GEO
ES718130	GSM745183	GEO
ES718136	GSM745159	GEO
ES718139	GSM745090	GEO
ES718141	GSM745068	GEO
ES718164	GSM745168	GEO
ES718177	GSM745172	GEO
ES718179	GSM745170	GEO
ES718193	GSM745100	GEO
ES718272	GSM745012	GEO
ES718284	GSM745024	GEO
ES718287	GSM745036	GEO
ES718295	GSM745033	GEO
ES718308	GSM745005	GEO
ES718316	GSM745047	GEO
ES717877	GSM744873	GEO
ES717901	GSM745347	GEO
ES717912	GSM745232	GEO
ES717943	GSM745285	GEO
ES717945	GSM745218	GEO
ES717948	GSM745366	GEO
ES717968	GSM745224	GEO
ES718073	GSM745059	GEO
ES718079	GSM745178	GEO
ES718081	GSM745105	GEO
ES718200	GSM745134	GEO
ES718202	GSM745066	GEO
ES718208	GSM745095	GEO
ES718214	GSM744999	GEO
ES718226	GSM744986	GEO
ES718243	GSM744993	GEO
ES718248	GSM745045	GEO
ES718261	GSM745030	GEO
ES823416	Not available yet	GEO
ES823430	Not available yet	GEO
ES717781	GSM744888	GEO
ES717790	GSM744851	GEO
ES717801	GSM744877	GEO
ES717804	GSM744937	GEO
ES717813	GSM744927	GEO
ES717814	GSM744940	GEO
ES717815	GSM744903	GEO
ES717827	GSM744882	GEO
ES717840	GSM744919	GEO
ES717847	GSM744900	GEO
ES717851	GSM744858	GEO
ES717859	GSM744938	GEO
ES717866	GSM744921	GEO
ES717973	GSM745368	GEO
ES717975	GSM745375	GEO
ES717980	GSM745318	GEO
ES717997	GSM745387	GEO
ES718003	GSM745373	GEO
ES718006	GSM745251	GEO
ES718010	GSM745273	GEO
ES718020	GSM745398	GEO
ES718024	GSM745268	GEO
ES718096	GSM745177	GEO
ES718117	GSM745073	GEO
ES718143	GSM745135	GEO
ES718146	GSM745163	GEO
ES718147	GSM745058	GEO
ES718154	GSM745061	GEO
ES718160	GSM745156	GEO
ES718183	GSM745144	GEO
ES718270	GSM744989	GEO
ES718285	GSM744994	GEO
ES718289	GSM744979	GEO
ES718297	GSM745004	GEO
ES718299	GSM744985	GEO
ES718301	GSM745034	GEO
ES718310	GSM744965	GEO
ES718313	GSM744996	GEO
ES717871	GSM744885	GEO
ES717889	GSM745348	GEO
ES717891	GSM745284	GEO
ES717892	GSM745360	GEO
ES717894	GSM745244	GEO
ES717895	GSM745214	GEO
ES717914	GSM745363	GEO
ES717918	GSM745297	GEO
ES717928	GSM745281	GEO
ES717936	GSM745298	GEO
ES717938	GSM745294	GEO
ES717949	GSM745300	GEO
ES717957	GSM745307	GEO
ES718038	GSM745266	GEO
