FCS_HEADER_ID	COMPENSATION_FLAG	EXPSAMPLE_ACCESSION	FCS_FILE_NAME	FCS_HEADER_TEXT	FCS_VERSION	FILE_INFO_ID	MAXIMUM_INTENSITY	MINIMUM_INTENSITY	NUMBER_OF_EVENTS	NUMBER_OF_MARKERS	PANEL_PREFERRED	PANEL_REPORTED
94524	N	ES753759	3172_BAYVAC010TP15_6.fcs		1	404354	15805	0	304378	16		FSC-A|FSC-H|SSC-A|SSC-H|CD3-19-20-56|Pacific Orange-A|Slan|CD16|CD11b|PE-Texas Red-A|PE-Cy5-A|CD2|CD86|HLA-DR|CD14|Time
112357	N	ES753760	3173_BAYVAC010TP15_7.fcs		1	404393	14161	0	332015	16		FSC-A|FSC-H|SSC-A|SSC-H|FITC-A|CD45|CD25|CD8|CD127|PE-Texas Red-A|PE-Cy5-A|PE-Cy7-A|CD4|CD3|PerCP-Cy5-5-A|Time
103702	N	ES753761	3295_BAYVAC010TP12_2.fcs		1	404395	32523	0	352537	16		FSC-A|FSC-H|SSC-A|SSC-H|IgD|CD45|CD138|CD27|CD24|CD19|CD20|CD38|Pacific Blue-A|Alexa Fluor 700-A|PerCP-Cy5-5-A|Time
145314	N	ES753762	3296_BAYVAC010TP12_3.fcs		1	404397	14214	0	229383	16		FSC-A|FSC-H|SSC-A|SSC-H|CD15|CD45|CD16|HLA-DR|CD40|CD62L|CD86|CD11b|CD14|Alexa Fluor 700-A|PerCP-Cy5-5-A|Time
142455	N	ES753763	3297_BAYVAC010TP12_4.fcs		1	404399	14095	0	257821	16		FSC-A|FSC-H|SSC-A|SSC-H|CXCR5|CD45|ICOS|CD8|CCR6|CD45RA|CXCR3|CCR7|CD4|CD3|PerCP-Cy5-5-A|Time
125166	N	ES753764	3298_BAYVAC010TP12_5.fcs		1	404401	14809	0	276474	16		FSC-A|FSC-H|SSC-A|SSC-H|Lin-2|Pacific Orange-A|BDCA-3|CD16|BDCA-2|PE-Texas Red-A|CD123|CD2|CD86|HLA-DR|CD1c|Time
76778	N	ES753765	3299_BAYVAC010TP12_6.fcs		1	404403	15418	0	275068	16		FSC-A|FSC-H|SSC-A|SSC-H|CD3-19-20-56|Pacific Orange-A|Slan|CD16|CD11b|PE-Texas Red-A|PE-Cy5-A|CD2|CD86|HLA-DR|CD14|Time
143807	N	ES753766	3300_BAYVAC010TP12_7.fcs		1	404405	19858	0	288446	16		FSC-A|FSC-H|SSC-A|SSC-H|FITC-A|CD45|CD25|CD8|CD127|PE-Texas Red-A|PE-Cy5-A|PE-Cy7-A|CD4|CD3|PerCP-Cy5-5-A|Time
118559	N	ES753767	3421_BAYVAC010TP13_2.fcs		1	404407	14631	0	305910	16		FSC-A|FSC-H|SSC-A|SSC-H|IgD|CD45|CD138|CD27|CD24|CD19|CD20|CD38|Pacific Blue-A|Alexa Fluor 700-A|PerCP-Cy5-5-A|Time
120654	N	ES753768	3422_BAYVAC010TP13_3.fcs		1	404409	34259	0	131804	16		FSC-A|FSC-H|SSC-A|SSC-H|CD15|CD45|CD16|HLA-DR|CD40|CD62L|CD86|CD11b|CD14|Alexa Fluor 700-A|PerCP-Cy5-5-A|Time
114020	N	ES753769	3423_BAYVAC010TP13_4.fcs		1	404411	17175	0	167413	16		FSC-A|FSC-H|SSC-A|SSC-H|CXCR5|CD45|ICOS|CD8|CCR6|CD45RA|CXCR3|CCR7|CD4|CD3|PerCP-Cy5-5-A|Time
100697	N	ES753770	3424_BAYVAC010TP13_5.fcs		1	404413	8506	0	284024	16		FSC-A|FSC-H|SSC-A|SSC-H|Lin-2|Pacific Orange-A|BDCA-3|CD16|BDCA-2|PE-Texas Red-A|CD123|CD2|CD86|HLA-DR|CD1c|Time
123852	N	ES753771	3425_BAYVAC010TP13_6.fcs		1	404415	8293	0	288319	16		FSC-A|FSC-H|SSC-A|SSC-H|CD3-19-20-56|Pacific Orange-A|Slan|CD16|CD11b|PE-Texas Red-A|PE-Cy5-A|CD2|CD86|HLA-DR|CD14|Time
128603	N	ES753772	3426_BAYVAC010TP13_7.fcs		1	404417	7741	0	277076	16		FSC-A|FSC-H|SSC-A|SSC-H|FITC-A|CD45|CD25|CD8|CD127|PE-Texas Red-A|PE-Cy5-A|PE-Cy7-A|CD4|CD3|PerCP-Cy5-5-A|Time
109096	N	ES753773	3584_Specimen_001_B1_B01.fcs		1	404419	13282	0	625016	16		FSC-A|FSC-H|SSC-A|SSC-H|IgD|CD45|CD138|CD27|CD24|CD19|CD20|CD38|Pacific Blue-A|Alexa Fluor 700-A|PerCP-Cy5-5-A|Time
133040	N	ES753774	3585_Specimen_001_C1_C01.fcs		1	404421	13308	0	574880	16		FSC-A|FSC-H|SSC-A|SSC-H|CD15|CD45|CD16|HLA-DR|CD40|CD62L|CD86|CD11b|CD14|Alexa Fluor 700-A|PerCP-Cy5-5-A|Time
89636	N	ES753775	3586_Specimen_001_D1_D01.fcs		1	404423	13292	0	611964	16		FSC-A|FSC-H|SSC-A|SSC-H|CXC35|CD45|ICOS|CD8|CCR6|CD45RA|CXCR3|CCR7|CD4|CD3|PerCP-Cy5-5-A|Time
149397	N	ES753776	3587_Specimen_001_E1_E01.fcs		1	404425	13301	0	572268	16		FSC-A|FSC-H|SSC-A|SSC-H|Lin-2|CD45|BDCA-3|CD16|BDCA-2|PE-Texas Red-A|CD123|CD2|CD86|HLA-DR|CD1c|Time
131604	N	ES753777	3588_Specimen_001_F1_F01.fcs		1	404427	8710	0	399047	16		FSC-A|FSC-H|SSC-A|SSC-H|CD3-19-20-15|CD45|Slan|CD16|CD11b|PE-Texas Red-A|PE-Cy5-A|CD2|CD86|HLA-DR|CD14|Time
78811	N	ES753778	3589_Specimen_001_G1_G01.fcs		1	404429	13298	0	596358	16		FSC-A|FSC-H|SSC-A|SSC-H|CD16|CD45|CD25|CD8|CD127|PE-Texas Red-A|PE-Cy5-A|CD56|CD4|CD3|PerCP-Cy5-5-A|Time
108662	N	ES753779	2797_BAYVAC011TP7_2.fcs		1	404431	4096	0	244185	16		FSC-A|FSC-H|SSC-A|SSC-H|IgD|CD45|CD138|CD27|CD24|CD19|CD20|CD38|Pacific Blue-A|Alexa Fluor 700-A|PerCP-Cy5-5-A|Time
151021	N	ES753780	2798_BAYVAC011TP7_3.fcs		1	404433	4096	0	229071	16		FSC-A|FSC-H|SSC-A|SSC-H|CD15|CD45|CD16|HLA-DR|CD40|CD62L|CD86|CD11b|CD14|Alexa Fluor 700-A|PerCP-Cy5-5-A|Time
127239	N	ES753781	2799_BAYVAC011TP7_4.fcs		1	404435	4096	0	251645	16		FSC-A|FSC-H|SSC-A|SSC-H|CXCR5|CD45|ICOS|CD8|CCR6|CD45RA|CXCR3|CCR7|CD4|CD3|PerCP-Cy5-5-A|Time
104526	N	ES753782	2800_BAYVAC011TP7_5.fcs		1	404437	4233	0	247697	16		FSC-A|FSC-H|SSC-A|SSC-H|Lin-2|CD45|BDCA-3|CD16|BDCA-2|PE-Texas Red-A|CD123|CD2|CD86|HLA-DR|CD1c|Time
76028	N	ES753783	2801_BAYVAC011TP7_6.fcs		1	404439	4538	0	259445	16		FSC-A|FSC-H|SSC-A|SSC-H|CD3-19-20-56|CD45|Slan|CD16|CD11b|PE-Texas Red-A|PE-Cy5-A|CD2|CD86|HLA-DR|CD14|Time
139183	N	ES753784	2802_BAYVAC011TP7_7.fcs		1	404441	4452	0	252718	16		FSC-A|FSC-H|SSC-A|SSC-H|CD16|CD45|CD25|CD8|CD127|PE-Texas Red-A|PE-Cy5-A|CD56|CD4|CD3|PerCP-Cy5-5-A|Time
86480	N	ES753785	2664_BAYVAC011TP2_2.fcs		1	404443	24977	0	207939	16		FSC-A|FSC-H|SSC-A|SSC-H|IgD|CD45|CD138|CD27|CD24|CD19|CD20|CD38|Pacific Blue-A|Alexa Fluor 700-A|PerCP-Cy5-5-A|Time
115368	N	ES753786	2665_BAYVAC011TP2_3.fcs		1	404445	14271	0	183666	16		FSC-A|FSC-H|SSC-A|SSC-H|CD15|CD45|CD16|HLA-DR|CD40|CD62L|CD86|CD11b|CD14|Alexa Fluor 700-A|PerCP-Cy5-5-A|Time
79660	N	ES753787	2666_BAYVAC011TP2_4.fcs		1	404447	9015	0	230945	16		FSC-A|FSC-H|SSC-A|SSC-H|CXCR5|CD45|ICOS|CD8|CCR6|CD45RA|CXCR3|CCR7|CD4|CD3|PerCP-Cy5-5-A|Time
83468	N	ES753788	2667_BAYVAC011TP2_5.fcs		1	404449	10992	0	203893	16		FSC-A|FSC-H|SSC-A|SSC-H|Lin-2|CD45|BDCA-3|CD16|BDCA-2|PE-Texas Red-A|CD123|CD2|CD86|HLA-DR|CD1c|Time
128402	N	ES753789	2668_BAYVAC011TP2_6.fcs		1	404451	7812	0	259012	16		FSC-A|FSC-H|SSC-A|SSC-H|CD3-19-20-56|CD45|Slan|CD16|CD11b|PE-Texas Red-A|PE-Cy5-A|CD2|CD86|HLA-DR|CD14|Time
105940	N	ES753790	2669_BAYVAC011TP2_7.fcs		1	404453	8138	0	275828	16		FSC-A|FSC-H|SSC-A|SSC-H|CD16|CD45|CD25|CD8|CD127|PE-Texas Red-A|PE-Cy5-A|CD56|CD4|CD3|PerCP-Cy5-5-A|Time
114616	N	ES753791	3049_BAYVAC011TP14_2.fcs		1	404455	6668	0	324963	16		FSC-A|FSC-H|SSC-A|SSC-H|IgD|CD45|CD138|CD27|CD24|CD19|CD20|CD38|Pacific Blue-A|Alexa Fluor 700-A|PerCP-Cy5-5-A|Time
89725	N	ES753792	3050_BAYVAC011TP14_3.fcs		1	404457	5692	0	260743	16		FSC-A|FSC-H|SSC-A|SSC-H|CD15|CD45|CD16|HLA-DR|CD40|CD62L|CD86|CD11b|CD14|Alexa Fluor 700-A|PerCP-Cy5-5-A|Time
150275	N	ES753793	3051_BAYVAC011TP14_4.fcs		1	404459	6746	0	302851	16		FSC-A|FSC-H|SSC-A|SSC-H|CXCR5|CD45|ICOS|CD8|CCR6|CD45RA|CXCR3|CCR7|CD4|CD3|PerCP-Cy5-5-A|Time
77131	N	ES753794	3052_BAYVAC011TP14_5.fcs		1	404461	7678	0	346218	16		FSC-A|FSC-H|SSC-A|SSC-H|Lin-2|CD45|BDCA-3|CD16|BDCA-2|PE-Texas Red-A|CD123|CD2|CD86|HLA-DR|CD1c|Time
132678	N	ES753795	3053_BAYVAC011TP14_6.fcs		1	404463	7342	0	363224	16		FSC-A|FSC-H|SSC-A|SSC-H|CD3-19-20-56|CD45|Slan|CD16|CD11b|PE-Texas Red-A|PE-Cy5-A|CD2|CD86|HLA-DR|CD14|Time
112625	N	ES753796	3054_BAYVAC011TP14_7.fcs		1	404465	6713	0	350659	16		FSC-A|FSC-H|SSC-A|SSC-H|CD16|CD45|CD25|CD8|CD127|PE-Texas Red-A|PE-Cy5-A|CD56|CD4|CD3|PerCP-Cy5-5-A|Time
125908	N	ES753797	2923_BAYVAC011TP9_2.fcs		1	404467	7280	0	286076	16		FSC-A|FSC-H|SSC-A|SSC-H|IgD|CD45|CD138|CD27|CD24|CD19|CD20|CD38|Pacific Blue-A|Alexa Fluor 700-A|PerCP-Cy5-5-A|Time
131997	N	ES753798	2924_BAYVAC011TP9_3.fcs		1	404469	5987	0	292440	16		FSC-A|FSC-H|SSC-A|SSC-H|CD15|CD45|CD16|HLA-DR|CD40|CD62L|CD86|CD11b|CD14|Alexa Fluor 700-A|PerCP-Cy5-5-A|Time
147532	N	ES753799	2925_BAYVAC011TP9_4.fcs		1	404471	4096	0	307773	16		FSC-A|FSC-H|SSC-A|SSC-H|CXCR5|CD45|ICOS|CD8|CCR6|CD45RA|CXCR3|CCR7|CD4|CD3|PerCP-Cy5-5-A|Time
125293	N	ES753800	2926_BAYVAC011TP9_5.fcs		1	404473	4096	0	297072	16		FSC-A|FSC-H|SSC-A|SSC-H|Lin-2|CD45|BDCA-3|CD16|BDCA-2|PE-Texas Red-A|CD123|CD2|CD86|HLA-DR|CD1c|Time
147175	N	ES753801	2927_BAYVAC011TP9_6.fcs		1	404475	4096	0	328305	16		FSC-A|FSC-H|SSC-A|SSC-H|CD3-19-20-56|CD45|Slan|CD16|CD11b|PE-Texas Red-A|PE-Cy5-A|CD2|CD86|HLA-DR|CD14|Time
136343	N	ES753802	2928_BAYVAC011TP9_7.fcs		1	404477	4096	0	307565	16		FSC-A|FSC-H|SSC-A|SSC-H|CD16|CD45|CD25|CD8|CD127|PE-Texas Red-A|PE-Cy5-A|CD56|CD4|CD3|PerCP-Cy5-5-A|Time
114863	N	ES753803	3175_BAYVAC011TP15_2.fcs		1	404479	6996	0	285209	16		FSC-A|FSC-H|SSC-A|SSC-H|IgD|CD45|CD138|CD27|CD24|CD19|CD20|CD38|Pacific Blue-A|Alexa Fluor 700-A|PerCP-Cy5-5-A|Time
89862	N	ES753804	3176_BAYVAC011TP15_3.fcs		1	404481	6781	0	249879	16		FSC-A|FSC-H|SSC-A|SSC-H|CD15|CD45|CD16|HLA-DR|CD40|CD62L|CD86|CD11b|CD14|Alexa Fluor 700-A|PerCP-Cy5-5-A|Time
80362	N	ES753805	3177_BAYVAC011TP15_4.fcs		1	404483	7116	0	285585	16		FSC-A|FSC-H|SSC-A|SSC-H|CXCR5|CD45|ICOS|CD8|CCR6|CD45RA|CXCR3|CCR7|CD4|CD3|PerCP-Cy5-5-A|Time
138610	N	ES753806	3178_BAYVAC011TP15_5.fcs		1	404485	6926	0	287986	16		FSC-A|FSC-H|SSC-A|SSC-H|Lin-2|CD45|BDCA-3|CD16|BDCA-2|PE-Texas Red-A|CD123|CD2|CD86|HLA-DR|CD1c|Time
144717	N	ES753807	3179_BAYVAC011TP15_6.fcs		1	404487	7998	0	302287	16		FSC-A|FSC-H|SSC-A|SSC-H|CD3-19-20-56|CD45|Slan|CD16|CD11b|PE-Texas Red-A|PE-Cy5-A|CD2|CD86|HLA-DR|CD14|Time
127421	N	ES753808	3180_BAYVAC011TP15_7.fcs		1	404489	7882	0	313467	16		FSC-A|FSC-H|SSC-A|SSC-H|CD16|CD45|CD25|CD8|CD127|PE-Texas Red-A|PE-Cy5-A|CD56|CD4|CD3|PerCP-Cy5-5-A|Time
