BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION
BS752705	ES834867	EXP13921
BS752705	ES834864	EXP13921
BS752706	ES834877	EXP13921
BS752706	ES834875	EXP13921
BS752706	ES848164	EXP13922
BS752707	ES834883	EXP13921
BS752707	ES834881	EXP13921
BS752707	ES848170	EXP13922
BS752708	ES848174	EXP13922
BS752709	ES834897	EXP13921
BS752709	ES834892	EXP13921
BS769825	ES850734	EXP13950
BS769826	ES850739	EXP13950
BS769831	ES850780	EXP13950
BS769832	ES850786	EXP13950
BS769834	ES850799	EXP13950
BS769834	ES850801	EXP13950
BS769842	ES850838	EXP13950
BS769848	ES850874	EXP13950
BS769850	ES850886	EXP13950
BS769850	ES850885	EXP13950
BS769852	ES851203	EXP13950
BS769852	ES851202	EXP13950
BS769853	ES851209	EXP13950
BS769857	ES850928	EXP13950
BS769868	ES850997	EXP13950
BS769868	ES850996	EXP13950
BS769870	ES851009	EXP13950
BS769873	ES851026	EXP13950
BS769874	ES851277	EXP13950
BS769876	ES851049	EXP13950
BS769876	ES851048	EXP13950
BS769879	ES851066	EXP13950
BS769881	ES851082	EXP13950
BS769884	ES851101	EXP13950
BS769885	ES851311	EXP13950
BS769891	ES851143	EXP13950
BS752710	ES834901	EXP13921
BS752710	ES834900	EXP13921
BS752711	ES834909	EXP13921
BS752711	ES848198	EXP13922
BS752711	ES848197	EXP13922
BS752712	ES834915	EXP13921
BS752712	ES848201	EXP13922
BS752713	ES834920	EXP13921
BS752713	ES848209	EXP13922
BS752714	ES834932	EXP13921
BS752714	ES834930	EXP13921
BS752714	ES834928	EXP13921
BS752714	ES848214	EXP13922
BS752715	ES848223	EXP13922
BS752715	ES848220	EXP13922
BS752716	ES848225	EXP13922
BS752717	ES848233	EXP13922
BS752718	ES834957	EXP13921
BS752718	ES848242	EXP13922
BS752718	ES848237	EXP13922
BS752719	ES834967	EXP13921
BS752719	ES848247	EXP13922
BS752720	ES834972	EXP13921
BS752720	ES848254	EXP13922
BS752722	ES848261	EXP13922
BS752723	ES834995	EXP13921
BS752723	ES834992	EXP13921
BS752724	ES835003	EXP13921
BS752724	ES848275	EXP13922
BS752725	ES835004	EXP13921
BS752726	ES835011	EXP13921
BS752726	ES848289	EXP13922
BS752727	ES835024	EXP13921
BS752727	ES835022	EXP13921
BS752727	ES848292	EXP13922
BS752728	ES835031	EXP13921
BS752728	ES835029	EXP13921
BS752728	ES835026	EXP13921
BS752729	ES835033	EXP13921
BS752729	ES848308	EXP13922
BS752730	ES835042	EXP13921
BS752730	ES835041	EXP13921
BS752730	ES848313	EXP13922
BS752731	ES835049	EXP13921
BS752731	ES835046	EXP13921
BS752731	ES848318	EXP13922
BS752732	ES835056	EXP13921
BS752732	ES848394	EXP13922
BS752733	ES848404	EXP13922
BS752733	ES848399	EXP13922
BS752734	ES835073	EXP13921
BS752734	ES835070	EXP13921
BS752734	ES835068	EXP13921
BS752734	ES848185	EXP13922
BS752735	ES835080	EXP13921
BS752735	ES848434	EXP13922
BS752736	ES848412	EXP13922
BS752736	ES848408	EXP13922
BS752202	ES851159	EXP13950
BS752203	ES833746	EXP13915
BS752205	ES851168	EXP13950
BS752206	ES850738	EXP13950
BS752206	ES850737	EXP13950
BS752207	ES833750	EXP13915
BS752209	ES850745	EXP13950
BS752209	ES833752	EXP13915
BS752215	ES850769	EXP13950
BS752217	ES833760	EXP13915
BS752219	ES833762	EXP13915
BS752220	ES833763	EXP13915
BS752224	ES850797	EXP13950
BS752224	ES833767	EXP13915
BS752226	ES850807	EXP13950
BS752226	ES833769	EXP13915
BS752227	ES833770	EXP13915
BS752233	ES850833	EXP13950
BS752235	ES850839	EXP13950
BS752238	ES850847	EXP13950
BS752240	ES850854	EXP13950
BS752241	ES851193	EXP13950
BS752243	ES850864	EXP13950
BS752251	ES833794	EXP13915
BS752253	ES850893	EXP13950
BS752256	ES833799	EXP13915
BS752257	ES833800	EXP13915
BS752265	ES833808	EXP13915
BS752266	ES850931	EXP13950
BS752266	ES833809	EXP13915
BS752267	ES850936	EXP13950
BS752277	ES850966	EXP13950
BS752281	ES850978	EXP13950
BS752281	ES833824	EXP13915
BS752284	ES833827	EXP13915
BS752286	ES850995	EXP13950
BS752294	ES851018	EXP13950
BS752295	ES851022	EXP13950
BS752300	ES851037	EXP13950
BS752302	ES851255	EXP13950
BS752302	ES851040	EXP13950
BS752303	ES851257	EXP13950
BS752304	ES851047	EXP13950
BS752308	ES851058	EXP13950
BS752309	ES851266	EXP13950
BS752312	ES851269	EXP13950
BS752315	ES851289	EXP13950
BS752316	ES851080	EXP13950
BS752316	ES851291	EXP13950
BS752316	ES851290	EXP13950
BS752317	ES833860	EXP13915
BS752320	ES851297	EXP13950
BS752321	ES833864	EXP13915
BS752321	ES851096	EXP13950
BS752321	ES851301	EXP13950
BS752322	ES851098	EXP13950
BS752325	ES851313	EXP13950
BS752333	ES851132	EXP13950
BS752333	ES851325	EXP13950
BS752335	ES833878	EXP13915
BS752339	ES851150	EXP13950
BS752663	ES834575	EXP13921
BS752663	ES848436	EXP13922
BS752664	ES847981	EXP13922
BS752664	ES834582	EXP13921
BS752665	ES847989	EXP13922
BS752665	ES847988	EXP13922
BS752665	ES834587	EXP13921
BS752666	ES834595	EXP13921
BS752667	ES848329	EXP13922
BS752668	ES834607	EXP13921
BS752669	ES834618	EXP13921
BS752669	ES834616	EXP13921
BS752669	ES848341	EXP13922
BS752670	ES848346	EXP13922
BS752670	ES834622	EXP13921
BS752671	ES847994	EXP13922
BS752671	ES834629	EXP13921
BS752671	ES834628	EXP13921
BS752673	ES848352	EXP13922
BS752673	ES834644	EXP13921
BS752673	ES834640	EXP13921
BS752674	ES848361	EXP13922
BS752674	ES834652	EXP13921
BS752674	ES834649	EXP13921
BS752675	ES848007	EXP13922
BS752675	ES834660	EXP13921
BS752676	ES848364	EXP13922
BS752676	ES834664	EXP13921
BS752677	ES848373	EXP13922
BS752677	ES848371	EXP13922
BS752677	ES834671	EXP13921
BS752677	ES834670	EXP13921
BS752678	ES848380	EXP13922
BS752678	ES848376	EXP13922
BS752679	ES848386	EXP13922
BS752680	ES848012	EXP13922
BS752680	ES848010	EXP13922
BS752681	ES848019	EXP13922
BS752681	ES834700	EXP13921
BS752682	ES848026	EXP13922
BS752682	ES834708	EXP13921
BS752682	ES834706	EXP13921
BS752684	ES848036	EXP13922
BS752688	ES834750	EXP13921
BS752688	ES848389	EXP13922
BS752689	ES834757	EXP13921
BS752690	ES834760	EXP13921
BS752691	ES834766	EXP13921
BS752691	ES848072	EXP13922
BS752691	ES848071	EXP13922
BS752692	ES834776	EXP13921
BS752692	ES834775	EXP13921
BS752692	ES848079	EXP13922
BS752693	ES848083	EXP13922
BS752695	ES834800	EXP13921
BS752696	ES848099	EXP13922
BS752697	ES834810	EXP13921
BS752697	ES834808	EXP13921
BS752698	ES834818	EXP13921
BS752698	ES848113	EXP13922
BS752699	ES834826	EXP13921
BS752699	ES834822	EXP13921
BS752700	ES848125	EXP13922
BS752700	ES848124	EXP13922
BS752701	ES834840	EXP13921
BS752701	ES834839	EXP13921
BS752701	ES834837	EXP13921
BS752701	ES848129	EXP13922
BS752702	ES848140	EXP13922
BS752702	ES848137	EXP13922
BS752702	ES848135	EXP13922
BS752703	ES834850	EXP13921
BS752704	ES848149	EXP13922
BS752705	ES834866	EXP13921
BS752705	ES834865	EXP13921
BS752705	ES848157	EXP13922
BS752706	ES848161	EXP13922
BS752707	ES834879	EXP13921
BS752707	ES848165	EXP13922
BS752709	ES834895	EXP13921
BS752709	ES834893	EXP13921
BS752709	ES848181	EXP13922
BS769824	ES851160	EXP13950
BS769828	ES850762	EXP13950
BS769829	ES850768	EXP13950
BS769830	ES850774	EXP13950
BS769830	ES850773	EXP13950
BS769833	ES850791	EXP13950
BS769834	ES850800	EXP13950
BS769838	ES850826	EXP13950
BS769842	ES851184	EXP13950
BS769846	ES850862	EXP13950
BS769852	ES850897	EXP13950
BS769859	ES850939	EXP13950
BS769860	ES850945	EXP13950
BS769864	ES851226	EXP13950
BS769867	ES850991	EXP13950
BS769871	ES851014	EXP13950
BS769876	ES851261	EXP13950
BS769878	ES851060	EXP13950
BS769881	ES851292	EXP13950
BS769882	ES851088	EXP13950
BS769883	ES851299	EXP13950
BS769884	ES851100	EXP13950
BS769884	ES851304	EXP13950
BS769885	ES851107	EXP13950
BS769887	ES851119	EXP13950
BS769889	ES851130	EXP13950
BS769893	ES851154	EXP13950
BS752710	ES848194	EXP13922
BS752710	ES848189	EXP13922
BS752711	ES848200	EXP13922
BS752712	ES834919	EXP13921
BS752712	ES834916	EXP13921
BS752712	ES848202	EXP13922
BS752714	ES848218	EXP13922
BS752714	ES848217	EXP13922
BS752715	ES834937	EXP13921
BS752715	ES834934	EXP13921
BS752716	ES834946	EXP13921
BS752716	ES848227	EXP13922
BS752717	ES848232	EXP13922
BS752718	ES834956	EXP13921
BS752718	ES848241	EXP13922
BS752719	ES834963	EXP13921
BS752719	ES848246	EXP13922
BS752720	ES848252	EXP13922
BS752720	ES848251	EXP13922
BS752720	ES848249	EXP13922
BS752721	ES834977	EXP13921
BS752722	ES848265	EXP13922
BS752724	ES848276	EXP13922
BS752724	ES848274	EXP13922
BS752725	ES835009	EXP13921
BS752725	ES835008	EXP13921
BS752725	ES848280	EXP13922
BS752727	ES835018	EXP13921
BS752729	ES848307	EXP13922
BS752729	ES848304	EXP13922
BS752730	ES835045	EXP13921
BS752730	ES848310	EXP13922
BS752731	ES835051	EXP13921
BS752731	ES848319	EXP13922
BS752732	ES835055	EXP13921
BS752734	ES835071	EXP13921
BS752735	ES835078	EXP13921
BS752735	ES835077	EXP13921
BS752735	ES848429	EXP13922
BS752735	ES848425	EXP13922
BS752735	ES848423	EXP13922
BS752735	ES848422	EXP13922
BS752736	ES848457	EXP13922
BS752736	ES848452	EXP13922
BS752736	ES848444	EXP13922
BS752736	ES848443	EXP13922
BS752201	ES850724	EXP13950
BS752202	ES833745	EXP13915
BS752203	ES850730	EXP13950
BS752208	ES850744	EXP13950
BS752210	ES850748	EXP13950
BS752210	ES833753	EXP13915
BS752212	ES850760	EXP13950
BS752213	ES833756	EXP13915
BS752215	ES833758	EXP13915
BS752216	ES833759	EXP13915
BS752218	ES833761	EXP13915
BS752219	ES851175	EXP13950
BS752222	ES833765	EXP13915
BS752225	ES850803	EXP13950
BS752228	ES850814	EXP13950
BS752234	ES833777	EXP13915
BS752237	ES850845	EXP13950
BS752237	ES833780	EXP13915
BS752242	ES850859	EXP13950
BS752245	ES851199	EXP13950
BS752245	ES851198	EXP13950
BS752248	ES850878	EXP13950
BS752250	ES850884	EXP13950
BS752251	ES850887	EXP13950
BS752254	ES833797	EXP13915
BS752259	ES833802	EXP13915
BS752261	ES850917	EXP13950
BS752265	ES850929	EXP13950
BS752271	ES850948	EXP13950
BS752278	ES850967	EXP13950
BS752280	ES833823	EXP13915
BS752281	ES850977	EXP13950
BS752283	ES850987	EXP13950
BS752285	ES850992	EXP13950
BS752286	ES850994	EXP13950
BS752287	ES850998	EXP13950
BS752292	ES851012	EXP13950
BS752292	ES851243	EXP13950
BS752293	ES851017	EXP13950
BS752294	ES833837	EXP13915
BS752295	ES851023	EXP13950
BS752296	ES851025	EXP13950
BS752296	ES851024	EXP13950
BS752296	ES851249	EXP13950
BS752297	ES851029	EXP13950
BS752298	ES851031	EXP13950
BS752298	ES851274	EXP13950
BS752299	ES851035	EXP13950
BS752301	ES833844	EXP13915
BS752304	ES851046	EXP13950
BS752307	ES833850	EXP13915
BS752309	ES851063	EXP13950
BS752315	ES851078	EXP13950
BS752319	ES833862	EXP13915
BS752320	ES851093	EXP13950
BS752322	ES851302	EXP13950
BS752326	ES833869	EXP13915
BS752328	ES851117	EXP13950
BS752329	ES851121	EXP13950
BS752329	ES851120	EXP13950
BS752330	ES833873	EXP13915
BS752330	ES851123	EXP13950
BS752331	ES833874	EXP13915
BS752332	ES851129	EXP13950
BS752335	ES851330	EXP13950
BS752337	ES833880	EXP13915
BS752337	ES851145	EXP13950
BS752338	ES851147	EXP13950
BS752339	ES833882	EXP13915
BS752340	ES851152	EXP13950
BS752341	ES851157	EXP13950
BS752664	ES834580	EXP13921
BS752665	ES834585	EXP13921
BS752666	ES848323	EXP13922
BS752666	ES848322	EXP13922
BS752667	ES834600	EXP13921
BS752667	ES848331	EXP13922
BS752667	ES848327	EXP13922
BS752669	ES848344	EXP13922
BS752672	ES848002	EXP13922
BS752672	ES847999	EXP13922
BS752672	ES847998	EXP13922
BS752673	ES848351	EXP13922
BS752674	ES834651	EXP13921
BS752675	ES848005	EXP13922
BS752675	ES834656	EXP13921
BS752675	ES834655	EXP13921
BS752676	ES834667	EXP13921
BS752676	ES834661	EXP13921
BS752677	ES848372	EXP13922
BS752677	ES834669	EXP13921
BS752680	ES848009	EXP13922
BS752682	ES848023	EXP13922
BS752682	ES848022	EXP13922
BS752682	ES834705	EXP13921
BS752683	ES848029	EXP13922
BS752683	ES834716	EXP13921
BS752684	ES848037	EXP13922
BS752684	ES834718	EXP13921
BS752687	ES848052	EXP13922
BS752688	ES834749	EXP13921
BS752689	ES834755	EXP13921
BS752690	ES834765	EXP13921
BS752690	ES834763	EXP13921
BS752690	ES834762	EXP13921
BS752690	ES834761	EXP13921
BS752691	ES834771	EXP13921
BS752691	ES848073	EXP13922
BS752692	ES848080	EXP13922
BS752692	ES848075	EXP13922
BS752693	ES834784	EXP13921
BS752693	ES834782	EXP13921
BS752693	ES834780	EXP13921
BS752693	ES848086	EXP13922
BS752696	ES834805	EXP13921
BS752696	ES834803	EXP13921
BS752696	ES848104	EXP13922
BS752697	ES834813	EXP13921
BS752699	ES834827	EXP13921
BS752699	ES834825	EXP13921
BS752699	ES834824	EXP13921
BS752699	ES848120	EXP13922
BS752699	ES848117	EXP13922
BS752700	ES834834	EXP13921
BS752700	ES834829	EXP13921
BS752701	ES848133	EXP13922
BS752702	ES848139	EXP13922
BS752703	ES834851	EXP13921
BS752704	ES834858	EXP13921
BS752705	ES848158	EXP13922
BS752705	ES848154	EXP13922
BS752706	ES834874	EXP13921
BS752706	ES848162	EXP13922
BS752707	ES834884	EXP13921
BS752708	ES834889	EXP13921
BS752708	ES834886	EXP13921
BS752708	ES848176	EXP13922
BS752709	ES834896	EXP13921
BS752709	ES834894	EXP13921
BS752709	ES848179	EXP13922
BS769825	ES850733	EXP13950
BS769825	ES851166	EXP13950
BS769827	ES850754	EXP13950
BS769829	ES850767	EXP13950
BS769831	ES850779	EXP13950
BS769831	ES851173	EXP13950
BS769841	ES850832	EXP13950
BS769844	ES850849	EXP13950
BS769847	ES850867	EXP13950
BS769851	ES850891	EXP13950
BS769852	ES850898	EXP13950
BS769856	ES850922	EXP13950
BS769856	ES850921	EXP13950
BS769857	ES851214	EXP13950
BS769860	ES850946	EXP13950
BS769865	ES850976	EXP13950
BS769866	ES850984	EXP13950
BS769869	ES851003	EXP13950
BS769869	ES851002	EXP13950
BS769871	ES851245	EXP13950
BS769873	ES851027	EXP13950
BS769874	ES851033	EXP13950
BS769877	ES851055	EXP13950
BS769880	ES851073	EXP13950
BS769881	ES851083	EXP13950
BS769883	ES851094	EXP13950
BS769883	ES851298	EXP13950
BS769884	ES851305	EXP13950
BS769888	ES851125	EXP13950
BS769890	ES851328	EXP13950
BS769893	ES851155	EXP13950
BS752710	ES834905	EXP13921
BS752711	ES848199	EXP13922
BS752711	ES848196	EXP13922
BS752713	ES848211	EXP13922
BS752715	ES834936	EXP13921
BS752716	ES848228	EXP13922
BS752717	ES848236	EXP13922
BS752718	ES848239	EXP13922
BS752720	ES834973	EXP13921
BS752721	ES834976	EXP13921
BS752721	ES848258	EXP13922
BS752722	ES834984	EXP13921
BS752723	ES834994	EXP13921
BS752723	ES848272	EXP13922
BS752723	ES848270	EXP13922
BS752724	ES834997	EXP13921
BS752725	ES835010	EXP13921
BS752725	ES848282	EXP13922
BS752726	ES835015	EXP13921
BS752727	ES835019	EXP13921
BS752727	ES848295	EXP13922
BS752729	ES835036	EXP13921
BS752729	ES835034	EXP13921
BS752729	ES835032	EXP13921
BS752730	ES835043	EXP13921
BS752731	ES835052	EXP13921
BS752731	ES835050	EXP13921
BS752731	ES835048	EXP13921
BS752731	ES835047	EXP13921
BS752731	ES848316	EXP13922
BS752731	ES848315	EXP13922
BS752733	ES835065	EXP13921
BS752734	ES835069	EXP13921
BS752735	ES835076	EXP13921
BS752735	ES848428	EXP13922
BS752735	ES848427	EXP13922
BS752735	ES848424	EXP13922
BS752736	ES848458	EXP13922
BS752736	ES848453	EXP13922
BS752736	ES848442	EXP13922
BS752736	ES848413	EXP13922
BS752202	ES851158	EXP13950
BS752203	ES851163	EXP13950
BS752203	ES851162	EXP13950
BS752208	ES850743	EXP13950
BS752211	ES833754	EXP13915
BS752212	ES850759	EXP13950
BS752213	ES850764	EXP13950
BS752218	ES851170	EXP13950
BS752219	ES850782	EXP13950
BS752224	ES850798	EXP13950
BS752229	ES833772	EXP13915
BS752230	ES850820	EXP13950
BS752231	ES850817	EXP13950
BS752232	ES850830	EXP13950
BS752232	ES851177	EXP13950
BS752232	ES833775	EXP13915
BS752234	ES850836	EXP13950
BS752234	ES850835	EXP13950
BS752236	ES850841	EXP13950
BS752236	ES833779	EXP13915
BS752237	ES850846	EXP13950
BS752241	ES833784	EXP13915
BS752242	ES833785	EXP13915
BS752243	ES850863	EXP13950
BS752244	ES851195	EXP13950
BS752249	ES850881	EXP13950
BS752249	ES833792	EXP13915
BS752256	ES851207	EXP13950
BS752257	ES850906	EXP13950
BS752258	ES850908	EXP13950
BS752262	ES850920	EXP13950
BS752262	ES850919	EXP13950
BS752263	ES833806	EXP13915
BS752264	ES851213	EXP13950
BS752264	ES851212	EXP13950
BS752266	ES850932	EXP13950
BS752272	ES850950	EXP13950
BS752275	ES850959	EXP13950
BS752276	ES850961	EXP13950
BS752278	ES850968	EXP13950
BS752278	ES851225	EXP13950
BS752278	ES851224	EXP13950
BS752284	ES850988	EXP13950
BS752285	ES850993	EXP13950
BS752290	ES851006	EXP13950
BS752291	ES833834	EXP13915
BS752293	ES851016	EXP13950
BS752293	ES851247	EXP13950
BS752293	ES851246	EXP13950
BS752297	ES851252	EXP13950
BS752298	ES851275	EXP13950
BS752299	ES833842	EXP13915
BS752299	ES851279	EXP13950
BS752304	ES833847	EXP13915
BS752304	ES851259	EXP13950
BS752305	ES833848	EXP13915
BS752305	ES851263	EXP13950
BS752305	ES851050	EXP13950
BS752306	ES851281	EXP13950
BS752311	ES833854	EXP13915
BS752312	ES851268	EXP13950
BS752313	ES851273	EXP13950
BS752315	ES851288	EXP13950
BS752315	ES851079	EXP13950
BS752317	ES851295	EXP13950
BS752318	ES851086	EXP13950
BS752319	ES851090	EXP13950
BS752324	ES851308	EXP13950
BS752325	ES851312	EXP13950
BS752326	ES851111	EXP13950
BS752329	ES833872	EXP13915
BS752333	ES833876	EXP13915
BS752334	ES851326	EXP13950
BS752336	ES851141	EXP13950
BS752338	ES833881	EXP13915
BS752339	ES851151	EXP13950
BS752663	ES834574	EXP13921
BS752663	ES834573	EXP13921
BS752663	ES848440	EXP13922
BS752664	ES847984	EXP13922
BS752664	ES847980	EXP13922
BS752665	ES847990	EXP13922
BS752665	ES847986	EXP13922
BS752665	ES834588	EXP13921
BS752666	ES834597	EXP13921
BS752666	ES834591	EXP13921
BS752667	ES834599	EXP13921
BS752667	ES834598	EXP13921
BS752667	ES848330	EXP13922
BS752668	ES834605	EXP13921
BS752668	ES848335	EXP13922
BS752669	ES834613	EXP13921
BS752669	ES848343	EXP13922
BS752670	ES834624	EXP13921
BS752670	ES834621	EXP13921
BS752671	ES847992	EXP13922
BS752671	ES847991	EXP13922
BS752671	ES834630	EXP13921
BS752671	ES834627	EXP13921
BS752673	ES848354	EXP13922
BS752673	ES834643	EXP13921
BS752674	ES848362	EXP13922
BS752674	ES848359	EXP13922
BS752675	ES848008	EXP13922
BS752675	ES848006	EXP13922
BS752675	ES848003	EXP13922
BS752675	ES834657	EXP13921
BS752675	ES834654	EXP13921
BS752676	ES848365	EXP13922
BS752676	ES834666	EXP13921
BS752676	ES834662	EXP13921
BS752678	ES848379	EXP13922
BS752678	ES848378	EXP13922
BS752678	ES848377	EXP13922
BS752678	ES834679	EXP13921
BS752678	ES834677	EXP13921
BS752679	ES848381	EXP13922
BS752679	ES834683	EXP13921
BS752680	ES848014	EXP13922
BS752680	ES834690	EXP13921
BS752681	ES834701	EXP13921
BS752681	ES834697	EXP13921
BS752682	ES834709	EXP13921
BS752683	ES834710	EXP13921
BS752684	ES848038	EXP13922
BS752684	ES834723	EXP13921
BS752684	ES834720	EXP13921
BS752685	ES848043	EXP13922
BS752685	ES848040	EXP13922
BS752685	ES834728	EXP13921
BS752686	ES848046	EXP13922
BS752686	ES848045	EXP13922
BS752686	ES834733	EXP13921
BS752687	ES848056	EXP13922
BS752687	ES848053	EXP13922
BS752687	ES834744	EXP13921
BS752687	ES834740	EXP13921
BS752687	ES834739	EXP13921
BS752688	ES834746	EXP13921
BS752688	ES848392	EXP13922
BS752688	ES848390	EXP13922
BS752688	ES848387	EXP13922
BS752689	ES848060	EXP13922
BS752691	ES834772	EXP13921
BS752692	ES834774	EXP13921
BS752692	ES848076	EXP13922
BS752693	ES834786	EXP13921
BS752693	ES834785	EXP13921
BS752693	ES834783	EXP13921
BS752694	ES834790	EXP13921
BS752694	ES834789	EXP13921
BS752694	ES848090	EXP13922
BS752695	ES848094	EXP13922
BS752697	ES848108	EXP13922
BS752698	ES848116	EXP13922
BS752700	ES834830	EXP13921
BS752701	ES848130	EXP13922
BS752702	ES834844	EXP13921
BS752702	ES848136	EXP13922
BS752703	ES834855	EXP13921
BS752704	ES834862	EXP13921
BS752704	ES834857	EXP13921
BS752704	ES848147	EXP13922
BS752706	ES848159	EXP13922
BS752707	ES848168	EXP13922
BS752707	ES848166	EXP13922
BS752708	ES834891	EXP13921
BS752708	ES848172	EXP13922
BS769827	ES850751	EXP13950
BS769834	ES850802	EXP13950
BS769835	ES850810	EXP13950
BS769838	ES850825	EXP13950
BS769842	ES851185	EXP13950
BS769849	ES850879	EXP13950
BS769853	ES851208	EXP13950
BS769854	ES850909	EXP13950
BS769855	ES850916	EXP13950
BS769858	ES850933	EXP13950
BS769863	ES851220	EXP13950
BS769867	ES850990	EXP13950
BS769874	ES851032	EXP13950
BS769875	ES851043	EXP13950
BS769877	ES851282	EXP13950
BS769878	ES851061	EXP13950
BS769886	ES851112	EXP13950
BS769886	ES851317	EXP13950
BS769887	ES851118	EXP13950
BS769889	ES851322	EXP13950
BS769890	ES851136	EXP13950
BS769890	ES851329	EXP13950
BS769891	ES851142	EXP13950
BS752710	ES848192	EXP13922
BS752711	ES834910	EXP13921
BS752712	ES834914	EXP13921
BS752713	ES834926	EXP13921
BS752713	ES834924	EXP13921
BS752714	ES834927	EXP13921
BS752716	ES848229	EXP13922
BS752717	ES834953	EXP13921
BS752717	ES834948	EXP13921
BS752717	ES848235	EXP13922
BS752717	ES848231	EXP13922
BS752719	ES848245	EXP13922
BS752720	ES834970	EXP13921
BS752721	ES834980	EXP13921
BS752721	ES848259	EXP13922
BS752722	ES848264	EXP13922
BS752722	ES848263	EXP13922
BS752723	ES834993	EXP13921
BS752723	ES834991	EXP13921
BS752723	ES848268	EXP13922
BS752724	ES834999	EXP13921
BS752724	ES848278	EXP13922
BS752724	ES848277	EXP13922
BS752725	ES848283	EXP13922
BS752725	ES848281	EXP13922
BS752726	ES848287	EXP13922
BS752726	ES848285	EXP13922
BS752727	ES835020	EXP13921
BS752728	ES835025	EXP13921
BS752728	ES848298	EXP13922
BS752729	ES848305	EXP13922
BS752730	ES848314	EXP13922
BS752730	ES848309	EXP13922
BS752732	ES835059	EXP13921
BS752732	ES835053	EXP13921
BS752732	ES848398	EXP13922
BS752733	ES835061	EXP13921
BS752733	ES848400	EXP13922
BS752734	ES848188	EXP13922
BS752734	ES848186	EXP13922
BS752734	ES848183	EXP13922
BS752735	ES835079	EXP13921
BS752735	ES835074	EXP13921
BS752735	ES848432	EXP13922
BS752735	ES848418	EXP13922
BS752736	ES848454	EXP13922
BS752736	ES848450	EXP13922
BS752736	ES848448	EXP13922
BS752736	ES848446	EXP13922
BS752204	ES850732	EXP13950
BS752204	ES851165	EXP13950
BS752205	ES851169	EXP13950
BS752205	ES833748	EXP13915
BS752207	ES850741	EXP13950
BS752213	ES850763	EXP13950
BS752217	ES850775	EXP13950
BS752218	ES850778	EXP13950
BS752220	ES850783	EXP13950
BS752222	ES850789	EXP13950
BS752223	ES850793	EXP13950
BS752228	ES850813	EXP13950
BS752231	ES850824	EXP13950
BS752231	ES833774	EXP13915
BS752239	ES850851	EXP13950
BS752240	ES850853	EXP13950
BS752240	ES833783	EXP13915
BS752241	ES850858	EXP13950
BS752249	ES850882	EXP13950
BS752256	ES851206	EXP13950
BS752257	ES851211	EXP13950
BS752264	ES850925	EXP13950
BS752268	ES850938	EXP13950
BS752268	ES850937	EXP13950
BS752269	ES850941	EXP13950
BS752271	ES850947	EXP13950
BS752273	ES850954	EXP13950
BS752276	ES851219	EXP13950
BS752276	ES851218	EXP13950
BS752279	ES851229	EXP13950
BS752280	ES850974	EXP13950
BS752280	ES851230	EXP13950
BS752282	ES851236	EXP13950
BS752283	ES851241	EXP13950
BS752284	ES850989	EXP13950
BS752285	ES833828	EXP13915
BS752287	ES850999	EXP13950
BS752289	ES851004	EXP13950
BS752291	ES851011	EXP13950
BS752292	ES833835	EXP13915
BS752297	ES851028	EXP13950
BS752301	ES851038	EXP13950
BS752303	ES851045	EXP13950
BS752309	ES851062	EXP13950
BS752310	ES851065	EXP13950
BS752313	ES851075	EXP13950
BS752314	ES833857	EXP13915
BS752318	ES833861	EXP13915
BS752320	ES851092	EXP13950
BS752321	ES851097	EXP13950
BS752323	ES851103	EXP13950
BS752325	ES833868	EXP13915
BS752332	ES833875	EXP13915
BS752332	ES851128	EXP13950
BS752338	ES851146	EXP13950
BS752342	ES833885	EXP13915
BS752347	ES833890	EXP13915
BS752663	ES834572	EXP13921
BS752664	ES847982	EXP13922
BS752664	ES834579	EXP13921
BS752664	ES834578	EXP13921
BS752664	ES834577	EXP13921
BS752666	ES848324	EXP13922
BS752667	ES834601	EXP13921
BS752667	ES848332	EXP13922
BS752667	ES848328	EXP13922
BS752668	ES848337	EXP13922
BS752669	ES848339	EXP13922
BS752670	ES848348	EXP13922
BS752670	ES834620	EXP13921
BS752671	ES847995	EXP13922
BS752671	ES834626	EXP13921
BS752672	ES834638	EXP13921
BS752673	ES834645	EXP13921
BS752677	ES848374	EXP13922
BS752678	ES834680	EXP13921
BS752678	ES834675	EXP13921
BS752679	ES848383	EXP13922
BS752680	ES848011	EXP13922
BS752680	ES834693	EXP13921
BS752682	ES834703	EXP13921
BS752683	ES848030	EXP13922
BS752683	ES848028	EXP13922
BS752684	ES834722	EXP13921
BS752686	ES848048	EXP13922
BS752686	ES834735	EXP13921
BS752686	ES834734	EXP13921
BS752686	ES834731	EXP13921
BS752687	ES848051	EXP13922
BS752687	ES834742	EXP13921
BS752688	ES834745	EXP13921
BS752688	ES848391	EXP13922
BS752688	ES848388	EXP13922
BS752690	ES848067	EXP13922
BS752690	ES848063	EXP13922
BS752691	ES848074	EXP13922
BS752692	ES834779	EXP13921
BS752694	ES834788	EXP13921
BS752695	ES834796	EXP13921
BS752695	ES848098	EXP13922
BS752696	ES834806	EXP13921
BS752696	ES848100	EXP13922
BS752697	ES848106	EXP13922
BS752703	ES834856	EXP13921
BS752703	ES834854	EXP13921
BS752703	ES848142	EXP13922
BS752704	ES848152	EXP13922
BS752704	ES848151	EXP13922
