BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION
BS769889	ES851323	EXP13950
BS769890	ES851137	EXP13950
BS752710	ES834903	EXP13921
BS752710	ES834902	EXP13921
BS752711	ES834907	EXP13921
BS752712	ES834918	EXP13921
BS752712	ES834917	EXP13921
BS752712	ES848203	EXP13922
BS752713	ES848208	EXP13922
BS752714	ES834931	EXP13921
BS752715	ES834939	EXP13921
BS752715	ES834935	EXP13921
BS752715	ES848219	EXP13922
BS752716	ES834945	EXP13921
BS752716	ES834942	EXP13921
BS752717	ES834954	EXP13921
BS752717	ES834950	EXP13921
BS752718	ES834958	EXP13921
BS752718	ES848240	EXP13922
BS752718	ES848238	EXP13922
BS752719	ES834968	EXP13921
BS752719	ES834966	EXP13921
BS752719	ES834964	EXP13921
BS752719	ES848244	EXP13922
BS752721	ES834982	EXP13921
BS752721	ES834981	EXP13921
BS752721	ES848257	EXP13922
BS752721	ES848255	EXP13922
BS752723	ES834990	EXP13921
BS752723	ES848271	EXP13922
BS752724	ES835000	EXP13921
BS752725	ES835007	EXP13921
BS752726	ES835016	EXP13921
BS752726	ES835014	EXP13921
BS752727	ES848294	EXP13922
BS752728	ES835027	EXP13921
BS752728	ES848297	EXP13922
BS752729	ES835038	EXP13921
BS752730	ES835044	EXP13921
BS752732	ES835058	EXP13921
BS752732	ES835057	EXP13921
BS752732	ES835054	EXP13921
BS752732	ES848396	EXP13922
BS752733	ES848403	EXP13922
BS752733	ES848401	EXP13922
BS752734	ES835067	EXP13921
BS752734	ES848187	EXP13922
BS752735	ES848420	EXP13922
BS752735	ES848417	EXP13922
BS752736	ES848449	EXP13922
BS752736	ES848447	EXP13922
BS752736	ES848445	EXP13922
BS752736	ES848416	EXP13922
BS752736	ES848410	EXP13922
BS752200	ES850720	EXP13950
BS752200	ES833743	EXP13915
BS752201	ES833744	EXP13915
BS752204	ES833747	EXP13915
BS752208	ES833751	EXP13915
BS752210	ES850750	EXP13950
BS752211	ES850755	EXP13950
BS752214	ES833757	EXP13915
BS752217	ES850776	EXP13950
BS752218	ES850777	EXP13950
BS752221	ES850787	EXP13950
BS752224	ES850796	EXP13950
BS752225	ES850805	EXP13950
BS752225	ES833768	EXP13915
BS752226	ES850808	EXP13950
BS752230	ES850819	EXP13950
BS752230	ES833773	EXP13915
BS752233	ES833776	EXP13915
BS752234	ES851182	EXP13950
BS752235	ES851186	EXP13950
BS752235	ES833778	EXP13915
BS752236	ES850842	EXP13950
BS752245	ES850870	EXP13950
BS752246	ES850872	EXP13950
BS752247	ES833790	EXP13915
BS752248	ES833791	EXP13915
BS752251	ES850888	EXP13950
BS752252	ES850889	EXP13950
BS752254	ES850896	EXP13950
BS752254	ES850895	EXP13950
BS752255	ES851205	EXP13950
BS752256	ES850901	EXP13950
BS752258	ES850907	EXP13950
BS752259	ES850912	EXP13950
BS752259	ES850911	EXP13950
BS752260	ES850913	EXP13950
BS752264	ES850926	EXP13950
BS752264	ES833807	EXP13915
