EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	ASSAY_GROUP_ID	ASSAY_ID	DILUTION_FACTOR	PLATE_TYPE	WORKSPACE_ID
ES851119	EXP13950	H51-2	2782	1		2883
ES851121	EXP13950	H51-2	2782	1		2883
ES851154	EXP13950	H51-2	2782	1		2883
ES851155	EXP13950	H51-2	2782	1		2883
ES850731	EXP13950	H51-2	2778	3		2883
ES850748	EXP13950	H51-2	2782	1		2883
ES850752	EXP13950	H51-2	2782	1		2883
ES850784	EXP13950	H51-2	2777	3		2883
ES850786	EXP13950	H51-2	2777	3		2883
ES850789	EXP13950	H51-2	2777	3		2883
ES850799	EXP13950	H51-2	2782	1		2883
ES850807	EXP13950	H51-2	2777	3		2883
ES850814	EXP13950	H51-2	2777	3		2883
ES850815	EXP13950	H51-2	2777	3		2883
ES850821	EXP13950	H51-2	2780	3		2883
ES850822	EXP13950	H51-2	2780	3		2883
ES850823	EXP13950	H51-2	2780	3		2883
ES850836	EXP13950	H51-2	2778	3		2883
ES850839	EXP13950	H51-2	2778	3		2883
ES850840	EXP13950	H51-2	2778	3		2883
ES850841	EXP13950	H51-2	2778	3		2883
ES850851	EXP13950	H51-2	2778	3		2883
ES850866	EXP13950	H51-2	2778	3		2883
ES850869	EXP13950	H51-2	2778	3		2883
ES850876	EXP13950	H51-2	2780	3		2883
ES850878	EXP13950	H51-2	2780	3		2883
ES850892	EXP13950	H51-2	2778	3		2883
ES850899	EXP13950	H51-2	2778	3		2883
ES850912	EXP13950	H51-2	2780	3		2883
ES850926	EXP13950	H51-2	2779	3		2883
ES850927	EXP13950	H51-2	2779	3		2883
ES850933	EXP13950	H51-2	2779	3		2883
ES850946	EXP13950	H51-2	2779	3		2883
ES850966	EXP13950	H51-2	2779	3		2883
ES850975	EXP13950	H51-2	2779	3		2883
ES850995	EXP13950	H51-2	2779	3		2883
ES851018	EXP13950	H51-2	2781	3		2883
ES851019	EXP13950	H51-2	2781	3		2883
ES851029	EXP13950	H51-2	2781	3		2883
ES851038	EXP13950	H51-2	2782	1		2883
ES851058	EXP13950	H51-2	2781	3		2883
ES851059	EXP13950	H51-2	2781	3		2883
ES851063	EXP13950	H51-2	2781	3		2883
ES851163	EXP13950	H51-1	362	1		2883
ES851164	EXP13950	H51-1	362	1		2883
ES851167	EXP13950	H51-1	362	1		2883
ES851175	EXP13950	H51-1	362	1		2883
ES851176	EXP13950	H51-1	364	1		2883
ES851177	EXP13950	H51-1	364	1		2883
ES851198	EXP13950	H51-1	364	1		2883
ES851208	EXP13950	H51-1	364	1		2883
ES851209	EXP13950	H51-1	364	1		2883
ES851222	EXP13950	H51-1	364	1		2883
ES851230	EXP13950	H51-1	364	1		2883
ES851234	EXP13950	H51-1	364	1		2883
ES851252	EXP13950	H51-1	364	1		2883
ES851253	EXP13950	H51-1	364	1		2883
ES851259	EXP13950	H51-1	366	1		2883
ES851278	EXP13950	H51-1	366	1		2883
ES851283	EXP13950	H51-1	366	1		2883
ES851284	EXP13950	H51-1	366	1		2883
ES851285	EXP13950	H51-1	366	1		2883
ES851296	EXP13950	H51-1	366	1		2883
ES851297	EXP13950	H51-1	366	1		2883
ES851300	EXP13950	H51-1	366	1		2883
ES851312	EXP13950	H51-1	366	1		2883
ES851313	EXP13950	H51-1	366	1		2883
ES851315	EXP13950	H51-1	366	1		2883
ES851325	EXP13950	H51-1	366	1		2883
ES851080	EXP13950	H51-2	2781	3		2883
ES851083	EXP13950	H51-2	2781	3		2883
ES851105	EXP13950	H51-2	2780	3		2883
ES851107	EXP13950	H51-2	2780	3		2883
ES851113	EXP13950	H51-2	2780	3		2883
ES851114	EXP13950	H51-2	2780	3		2883
ES851123	EXP13950	H51-2	2782	1		2883
ES851127	EXP13950	H51-2	2782	1		2883
ES851128	EXP13950	H51-2	2780	3		2883
ES851146	EXP13950	H51-2	2780	3		2883
ES851147	EXP13950	H51-2	2780	3		2883
ES851148	EXP13950	H51-2	2780	3		2883
ES851079	EXP13950	H51-2	2781	3		2883
ES851158	EXP13950	H51-1	362	1		2883
ES850719	EXP13950	H51-2	2777	3		2883
ES850739	EXP13950	H51-2	2777	3		2883
ES850762	EXP13950	H51-2	2777	3		2883
ES850764	EXP13950	H51-2	2777	3		2883
ES850776	EXP13950	H51-2	2778	3		2883
ES850782	EXP13950	H51-2	2778	3		2883
ES850787	EXP13950	H51-2	2777	3		2883
ES850804	EXP13950	H51-2	2782	1		2883
ES850816	EXP13950	H51-2	2777	3		2883
ES850818	EXP13950	H51-2	2777	3		2883
ES850826	EXP13950	H51-2	2780	3		2883
ES850828	EXP13950	H51-2	2780	3		2883
ES850829	EXP13950	H51-2	2778	3		2883
ES850835	EXP13950	H51-2	2778	3		2883
ES850849	EXP13950	H51-2	2778	3		2883
ES850863	EXP13950	H51-2	2780	3		2883
ES850871	EXP13950	H51-2	2780	3		2883
ES850872	EXP13950	H51-2	2780	3		2883
ES850873	EXP13950	H51-2	2780	3		2883
ES850881	EXP13950	H51-2	2780	3		2883
ES850908	EXP13950	H51-2	2780	3		2883
ES850916	EXP13950	H51-2	2779	3		2883
ES850921	EXP13950	H51-2	2779	3		2883
ES850925	EXP13950	H51-2	2779	3		2883
ES850961	EXP13950	H51-2	2779	3		2883
ES850963	EXP13950	H51-2	2779	3		2883
ES850976	EXP13950	H51-2	2779	3		2883
ES850977	EXP13950	H51-2	2779	3		2883
ES850968	EXP13950	H51-2	2779	3		2883
ES850970	EXP13950	H51-2	2779	3		2883
ES850984	EXP13950	H51-2	2779	3		2883
ES850985	EXP13950	H51-2	2782	1		2883
ES850988	EXP13950	H51-2	2779	3		2883
ES850994	EXP13950	H51-2	2779	3		2883
ES851002	EXP13950	H51-2	2779	3		2883
ES851004	EXP13950	H51-2	2779	3		2883
ES851006	EXP13950	H51-2	2779	3		2883
ES851010	EXP13950	H51-2	2779	3		2883
ES851013	EXP13950	H51-2	2781	3		2883
ES851017	EXP13950	H51-2	2781	3		2883
ES851022	EXP13950	H51-2	2781	3		2883
ES851032	EXP13950	H51-2	2781	3		2883
ES851033	EXP13950	H51-2	2781	3		2883
ES851037	EXP13950	H51-2	2782	1		2883
ES851047	EXP13950	H51-2	2781	3		2883
ES851049	EXP13950	H51-2	2781	3		2883
ES851062	EXP13950	H51-2	2781	3		2883
ES851072	EXP13950	H51-2	2781	3		2883
ES851077	EXP13950	H51-2	2781	3		2883
ES851169	EXP13950	H51-1	362	1		2883
ES851171	EXP13950	H51-1	362	1		2883
ES851172	EXP13950	H51-1	362	1		2883
ES851182	EXP13950	H51-1	364	1		2883
