EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	ASSAY_GROUP_ID	ASSAY_ID	DILUTION_FACTOR	PLATE_TYPE	WORKSPACE_ID
ES851281	EXP13950	H51-1	366	1		2883
ES851282	EXP13950	H51-1	366	1		2883
ES851290	EXP13950	H51-1	366	1		2883
ES851293	EXP13950	H51-1	366	1		2883
ES851298	EXP13950	H51-1	366	1		2883
ES851304	EXP13950	H51-1	366	1		2883
ES851310	EXP13950	H51-1	366	1		2883
ES851323	EXP13950	H51-1	366	1		2883
ES851081	EXP13950	H51-2	2781	3		2883
ES851090	EXP13950	H51-2	2781	3		2883
ES851093	EXP13950	H51-2	2781	3		2883
ES851096	EXP13950	H51-2	2781	3		2883
ES851097	EXP13950	H51-2	2781	3		2883
ES851100	EXP13950	H51-2	2781	3		2883
ES851117	EXP13950	H51-2	2782	1		2883
ES851122	EXP13950	H51-2	2782	1		2883
ES851143	EXP13950	H51-2	2780	3		2883
ES851157	EXP13950	H51-2	2782	1		2883
ES850728	EXP13950	H51-2	2778	3		2883
ES850742	EXP13950	H51-2	2777	3		2883
ES850747	EXP13950	H51-2	2782	1		2883
ES850750	EXP13950	H51-2	2777	3		2883
ES850751	EXP13950	H51-2	2782	1		2883
ES850754	EXP13950	H51-2	2777	3		2883
ES850755	EXP13950	H51-2	2782	1		2883
ES850758	EXP13950	H51-2	2777	3		2883
ES850766	EXP13950	H51-2	2777	3		2883
ES850777	EXP13950	H51-2	2778	3		2883
ES850779	EXP13950	H51-2	2778	3		2883
ES850793	EXP13950	H51-2	2777	3		2883
ES850806	EXP13950	H51-2	2777	3		2883
ES850811	EXP13950	H51-2	2777	3		2883
ES850830	EXP13950	H51-2	2778	3		2883
ES850850	EXP13950	H51-2	2778	3		2883
ES850853	EXP13950	H51-2	2778	3		2883
ES850856	EXP13950	H51-2	2778	3		2883
ES850861	EXP13950	H51-2	2780	3		2883
ES850880	EXP13950	H51-2	2780	3		2883
ES850886	EXP13950	H51-2	2778	3		2883
ES850888	EXP13950	H51-2	2778	3		2883
ES850890	EXP13950	H51-2	2778	3		2883
ES850891	EXP13950	H51-2	2778	3		2883
