FCS File Name,fcs_file_name,expsample_accession,study_time_collected,type,biosample_accession,name..7,file_info_id,measurement_technique
export_244_70.728568.fcs,export_244_70.fcs,ES1231628,70,PBMC,BS1007340,09-H1-0239 flow cytometry T3,728568,Flow Cytometry
export_244_pre.728569.fcs,export_244_pre.fcs,ES1231629,-7,PBMC,BS807983,09-H1-0239 flow cytometry T3,728569,Flow Cytometry
export_245_0.728570.fcs,export_245_0.fcs,ES1231630,0,PBMC,BS807984,09-H1-0239 flow cytometry T3,728570,Flow Cytometry
export_245_1.728571.fcs,export_245_1.fcs,ES1231631,1,PBMC,BS807985,09-H1-0239 flow cytometry T3,728571,Flow Cytometry
export_245_7.728572.fcs,export_245_7.fcs,ES1231632,7,PBMC,BS807986,09-H1-0239 flow cytometry T3,728572,Flow Cytometry
export_245_70.728573.fcs,export_245_70.fcs,ES1231633,70,PBMC,BS807988,09-H1-0239 flow cytometry T3,728573,Flow Cytometry
export_245_pre.728574.fcs,export_245_pre.fcs,ES1231634,-7,PBMC,BS807987,09-H1-0239 flow cytometry T3,728574,Flow Cytometry
export_246_0.728575.fcs,export_246_0.fcs,ES1231635,0,PBMC,BS807989,09-H1-0239 flow cytometry T3,728575,Flow Cytometry
export_246_1.728576.fcs,export_246_1.fcs,ES1231636,1,PBMC,BS807990,09-H1-0239 flow cytometry T3,728576,Flow Cytometry
export_246_7.728577.fcs,export_246_7.fcs,ES1231637,7,PBMC,BS807991,09-H1-0239 flow cytometry T3,728577,Flow Cytometry
export_246_70.728578.fcs,export_246_70.fcs,ES1231638,70,PBMC,BS807993,09-H1-0239 flow cytometry T3,728578,Flow Cytometry
export_246_pre.728579.fcs,export_246_pre.fcs,ES1231639,-7,PBMC,BS807992,09-H1-0239 flow cytometry T3,728579,Flow Cytometry
export_247_0.728580.fcs,export_247_0.fcs,ES1231640,0,PBMC,BS1007341,09-H1-0239 flow cytometry T3,728580,Flow Cytometry
export_247_1.728581.fcs,export_247_1.fcs,ES1231641,1,PBMC,BS1007342,09-H1-0239 flow cytometry T3,728581,Flow Cytometry
export_247_7.728582.fcs,export_247_7.fcs,ES1231642,7,PBMC,BS1007343,09-H1-0239 flow cytometry T3,728582,Flow Cytometry
export_247_70.728583.fcs,export_247_70.fcs,ES1231643,70,PBMC,BS1007344,09-H1-0239 flow cytometry T3,728583,Flow Cytometry
export_247_pre.728584.fcs,export_247_pre.fcs,ES1231644,7,PBMC,BS1007345,09-H1-0239 flow cytometry T3,728584,Flow Cytometry
export_248_0.728585.fcs,export_248_0.fcs,ES1231645,0,PBMC,BS807994,09-H1-0239 flow cytometry T3,728585,Flow Cytometry
export_248_1.728586.fcs,export_248_1.fcs,ES1231646,1,PBMC,BS807995,09-H1-0239 flow cytometry T3,728586,Flow Cytometry
export_248_7.728587.fcs,export_248_7.fcs,ES1231647,7,PBMC,BS807996,09-H1-0239 flow cytometry T3,728587,Flow Cytometry
export_248_70.728588.fcs,export_248_70.fcs,ES1231648,70,PBMC,BS807998,09-H1-0239 flow cytometry T3,728588,Flow Cytometry
export_248_pre.728589.fcs,export_248_pre.fcs,ES1231649,-7,PBMC,BS807997,09-H1-0239 flow cytometry T3,728589,Flow Cytometry
export_249_0.728590.fcs,export_249_0.fcs,ES1231650,0,PBMC,BS1007346,09-H1-0239 flow cytometry T3,728590,Flow Cytometry
export_249_1.728591.fcs,export_249_1.fcs,ES1231651,1,PBMC,BS807999,09-H1-0239 flow cytometry T3,728591,Flow Cytometry
export_249_7.728592.fcs,export_249_7.fcs,ES1231652,7,PBMC,BS808000,09-H1-0239 flow cytometry T3,728592,Flow Cytometry
export_201_pre 7.727449.fcs,export_201_pre 7.fcs,ES1230614,-7,PBMC,BS807856,09-H1-0239 flow cytometry B2,727449,Flow Cytometry
export_282_70.727447.fcs,export_282_70.fcs,ES1230612,70,PBMC,BS1007371,09-H1-0239 flow cytometry B2,727447,Flow Cytometry
export_200_pre 7.727448.fcs,export_200_pre 7.fcs,ES1230613,-7,PBMC,BS807851,09-H1-0239 flow cytometry B2,727448,Flow Cytometry
export_202_pre 7.727450.fcs,export_202_pre 7.fcs,ES1230615,-7,PBMC,BS807861,09-H1-0239 flow cytometry B2,727450,Flow Cytometry
export_204_pre 7.727451.fcs,export_204_pre 7.fcs,ES1230616,-7,PBMC,BS807866,09-H1-0239 flow cytometry B2,727451,Flow Cytometry
export_205_pre 7.727452.fcs,export_205_pre 7.fcs,ES1230617,-7,PBMC,BS807871,09-H1-0239 flow cytometry B2,727452,Flow Cytometry
export_206_pre 7.727453.fcs,export_206_pre 7.fcs,ES1230618,-7,PBMC,BS807875,09-H1-0239 flow cytometry B2,727453,Flow Cytometry
export_207_pre 7.727454.fcs,export_207_pre 7.fcs,ES1230619,-7,PBMC,BS807879,09-H1-0239 flow cytometry B2,727454,Flow Cytometry
export_209_pre 7.727455.fcs,export_209_pre 7.fcs,ES1230620,-7,PBMC,BS807884,09-H1-0239 flow cytometry B2,727455,Flow Cytometry
export_212_pre 7.727456.fcs,export_212_pre 7.fcs,ES1230621,-7,PBMC,BS807889,09-H1-0239 flow cytometry B2,727456,Flow Cytometry
export_213_pre 7.727457.fcs,export_213_pre 7.fcs,ES1230622,-7,PBMC,BS807894,09-H1-0239 flow cytometry B2,727457,Flow Cytometry
export_215_pre 7.727458.fcs,export_215_pre 7.fcs,ES1230623,-7,PBMC,BS807899,09-H1-0239 flow cytometry B2,727458,Flow Cytometry
export_217_pre 7.727459.fcs,export_217_pre 7.fcs,ES1230624,-7,PBMC,BS807903,09-H1-0239 flow cytometry B2,727459,Flow Cytometry
export_221_pre 7.727460.fcs,export_221_pre 7.fcs,ES1230625,-7,PBMC,BS807912,09-H1-0239 flow cytometry B2,727460,Flow Cytometry
