EXPSAMPLE_ACCESSION	TREATMENT_ACCESSION
ES717665	TRT38
ES717694	TRT38
ES717698	TRT38
ES717700	TRT38
ES717706	TRT38
ES717716	TRT38
ES717718	TRT38
ES717797	TRT41
ES717812	TRT41
ES717816	TRT41
ES717826	TRT41
ES717828	TRT41
ES717835	TRT41
ES717836	TRT41
ES717838	TRT41
ES717839	TRT41
ES717848	TRT41
ES717855	TRT41
ES717857	TRT41
ES717863	TRT41
ES717866	TRT41
ES717875	TRT41
ES717876	TRT41
ES823413	TRT1715
ES823420	TRT1715
ES823421	TRT1715
ES823423	TRT1715
ES823426	TRT1715
ES735941	TRT107
ES735946	TRT107
ES735952	TRT107
ES735957	TRT107
ES735960	TRT107
ES735976	TRT107
ES735985	TRT107
ES735988	TRT107
ES735991	TRT107
ES735994	TRT107
ES736003	TRT107
ES736004	TRT107
ES736006	TRT107
ES736023	TRT107
ES736026	TRT107
ES736030	TRT107
ES736033	TRT107
ES736034	TRT107
ES736037	TRT107
ES754181	TRT870
ES754184	TRT870
ES754189	TRT870
ES754196	TRT870
ES754227	TRT870
ES754228	TRT870
ES754230	TRT870
ES754251	TRT870
ES754255	TRT870
ES754262	TRT870
ES754264	TRT870
ES754266	TRT870
ES754270	TRT870
ES754277	TRT870
ES754293	TRT870
ES754295	TRT870
ES754297	TRT870
ES754307	TRT870
ES754309	TRT870
ES754315	TRT870
ES754322	TRT870
ES754323	TRT870
ES754328	TRT870
ES754333	TRT870
ES754338	TRT870
ES754343	TRT870
ES718070	TRT41
ES718094	TRT41
ES718099	TRT41
ES718102	TRT41
ES718103	TRT41
ES718106	TRT41
ES718110	TRT41
ES718115	TRT41
ES718138	TRT41
ES718140	TRT41
ES718147	TRT41
ES718152	TRT41
ES718161	TRT41
ES718163	TRT41
ES718170	TRT41
ES718176	TRT41
ES718179	TRT41
ES718186	TRT41
ES718193	TRT41
ES718196	TRT41
ES718197	TRT41
ES718204	TRT41
ES718206	TRT41
ES718208	TRT41
ES718216	TRT41
ES718221	TRT41
ES718231	TRT41
ES718242	TRT41
ES718257	TRT41
ES754949	TRT870
ES754971	TRT870
ES754974	TRT870
ES754975	TRT870
ES754977	TRT870
ES754978	TRT870
ES754986	TRT870
ES755000	TRT870
ES755004	TRT870
ES755012	TRT870
ES755020	TRT870
ES755026	TRT870
ES755029	TRT870
ES755030	TRT870
ES755036	TRT870
ES755055	TRT870
ES755062	TRT870
ES755076	TRT870
ES755089	TRT870
ES755107	TRT870
ES755112	TRT870
ES755114	TRT870
ES755116	TRT870
