FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
137389	7		APC-A	SECISBP2L	Slan
100697	7		APC-A	THBD	BDCA-3
150999	7		PE-A	CCR6	CCR6
151028	7		PE-A	CD24	CD24
84462	7		PE-A	CLEC4C	BDCA-2
127234	7		APC-A	ICOS	ICOS
76729	7		APC-A	THBD	BDCA-3
134537	8		APC-Cy7-A	FCG3A	CD16
116644	8		PE-Texas Red-A	PTPRC	CD45RA
120711	7		APC-A	SDC1	CD138
126424	7		PE-A	FOXP3	FOXP3
126962	7		APC-A	THBD	BDCA-3
94524	7		APC-A	SECISBP2L	Slan
114942	8		APC-Cy7-A	CD8A	CD8
120761	8		APC-Cy7-A	CD8A	CD8
114615	7		APC-A	THBD	BDCA-3
104235	7		APC-A	FCG3A	CD16
127509	8		PE-Texas Red-A	CD19	CD19
90700	7		APC-A	SECISBP2L	Slan
127654	8		APC-Cy7-A	FCG3A	CD16
130684	7		PE-A	FOXP3	FOXP3
123295	7		PE-A	CD24	CD24
91648	7		APC-A	SDC1	CD138
124474	7		APC-A	THBD	BDCA-3
142794	7		PE-A	CLEC4C	BDCA-2
140074	7		PE-A	BCL2	Bcl2
108322	7		PE-A	CCR6	CCR6
111596	7		PE-A	CD24	CD24
140262	9		PE-Cy5-A		PE-Cy5-A
130316	4		Pacific Orange-A		Pacific Orange-A
112791	4		Pacific Orange-A		CD45
130938	4		Pacific Orange-A		CD45
145981	8		PE-Texas Red-A	PTPRC	CD45RA
91684	9		PE-Cy5-A	CXCR3	CXCR3
150441	9		PE-Cy5-A	CTLA4	CTLA4
142036	9		PE-Cy5-A	CTLA4	CTLA4
113336	4		Pacific Orange-A		CD45
121259	4		Pacific Orange-A		CD45
147872	8		APC-Cy7-A	CD27	CD27
132673	4		Pacific Orange-A		CD45
90738	4		Pacific Orange-A		CD45
140748	8		PE-Texas Red-A	PTPRC	CD45RA
149916	8		PE-Texas Red-A		PE-Texas Red-A
115222	4		SSC-H		SSC-H
89919	4		Pacific Orange-A		CD45
147015	8		PE-Texas Red-A	PTPRC	CD45RA
94067	9		PE-Cy5-A	CTLA4	CTLA4
133082	4		SSC-H		SSC-H
114655	4		Pacific Orange-A		CD45
117002	9		PE-A	IL7R	CD127
138600	9		PE-A	CD24	CD24
117724	9		PE-Cy5-A	CTLA4	CTLA4
98954	8		PE-Texas Red-A	CD19	CD19
136705	4		Pacific Orange-A		CD45
118394	4		SSC-H		SSC-H
143739	9		PE-Cy5-A	CTLA4	CTLA4
144146	9		PE-Cy5-A	CD20	CD20
118076	4		Pacific Orange-A		Pacific Orange-A
126711	4		SSC-H		SSC-H
101043	8		APC-Cy7-A	CD8A	CD8
101113	8		PE-Texas Red-A		PE-Texas Red-A
144332	9		PE-A	CLEC4C	BDCA-2
144994	9		PE-Cy5-A		PE-Cy5-A
97980	8		PE-Texas Red-A		PE-Texas Red-A
120866	9		PE-Cy5-A		PE-Cy5-A
85880	8		APC-Cy7-A	HLA-DRA	HLA-DR
144368	4		SSC-H		SSC-H
