EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES717658	ESR9771
ES717660	ESR9771
ES717665	ESR9772
ES717666	ESR9772
ES717668	ESR9771
ES717673	ESR9772
ES717678	ESR9771
ES717681	ESR9771
ES717685	ESR9772
ES717688	ESR9770
ES717689	ESR9771
ES717690	ESR9772
ES717690	ESR9770
ES717691	ESR9771
ES717691	ESR9770
ES717698	ESR9771
ES717706	ESR9773
ES717719	ESR9773
ES717728	ESR9773
ES717739	ESR9773
ES717790	ESR9776
ES717806	ESR9776
ES717807	ESR9776
ES717809	ESR9776
ES717817	ESR9776
ES717819	ESR9776
ES717836	ESR9776
ES717861	ESR9776
ES717865	ESR9776
ES823419	ESR14773
ES823429	ESR14773
ES735932	ESR10134
ES735932	ESR10130
ES735932	ESR10120
ES735932	ESR10113
ES735932	ESR10106
ES735932	ESR10104
ES735933	ESR10135
ES735933	ESR10131
ES735933	ESR10114
ES735934	ESR10140
ES735934	ESR10137
ES735934	ESR10120
ES735934	ESR10109
ES735935	ESR10132
ES735935	ESR10131
ES735935	ESR10128
ES735935	ESR10122
ES735935	ESR10121
ES735935	ESR10105
ES735935	ESR10102
ES735936	ESR10139
ES735936	ESR10124
ES735936	ESR10117
ES735936	ESR10113
ES735936	ESR10104
ES735937	ESR10127
ES735937	ESR10122
ES735938	ESR10119
ES735938	ESR10117
ES735938	ESR10110
ES735938	ESR10138
ES735939	ESR10143
ES735939	ESR10138
ES735939	ESR10137
ES735939	ESR10133
ES735939	ESR10130
ES735939	ESR10118
ES735939	ESR10112
ES735940	ESR10130
ES735940	ESR10118
ES735940	ESR10107
ES735941	ESR10137
ES735941	ESR10129
ES735941	ESR10119
ES735941	ESR10105
ES735942	ESR10137
ES735942	ESR10131
ES735942	ESR10129
ES735942	ESR10122
ES735942	ESR10117
ES735942	ESR10115
ES735942	ESR10114
ES735942	ESR10111
ES735942	ESR10110
ES735942	ESR10105
ES735943	ESR10135
ES735943	ESR10128
ES735943	ESR10126
ES735943	ESR10125
ES735943	ESR10122
ES735943	ESR10112
ES735944	ESR10136
ES735944	ESR10126
ES735944	ESR10121
ES735944	ESR10118
ES735944	ESR10117
ES735944	ESR10110
ES735945	ESR10142
ES735945	ESR10129
ES735945	ESR10128
ES735945	ESR10121
ES735945	ESR10115
ES735945	ESR10110
ES735945	ESR10104
ES735946	ESR10142
ES735946	ESR10134
ES735946	ESR10119
ES735946	ESR10110
ES735946	ESR10109
ES735946	ESR10104
ES735946	ESR10103
ES735947	ESR10140
ES735947	ESR10135
ES735947	ESR10123
ES735947	ESR10122
ES735947	ESR10118
ES735948	ESR10138
ES735948	ESR10129
ES735948	ESR10128
ES735948	ESR10121
ES735948	ESR10112
ES735948	ESR10111
ES735949	ESR10135
ES735949	ESR10124
ES735949	ESR10118
ES735949	ESR10113
ES735949	ESR10107
ES735949	ESR10106
ES735949	ESR10105
ES735950	ESR10135
ES735950	ESR10129
ES735950	ESR10119
ES735951	ESR10123
ES735951	ESR10121
ES735951	ESR10107
ES735951	ESR10106
ES735952	ESR10136
ES735952	ESR10120
ES735952	ESR10113
ES735952	ESR10110
ES735952	ESR10102
ES735953	ESR10136
ES735953	ESR10134
ES735953	ESR10116
ES735954	ESR10138
ES735954	ESR10136
ES735954	ESR10134
ES735954	ESR10115
ES735954	ESR10113
ES735954	ESR10109
ES735954	ESR10103
ES735955	ESR10139
ES735955	ESR10136
ES735955	ESR10135
ES735955	ESR10130
ES735955	ESR10117
ES735955	ESR10111
ES735956	ESR10139
ES735956	ESR10135
ES735956	ESR10128
ES735956	ESR10108
ES735956	ESR10103
ES735957	ESR10107
ES735957	ESR10134
ES735957	ESR10130
ES735957	ESR10127
ES735958	ESR10136
ES735958	ESR10109
ES735958	ESR10108
ES735959	ESR10121
ES735959	ESR10112
ES735959	ESR10103
ES735960	ESR10124
ES735960	ESR10119
ES735960	ESR10114
ES735960	ESR10110
ES735960	ESR10109
ES735961	ESR10135
ES735961	ESR10122
ES735961	ESR10112
ES735961	ESR10103
ES735962	ESR10134
ES735962	ESR10131
ES735962	ESR10126
ES735962	ESR10118
ES735962	ESR10105
ES735963	ESR10132
ES735963	ESR10125
ES735963	ESR10118
ES735963	ESR10106
ES735964	ESR10125
ES735964	ESR10112
ES735964	ESR10110
ES735965	ESR10133
ES735965	ESR10123
ES735965	ESR10122
ES735965	ESR10120
ES735965	ESR10116
ES735966	ESR10132
ES735966	ESR10122
ES735966	ESR10117
ES735966	ESR10111
ES735967	ESR10138
ES735967	ESR10134
ES735967	ESR10127
ES735967	ESR10126
ES735967	ESR10123
ES735967	ESR10120
ES735967	ESR10104
ES735968	ESR10131
ES735968	ESR10124
ES735968	ESR10114
ES735968	ESR10110
ES735969	ESR10141
ES735969	ESR10129
ES735969	ESR10124
ES735969	ESR10115
ES735969	ESR10114
ES735969	ESR10113
ES735969	ESR10112
ES735969	ESR10111
ES735970	ESR10142
ES735970	ESR10121
ES735970	ESR10118
ES735970	ESR10113
ES735971	ESR10138
ES735971	ESR10136
ES735971	ESR10121
ES735972	ESR10138
ES735972	ESR10137
ES735972	ESR10132
ES735972	ESR10128
ES735972	ESR10123
ES735972	ESR10121
ES735972	ESR10120
ES735972	ESR10115
ES735973	ESR10132
ES735973	ESR10131
ES735973	ESR10125
ES735973	ESR10114
ES735973	ESR10110
ES735973	ESR10109
ES735973	ESR10107
ES735974	ESR10125
ES735974	ESR10118
ES735974	ESR10116
ES735974	ESR10143
ES735974	ESR10140
ES735975	ESR10138
ES735975	ESR10134
ES735975	ESR10130
ES735975	ESR10125
ES735975	ESR10120
ES735975	ESR10116
ES735976	ESR10123
ES735976	ESR10114
ES735976	ESR10111
ES735977	ESR10138
ES735977	ESR10122
ES735978	ESR10121
ES735978	ESR10116
ES735978	ESR10110
ES735978	ESR10102
ES735979	ESR10141
ES735979	ESR10128
ES735979	ESR10119
ES735979	ESR10118
ES735979	ESR10116
ES735979	ESR10115
ES735979	ESR10111
ES735980	ESR10125
ES735980	ESR10123
ES735980	ESR10106
ES735980	ESR10104
ES735980	ESR10102
ES735981	ESR10118
ES735981	ESR10115
ES735981	ESR10109
ES735981	ESR10105
ES735981	ESR10140
ES735981	ESR10134
ES735981	ESR10122
ES735982	ESR10139
ES735982	ESR10134
ES735982	ESR10126
ES735982	ESR10108
ES735983	ESR10142
ES735983	ESR10139
ES735983	ESR10137
ES735983	ESR10135
ES735983	ESR10128
ES735983	ESR10117
ES735983	ESR10115
ES735983	ESR10113
ES735984	ESR10129
ES735984	ESR10127
ES735984	ESR10114
ES735984	ESR10107
ES735985	ESR10139
ES735985	ESR10124
ES735985	ESR10123
ES735985	ESR10121
ES735985	ESR10112
ES735985	ESR10107
ES735985	ESR10106
ES735986	ESR10139
ES735986	ESR10129
ES735986	ESR10127
ES735986	ESR10118
ES735986	ESR10110
ES735986	ESR10108
ES735986	ESR10106
ES735986	ESR10103
ES735987	ESR10142
ES735987	ESR10134
ES735987	ESR10129
ES735987	ESR10128
ES735987	ESR10112
ES735987	ESR10106
ES735988	ESR10136
ES735988	ESR10118
ES735988	ESR10117
ES735988	ESR10109
ES735988	ESR10106
ES735989	ESR10140
ES735989	ESR10121
ES735989	ESR10114
ES735989	ESR10102
ES735990	ESR10129
ES735990	ESR10122
ES735990	ESR10119
ES735990	ESR10117
ES735991	ESR10137
ES735991	ESR10136
ES735991	ESR10134
ES735991	ESR10115
ES735991	ESR10114
ES735991	ESR10110
ES735991	ESR10104
ES735992	ESR10143
ES735992	ESR10141
ES735992	ESR10135
ES735992	ESR10113
ES735992	ESR10108
ES735993	ESR10133
ES735993	ESR10110
ES735993	ESR10107
ES735994	ESR10143
ES735994	ESR10142
ES735994	ESR10136
ES735994	ESR10128
ES735994	ESR10126
ES735994	ESR10121
ES735994	ESR10102
ES735995	ESR10117
ES735995	ESR10113
ES735995	ESR10133
ES735996	ESR10134
ES735996	ESR10113
ES735996	ESR10109
ES735996	ESR10105
ES735996	ESR10103
ES735997	ESR10139
ES735997	ESR10135
ES735997	ESR10133
ES735997	ESR10132
ES735997	ESR10122
ES735997	ESR10121
ES735997	ESR10103
ES735997	ESR10102
ES735998	ESR10136
ES735998	ESR10128
ES735998	ESR10125
ES735998	ESR10121
ES735998	ESR10115
ES735998	ESR10114
ES735998	ESR10112
ES735998	ESR10109
ES735998	ESR10105
ES735998	ESR10102
ES735999	ESR10134
ES735999	ESR10133
ES735999	ESR10122
ES735999	ESR10117
ES736000	ESR10142
ES736000	ESR10136
ES736000	ESR10125
ES736001	ESR10142
ES736001	ESR10131
ES736001	ESR10124
ES736001	ESR10123
ES736001	ESR10118
ES736001	ESR10114
ES736001	ESR10111
ES736001	ESR10109
ES736001	ESR10108
ES736001	ESR10107
ES736002	ESR10142
ES736002	ESR10141
ES736002	ESR10130
ES736002	ESR10128
