FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
156638	5		SSC-A		SSC-A
156638	2		FSC-A		FSC-A
156638	15		APC-A	SDC1	CD138
156639	7		SSC-W		SSC-W
156639	5		SSC-A		SSC-A
156640	5		SSC-A		SSC-A
156640	2		FSC-A		FSC-A
156640	11		PE-Cy5-A	CD40	CD40
156641	4		FSC-W		FSC-W
156641	13		Pacific Blue-A	CD4	CD4
156641	2		FSC-A		FSC-A
156641	18		PE-Cy5-5-A		PE-Cy5-5-A
156641	14		QDot 565-A		CD45
156641	11		PE-Cy5-A	CXCR3	CXCR3
156642	7		SSC-W		SSC-W
156643	17		APC-Cy7-A		APC-Cy7-A
156643	6		SSC-H		SSC-H
156643	7		SSC-W		SSC-W
156643	16		Alexa 700-A	HLA-DRA	HLADR
156645	8		FITC-A	CXCR5	CXCR5
156646	6		SSC-H		SSC-H
156646	11		PE-Cy5-A	CD20	CD20
156646	10		PE-TxR-A	CD19	CD19
156646	8		FITC-A	IGHD	IgD
156647	13		Pacific Blue-A	CD86	CD86
156647	17		APC-Cy7-A		APC-Cy7-A
156647	10		PE-TxR-A	CD2	CD2
156648	17		APC-Cy7-A	FCG3A	CD16
156648	1		Time		Time
156648	4		FSC-W		FSC-W
156650	11		PE-Cy5-A	CD20	CD20
156651	13		Pacific Blue-A	CD86	CD86
156652	5		SSC-A		SSC-A
156652	17		APC-Cy7-A	FCG3A	CD16
156652	1		Time		Time
156653	6		SSC-H		SSC-H
156653	9		PE-A	CCR6	CCR6
156654	11		PE-Cy5-A	CD20	CD20
156654	10		PE-TxR-A	CD19	CD19
156654	9		PE-A	CD24	CD24
156654	3		FSC-H		FSC-H
156654	13		Pacific Blue-A	CD86	CD86
156654	14		QDot 565-A		CD45
156655	11		PE-Cy5-A	ITAX	CD11c
156655	17		APC-Cy7-A		APC-Cy7-A
156655	1		Time		Time
156656	5		SSC-A		SSC-A
156657	9		PE-A	CCR6	CCR6
156657	8		FITC-A	CXCR5	CXCR5
156657	3		FSC-H		FSC-H
156657	13		Pacific Blue-A	CD4	CD4
156657	12		PE-Cy7-A	CCR7	CCR7
156657	2		FSC-A		FSC-A
156658	16		Alexa 700-A		CD3/CD14
156658	13		Pacific Blue-A	CD86	CD86
156658	6		SSC-H		SSC-H
156659	18		PE-Cy5-5-A		PE-Cy5-5-A
156660	14		QDot 565-A		CD45
156662	15		APC-A	SDC1	CD138
156662	11		PE-Cy5-A	CD20	CD20
156662	10		PE-TxR-A	CD19	CD19
156663	11		PE-Cy5-A	ITAX	CD11c
156664	1		Time		Time
156664	15		APC-A		SLAN
156664	6		SSC-H		SSC-H
156665	4		FSC-W		FSC-W
156665	5		SSC-A		SSC-A
156665	17		APC-Cy7-A	CD8A	CD8
156665	15		APC-A	ICOS	ICOS
156666	6		SSC-H		SSC-H
156666	10		PE-TxR-A	CD19	CD19
156666	4		FSC-W		FSC-W
156666	16		Alexa 700-A		CD3/CD14
156667	9		PE-A	CLEC4C	BDCA2
156667	8		FITC-A		Lin1
156668	3		FSC-H		FSC-H
156668	11		PE-Cy5-A	CD40	CD40
156669	14		QDot 565-A		CD45
156669	8		FITC-A	CXCR5	CXCR5
156669	3		FSC-H		FSC-H
156671	7		SSC-W		SSC-W
156672	13		Pacific Blue-A	CD86	CD86
156672	9		PE-A	CD14	CD14
156673	18		PE-Cy5-5-A		PE-Cy5-5-A
156674	2		FSC-A		FSC-A
156675	9		PE-A	CLEC4C	BDCA2
156675	1		Time		Time
156675	15		APC-A	THBD	BDCA3
156676	2		FSC-A		FSC-A
156677	9		PE-A	CCR6	CCR6
156678	13		Pacific Blue-A	CD86	CD86
156678	18		PE-Cy5-5-A		PE-Cy5-5-A
156679	9		PE-A	CLEC4C	BDCA2
156679	1		Time		Time
156679	6		SSC-H		SSC-H
156681	18		PE-Cy5-5-A		PE-Cy5-5-A
156681	10		PE-TxR-A	PTPRC	CD45RA
156682	13		Pacific Blue-A	CD86	CD86
156683	11		PE-Cy5-A	ITAX	CD11c
156683	4		FSC-W		FSC-W
156684	1		Time		Time
156684	15		APC-A		SLAN
156685	13		Pacific Blue-A	CD4	CD4
156685	15		APC-A	ICOS	ICOS
156685	10		PE-TxR-A	PTPRC	CD45RA
156685	8		FITC-A	CXCR5	CXCR5
156685	5		SSC-A		SSC-A
156686	8		FITC-A	IGHD	IgD
156687	9		PE-A	CLEC4C	BDCA2
156687	17		APC-Cy7-A		APC-Cy7-A
156687	15		APC-A	THBD	BDCA3
156687	11		PE-Cy5-A	ITAX	CD11c
156687	10		PE-TxR-A	CD2	CD2
156689	7		SSC-W		SSC-W
156689	16		Alexa 700-A	CD3E	CD3
156689	12		PE-Cy7-A	CCR7	CCR7
156689	2		FSC-A		FSC-A
156690	15		APC-A	SDC1	CD138
156690	9		PE-A	CD24	CD24
156690	12		PE-Cy7-A	CD38	CD38
156692	2		FSC-A		FSC-A
156692	4		FSC-W		FSC-W
156692	5		SSC-A		SSC-A
156693	1		Time		Time
156693	10		PE-TxR-A	PTPRC	CD45RA
156694	4		FSC-W		FSC-W
156694	13		Pacific Blue-A	CD86	CD86
156695	9		PE-A	CLEC4C	BDCA2
156695	17		APC-Cy7-A		APC-Cy7-A
156696	17		APC-Cy7-A	FCG3A	CD16
156697	17		APC-Cy7-A	CD8A	CD8
156697	2		FSC-A		FSC-A
156697	9		PE-A	CCR6	CCR6
156697	5		SSC-A		SSC-A
156698	16		Alexa 700-A		CD3/CD14
156698	13		Pacific Blue-A	CD86	CD86
156698	10		PE-TxR-A	CD19	CD19
156699	14		QDot 565-A		CD45
156699	11		PE-Cy5-A	ITAX	CD11c
156700	3		FSC-H		FSC-H
156700	1		Time		Time
156701	10		PE-TxR-A	PTPRC	CD45RA
156701	8		FITC-A	CXCR5	CXCR5
156702	14		QDot 565-A		CD45
156702	15		APC-A	SDC1	CD138
156702	17		APC-Cy7-A	CD27	CD27
156703	5		SSC-A		SSC-A
156703	13		Pacific Blue-A	CD86	CD86
156704	4		FSC-W		FSC-W
156705	7		SSC-W		SSC-W
156705	1		Time		Time
156706	10		PE-TxR-A	CD19	CD19
156706	3		FSC-H		FSC-H
156707	10		PE-TxR-A	CD2	CD2
156707	12		PE-Cy7-A	CD1C	CD1c
156707	18		PE-Cy5-5-A		PE-Cy5-5-A
156708	10		PE-TxR-A	CD2	CD2
156708	5		SSC-A		SSC-A
156708	6		SSC-H		SSC-H
156709	5		SSC-A		SSC-A
156709	2		FSC-A		FSC-A
156709	18		PE-Cy5-5-A		PE-Cy5-5-A
156711	5		SSC-A		SSC-A
156711	12		PE-Cy7-A	CD1C	CD1c
156711	17		APC-Cy7-A		APC-Cy7-A
156712	14		QDot 565-A		CD45
156712	15		APC-A		SLAN
156712	9		PE-A	CD14	CD14
156713	5		SSC-A		SSC-A
156713	16		Alexa 700-A	CD3E	CD3
156714	5		SSC-A		SSC-A
156714	16		Alexa 700-A		CD3/CD14
156715	1		Time		Time
156715	15		APC-A	THBD	BDCA3
156716	16		Alexa 700-A	HLA-DRA	HLADR
156716	13		Pacific Blue-A	CD86	CD86
156716	14		QDot 565-A		CD45
156716	4		FSC-W		FSC-W
156717	10		PE-TxR-A	PTPRC	CD45RA
156717	5		SSC-A		SSC-A
156717	13		Pacific Blue-A	CD4	CD4
156718	2		FSC-A		FSC-A
156718	15		APC-A	SDC1	CD138
156718	13		Pacific Blue-A	CD86	CD86
156719	15		APC-A	THBD	BDCA3
156720	8		FITC-A	CX3CR1	CX3CR1
156720	15		APC-A		SLAN
156720	6		SSC-H		SSC-H
156721	11		PE-Cy5-A	CXCR3	CXCR3
156721	7		SSC-W		SSC-W
156722	14		QDot 565-A		CD45
156722	6		SSC-H		SSC-H
156723	13		Pacific Blue-A	CD86	CD86
156723	12		PE-Cy7-A	CD1C	CD1c
156723	2		FSC-A		FSC-A
156723	18		PE-Cy5-5-A		PE-Cy5-5-A
156724	3		FSC-H		FSC-H
156724	16		Alexa 700-A	HLA-DRA	HLADR
156725	10		PE-TxR-A	PTPRC	CD45RA
157175	12		PE-Cy7-A	CD38	CD38
157175	1		Time		Time
157175	3		FSC-H		FSC-H
157176	10		PE-TxR-A	CD2	CD2
157177	1		Time		Time
157177	14		QDot 565-A		CD45
157177	6		SSC-H		SSC-H
157178	9		PE-A	CCR6	CCR6
157178	14		QDot 565-A		CD45
157179	7		SSC-W		SSC-W
157179	18		PE-Cy5-5-A		PE-Cy5-5-A
157179	1		Time		Time
157179	14		QDot 565-A		CD45
157179	6		SSC-H		SSC-H
157181	5		SSC-A		SSC-A
157181	13		Pacific Blue-A	CD86	CD86
157181	15		APC-A		SLAN
157182	6		SSC-H		SSC-H
157182	9		PE-A	CCR6	CCR6
157182	8		FITC-A	CXCR5	CXCR5
157182	5		SSC-A		SSC-A
157183	10		PE-TxR-A	CD19	CD19
157183	16		Alexa 700-A		CD3/CD14
157183	12		PE-Cy7-A	CD38	CD38
157184	9		PE-A	CLEC4C	BDCA2
157184	8		FITC-A		Lin1
157184	5		SSC-A		SSC-A
157184	17		APC-Cy7-A		APC-Cy7-A
157184	2		FSC-A		FSC-A
157185	12		PE-Cy7-A	ITGAM	CD11b
157185	14		QDot 565-A		CD45
157185	7		SSC-W		SSC-W
157185	5		SSC-A		SSC-A
157186	12		PE-Cy7-A	CCR7	CCR7
157187	3		FSC-H		FSC-H
157187	16		Alexa 700-A		CD3/CD14
157187	1		Time		Time
157187	8		FITC-A	IGHD	IgD
157188	12		PE-Cy7-A	CD1C	CD1c
157188	17		APC-Cy7-A		APC-Cy7-A
157188	6		SSC-H		SSC-H
157189	13		Pacific Blue-A	CD86	CD86
157189	17		APC-Cy7-A	FCG3A	CD16
157189	1		Time		Time
157189	14		QDot 565-A		CD45
157190	10		PE-TxR-A	PTPRC	CD45RA
157190	15		APC-A	ICOS	ICOS
157191	3		FSC-H		FSC-H
157191	16		Alexa 700-A		CD3/CD14
157193	9		PE-A	CD14	CD14
157193	7		SSC-W		SSC-W
157193	3		FSC-H		FSC-H
157194	12		PE-Cy7-A	CCR7	CCR7
157194	1		Time		Time
157195	9		PE-A	CD24	CD24
157195	17		APC-Cy7-A	CD27	CD27
157196	3		FSC-H		FSC-H
157197	16		Alexa 700-A	HLA-DRA	HLA-DR
157197	10		PE-TxR-A	CD2	CD2
157197	4		FSC-W		FSC-W
157198	4		FSC-W		FSC-W
157199	9		PE-A	CD24	CD24
157199	12		PE-Cy7-A	CD38	CD38
157199	4		FSC-W		FSC-W
157200	13		Pacific Blue-A	CD86	CD86
157200	8		FITC-A		Lin1
157201	4		FSC-W		FSC-W
157201	9		PE-A	CD14	CD14
157201	16		Alexa 700-A	HLA-DRA	HLA-DR
157201	15		APC-A		SLAN
157202	6		SSC-H		SSC-H
157203	14		QDot 565-A		CD45
157204	2		FSC-A		FSC-A
157205	6		SSC-H		SSC-H
157205	2		FSC-A		FSC-A
157205	18		PE-Cy5-5-A		PE-Cy5-5-A
157205	15		APC-A		SLAN
157206	7		SSC-W		SSC-W
157207	18		PE-Cy5-5-A		PE-Cy5-5-A
157208	2		FSC-A		FSC-A
157208	10		PE-TxR-A	CD2	CD2
157209	16		Alexa 700-A	HLA-DRA	HLA-DR
157209	15		APC-A		SLAN
157209	6		SSC-H		SSC-H
157210	6		SSC-H		SSC-H
157210	2		FSC-A		FSC-A
157212	9		PE-A	CLEC4C	BDCA2
157212	7		SSC-W		SSC-W
157212	2		FSC-A		FSC-A
157212	18		PE-Cy5-5-A		PE-Cy5-5-A
157213	12		PE-Cy7-A	ITGAM	CD11b
157213	17		APC-Cy7-A	FCG3A	CD16
157213	1		Time		Time
157213	14		QDot 565-A		CD45
157213	15		APC-A		SLAN
157215	14		QDot 565-A		CD45
157215	6		SSC-H		SSC-H
157216	9		PE-A	CLEC4C	BDCA2
157218	5		SSC-A		SSC-A
157218	13		Pacific Blue-A	CD4	CD4
157219	5		SSC-A		SSC-A
157219	17		APC-Cy7-A	CD27	CD27
157219	2		FSC-A		FSC-A
157221	8		FITC-A	CX3CR1	CX3CR1
157222	13		Pacific Blue-A	CD4	CD4
157222	12		PE-Cy7-A	CCR7	CCR7
157222	15		APC-A	ICOS	ICOS
157222	11		PE-Cy5-A	CXCR3	CXCR3
157222	7		SSC-W		SSC-W
157223	12		PE-Cy7-A	CD38	CD38
157223	6		SSC-H		SSC-H
157224	5		SSC-A		SSC-A
157225	18		PE-Cy5-5-A		PE-Cy5-5-A
157225	14		QDot 565-A		CD45
157225	6		SSC-H		SSC-H
157226	9		PE-A	CCR6	CCR6
157226	5		SSC-A		SSC-A
157227	8		FITC-A	IGHD	IgD
157227	18		PE-Cy5-5-A		PE-Cy5-5-A
157228	10		PE-TxR-A	CD2	CD2
157229	12		PE-Cy7-A	ITGAM	CD11b
157229	18		PE-Cy5-5-A		PE-Cy5-5-A
157229	4		FSC-W		FSC-W
157229	7		SSC-W		SSC-W
157230	17		APC-Cy7-A	CD8A	CD8
157230	18		PE-Cy5-5-A		PE-Cy5-5-A
157230	11		PE-Cy5-A	CXCR3	CXCR3
157231	11		PE-Cy5-A	CD20	CD20
157231	10		PE-TxR-A	CD19	CD19
157231	16		Alexa 700-A		CD3/CD14
157232	5		SSC-A		SSC-A
157232	12		PE-Cy7-A	CD1C	CD1c
157232	15		APC-A	THBD	BDCA3
157232	8		FITC-A		Lin1
157233	2		FSC-A		FSC-A
157233	9		PE-A	CD14	CD14
157233	7		SSC-W		SSC-W
157233	13		Pacific Blue-A	CD86	CD86
157233	12		PE-Cy7-A	ITGAM	CD11b
157234	5		SSC-A		SSC-A
157234	13		Pacific Blue-A	CD4	CD4
157234	17		APC-Cy7-A	CD8A	CD8
157234	8		FITC-A	CXCR5	CXCR5
157234	7		SSC-W		SSC-W
157235	18		PE-Cy5-5-A		PE-Cy5-5-A
157235	15		APC-A	SDC1	CD138
157235	6		SSC-H		SSC-H
157236	7		SSC-W		SSC-W
157236	13		Pacific Blue-A	CD86	CD86
157237	9		PE-A	CD14	CD14
157237	7		SSC-W		SSC-W
157238	2		FSC-A		FSC-A
157238	11		PE-Cy5-A	CXCR3	CXCR3
157238	7		SSC-W		SSC-W
157239	4		FSC-W		FSC-W
157241	18		PE-Cy5-5-A		PE-Cy5-5-A
157241	4		FSC-W		FSC-W
157243	3		FSC-H		FSC-H
157243	2		FSC-A		FSC-A
157243	18		PE-Cy5-5-A		PE-Cy5-5-A
157243	6		SSC-H		SSC-H
157244	1		Time		Time
157244	14		QDot 565-A		CD45
157245	3		FSC-H		FSC-H
157245	17		APC-Cy7-A	FCG3A	CD16
157245	15		APC-A		SLAN
157246	9		PE-A	CCR6	CCR6
157246	18		PE-Cy5-5-A		PE-Cy5-5-A
157246	14		QDot 565-A		CD45
157246	11		PE-Cy5-A	CXCR3	CXCR3
157247	1		Time		Time
157247	10		PE-TxR-A	CD19	CD19
157247	8		FITC-A	IGHD	IgD
157248	15		APC-A	THBD	BDCA3
157248	6		SSC-H		SSC-H
157249	7		SSC-W		SSC-W
157249	5		SSC-A		SSC-A
157249	16		Alexa 700-A	HLA-DRA	HLADR
157249	1		Time		Time
157249	15		APC-A		SLAN
157250	3		FSC-H		FSC-H
