EXPSAMPLE_ACCESSION	TREATMENT_ACCESSION
ES779581	TRT1338
ES779583	TRT1338
ES779593	TRT1338
ES779597	TRT1338
ES779609	TRT1338
ES779626	TRT1338
ES779633	TRT1338
ES779636	TRT1338
ES779638	TRT1338
ES779645	TRT1338
ES779647	TRT1338
ES779656	TRT1338
ES779675	TRT1338
ES779695	TRT1338
ES783580	TRT1338
ES783595	TRT1338
ES783598	TRT1338
ES783599	TRT1338
ES783612	TRT1338
ES783613	TRT1338
ES783619	TRT1338
ES783624	TRT1338
ES783625	TRT1338
ES783636	TRT1338
ES783640	TRT1338
ES783644	TRT1338
ES783649	TRT1338
ES783660	TRT1338
ES784330	TRT1338
ES784337	TRT1338
ES784353	TRT1338
ES784354	TRT1338
ES784356	TRT1338
ES784365	TRT1338
ES784368	TRT1338
ES779407	TRT1338
ES779414	TRT1338
ES779416	TRT1338
ES779430	TRT1338
ES779432	TRT1338
ES779437	TRT1338
ES779453	TRT1338
ES779456	TRT1338
ES779464	TRT1338
ES779468	TRT1338
ES784119	TRT1338
ES784125	TRT1338
ES784129	TRT1338
ES784133	TRT1338
ES784137	TRT1338
ES784140	TRT1338
ES784144	TRT1338
ES784153	TRT1338
ES784155	TRT1338
ES784158	TRT1338
ES784169	TRT1338
ES784171	TRT1338
ES784174	TRT1338
ES784184	TRT1338
ES784190	TRT1338
ES784201	TRT1338
ES784221	TRT1338
ES784227	TRT1338
ES784229	TRT1338
ES784231	TRT1338
ES784267	TRT1338
ES784269	TRT1338
ES784294	TRT1338
ES784298	TRT1338
ES784300	TRT1338
ES784302	TRT1338
ES779471	TRT1338
ES779474	TRT1338
ES779476	TRT1338
ES779491	TRT1338
ES779496	TRT1338
ES779499	TRT1338
ES779503	TRT1338
ES779515	TRT1338
ES779516	TRT1338
ES779524	TRT1338
ES779529	TRT1338
ES779534	TRT1338
ES779567	TRT1338
ES779598	TRT1338
ES779606	TRT1338
ES779608	TRT1338
ES779611	TRT1338
ES779614	TRT1338
ES779621	TRT1338
ES779624	TRT1338
ES779625	TRT1338
ES779634	TRT1338
ES779642	TRT1338
ES779651	TRT1338
ES779672	TRT1338
ES779681	TRT1338
ES779686	TRT1338
ES779693	TRT1338
ES779701	TRT1338
ES779703	TRT1338
ES779704	TRT1338
ES783584	TRT1338
ES783594	TRT1338
ES783620	TRT1338
ES783631	TRT1338
ES783632	TRT1338
ES783634	TRT1338
ES783648	TRT1338
ES783653	TRT1338
ES783661	TRT1338
ES783663	TRT1338
ES783664	TRT1338
ES784331	TRT1338
ES784342	TRT1338
ES784351	TRT1338
ES784352	TRT1338
ES784371	TRT1338
ES779405	TRT1338
ES779408	TRT1338
ES779409	TRT1338
ES779412	TRT1338
ES779420	TRT1338
ES779423	TRT1338
ES779434	TRT1338
ES779439	TRT1338
ES779444	TRT1338
ES779454	TRT1338
ES779459	TRT1338
ES779460	TRT1338
ES779465	TRT1338
ES784126	TRT1338
ES784128	TRT1338
ES784135	TRT1338
ES784136	TRT1338
ES784161	TRT1338
ES784162	TRT1338
ES784166	TRT1338
ES784175	TRT1338
ES784203	TRT1338
ES784211	TRT1338
ES784215	TRT1338
ES784218	TRT1338
ES784244	TRT1338
ES784258	TRT1338
ES784260	TRT1338
ES784266	TRT1338
ES784271	TRT1338
ES784293	TRT1338
ES784299	TRT1338
ES784319	TRT1338
ES784328	TRT1338
ES784329	TRT1338
ES779487	TRT1338
ES779488	TRT1338
ES779489	TRT1338
ES779490	TRT1338
ES779502	TRT1338
ES779509	TRT1338
ES779522	TRT1338
ES779527	TRT1338
ES779536	TRT1338
ES779539	TRT1338
ES779547	TRT1338
ES779548	TRT1338
ES779560	TRT1338
ES779561	TRT1338
ES779570	TRT1338
ES779571	TRT1338
ES779572	TRT1338
ES779585	TRT1338
ES779613	TRT1338
ES779615	TRT1338
ES779619	TRT1338
ES779620	TRT1338
ES779635	TRT1338
ES779640	TRT1338
ES779649	TRT1338
ES779655	TRT1338
ES779658	TRT1338
ES779660	TRT1338
ES779664	TRT1338
ES779698	TRT1338
ES779707	TRT1338
ES783577	TRT1338
ES783591	TRT1338
ES783600	TRT1338
ES783602	TRT1338
ES783616	TRT1338
ES783617	TRT1338
ES783623	TRT1338
ES783630	TRT1338
ES783643	TRT1338
ES783655	TRT1338
ES784335	TRT1338
ES784358	TRT1338
ES784362	TRT1338
ES784372	TRT1338
ES779404	TRT1338
ES779406	TRT1338
ES779411	TRT1338
ES779431	TRT1338
ES779440	TRT1338
ES779450	TRT1338
ES779461	TRT1338
ES784116	TRT1338
ES784134	TRT1338
ES784148	TRT1338
ES784168	TRT1338
ES784176	TRT1338
ES784178	TRT1338
ES784179	TRT1338
ES784187	TRT1338
ES784193	TRT1338
ES784196	TRT1338
ES784200	TRT1338
ES784202	TRT1338
ES784204	TRT1338
ES784209	TRT1338
ES784226	TRT1338
ES784241	TRT1338
ES784242	TRT1338
ES784257	TRT1338
ES784280	TRT1338
ES784291	TRT1338
ES784292	TRT1338
ES784301	TRT1338
ES784309	TRT1338
ES784322	TRT1338
ES784323	TRT1338
ES779479	TRT1338
ES779480	TRT1338
ES779481	TRT1338
ES779484	TRT1338
ES779494	TRT1338
ES779498	TRT1338
ES779508	TRT1338
ES779511	TRT1338
ES779523	TRT1338
ES779526	TRT1338
ES779528	TRT1338
ES779556	TRT1338
ES779564	TRT1338
ES779569	TRT1338
ES779574	TRT1338
ES779579	TRT1338
ES779587	TRT1338
ES779589	TRT1338
ES779592	TRT1338
ES779604	TRT1338
ES779605	TRT1338
ES779630	TRT1338
ES779641	TRT1338
ES779643	TRT1338
ES779646	TRT1338
ES779657	TRT1338
ES779669	TRT1338
ES779671	TRT1338
ES779677	TRT1338
ES779678	TRT1338
ES779690	TRT1338
ES779696	TRT1338
ES779699	TRT1338
ES779706	TRT1338
ES783578	TRT1338
ES783615	TRT1338
ES783637	TRT1338
ES783641	TRT1338
ES784339	TRT1338
ES784340	TRT1338
ES784341	TRT1338
ES784359	TRT1338
ES784370	TRT1338
ES779427	TRT1338
ES779442	TRT1338
ES779443	TRT1338
ES779446	TRT1338
ES779447	TRT1338
ES779466	TRT1338
ES779467	TRT1338
ES784120	TRT1338
ES784122	TRT1338
ES784130	TRT1338
ES784146	TRT1338
ES784149	TRT1338
ES784167	TRT1338
ES784183	TRT1338
ES784186	TRT1338
ES784188	TRT1338
ES784191	TRT1338
ES784194	TRT1338
ES784199	TRT1338
ES784208	TRT1338
ES784216	TRT1338
ES784217	TRT1338
ES784222	TRT1338
ES784243	TRT1338
ES784245	TRT1338
ES784250	TRT1338
ES784252	TRT1338
ES784259	TRT1338
ES784264	TRT1338
ES784265	TRT1338
ES784272	TRT1338
ES784282	TRT1338
ES784284	TRT1338
ES784285	TRT1338
ES784303	TRT1338
ES784312	TRT1338
ES784315	TRT1338
ES779482	TRT1338
ES779485	TRT1338
ES779493	TRT1338
ES779495	TRT1338
ES779518	TRT1338
ES779521	TRT1338
ES779530	TRT1338
ES779538	TRT1338
ES779550	TRT1338
ES779553	TRT1338
ES779566	TRT1338
ES779578	TRT1338
ES779595	TRT1338
ES779596	TRT1338
ES779600	TRT1338
ES779601	TRT1338
ES779607	TRT1338
ES779612	TRT1338
ES779618	TRT1338
ES779628	TRT1338
ES779639	TRT1338
ES779648	TRT1338
ES779653	TRT1338
ES779654	TRT1338
ES779670	TRT1338
ES779673	TRT1338
ES779684	TRT1338
