FILE_INFO_ID	DETAIL	FILESIZE_BYTES	NAME	ORIGINAL_FILE_NAME	WORKSPACE_ID
604431	Flow cytometry result	90296588	PBMC_222-060-vac2014-Visit1_Panel2.604431.fcs	PBMC_222-060-vac2014-Visit1_Panel2.fcs	2634
604432	Flow cytometry result	140123472	PBMC_222-060-vac2014-Visit2_Panel2.604432.fcs	PBMC_222-060-vac2014-Visit2_Panel2.fcs	2634
604433	Flow cytometry result	95439073	PBMC_222-060-vac2014-Visit1_panel3.604433.fcs	PBMC_222-060-vac2014-Visit1_panel3.fcs	2634
604434	Flow cytometry result	120017720	PBMC_222-060-vac2014-Visit2_panel3.604434.fcs	PBMC_222-060-vac2014-Visit2_panel3.fcs	2634
604435	Flow cytometry result	174602305	PBMC_222-061-vac2014-Visit1.604435.fcs	PBMC_222-061-vac2014-Visit1.fcs	2634
604436	Flow cytometry result	120103480	PBMC_222-061-vac2014-Visit2.604436.fcs	PBMC_222-061-vac2014-Visit2.fcs	2634
604437	Flow cytometry result	123253632	PBMC_222-061-vac2014-Visit1_Panel2.604437.fcs	PBMC_222-061-vac2014-Visit1_Panel2.fcs	2634
604438	Flow cytometry result	165963410	PBMC_222-061-vac2014-Visit2_Panel2.604438.fcs	PBMC_222-061-vac2014-Visit2_Panel2.fcs	2634
604439	Flow cytometry result	113249501	PBMC_222-061-vac2014-Visit1_panel3.604439.fcs	PBMC_222-061-vac2014-Visit1_panel3.fcs	2634
604440	Flow cytometry result	192335025	PBMC_222-061-vac2014-Visit2_panel3.604440.fcs	PBMC_222-061-vac2014-Visit2_panel3.fcs	2634
604441	Flow cytometry result	129025468	PBMC_222-062-vac2014-Visit1.604441.fcs	PBMC_222-062-vac2014-Visit1.fcs	2634
604442	Flow cytometry result	102499603	PBMC_222-062-vac2014-Visit2.604442.fcs	PBMC_222-062-vac2014-Visit2.fcs	2634
604443	Flow cytometry result	93670454	PBMC_222-062-vac2014-Visit1_Panel2.604443.fcs	PBMC_222-062-vac2014-Visit1_Panel2.fcs	2634
604444	Flow cytometry result	86581670	PBMC_222-062-vac2014-Visit2_Panel2.604444.fcs	PBMC_222-062-vac2014-Visit2_Panel2.fcs	2634
604445	Flow cytometry result	106288829	PBMC_222-062-vac2014-Visit1_panel3.604445.fcs	PBMC_222-062-vac2014-Visit1_panel3.fcs	2634
604446	Flow cytometry result	138603729	PBMC_222-062-vac2014-Visit2_panel3.604446.fcs	PBMC_222-062-vac2014-Visit2_panel3.fcs	2634
604447	Flow cytometry result	142991797	PBMC_222-063-vac2014-Visit1.604447.fcs	PBMC_222-063-vac2014-Visit1.fcs	2634
604448	Flow cytometry result	154371761	PBMC_222-063-vac2014-Visit2.604448.fcs	PBMC_222-063-vac2014-Visit2.fcs	2634
604449	Flow cytometry result	156341272	PBMC_222-063-vac2014-Visit1_Panel2.604449.fcs	PBMC_222-063-vac2014-Visit1_Panel2.fcs	2634
604450	Flow cytometry result	143174858	PBMC_222-063-vac2014-Visit2_Panel2.604450.fcs	PBMC_222-063-vac2014-Visit2_Panel2.fcs	2634
604451	Flow cytometry result	141316889	PBMC_222-063-vac2014-Visit1_panel3.604451.fcs	PBMC_222-063-vac2014-Visit1_panel3.fcs	2634
604452	Flow cytometry result	168555677	PBMC_222-063-vac2014-Visit2_panel3.604452.fcs	PBMC_222-063-vac2014-Visit2_panel3.fcs	2634
604453	Flow cytometry result	126479531	PBMC_222-064-vac2014-Visit1.604453.fcs	PBMC_222-064-vac2014-Visit1.fcs	2634
604454	Flow cytometry result	118218759	PBMC_222-064-vac2014-Visit2.604454.fcs	PBMC_222-064-vac2014-Visit2.fcs	2634
604455	Flow cytometry result	152571663	PBMC_222-064-vac2014-Visit1_Panel2.604455.fcs	PBMC_222-064-vac2014-Visit1_Panel2.fcs	2634
604456	Flow cytometry result	123030913	PBMC_222-064-vac2014-Visit2_Panel2.604456.fcs	PBMC_222-064-vac2014-Visit2_Panel2.fcs	2634
604457	Flow cytometry result	145423601	PBMC_222-064-vac2014-Visit1_panel3.604457.fcs	PBMC_222-064-vac2014-Visit1_panel3.fcs	2634
604458	Flow cytometry result	125584565	PBMC_222-064-vac2014-Visit2_panel3.604458.fcs	PBMC_222-064-vac2014-Visit2_panel3.fcs	2634
604459	Flow cytometry result	166247919	PBMC_222-065-vac2014-Visit1.604459.fcs	PBMC_222-065-vac2014-Visit1.fcs	2634
604460	Flow cytometry result	115903977	PBMC_222-065-vac2014-Visit2.604460.fcs	PBMC_222-065-vac2014-Visit2.fcs	2634
604461	Flow cytometry result	141185568	PBMC_222-065-vac2014-Visit1_Panel2.604461.fcs	PBMC_222-065-vac2014-Visit1_Panel2.fcs	2634
604462	Flow cytometry result	152002032	PBMC_222-065-vac2014-Visit2_Panel2.604462.fcs	PBMC_222-065-vac2014-Visit2_Panel2.fcs	2634
604463	Flow cytometry result	140887638	PBMC_222-065-vac2014-Visit1_panel3.604463.fcs	PBMC_222-065-vac2014-Visit1_panel3.fcs	2634
604464	Flow cytometry result	145335466	PBMC_222-065-vac2014-Visit2_panel3.604464.fcs	PBMC_222-065-vac2014-Visit2_panel3.fcs	2634
604465	Flow cytometry result	166296863	PBMC_222-066-vac2014-Visit1.604465.fcs	PBMC_222-066-vac2014-Visit1.fcs	2634
604466	Flow cytometry result	131843441	PBMC_222-066-vac2014-Visit2.604466.fcs	PBMC_222-066-vac2014-Visit2.fcs	2634
604467	Flow cytometry result	150169858	PBMC_222-066-vac2014-Visit1_Panel2.604467.fcs	PBMC_222-066-vac2014-Visit1_Panel2.fcs	2634
604468	Flow cytometry result	115515397	PBMC_222-066-vac2014-Visit2_Panel2.604468.fcs	PBMC_222-066-vac2014-Visit2_Panel2.fcs	2634
604469	Flow cytometry result	128190829	PBMC_222-066-vac2014-Visit1_panel3.604469.fcs	PBMC_222-066-vac2014-Visit1_panel3.fcs	2634
604470	Flow cytometry result	113396594	PBMC_222-066-vac2014-Visit2_panel3.604470.fcs	PBMC_222-066-vac2014-Visit2_panel3.fcs	2634
604471	Flow cytometry result	110475064	PBMC_222-067-vac2014-Visit1.604471.fcs	PBMC_222-067-vac2014-Visit1.fcs	2634
604472	Flow cytometry result	178312721	PBMC_222-067-vac2014-Visit2.604472.fcs	PBMC_222-067-vac2014-Visit2.fcs	2634
604473	Flow cytometry result	135131474	PBMC_222-067-vac2014-Visit1_Panel2.604473.fcs	PBMC_222-067-vac2014-Visit1_Panel2.fcs	2634
604474	Flow cytometry result	99151350	PBMC_222-067-vac2014-Visit2_Panel2.604474.fcs	PBMC_222-067-vac2014-Visit2_Panel2.fcs	2634
604475	Flow cytometry result	119616753	PBMC_222-067-vac2014-Visit1_panel3.604475.fcs	PBMC_222-067-vac2014-Visit1_panel3.fcs	2634
604476	Flow cytometry result	96604253	PBMC_222-067-vac2014-Visit2_panel3.604476.fcs	PBMC_222-067-vac2014-Visit2_panel3.fcs	2634
604477	Flow cytometry result	137806771	PBMC_222-068-vac2014-Visit1.604477.fcs	PBMC_222-068-vac2014-Visit1.fcs	2634
604478	Flow cytometry result	158731505	PBMC_222-068-vac2014-Visit2.604478.fcs	PBMC_222-068-vac2014-Visit2.fcs	2634
604479	Flow cytometry result	124590854	PBMC_222-068-vac2014-Visit1_Panel2.604479.fcs	PBMC_222-068-vac2014-Visit1_Panel2.fcs	2634
604480	Flow cytometry result	125992360	PBMC_222-068-vac2014-Visit2_Panel2.604480.fcs	PBMC_222-068-vac2014-Visit2_Panel2.fcs	2634
604481	Flow cytometry result	107534673	PBMC_222-068-vac2014-Visit1_panel3.604481.fcs	PBMC_222-068-vac2014-Visit1_panel3.fcs	2634
604482	Flow cytometry result	88365416	PBMC_222-068-vac2014-Visit2_panel3.604482.fcs	PBMC_222-068-vac2014-Visit2_panel3.fcs	2634
604483	Flow cytometry result	100891017	PBMC_222-069-vac2014-Visit1.604483.fcs	PBMC_222-069-vac2014-Visit1.fcs	2634
604484	Flow cytometry result	87184554	PBMC_222-069-vac2014-Visit2.604484.fcs	PBMC_222-069-vac2014-Visit2.fcs	2634
604485	Flow cytometry result	130701074	PBMC_222-069-vac2014-Visit1_Panel2.604485.fcs	PBMC_222-069-vac2014-Visit1_Panel2.fcs	2634
604486	Flow cytometry result	118996086	PBMC_222-069-vac2014-Visit2_Panel2.604486.fcs	PBMC_222-069-vac2014-Visit2_Panel2.fcs	2634
604487	Flow cytometry result	120103304	PBMC_222-069-vac2014-Visit1_panel3.604487.fcs	PBMC_222-069-vac2014-Visit1_panel3.fcs	2634
604488	Flow cytometry result	96325780	PBMC_222-069-vac2014-Visit2_panel3.604488.fcs	PBMC_222-069-vac2014-Visit2_panel3.fcs	2634
604489	Flow cytometry result	156893494	PBMC_222-070-vac2014-Visit1.604489.fcs	PBMC_222-070-vac2014-Visit1.fcs	2634
604490	Flow cytometry result	169193533	PBMC_222-070-vac2014-Visit2.604490.fcs	PBMC_222-070-vac2014-Visit2.fcs	2634
604491	Flow cytometry result	98706506	PBMC_222-070-vac2014-Visit1_Panel2.604491.fcs	PBMC_222-070-vac2014-Visit1_Panel2.fcs	2634
604492	Flow cytometry result	159631466	PBMC_222-070-vac2014-Visit2_Panel2.604492.fcs	PBMC_222-070-vac2014-Visit2_Panel2.fcs	2634
604493	Flow cytometry result	125253076	PBMC_222-070-vac2014-Visit1_panel3.604493.fcs	PBMC_222-070-vac2014-Visit1_panel3.fcs	2634
604494	Flow cytometry result	115835284	PBMC_222-070-vac2014-Visit2_panel3.604494.fcs	PBMC_222-070-vac2014-Visit2_panel3.fcs	2634
604495	Flow cytometry result	135451407	PBMC_222-071-vac2014-Visit1.604495.fcs	PBMC_222-071-vac2014-Visit1.fcs	2634
604496	Flow cytometry result	110665356	PBMC_222-071-vac2014-Visit2.604496.fcs	PBMC_222-071-vac2014-Visit2.fcs	2634
604497	Flow cytometry result	119659865	PBMC_222-071-vac2014-Visit1_Panel2.604497.fcs	PBMC_222-071-vac2014-Visit1_Panel2.fcs	2634
604498	Flow cytometry result	119853539	PBMC_222-071-vac2014-Visit2_Panel2.604498.fcs	PBMC_222-071-vac2014-Visit2_Panel2.fcs	2634
604499	Flow cytometry result	120318102	PBMC_222-071-vac2014-Visit1_panel3.604499.fcs	PBMC_222-071-vac2014-Visit1_panel3.fcs	2634
604500	Flow cytometry result	147509718	PBMC_222-071-vac2014-Visit2_panel3.604500.fcs	PBMC_222-071-vac2014-Visit2_panel3.fcs	2634
608528	Flow cytometry result	124669574	Visit 1_111-001.608528.fcs	Visit 1_111-001.fcs	2634
608529	Flow cytometry compensation or control	303231	Compensation Controls_APC-Cy7 Stained Control.608529.fcs	Compensation Controls_APC-Cy7 Stained Control.fcs	2634
608530	Flow cytometry compensation or control	303242	Compensation Controls_Alexa Fluor 700 Stained Control.608530.fcs	Compensation Controls_Alexa Fluor 700 Stained Control.fcs	2634
608531	Flow cytometry compensation or control	603229	Compensation Controls_AmCyan Stained Control.608531.fcs	Compensation Controls_AmCyan Stained Control.fcs	2634
608532	Flow cytometry compensation or control	303225	Compensation Controls_FITC Stained Control.608532.fcs	Compensation Controls_FITC Stained Control.fcs	2634
608533	Flow cytometry compensation or control	303229	Compensation Controls_PE-Cy7 Stained Control.608533.fcs	Compensation Controls_PE-Cy7 Stained Control.fcs	2634
608534	Flow cytometry compensation or control	303226	Compensation Controls_PE-Gr Stained Control.608534.fcs	Compensation Controls_PE-Gr Stained Control.fcs	2634
608535	Flow cytometry compensation or control	303241	Compensation Controls_Pacific Blue Stained Control.608535.fcs	Compensation Controls_Pacific Blue Stained Control.fcs	2634
608536	Flow cytometry compensation or control	303236	Compensation Controls_PerCP-Cy5-5 Stained Control.608536.fcs	Compensation Controls_PerCP-Cy5-5 Stained Control.fcs	2634
608537	Flow cytometry compensation or control	303234	Compensation Controls_Qdot 565 Stained Control.608537.fcs	Compensation Controls_Qdot 565 Stained Control.fcs	2634
608538	Flow cytometry compensation or control	303233	Compensation Controls_Qdot 605 Stained Control.608538.fcs	Compensation Controls_Qdot 605 Stained Control.fcs	2634
608539	Flow cytometry compensation or control	303233	Compensation Controls_Qdot 655 Stained Control.608539.fcs	Compensation Controls_Qdot 655 Stained Control.fcs	2634
608540	Flow cytometry compensation or control	303234	Compensation Controls_Qdot 800 Stained Control.608540.fcs	Compensation Controls_Qdot 800 Stained Control.fcs	2634
608541	Flow cytometry compensation or control	303219	Compensation Controls_Unstained Control.608541.fcs	Compensation Controls_Unstained Control.fcs	2634
608542	Flow cytometry result	119907795	Visit 2_111-001.608542.fcs	Visit 2_111-001.fcs	2634
608543	Flow cytometry result	234904300	Visit 1_111-004.608543.fcs	Visit 1_111-004.fcs	2634
608544	Flow cytometry result	384472530	Visit 2_111-004.608544.fcs	Visit 2_111-004.fcs	2634
608545	Flow cytometry result	157476260	Visit 1_111-005.608545.fcs	Visit 1_111-005.fcs	2634
608546	Flow cytometry result	169066110	Visit 2_111-005.608546.fcs	Visit 2_111-005.fcs	2634
608547	Flow cytometry result	267116508	Visit 1_111-021.608547.fcs	Visit 1_111-021.fcs	2634
608548	Flow cytometry result	191022035	Visit 2_111-021.608548.fcs	Visit 2_111-021.fcs	2634
608549	Flow cytometry result	128007587	Visit 1_111-022.608549.fcs	Visit 1_111-022.fcs	2634
608550	Flow cytometry result	190210349	Visit 2_111-022.608550.fcs	Visit 2_111-022.fcs	2634
608551	Flow cytometry result	184364663	Visit 1_111-023.608551.fcs	Visit 1_111-023.fcs	2634
608552	Flow cytometry result	264847616	Visit 2_111-023.608552.fcs	Visit 2_111-023.fcs	2634
608553	Flow cytometry result	158066459	Visit 1_111-024.608553.fcs	Visit 1_111-024.fcs	2634
608554	Flow cytometry result	376092996	Visit 2_111-024.608554.fcs	Visit 2_111-024.fcs	2634
608555	Flow cytometry result	269730010	Visit 1_111-025.608555.fcs	Visit 1_111-025.fcs	2634
608556	Flow cytometry result	185572891	Visit 2_111-025.608556.fcs	Visit 2_111-025.fcs	2634
608557	Flow cytometry result	96813203	Visit 1_111-035.608557.fcs	Visit 1_111-035.fcs	2634
608558	Flow cytometry result	309937486	Visit 2_111-035.608558.fcs	Visit 2_111-035.fcs	2634
608559	Flow cytometry result	192483914	Visit 1_111-038.608559.fcs	Visit 1_111-038.fcs	2634
608560	Flow cytometry result	169774186	Visit 2_111-038.608560.fcs	Visit 2_111-038.fcs	2634
608561	Flow cytometry result	61357477	Visit 1_111-039.608561.fcs	Visit 1_111-039.fcs	2634
608562	Flow cytometry result	126866081	Visit 2_111-039.608562.fcs	Visit 2_111-039.fcs	2634
608563	Flow cytometry result	34449955	Visit 1_111-041.608563.fcs	Visit 1_111-041.fcs	2634
608564	Flow cytometry result	88304691	Visit 2_111-041.608564.fcs	Visit 2_111-041.fcs	2634
608565	Flow cytometry result	185132946	Visit 1_111-043.608565.fcs	Visit 1_111-043.fcs	2634
608566	Flow cytometry result	277846225	Visit 2_111-043.608566.fcs	Visit 2_111-043.fcs	2634
608567	Flow cytometry result	77303367	Visit 1_111-045.608567.fcs	Visit 1_111-045.fcs	2634
608568	Flow cytometry result	231461139	Visit 2_111-045.608568.fcs	Visit 2_111-045.fcs	2634
608569	Flow cytometry result	230470594	Visit 1_111-048.608569.fcs	Visit 1_111-048.fcs	2634
608570	Flow cytometry result	539743365	Visit 2_111-048.608570.fcs	Visit 2_111-048.fcs	2634
608571	Flow cytometry result	195017678	Visit 1_111-049.608571.fcs	Visit 1_111-049.fcs	2634
608572	Flow cytometry result	339771191	Visit 2_111-049.608572.fcs	Visit 2_111-049.fcs	2634
608573	Flow cytometry result	228233791	Visit 1_111-050.608573.fcs	Visit 1_111-050.fcs	2634
608574	Flow cytometry result	394493580	Visit 2_111-050.608574.fcs	Visit 2_111-050.fcs	2634
608575	Flow cytometry result	125989249	Visit 1_111-051.608575.fcs	Visit 1_111-051.fcs	2634
608576	Flow cytometry result	176451120	Visit 2_111-051.608576.fcs	Visit 2_111-051.fcs	2634
608577	Flow cytometry result	276389439	Visit 1_111-052.608577.fcs	Visit 1_111-052.fcs	2634
608578	Flow cytometry result	80857906	Visit 2_111-052.608578.fcs	Visit 2_111-052.fcs	2634
608579	Flow cytometry result	274290927	Visit 1_111-053.608579.fcs	Visit 1_111-053.fcs	2634
