EXPSAMPLE_ACCESSION	TREATMENT_ACCESSION
ES1036608	TRT2360
ES1036641	TRT2360
ES1036653	TRT2360
ES1036662	TRT2360
ES1036665	TRT2360
ES1036673	TRT2360
ES1036677	TRT2360
ES1036701	TRT2360
ES1036718	TRT2360
ES1036742	TRT2360
ES1036770	TRT2360
ES1036773	TRT2360
ES1036779	TRT2360
ES1036783	TRT2360
ES1036796	TRT2360
ES1035297	TRT2360
ES1035308	TRT2360
ES1035310	TRT2360
ES1035312	TRT2360
ES1035324	TRT2360
ES1035333	TRT2360
ES1035346	TRT2360
ES1035357	TRT2360
ES1035362	TRT2360
ES1035371	TRT2360
ES1035376	TRT2360
ES1035382	TRT2360
ES1035390	TRT2360
ES1035399	TRT2360
ES1035403	TRT2360
ES1035408	TRT2360
ES1035410	TRT2360
ES1035422	TRT2360
ES1035425	TRT2360
ES1035426	TRT2360
ES1035436	TRT2360
ES1035439	TRT2360
ES1035450	TRT2360
ES1035463	TRT2360
ES1035472	TRT2360
ES1035484	TRT2360
ES1035486	TRT2360
ES1031269	TRT1102
ES1035501	TRT2360
ES1035508	TRT2360
ES1035510	TRT2360
ES1035523	TRT2360
ES1035542	TRT2360
ES1035545	TRT2360
ES1035546	TRT2360
ES1035547	TRT2360
ES1035552	TRT2360
ES1035556	TRT2360
ES1035571	TRT2360
ES1035572	TRT2360
ES1035579	TRT2360
ES1035580	TRT2360
ES1035585	TRT2360
ES1035587	TRT2360
ES1035592	TRT2360
ES1035606	TRT2360
ES1035609	TRT2360
ES1035625	TRT2360
ES1035628	TRT2360
ES1035637	TRT2360
ES1035646	TRT2360
ES1035661	TRT2360
ES1035668	TRT2360
ES1035669	TRT2360
ES1035673	TRT2360
ES1035688	TRT2360
ES1035700	TRT2360
ES1035705	TRT2360
ES1035709	TRT2360
ES1035720	TRT2360
ES1035723	TRT2360
ES1035726	TRT2360
ES1035734	TRT2360
ES1035747	TRT2360
ES1035748	TRT2360
ES1035756	TRT2360
ES1035757	TRT2360
ES1035760	TRT2360
ES1035768	TRT2360
ES1035782	TRT2360
ES1035799	TRT2360
ES1036004	TRT2360
ES1036018	TRT2360
ES1036024	TRT2360
ES1036027	TRT2360
ES1036036	TRT2360
ES1036038	TRT2360
ES1036095	TRT2360
ES1036110	TRT2360
ES1036125	TRT2360
ES1036128	TRT2360
ES1036138	TRT2360
ES1036141	TRT2360
ES1036147	TRT2360
ES1036161	TRT2360
ES1036174	TRT2360
ES1031481	TRT1102
ES1031482	TRT1102
ES1031487	TRT1102
ES1031491	TRT1102
ES1031495	TRT1102
ES1031499	TRT1102
ES1031504	TRT1102
ES1031510	TRT1102
ES1031511	TRT1102
ES1031530	TRT1102
ES1031532	TRT1102
ES1031554	TRT1102
ES1031555	TRT1102
ES1031564	TRT1102
ES1031574	TRT1102
ES1031580	TRT1102
ES1031586	TRT1102
ES1031613	TRT1102
ES1031617	TRT1102
ES1031622	TRT1102
ES1031627	TRT1102
ES1031631	TRT1102
ES1031634	TRT1102
ES1036204	TRT2360
ES1036211	TRT2360
ES1036226	TRT2360
ES1036231	TRT2360
ES1036241	TRT2360
ES1036244	TRT2360
ES1036257	TRT2360
ES1036266	TRT2360
ES1036282	TRT2360
ES1036285	TRT2360
ES1036297	TRT2360
ES1036303	TRT2360
ES1036315	TRT2360
ES1036321	TRT2360
ES1036334	TRT2360
ES1036361	TRT2360
ES1036364	TRT2360
ES1036368	TRT2360
ES1036374	TRT2360
ES1036377	TRT2360
ES1036388	TRT2360
ES1036391	TRT2360
ES1036392	TRT2360
ES1035800	TRT2360
ES1035801	TRT2360
ES1035813	TRT2360
ES1035817	TRT2360
ES1035852	TRT2360
ES1035865	TRT2360
ES1035867	TRT2360
ES1035868	TRT2360
ES1035870	TRT2360
ES1035890	TRT2360
ES1035900	TRT2360
ES1035904	TRT2360
ES1035908	TRT2360
ES1035938	TRT2360
ES1035940	TRT2360
ES1035944	TRT2360
ES1035988	TRT2360
ES1035995	TRT2360
ES1062746	TRT1102
ES1062748	TRT1102
ES1062768	TRT1102
ES1062769	TRT1102
ES1062770	TRT1102
ES1062774	TRT1102
ES1062776	TRT1102
ES1062781	TRT1102
ES1062795	TRT1102
ES1062796	TRT1102
ES1062804	TRT1102
ES1062814	TRT1102
ES1062825	TRT1102
ES1062831	TRT1102
ES1062849	TRT1102
ES1062863	TRT1102
ES1036416	TRT2360
ES1036421	TRT2360
ES1036426	TRT2360
ES1036434	TRT2360
ES1036451	TRT2360
ES1036460	TRT2360
ES1036472	TRT2360
ES1036477	TRT2360
ES1036480	TRT2360
ES1036483	TRT2360
ES1036509	TRT2360
ES1036512	TRT2360
ES1036513	TRT2360
ES1036518	TRT2360
ES1036519	TRT2360
ES1036527	TRT2360
ES1036534	TRT2360
ES1036548	TRT2360
ES1036550	TRT2360
ES1036561	TRT2360
ES1036573	TRT2360
ES1036575	TRT2360
ES1036582	TRT2360
ES1036586	TRT2360
ES1060439	TRT1103
ES1060447	TRT1103
ES1060448	TRT1103
ES1060470	TRT1103
ES1060471	TRT1103
ES1060503	TRT1103
ES1060515	TRT1103
ES1060526	TRT1103
ES1060527	TRT1103
ES1060532	TRT1103
ES1060546	TRT1103
ES1060553	TRT1103
ES1031310	TRT1102
ES1031311	TRT1102
ES1031314	TRT1102
ES1031317	TRT1102
ES1031318	TRT1102
ES1031326	TRT1102
ES1031333	TRT1102
ES1031346	TRT1102
ES1031368	TRT1102
ES1031374	TRT1102
ES1031377	TRT1102
ES1031388	TRT1102
ES1031437	TRT1102
ES1031444	TRT1102
ES1031457	TRT1102
ES1036616	TRT2360
ES1036624	TRT2360
ES1036634	TRT2360
ES1036644	TRT2360
ES1036659	TRT2360
ES1036664	TRT2360
ES1036679	TRT2360
ES1036680	TRT2360
ES1036684	TRT2360
ES1036703	TRT2360
ES1036719	TRT2360
ES1036729	TRT2360
ES1036736	TRT2360
ES1036737	TRT2360
ES1036738	TRT2360
ES1036739	TRT2360
ES1036747	TRT2360
ES1036751	TRT2360
ES1036767	TRT2360
ES1036775	TRT2360
ES1036794	TRT2360
ES1036800	TRT2360
ES1036801	TRT2360
ES1035311	TRT2360
ES1035319	TRT2360
ES1035323	TRT2360
ES1035331	TRT2360
ES1035332	TRT2360
ES1035365	TRT2360
ES1035375	TRT2360
ES1035377	TRT2360
ES1035378	TRT2360
ES1035381	TRT2360
ES1035387	TRT2360
ES1035419	TRT2360
ES1035428	TRT2360
ES1035468	TRT2360
ES1035470	TRT2360
ES1035476	TRT2360
ES1035480	TRT2360
ES1035485	TRT2360
ES1035488	TRT2360
ES1031270	TRT1102
ES1031278	TRT1102
ES1035503	TRT2360
ES1035513	TRT2360
ES1035516	TRT2360
ES1035519	TRT2360
ES1035527	TRT2360
ES1035534	TRT2360
ES1035540	TRT2360
ES1035549	TRT2360
ES1035559	TRT2360
ES1035561	TRT2360
ES1035566	TRT2360
ES1035569	TRT2360
ES1035588	TRT2360
ES1035614	TRT2360
ES1035622	TRT2360
ES1035634	TRT2360
ES1035640	TRT2360
ES1035641	TRT2360
ES1035650	TRT2360
ES1035653	TRT2360
ES1035655	TRT2360
ES1035665	TRT2360
ES1035674	TRT2360
ES1035691	TRT2360
ES1035692	TRT2360
ES1035693	TRT2360
ES1035703	TRT2360
ES1035708	TRT2360
ES1035715	TRT2360
ES1035730	TRT2360
ES1035738	TRT2360
ES1035752	TRT2360
ES1035763	TRT2360
ES1035775	TRT2360
ES1035777	TRT2360
ES1035779	TRT2360
ES1036002	TRT2360
ES1036005	TRT2360
ES1036009	TRT2360
ES1036016	TRT2360
ES1036019	TRT2360
ES1036022	TRT2360
ES1036026	TRT2360
ES1036034	TRT2360
ES1036051	TRT2360
ES1036055	TRT2360
ES1036057	TRT2360
ES1036062	TRT2360
ES1036069	TRT2360
ES1036098	TRT2360
ES1036107	TRT2360
ES1036111	TRT2360
ES1036112	TRT2360
ES1036116	TRT2360
ES1036136	TRT2360
ES1036137	TRT2360
ES1036148	TRT2360
ES1036157	TRT2360
ES1036159	TRT2360
ES1036160	TRT2360
ES1036171	TRT2360
ES1036177	TRT2360
ES1036178	TRT2360
ES1036187	TRT2360
ES1036192	TRT2360
ES1036195	TRT2360
ES1036198	TRT2360
ES1031462	TRT1102
ES1031463	TRT1102
ES1031477	TRT1102
ES1031485	TRT1102
ES1031492	TRT1102
ES1031494	TRT1102
ES1031506	TRT1102
ES1031507	TRT1102
ES1031509	TRT1102
ES1031514	TRT1102
ES1031519	TRT1102
ES1031520	TRT1102
ES1031522	TRT1102
ES1031523	TRT1102
ES1031536	TRT1102
ES1031540	TRT1102
ES1031545	TRT1102
ES1031548	TRT1102
ES1031553	TRT1102
ES1031562	TRT1102
ES1031575	TRT1102
ES1031576	TRT1102
ES1031587	TRT1102
ES1031592	TRT1102
ES1031593	TRT1102
ES1031636	TRT1102
ES1031638	TRT1102
ES1036207	TRT2360
ES1036216	TRT2360
ES1036217	TRT2360
ES1036219	TRT2360
ES1036220	TRT2360
ES1036223	TRT2360
ES1036230	TRT2360
ES1036237	TRT2360
ES1036245	TRT2360
ES1036260	TRT2360
ES1036263	TRT2360
ES1036269	TRT2360
ES1036277	TRT2360
ES1036291	TRT2360
ES1036293	TRT2360
ES1036304	TRT2360
ES1036312	TRT2360
ES1036314	TRT2360
ES1036316	TRT2360
ES1036337	TRT2360
ES1036338	TRT2360
ES1036345	TRT2360
ES1036353	TRT2360
ES1036359	TRT2360
ES1036362	TRT2360
ES1036366	TRT2360
ES1036371	TRT2360
ES1036372	TRT2360
ES1036384	TRT2360
ES1036390	TRT2360
ES1036395	TRT2360
ES1036398	TRT2360
ES1035818	TRT2360
ES1035822	TRT2360
ES1035824	TRT2360
ES1035831	TRT2360
ES1035859	TRT2360
ES1035869	TRT2360
ES1035886	TRT2360
ES1035903	TRT2360
ES1035909	TRT2360
ES1035910	TRT2360
ES1035919	TRT2360
ES1035949	TRT2360
ES1035950	TRT2360
ES1035963	TRT2360
ES1035968	TRT2360
ES1035973	TRT2360
ES1035981	TRT2360
ES1035982	TRT2360
ES1035990	TRT2360
ES1035991	TRT2360
ES1062744	TRT1102
ES1062751	TRT1102
ES1062752	TRT1102
ES1062753	TRT1102
ES1062754	TRT1102
ES1062767	TRT1102
ES1062789	TRT1102
ES1062800	TRT1102
ES1062802	TRT1102
ES1062805	TRT1102
ES1062806	TRT1102
ES1062811	TRT1102
ES1062823	TRT1102
ES1062824	TRT1102
ES1062828	TRT1102
ES1062841	TRT1102
ES1062842	TRT1102
ES1062852	TRT1102
ES1062855	TRT1102
ES1062861	TRT1102
ES1062864	TRT1102
ES1062867	TRT1102
ES1036400	TRT2360
ES1036423	TRT2360
ES1036429	TRT2360
ES1036439	TRT2360
ES1036448	TRT2360
ES1036462	TRT2360
ES1036468	TRT2360
ES1036489	TRT2360
ES1036497	TRT2360
ES1036501	TRT2360
ES1036502	TRT2360
ES1036504	TRT2360
ES1036520	TRT2360
ES1036523	TRT2360
ES1036532	TRT2360
ES1036541	TRT2360
ES1036547	TRT2360
ES1036565	TRT2360
ES1036571	TRT2360
ES1036572	TRT2360
ES1036581	TRT2360
ES1036592	TRT2360
ES1036595	TRT2360
ES1060450	TRT1103
ES1060456	TRT1103
ES1060472	TRT1103
ES1060478	TRT1103
ES1060484	TRT1103
ES1060499	TRT1103
ES1060501	TRT1103
ES1060505	TRT1103
ES1060531	TRT1103
ES1060542	TRT1103
ES1060551	TRT1103
ES1060556	TRT1103
ES1031285	TRT1102
ES1031299	TRT1102
ES1031322	TRT1102
ES1031324	TRT1102
ES1031350	TRT1102
ES1031351	TRT1102
ES1031360	TRT1102
ES1031362	TRT1102
ES1031364	TRT1102
ES1031367	TRT1102
ES1031370	TRT1102
ES1031373	TRT1102
ES1031392	TRT1102
ES1031407	TRT1102
ES1031412	TRT1102
ES1031413	TRT1102
ES1031418	TRT1102
ES1031430	TRT1102
ES1031435	TRT1102
ES1031441	TRT1102
ES1031446	TRT1102
ES1031455	TRT1102
ES1031456	TRT1102
ES1036601	TRT2360
ES1036605	TRT2360
ES1036609	TRT2360
ES1036617	TRT2360
ES1036626	TRT2360
ES1036635	TRT2360
ES1036651	TRT2360
ES1036654	TRT2360
ES1036658	TRT2360
ES1036675	TRT2360
ES1036690	TRT2360
ES1036692	TRT2360
ES1036699	TRT2360
ES1036706	TRT2360
ES1036707	TRT2360
ES1036715	TRT2360
ES1036716	TRT2360
ES1036722	TRT2360
ES1036735	TRT2360
ES1036754	TRT2360
ES1036755	TRT2360
ES1036757	TRT2360
ES1036766	TRT2360
ES1036789	TRT2360
ES1036802	TRT2360
ES1036803	TRT2360
ES1035300	TRT2360
ES1035320	TRT2360
ES1035336	TRT2360
ES1035340	TRT2360
ES1035358	TRT2360
ES1035370	TRT2360
ES1035383	TRT2360
ES1035400	TRT2360
ES1035415	TRT2360
ES1035424	TRT2360
ES1035429	TRT2360
ES1035445	TRT2360
ES1035446	TRT2360
ES1035448	TRT2360
ES1035452	TRT2360
ES1035454	TRT2360
ES1035456	TRT2360
ES1035458	TRT2360
ES1035460	TRT2360
ES1035471	TRT2360
ES1035473	TRT2360
ES1035483	TRT2360
ES1035495	TRT2360
ES1035497	TRT2360
ES1035499	TRT2360
ES1031263	TRT1102
ES1031266	TRT1102
ES1031276	TRT1102
ES1035507	TRT2360
ES1035512	TRT2360
ES1035535	TRT2360
ES1035539	TRT2360
ES1035541	TRT2360
ES1035543	TRT2360
ES1035555	TRT2360
ES1035570	TRT2360
ES1035574	TRT2360
ES1035577	TRT2360
ES1035591	TRT2360
ES1035593	TRT2360
ES1035601	TRT2360
ES1035607	TRT2360
ES1035623	TRT2360
ES1035638	TRT2360
ES1035642	TRT2360
ES1035644	TRT2360
ES1035649	TRT2360
ES1035656	TRT2360
ES1035659	TRT2360
ES1035660	TRT2360
ES1035666	TRT2360
ES1035671	TRT2360
ES1035678	TRT2360
ES1035683	TRT2360
ES1035685	TRT2360
ES1035687	TRT2360
ES1035710	TRT2360
ES1035729	TRT2360
ES1035740	TRT2360
ES1035742	TRT2360
ES1035749	TRT2360
ES1035758	TRT2360
ES1035759	TRT2360
ES1035778	TRT2360
ES1035784	TRT2360
ES1035786	TRT2360
ES1035789	TRT2360
ES1035794	TRT2360
ES1036012	TRT2360
ES1036014	TRT2360
ES1036031	TRT2360
ES1036033	TRT2360
ES1036059	TRT2360
ES1036066	TRT2360
ES1036078	TRT2360
ES1036081	TRT2360
ES1036084	TRT2360
ES1036086	TRT2360
ES1036089	TRT2360
ES1036091	TRT2360
ES1036094	TRT2360
ES1036096	TRT2360
ES1036104	TRT2360
ES1036115	TRT2360
ES1036124	TRT2360
ES1036127	TRT2360
ES1036131	TRT2360
ES1036150	TRT2360
ES1036155	TRT2360
ES1036162	TRT2360
ES1036169	TRT2360
ES1036173	TRT2360
ES1036176	TRT2360
ES1036185	TRT2360
ES1036190	TRT2360
ES1031461	TRT1102
ES1031472	TRT1102
ES1031475	TRT1102
ES1031484	TRT1102
ES1031488	TRT1102
ES1031490	TRT1102
ES1031505	TRT1102
ES1031516	TRT1102
ES1031528	TRT1102
ES1031542	TRT1102
ES1031552	TRT1102
ES1031560	TRT1102
ES1031569	TRT1102
ES1031598	TRT1102
ES1031599	TRT1102
ES1031608	TRT1102
ES1031614	TRT1102
ES1031616	TRT1102
ES1031620	TRT1102
ES1031623	TRT1102
ES1031624	TRT1102
ES1031628	TRT1102
ES1031629	TRT1102
ES1031632	TRT1102
ES1036201	TRT2360
ES1036203	TRT2360
ES1036209	TRT2360
ES1036229	TRT2360
ES1036247	TRT2360
ES1036250	TRT2360
ES1036251	TRT2360
ES1036254	TRT2360
ES1036255	TRT2360
ES1036283	TRT2360
ES1036284	TRT2360
ES1036295	TRT2360
ES1036307	TRT2360
ES1036320	TRT2360
ES1036322	TRT2360
ES1036331	TRT2360
ES1036336	TRT2360
ES1036341	TRT2360
ES1036343	TRT2360
ES1036349	TRT2360
ES1036352	TRT2360
ES1036386	TRT2360
ES1036389	TRT2360
ES1036393	TRT2360
ES1036396	TRT2360
ES1035810	TRT2360
ES1035819	TRT2360
ES1035823	TRT2360
ES1035826	TRT2360
ES1035861	TRT2360
ES1035883	TRT2360
ES1035884	TRT2360
ES1035885	TRT2360
ES1035892	TRT2360
ES1035895	TRT2360
ES1035897	TRT2360
ES1035898	TRT2360
ES1035913	TRT2360
ES1035921	TRT2360
ES1035930	TRT2360
ES1035934	TRT2360
ES1035942	TRT2360
ES1035953	TRT2360
ES1035969	TRT2360
ES1035986	TRT2360
ES1062749	TRT1102
ES1062755	TRT1102
ES1062760	TRT1102
ES1062761	TRT1102
ES1062762	TRT1102
ES1062763	TRT1102
ES1062765	TRT1102
ES1062778	TRT1102
ES1062787	TRT1102
ES1062790	TRT1102
ES1062791	TRT1102
ES1062792	TRT1102
ES1062794	TRT1102
ES1062801	TRT1102
ES1062808	TRT1102
ES1062813	TRT1102
ES1062837	TRT1102
ES1062850	TRT1102
ES1062854	TRT1102
ES1062856	TRT1102
