EXPSAMPLE_ACCESSION	TREATMENT_ACCESSION
ES815305	TRT1609
ES815311	TRT1609
ES815314	TRT1609
ES815336	TRT1609
ES815369	TRT1609
ES815371	TRT1609
ES815378	TRT1609
ES815384	TRT1609
ES815408	TRT1609
ES815425	TRT1609
ES815434	TRT1609
ES815441	TRT1609
ES815450	TRT1609
ES815451	TRT1609
ES815453	TRT1609
ES815475	TRT1609
ES860654	TRT494
ES860661	TRT495
ES860665	TRT1755
ES860673	TRT495
ES860681	TRT1753
ES860684	TRT494
ES860687	TRT1753
ES860697	TRT495
ES860698	TRT492
ES860701	TRT1755
ES860709	TRT495
ES860711	TRT1753
ES860713	TRT1755
ES860714	TRT494
ES860720	TRT494
ES860742	TRT1754
ES860781	TRT495
ES860785	TRT1755
ES860789	TRT1753
ES860793	TRT495
ES860794	TRT492
ES860801	TRT1753
ES860803	TRT1755
ES860805	TRT495
ES860816	TRT494
ES782613	TRT1336
ES782618	TRT1336
ES782661	TRT1336
ES782662	TRT1336
ES782664	TRT1336
ES782671	TRT1336
ES782680	TRT1336
ES782688	TRT1336
ES782689	TRT1336
ES782702	TRT1336
ES782714	TRT1336
ES782715	TRT1336
ES782716	TRT1336
ES782722	TRT1336
ES782731	TRT1336
ES782732	TRT1336
ES782740	TRT1336
ES782741	TRT1336
ES782748	TRT1336
ES782765	TRT1336
ES782766	TRT1336
ES782773	TRT1336
ES782413	TRT1336
ES782424	TRT1336
ES782428	TRT1336
ES782435	TRT1336
ES782438	TRT1336
ES782452	TRT1336
ES782465	TRT1336
ES782468	TRT1336
ES782472	TRT1336
ES782476	TRT1336
ES782496	TRT1336
ES782498	TRT1336
ES782500	TRT1336
ES782503	TRT1336
ES782508	TRT1336
ES782517	TRT1336
ES782544	TRT1336
ES782546	TRT1336
ES782547	TRT1336
ES782567	TRT1336
ES782569	TRT1336
ES782574	TRT1336
ES782591	TRT1336
ES774440	TRT1191
ES774444	TRT1191
ES774445	TRT1191
ES774447	TRT1191
ES774455	TRT1191
ES774464	TRT1191
ES774467	TRT1191
ES774487	TRT1191
ES774489	TRT1191
ES774495	TRT1191
ES782799	TRT1336
ES782803	TRT1336
ES782805	TRT1336
ES782807	TRT1336
ES782808	TRT1336
ES782810	TRT1336
ES782815	TRT1336
ES782816	TRT1336
ES782821	TRT1336
ES782827	TRT1336
ES815194	TRT1609
ES815208	TRT1609
ES815210	TRT1609
ES815218	TRT1609
ES815223	TRT1609
ES782320	TRT1336
ES782321	TRT1336
ES782326	TRT1336
ES782327	TRT1336
ES782349	TRT1336
ES782350	TRT1336
ES782359	TRT1336
ES782363	TRT1336
ES782369	TRT1336
ES782371	TRT1336
ES782377	TRT1336
ES782382	TRT1336
ES782388	TRT1336
ES782392	TRT1336
ES782393	TRT1336
ES782397	TRT1336
ES782401	TRT1336
ES860219	TRT1753
ES860221	TRT1755
ES860227	TRT1755
ES860228	TRT494
ES860230	TRT492
ES860233	TRT1755
ES860236	TRT492
ES860245	TRT1755
ES860249	TRT1753
ES860273	TRT1753
ES860275	TRT1755
ES860276	TRT494
ES860280	TRT1754
ES860283	TRT495
ES860292	TRT1754
ES860293	TRT1755
ES860310	TRT1754
ES860315	TRT1753
ES860319	TRT495
ES860320	TRT492
ES860323	TRT1755
ES860325	TRT495
ES860331	TRT495
ES860353	TRT1755
ES860371	TRT1755
ES860375	TRT1753
ES860384	TRT494
ES860389	TRT1755
ES775593	TRT1193
ES775594	TRT1193
ES775604	TRT1193
ES775618	TRT1193
ES775643	TRT1193
ES775656	TRT1193
ES775664	TRT1193
ES775672	TRT1193
ES775676	TRT1193
ES775677	TRT1193
ES775682	TRT1193
ES775684	TRT1193
ES775540	TRT1193
ES775543	TRT1193
ES775555	TRT1193
ES775559	TRT1193
ES775560	TRT1193
ES775561	TRT1193
ES775580	TRT1193
ES775585	TRT1193
ES775587	TRT1193
ES860208	TRT1754
ES860210	TRT494
ES860394	TRT1754
ES860400	TRT1754
ES860401	TRT1755
ES860403	TRT495
ES860416	TRT492
ES860422	TRT492
ES860430	TRT1754
ES860443	TRT1755
ES860448	TRT1754
ES860453	TRT1753
ES860456	TRT494
ES860460	TRT1754
ES860470	TRT492
ES860486	TRT494
ES860490	TRT1754
ES860495	TRT1753
ES860497	TRT1755
ES860501	TRT1753
ES860502	TRT1754
ES860514	TRT1754
ES860532	TRT1754
ES860533	TRT1755
ES860536	TRT492
ES860539	TRT1755
ES860549	TRT1753
ES860550	TRT1754
ES860558	TRT494
ES860570	TRT494
ES860572	TRT492
ES860583	TRT495
ES860589	TRT495
ES860598	TRT1754
ES860602	TRT492
ES860606	TRT494
ES860610	TRT1754
ES860612	TRT494
ES860619	TRT495
ES860622	TRT1754
ES860625	TRT495
ES860644	TRT492
ES815485	TRT1609
ES815487	TRT1609
ES815491	TRT1609
ES815492	TRT1609
ES815499	TRT1609
ES815502	TRT1609
ES815505	TRT1609
ES815506	TRT1609
ES815521	TRT1609
ES815532	TRT1609
ES815537	TRT1609
ES815562	TRT1609
ES815576	TRT1609
ES815608	TRT1609
ES815614	TRT1609
ES815634	TRT1609
ES815635	TRT1609
ES815637	TRT1609
ES815657	TRT1609
ES815659	TRT1609
ES815243	TRT1609
ES815245	TRT1609
ES815263	TRT1609
ES815267	TRT1609
ES815269	TRT1609
ES815280	TRT1609
ES815288	TRT1609
ES815313	TRT1609
ES815320	TRT1609
ES815328	TRT1609
ES815330	TRT1609
ES815339	TRT1609
ES815343	TRT1609
ES815352	TRT1609
ES815354	TRT1609
ES815360	TRT1609
ES815387	TRT1609
ES815393	TRT1609
ES815395	TRT1609
ES815411	TRT1609
ES815414	TRT1609
ES815417	TRT1609
ES815419	TRT1609
ES815421	TRT1609
ES815433	TRT1609
ES815446	TRT1609
ES815454	TRT1609
ES815459	TRT1609
ES815464	TRT1609
ES815468	TRT1609
ES815477	TRT1609
ES774500	TRT1191
ES774502	TRT1191
ES860652	TRT1754
ES860657	TRT1753
ES860672	TRT494
ES860674	TRT492
ES860679	TRT495
ES860680	TRT492
ES860685	TRT495
ES860688	TRT1754
ES860717	TRT1753
ES860721	TRT495
ES860732	TRT494
ES860746	TRT492
ES860797	TRT1755
ES860814	TRT1754
ES860822	TRT494
ES860825	TRT1753
ES782601	TRT1336
ES782605	TRT1336
ES782612	TRT1336
ES782615	TRT1336
ES782622	TRT1336
ES782630	TRT1336
ES782644	TRT1336
ES782658	TRT1336
ES782665	TRT1336
ES782673	TRT1336
ES782675	TRT1336
ES782685	TRT1336
ES782687	TRT1336
ES782697	TRT1336
ES782703	TRT1336
ES782710	TRT1336
ES782717	TRT1336
ES782727	TRT1336
ES782736	TRT1336
ES782737	TRT1336
ES782742	TRT1336
ES782747	TRT1336
ES782751	TRT1336
ES782761	TRT1336
ES782764	TRT1336
ES782418	TRT1336
ES782423	TRT1336
ES782426	TRT1336
ES782436	TRT1336
ES782450	TRT1336
ES782455	TRT1336
ES782482	TRT1336
ES782494	TRT1336
ES782497	TRT1336
ES782522	TRT1336
ES782523	TRT1336
ES782524	TRT1336
ES782545	TRT1336
ES782549	TRT1336
ES782564	TRT1336
ES782579	TRT1336
ES782587	TRT1336
ES782592	TRT1336
ES782593	TRT1336
ES782594	TRT1336
ES782595	TRT1336
ES782597	TRT1336
ES782598	TRT1336
ES774446	TRT1191
ES774449	TRT1191
ES774458	TRT1191
ES774469	TRT1191
ES774472	TRT1191
ES782790	TRT1336
ES782802	TRT1336
ES782809	TRT1336
ES782817	TRT1336
ES782818	TRT1336
ES815179	TRT1609
ES815184	TRT1609
ES815186	TRT1609
ES815187	TRT1609
ES815188	TRT1609
ES815189	TRT1609
ES815207	TRT1609
ES815217	TRT1609
ES815220	TRT1609
ES815222	TRT1609
ES815224	TRT1609
ES815226	TRT1609
ES815227	TRT1609
ES782300	TRT1336
ES782317	TRT1336
ES782344	TRT1336
ES782354	TRT1336
ES782362	TRT1336
ES782370	TRT1336
ES782379	TRT1336
ES782380	TRT1336
ES782381	TRT1336
ES782384	TRT1336
ES782389	TRT1336
ES782391	TRT1336
ES782398	TRT1336
ES860232	TRT1754
ES860242	TRT492
ES860244	TRT1754
ES860258	TRT494
ES860270	TRT494
ES860290	TRT492
ES860314	TRT492
ES860316	TRT1754
ES860318	TRT494
ES860326	TRT492
ES860328	TRT1754
ES860333	TRT1753
ES860355	TRT495
ES860360	TRT494
ES860361	TRT495
ES860365	TRT1755
ES860372	TRT494
ES860382	TRT1754
ES860386	TRT492
ES860830	TRT492
ES775598	TRT1193
ES775599	TRT1193
ES775602	TRT1193
ES775622	TRT1193
ES775626	TRT1193
ES775631	TRT1193
ES775635	TRT1193
ES775644	TRT1193
ES775649	TRT1193
ES775650	TRT1193
ES775662	TRT1193
ES775663	TRT1193
ES775666	TRT1193
ES775669	TRT1193
ES775675	TRT1193
ES775535	TRT1193
ES775537	TRT1193
ES775542	TRT1193
ES775554	TRT1193
ES775562	TRT1193
ES775579	TRT1193
ES775582	TRT1193
ES860209	TRT1755
ES860217	TRT495
ES860218	TRT492
ES860399	TRT1753
ES860413	TRT1755
ES860428	TRT492
ES860437	TRT1755
ES860452	TRT492
ES860458	TRT492
ES860462	TRT494
ES860464	TRT492
ES860480	TRT494
ES860491	TRT1755
ES860492	TRT494
ES860493	TRT495
ES860503	TRT1755
ES860507	TRT1753
ES860512	TRT492
ES860528	TRT494
ES860543	TRT1753
ES860557	TRT1755
ES860566	TRT492
ES860581	TRT1755
ES860587	TRT1755
ES860593	TRT1755
ES860604	TRT1754
ES860605	TRT1755
ES860626	TRT492
ES860649	TRT495
ES815481	TRT1609
ES815483	TRT1609
ES815488	TRT1609
ES815497	TRT1609
ES815500	TRT1609
ES815511	TRT1609
ES815517	TRT1609
ES815534	TRT1609
ES815540	TRT1609
ES815547	TRT1609
ES815548	TRT1609
ES815557	TRT1609
ES815561	TRT1609
ES815579	TRT1609
ES815588	TRT1609
ES815598	TRT1609
ES815603	TRT1609
ES815604	TRT1609
ES815622	TRT1609
ES815626	TRT1609
ES815640	TRT1609
ES815647	TRT1609
ES815653	TRT1609
ES815658	TRT1609
ES815241	TRT1609
ES815246	TRT1609
ES815261	TRT1609
ES815274	TRT1609
ES815275	TRT1609
ES815277	TRT1609
ES815278	TRT1609
ES815286	TRT1609
ES815332	TRT1609
ES815337	TRT1609
ES815346	TRT1609
ES815349	TRT1609
ES815355	TRT1609
ES815358	TRT1609
