FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
155959	11		Pacific Blue-A	CD3E	CD3
155983	13		APC-Cy7-A	CD8A	CD8
156004	4		SSC-A		SSC-A
156009	13		APC-Cy7-A	CD8A	CD8
155494	12		APC-A	CD27	CD27
155503	14		Time		Time
155506	10		PE-Cy7-A	CD33	CD33
155522	1		FSC-A		FSC-A
155535	2		FSC-H		FSC-H
155547	8		PE-A		PE-A
155548	10		PE-Cy7-A	CD33	CD33
155554	13		APC-Cy7-A	CD8A	CD8
155564	5		SSC-H		SSC-H
155565	2		FSC-H		FSC-H
155571	3		FSC-W		FSC-W
155576	1		FSC-A		FSC-A
155587	12		APC-A	CD27	CD27
155589	2		FSC-H		FSC-H
155599	3		FSC-W		FSC-W
155602	5		SSC-H		SSC-H
155614	8		PE-A	KLRK1	CD314
155618	12		APC-A	CD19	CD19
155636	4		SSC-A		SSC-A
155644	4		SSC-A		SSC-A
155645	8		PE-A		PE-A
155658	12		APC-A	IL7R	CD127
155665	3		FSC-W		FSC-W
155695	13		APC-Cy7-A	CD8A	CD8
155719	2		FSC-H		FSC-H
155736	9		PerCP-Cy5-5-A	CD4	CD4
155771	13		APC-Cy7-A	CD8A	CD8
155774	13		APC-Cy7-A	CD8A	CD8
155787	9		PerCP-Cy5-5-A	CD4	CD4
155801	3		FSC-W		FSC-W
155804	6		SSC-W		SSC-W
155821	2		FSC-H		FSC-H
155822	12		APC-A	HLA-DRA	Anti-HLA-DR
155830	3		FSC-W		FSC-W
155848	8		PE-A		PE-A
155854	12		APC-A	IL7R	CD127
155868	9		PerCP-Cy5-5-A	CD4	CD4
155873	9		PerCP-Cy5-5-A	HLA-DRA	Anti-HLA-DR
155874	11		Pacific Blue-A	CD3E	CD3
155878	7		FITC-A		TCRgd
155896	13		APC-Cy7-A	CD8A	CD8
155902	1		FSC-A		FSC-A
155909	11		Pacific Blue-A	CD3E	CD3
155910	13		APC-Cy7-A	CD8A	CD8
155929	2		FSC-H		FSC-H
155933	2		FSC-H		FSC-H
155759	14		Time		Time
195171	13		APC-A	STAT3	pSTAT-3
195176	3		FSC-W		FSC-W
195179	7		FITC-A		STAT-1
195186	7		FITC-A		STAT-1
195197	13		APC-A	STAT3	pSTAT-3
