REAGENT_SET_ACCESSION	REAGENT_ACCESSION	WORKSPACE_ID
ESR12277	ESR12245	2799
ESR12277	ESR12246	2799
ESR12277	ESR12247	2799
ESR12277	ESR12248	2799
ESR12277	ESR12249	2799
ESR12277	ESR12250	2799
ESR12277	ESR12251	2799
ESR12277	ESR12252	2799
ESR12277	ESR12253	2799
ESR12277	ESR12261	2799
ESR12278	ESR12253	2799
ESR12278	ESR12254	2799
ESR12278	ESR12255	2799
ESR12278	ESR12256	2799
ESR12278	ESR12257	2799
ESR12278	ESR12258	2799
ESR12278	ESR12259	2799
ESR12278	ESR12260	2799
ESR12278	ESR12261	2799
ESR12279	ESR12253	2799
ESR12279	ESR12261	2799
ESR12279	ESR12271	2799
ESR12279	ESR12272	2799
ESR12279	ESR12273	2799
ESR12279	ESR12274	2799
ESR12279	ESR12275	2799
ESR12279	ESR12276	2799
ESR12280	ESR12261	2799
ESR12280	ESR12262	2799
ESR12280	ESR12263	2799
ESR12280	ESR12264	2799
ESR12280	ESR12265	2799
ESR12280	ESR12266	2799
ESR12280	ESR12267	2799
ESR12280	ESR12268	2799
ESR12280	ESR12269	2799
ESR12280	ESR12270	2799
