FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
157435	9		PE-TxR-A	CD19	CD19
157435	16		APC-Cy7-A	CD27	CD27
157435	12		Pacific Blue-A	CD86	CD86
157435	1		FSC-A		FSC-A
157436	2		FSC-H		FSC-H
157436	10		PE-Cy5-A	ITAX	CD11c
157436	9		PE-TxR-A	CD2	CD2
157437	12		Pacific Blue-A	CD86	CD86
157437	17		Time		Time
157437	6		SSC-W		SSC-W
157438	2		FSC-H		FSC-H
157438	10		PE-Cy5-A	CXCR3	CXCR3
157438	5		SSC-H		SSC-H
157438	3		FSC-W		FSC-W
157438	16		APC-Cy7-A	CD8A	CD8
157440	5		SSC-H		SSC-H
157441	12		Pacific Blue-A	CD86	CD86
157441	14		APC-A		SLAN
157442	7		FITC-A	CXCR5	CXCR5
157442	17		Time		Time
157442	10		PE-Cy5-A	CXCR3	CXCR3
157443	1		FSC-A		FSC-A
157443	11		PE-Cy7-A	CD38	CD38
157443	9		PE-TxR-A	CD19	CD19
157444	17		Time		Time
157444	16		APC-Cy7-A		APC-Cy7-A
157445	8		PE-A	CD14	CD14
157446	17		Time		Time
157446	6		SSC-W		SSC-W
157447	2		FSC-H		FSC-H
157447	11		PE-Cy7-A	CD38	CD38
157447	4		SSC-A		SSC-A
157447	9		PE-TxR-A	CD19	CD19
157447	3		FSC-W		FSC-W
157447	13		QDot 565-A		CD45
157448	4		SSC-A		SSC-A
157448	8		PE-A	CLEC4C	BDCA2
157448	7		FITC-A		Lin-1
157448	14		APC-A	THBD	BDCA3
157448	10		PE-Cy5-A	ITAX	CD11c
157449	4		SSC-A		SSC-A
157449	3		FSC-W		FSC-W
157449	12		Pacific Blue-A	CD86	CD86
157450	13		QDot 565-A		CD45
157450	12		Pacific Blue-A	CD4	CD4
157450	10		PE-Cy5-A	CXCR3	CXCR3
157450	8		PE-A	CCR6	CCR6
157450	7		FITC-A	CXCR5	CXCR5
