EXPSAMPLE_ACCESSION	TREATMENT_ACCESSION
ES782221	TRT1346
ES782230	TRT1346
ES782231	TRT1346
ES782250	TRT1346
ES782284	TRT1346
ES782292	TRT1346
ES782299	TRT1346
ES786164	TRT1346
ES786165	TRT1346
ES786173	TRT1346
ES786177	TRT1346
ES786482	TRT1346
ES786494	TRT1346
ES785319	TRT1346
ES785320	TRT1346
ES785321	TRT1346
ES785335	TRT1346
ES785340	TRT1346
ES785351	TRT1346
ES785352	TRT1346
ES785371	TRT1346
ES785410	TRT1346
ES785418	TRT1346
ES785421	TRT1346
ES785426	TRT1346
ES785427	TRT1346
ES785439	TRT1346
ES786284	TRT1346
ES786286	TRT1346
ES786287	TRT1346
ES786300	TRT1346
ES785700	TRT1346
ES785709	TRT1346
ES785714	TRT1346
ES785728	TRT1346
ES785729	TRT1346
ES782073	TRT1346
ES782088	TRT1346
ES782093	TRT1346
ES782096	TRT1346
ES782110	TRT1346
ES782115	TRT1346
ES782117	TRT1346
ES782144	TRT1346
ES782152	TRT1346
ES782159	TRT1346
ES782164	TRT1346
ES782170	TRT1346
ES782185	TRT1346
ES782210	TRT1346
ES782212	TRT1346
ES781950	TRT1346
ES781956	TRT1346
ES781974	TRT1346
ES781979	TRT1346
ES781996	TRT1346
ES782000	TRT1346
ES782004	TRT1346
ES782008	TRT1346
ES782011	TRT1346
ES782016	TRT1346
ES782019	TRT1346
ES782022	TRT1346
ES782059	TRT1346
ES782069	TRT1346
ES784758	TRT1346
ES784767	TRT1346
ES784776	TRT1346
ES784778	TRT1346
ES784781	TRT1346
ES785168	TRT1346
ES785172	TRT1346
ES785173	TRT1346
ES785178	TRT1346
ES785180	TRT1346
ES785190	TRT1346
ES785200	TRT1346
ES785206	TRT1346
ES785208	TRT1346
ES785209	TRT1346
ES785225	TRT1346
ES785229	TRT1346
ES785237	TRT1346
ES784375	TRT1346
ES784381	TRT1346
ES782237	TRT1346
ES782241	TRT1346
ES782260	TRT1346
ES782270	TRT1346
ES786170	TRT1346
ES786178	TRT1346
ES785329	TRT1346
ES785343	TRT1346
ES785353	TRT1346
ES785359	TRT1346
ES785360	TRT1346
ES785403	TRT1346
ES785409	TRT1346
ES785424	TRT1346
ES785431	TRT1346
ES785441	TRT1346
ES786290	TRT1346
ES786291	TRT1346
ES786294	TRT1346
ES786304	TRT1346
ES785689	TRT1346
ES785699	TRT1346
ES785702	TRT1346
ES785710	TRT1346
ES785712	TRT1346
ES785716	TRT1346
ES785718	TRT1346
ES785726	TRT1346
ES782075	TRT1346
ES782087	TRT1346
ES782099	TRT1346
ES782101	TRT1346
ES782104	TRT1346
ES782114	TRT1346
ES782116	TRT1346
ES782130	TRT1346
ES782132	TRT1346
ES782138	TRT1346
ES782155	TRT1346
ES782189	TRT1346
ES782191	TRT1346
ES782194	TRT1346
ES782206	TRT1346
ES782215	TRT1346
ES781951	TRT1346
ES781953	TRT1346
ES781955	TRT1346
ES781969	TRT1346
ES781971	TRT1346
ES781973	TRT1346
ES781977	TRT1346
ES781980	TRT1346
ES781983	TRT1346
ES781994	TRT1346
ES781997	TRT1346
ES782015	TRT1346
ES782017	TRT1346
ES782020	TRT1346
ES782023	TRT1346
ES782028	TRT1346
ES782037	TRT1346
ES782048	TRT1346
ES782049	TRT1346
ES782050	TRT1346
ES784742	TRT1346
ES784746	TRT1346
ES784754	TRT1346
ES784760	TRT1346
ES784765	TRT1346
ES784769	TRT1346
ES784774	TRT1346
ES785157	TRT1346
ES785175	TRT1346
ES785177	TRT1346
ES785231	TRT1346
ES785236	TRT1346
ES784376	TRT1346
ES784384	TRT1346
ES782225	TRT1346
ES782236	TRT1346
ES782238	TRT1346
ES782240	TRT1346
ES782246	TRT1346
ES782264	TRT1346
ES782267	TRT1346
ES782271	TRT1346
ES782280	TRT1346
ES782295	TRT1346
ES782297	TRT1346
ES786167	TRT1346
ES786171	TRT1346
ES786179	TRT1346
ES786484	TRT1346
