REAGENT_SET_ACCESSION	REAGENT_ACCESSION	WORKSPACE_ID
ESR12725	ESR12693	2799
ESR12725	ESR12694	2799
ESR12725	ESR12695	2799
ESR12725	ESR12696	2799
ESR12725	ESR12697	2799
ESR12725	ESR12698	2799
ESR12725	ESR12699	2799
ESR12725	ESR12700	2799
ESR12725	ESR12701	2799
ESR12725	ESR12709	2799
ESR12726	ESR12701	2799
ESR12726	ESR12702	2799
ESR12726	ESR12703	2799
ESR12726	ESR12704	2799
ESR12726	ESR12705	2799
ESR12726	ESR12706	2799
ESR12726	ESR12707	2799
ESR12726	ESR12708	2799
ESR12726	ESR12709	2799
ESR12727	ESR12709	2799
ESR12727	ESR12710	2799
ESR12727	ESR12711	2799
ESR12727	ESR12712	2799
ESR12727	ESR12713	2799
ESR12727	ESR12714	2799
ESR12727	ESR12715	2799
ESR12727	ESR12716	2799
ESR12727	ESR12717	2799
ESR12727	ESR12718	2799
ESR12728	ESR12709	2799
ESR12728	ESR12710	2799
ESR12728	ESR12711	2799
ESR12728	ESR12712	2799
ESR12728	ESR12713	2799
ESR12728	ESR12714	2799
ESR12728	ESR12715	2799
ESR12728	ESR12716	2799
ESR12728	ESR12717	2799
ESR12728	ESR12718	2799
