EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES789830	ESR12513
ES789830	ESR12511
ES789831	ESR12512
ES789835	ESR12512
ES789836	ESR12513
ES789837	ESR12511
ES789839	ESR12513
ES789841	ESR12512
ES789845	ESR12513
ES789848	ESR12512
ES789850	ESR12513
ES789852	ESR12512
ES789856	ESR12512
ES789858	ESR12513
ES789858	ESR12512
ES789858	ESR12511
ES789861	ESR12513
ES789864	ESR12513
ES789864	ESR12510
ES789865	ESR12512
ES789874	ESR12519
ES789874	ESR12518
ES789875	ESR12516
ES789877	ESR12516
ES789878	ESR12516
ES789885	ESR12519
ES789886	ESR12516
ES789888	ESR12519
ES789891	ESR12519
ES789893	ESR12519
ES789894	ESR12519
ES789901	ESR12516
ES789902	ESR12519
ES789906	ESR12516
ES789909	ESR12518
ES789909	ESR12516
ES789912	ESR12518
ES789913	ESR12518
ES789914	ESR12517
ES789915	ESR12517
ES789916	ESR12516
ES789919	ESR12519
ES789920	ESR12516
ES789922	ESR12516
ES789924	ESR12519
ES789924	ESR12516
ES789925	ESR12519
ES789925	ESR12518
ES789927	ESR12518
ES789935	ESR12519
ES789935	ESR12518
ES789938	ESR12516
ES789940	ESR12518
ES789941	ESR12518
ES789942	ESR12517
ES789944	ESR12519
ES789944	ESR12517
ES789949	ESR12517
ES789952	ESR12519
ES789957	ESR12519
ES789958	ESR12518
ES789959	ESR12519
ES789960	ESR12517
ES789961	ESR12518
ES789962	ESR12519
ES789962	ESR12518
ES789966	ESR12518
ES789967	ESR12517
ES789968	ESR12518
ES789971	ESR12516
ES789972	ESR12517
ES789978	ESR12518
ES789981	ESR12519
ES789982	ESR12516
ES789984	ESR12516
ES789985	ESR12516
ES789986	ESR12517
ES789987	ESR12519
ES789987	ESR12518
ES789988	ESR12519
ES790032	ESR12522
ES790036	ESR12522
ES790044	ESR12522
ES790054	ESR12522
ES790066	ESR12522
ES790068	ESR12522
ES790076	ESR12522
ES790077	ESR12522
ES790092	ESR12522
ES790100	ESR12522
ES794641	ESR12725
ES794641	ESR12695
ES794642	ESR12718
ES794642	ESR12709
ES794643	ESR12725
ES794643	ESR12696
ES794644	ESR12718
ES794644	ESR12716
ES794644	ESR12714
ES794645	ESR12697
ES794646	ESR12718
ES794646	ESR12714
ES794646	ESR12709
ES794647	ESR12695
ES794648	ESR12715
ES794648	ESR12713
ES794648	ESR12712
ES794649	ESR12699
ES794650	ESR12726
ES794651	ESR12716
ES794651	ESR12711
ES794654	ESR12715
ES794655	ESR12725
ES794655	ESR12696
ES794656	ESR12711
ES794658	ESR12716
ES794658	ESR12714
ES794658	ESR12709
ES794660	ESR12712
ES794662	ESR12718
ES794662	ESR12714
ES794663	ESR12701
ES794664	ESR12717
ES794665	ESR12701
ES794665	ESR12695
ES794665	ESR12693
ES794666	ESR12711
ES794667	ESR12693
ES794668	ESR12717
ES794670	ESR12709
ES794670	ESR12701
ES794671	ESR12717
ES794673	ESR12700
ES794673	ESR12695
ES794674	ESR12718
ES794674	ESR12713
ES794675	ESR12701
ES794675	ESR12693
ES794677	ESR12709
ES794679	ESR12698
ES794679	ESR12696
ES794679	ESR12694
ES794682	ESR12728
ES794682	ESR12713
ES794683	ESR12696
ES794683	ESR12693
ES794684	ESR12715
ES794685	ESR12709
ES794685	ESR12700
ES794687	ESR12709
ES794687	ESR12701
ES794687	ESR12700
ES794688	ESR12713
ES794688	ESR12709
ES794689	ESR12695
ES794689	ESR12693
ES794690	ESR12713
ES794690	ESR12712
ES794691	ESR12718
ES794693	ESR12717
ES794693	ESR12714
ES794693	ESR12709
ES794694	ESR12693
ES794695	ESR12715
ES794697	ESR12702
ES794698	ESR12713
ES794698	ESR12711
ES794699	ESR12714
ES794699	ESR12711
ES794700	ESR12696
ES794700	ESR12694
ES794701	ESR12728
ES794701	ESR12710
ES794702	ESR12694
ES794703	ESR12728
ES794703	ESR12712
ES794703	ESR12710
ES794704	ESR12698
ES794705	ESR12728
ES794705	ESR12717
ES794705	ESR12713
ES794707	ESR12717
ES794707	ESR12710
ES794710	ESR12718
ES794710	ESR12717
ES794710	ESR12713
ES794712	ESR12700
ES794712	ESR12699
ES794712	ESR12698
ES794712	ESR12695
ES794713	ESR12715
ES794713	ESR12713
ES794714	ESR12694
ES794715	ESR12715
ES794715	ESR12714
ES794717	ESR12726
ES794717	ESR12704
ES794717	ESR12703
ES794717	ESR12702
ES794718	ESR12711
ES794719	ESR12693
ES794721	ESR12716
ES794721	ESR12714
ES794722	ESR12710
ES794724	ESR12728
ES794724	ESR12718
ES794725	ESR12700
ES794725	ESR12698
ES794726	ESR12716
ES794726	ESR12712
ES794727	ESR12709
ES794727	ESR12695
ES794727	ESR12694
ES794727	ESR12693
ES794728	ESR12707
ES794729	ESR12715
ES794729	ESR12713
ES794729	ESR12711
ES794730	ESR12718
ES794730	ESR12717
ES794730	ESR12715
ES794730	ESR12713
ES794730	ESR12711
ES794731	ESR12697
ES794732	ESR12716
ES794733	ESR12709
ES794734	ESR12717
ES794734	ESR12711
ES794735	ESR12693
ES794740	ESR12711
ES794741	ESR12709
ES794741	ESR12699
ES794741	ESR12698
ES794743	ESR12727
ES794743	ESR12714
ES794743	ESR12711
ES794744	ESR12711
ES794745	ESR12725
ES794746	ESR12728
ES794746	ESR12715
ES794555	ESR12701
ES794555	ESR12697
ES794556	ESR12708
ES794557	ESR12712
ES794558	ESR12709
ES794561	ESR12697
ES794562	ESR12717
ES794563	ESR12700
ES794563	ESR12695
ES794564	ESR12718
ES794564	ESR12716
ES794564	ESR12712
ES794564	ESR12710
ES794565	ESR12701
ES794565	ESR12693
ES794567	ESR12709
ES794568	ESR12715
ES794568	ESR12714
ES794570	ESR12709
ES794571	ESR12714
ES794572	ESR12716
ES794573	ESR12694
ES794574	ESR12728
ES794574	ESR12716
ES794574	ESR12710
ES794575	ESR12709
ES794575	ESR12700
ES794576	ESR12711
ES794578	ESR12718
ES794578	ESR12717
ES794578	ESR12716
ES794578	ESR12715
ES794579	ESR12701
ES794580	ESR12701
ES794582	ESR12712
ES794583	ESR12701
ES794583	ESR12698
ES794584	ESR12718
ES794584	ESR12716
ES794585	ESR12699
ES794586	ESR12718
ES794587	ESR12725
ES794587	ESR12694
ES794588	ESR12728
ES794589	ESR12695
ES794590	ESR12704
ES794591	ESR12717
ES794592	ESR12716
ES794593	ESR12709
ES794593	ESR12699
ES794593	ESR12694
ES794594	ESR12716
ES794594	ESR12710
ES794595	ESR12697
ES794595	ESR12694
