EXPSAMPLE_ACCESSION	TREATMENT_ACCESSION
ES789830	TRT1417
ES789850	TRT1417
ES789853	TRT1417
ES789891	TRT1417
ES789910	TRT1417
ES789939	TRT1417
ES789940	TRT1417
ES789961	TRT1417
ES789981	TRT1417
ES789983	TRT1417
ES790034	TRT1417
ES790040	TRT1417
ES790047	TRT1417
ES790053	TRT1417
ES790073	TRT1417
ES790079	TRT1417
ES790080	TRT1417
ES790093	TRT1417
ES790098	TRT1417
ES794558	TRT1417
ES794571	TRT1417
ES794573	TRT1417
ES794581	TRT1417
ES794583	TRT1417
ES794592	TRT1417
ES794608	TRT1417
ES794614	TRT1417
ES794622	TRT1417
ES794628	TRT1417
ES794631	TRT1417
ES794663	TRT1417
ES794669	TRT1417
ES794686	TRT1417
ES794705	TRT1417
ES794708	TRT1417
ES794713	TRT1417
ES794715	TRT1417
ES794740	TRT1417
ES794741	TRT1417
ES789834	TRT1417
ES789843	TRT1417
ES789847	TRT1417
ES789858	TRT1417
ES789878	TRT1417
ES789880	TRT1417
ES789889	TRT1417
ES789898	TRT1417
ES789906	TRT1417
ES789908	TRT1417
ES789912	TRT1417
ES789926	TRT1417
ES789928	TRT1417
ES789943	TRT1417
ES789952	TRT1417
ES789956	TRT1417
ES789960	TRT1417
ES789963	TRT1417
ES789964	TRT1417
ES789967	TRT1417
ES789976	TRT1417
ES790031	TRT1417
ES790038	TRT1417
ES790042	TRT1417
ES790087	TRT1417
ES790090	TRT1417
ES790091	TRT1417
ES790092	TRT1417
ES790095	TRT1417
ES794557	TRT1417
ES794563	TRT1417
ES794564	TRT1417
ES794572	TRT1417
ES794580	TRT1417
ES794594	TRT1417
ES794604	TRT1417
ES794606	TRT1417
ES794615	TRT1417
ES794619	TRT1417
ES794635	TRT1417
ES794643	TRT1417
ES794659	TRT1417
ES794671	TRT1417
ES794681	TRT1417
ES794683	TRT1417
ES794688	TRT1417
ES794691	TRT1417
ES794693	TRT1417
ES794696	TRT1417
ES794706	TRT1417
ES794707	TRT1417
ES794719	TRT1417
ES794732	TRT1417
ES794742	TRT1417
ES794746	TRT1417
ES789838	TRT1417
ES789842	TRT1417
ES789844	TRT1417
ES789851	TRT1417
ES789854	TRT1417
ES789860	TRT1417
ES789872	TRT1417
ES789875	TRT1417
ES789883	TRT1417
ES789888	TRT1417
ES789892	TRT1417
ES789895	TRT1417
ES789897	TRT1417
ES789899	TRT1417
ES789907	TRT1417
ES789915	TRT1417
ES789916	TRT1417
ES789922	TRT1417
ES789923	TRT1417
ES789942	TRT1417
ES789948	TRT1417
ES789949	TRT1417
ES789955	TRT1417
ES789970	TRT1417
ES789978	TRT1417
ES789979	TRT1417
ES789984	TRT1417
ES789985	TRT1417
ES790033	TRT1417
ES790036	TRT1417
ES790041	TRT1417
ES790044	TRT1417
ES790049	TRT1417
ES790058	TRT1417
ES790064	TRT1417
ES790071	TRT1417
ES790072	TRT1417
ES790077	TRT1417
ES790082	TRT1417
ES790096	TRT1417
ES790106	TRT1417
ES794570	TRT1417
ES794590	TRT1417
ES794595	TRT1417
ES794602	TRT1417
ES794610	TRT1417
ES794633	TRT1417
ES794634	TRT1417
ES794640	TRT1417
ES794644	TRT1417
ES794651	TRT1417
ES794654	TRT1417
ES794658	TRT1417
ES794672	TRT1417
ES794682	TRT1417
ES794692	TRT1417
ES794694	TRT1417
ES794710	TRT1417
ES794729	TRT1417
ES794739	TRT1417
ES789849	TRT1417
ES789856	TRT1417
ES789861	TRT1417
ES789876	TRT1417
ES789902	TRT1417
ES789905	TRT1417
ES789924	TRT1417
ES789925	TRT1417
ES789932	TRT1417
ES789947	TRT1417
ES789968	TRT1417
ES789988	TRT1417
ES790035	TRT1417
ES790037	TRT1417
ES790039	TRT1417
ES790051	TRT1417
ES790054	TRT1417
ES790056	TRT1417
ES790074	TRT1417
ES790094	TRT1417
ES790101	TRT1417
ES794555	TRT1417
ES794566	TRT1417
ES794588	TRT1417
ES794599	TRT1417
ES794605	TRT1417
ES794607	TRT1417
ES794616	TRT1417
ES794618	TRT1417
ES794621	TRT1417
ES794629	TRT1417
ES794630	TRT1417
ES794639	TRT1417
ES794667	TRT1417
ES794679	TRT1417
ES794684	TRT1417
ES794689	TRT1417
ES794697	TRT1417
ES794699	TRT1417
ES794701	TRT1417
ES794712	TRT1417
ES794720	TRT1417
ES794723	TRT1417
ES794731	TRT1417
ES794748	TRT1417
ES789829	TRT1417
ES789840	TRT1417
ES789845	TRT1417
ES789852	TRT1417
ES789857	TRT1417
ES789864	TRT1417
ES789868	TRT1417
ES789882	TRT1417
ES789884	TRT1417
ES789886	TRT1417
ES789938	TRT1417
ES789941	TRT1417
ES789944	TRT1417
ES789971	TRT1417
ES789972	TRT1417
ES789973	TRT1417
ES789975	TRT1417
ES789987	TRT1417
ES790043	TRT1417
ES790048	TRT1417
ES790055	TRT1417
ES790063	TRT1417
ES790066	TRT1417
ES790068	TRT1417
ES790085	TRT1417
ES794560	TRT1417
ES794565	TRT1417
ES794574	TRT1417
ES794576	TRT1417
ES794587	TRT1417
ES794593	TRT1417
ES794613	TRT1417
ES794623	TRT1417
ES794626	TRT1417
ES794642	TRT1417
ES794649	TRT1417
ES794656	TRT1417
ES794657	TRT1417
ES794662	TRT1417
ES794668	TRT1417
ES794670	TRT1417
ES794673	TRT1417
ES794674	TRT1417
ES794675	TRT1417
ES794676	TRT1417
ES794714	TRT1417
ES794717	TRT1417
ES794734	TRT1417
ES794735	TRT1417
ES794737	TRT1417
ES794743	TRT1417
ES794747	TRT1417
ES789831	TRT1417
ES789832	TRT1417
ES789833	TRT1417
ES789839	TRT1417
ES789841	TRT1417
ES789846	TRT1417
ES789859	TRT1417
ES789869	TRT1417
ES789893	TRT1417
ES789896	TRT1417
ES789911	TRT1417
ES789914	TRT1417
ES789921	TRT1417
ES789934	TRT1417
ES789951	TRT1417
ES789953	TRT1417
ES789954	TRT1417
ES789962	TRT1417
ES789969	TRT1417
ES789977	TRT1417
ES789986	TRT1417
ES790028	TRT1417
ES790032	TRT1417
ES790045	TRT1417
ES790046	TRT1417
ES790057	TRT1417
ES790062	TRT1417
ES790065	TRT1417
ES790070	TRT1417
ES790078	TRT1417
ES790088	TRT1417
ES790089	TRT1417
ES790100	TRT1417
ES790102	TRT1417
ES790103	TRT1417
ES794556	TRT1417
ES794568	TRT1417
ES794578	TRT1417
ES794586	TRT1417
ES794597	TRT1417
ES794603	TRT1417
ES794609	TRT1417
ES794632	TRT1417
ES794652	TRT1417
ES794678	TRT1417
ES794704	TRT1417
ES794709	TRT1417
ES794724	TRT1417
ES794725	TRT1417
ES794738	TRT1417
ES789835	TRT1417
ES789836	TRT1417
ES789837	TRT1417
ES789855	TRT1417
ES789865	TRT1417
ES789867	TRT1417
ES789871	TRT1417
ES789873	TRT1417
ES789879	TRT1417
ES789900	TRT1417
ES789901	TRT1417
ES789909	TRT1417
ES789917	TRT1417
ES789927	TRT1417
ES789937	TRT1417
ES789945	TRT1417
ES789946	TRT1417
ES789957	TRT1417
ES789958	TRT1417
ES789974	TRT1417
ES789980	TRT1417
ES790030	TRT1417
ES790052	TRT1417
ES790061	TRT1417
ES790067	TRT1417
ES790076	TRT1417
ES790083	TRT1417
ES790086	TRT1417
ES790107	TRT1417
ES794559	TRT1417
ES794561	TRT1417
ES794562	TRT1417
ES794575	TRT1417
ES794577	TRT1417
ES794579	TRT1417
ES794585	TRT1417
ES794589	TRT1417
ES794591	TRT1417
ES794600	TRT1417
ES794612	TRT1417
ES794617	TRT1417
ES794620	TRT1417
ES794624	TRT1417
ES794625	TRT1417
ES794638	TRT1417
ES794641	TRT1417
ES794646	TRT1417
ES794655	TRT1417
ES794660	TRT1417
ES794661	TRT1417
ES794665	TRT1417
ES794690	TRT1417
ES794695	TRT1417
ES794700	TRT1417
ES794711	TRT1417
ES794721	TRT1417
ES794726	TRT1417
ES794728	TRT1417
ES794736	TRT1417
ES794744	TRT1417
ES789848	TRT1417
ES789862	TRT1417
ES789863	TRT1417
ES789866	TRT1417
ES789870	TRT1417
ES789874	TRT1417
ES789877	TRT1417
ES789881	TRT1417
ES789885	TRT1417
ES789887	TRT1417
ES789890	TRT1417
ES789894	TRT1417
ES789903	TRT1417
ES789904	TRT1417
ES789913	TRT1417
ES789918	TRT1417
ES789919	TRT1417
ES789920	TRT1417
ES789929	TRT1417
ES789930	TRT1417
ES789931	TRT1417
ES789933	TRT1417
ES789935	TRT1417
ES789936	TRT1417
ES789950	TRT1417
ES789959	TRT1417
ES789965	TRT1417
ES789966	TRT1417
ES789982	TRT1417
ES790029	TRT1417
ES790050	TRT1417
ES790059	TRT1417
ES790060	TRT1417
ES790069	TRT1417
ES790075	TRT1417
ES790081	TRT1417
ES790084	TRT1417
ES790097	TRT1417
ES790099	TRT1417
ES790104	TRT1417
ES790105	TRT1417
ES794567	TRT1417
ES794569	TRT1417
ES794582	TRT1417
ES794584	TRT1417
ES794596	TRT1417
ES794598	TRT1417
ES794601	TRT1417
ES794611	TRT1417
ES794627	TRT1417
ES794636	TRT1417
ES794637	TRT1417
ES794645	TRT1417
ES794647	TRT1417
ES794648	TRT1417
ES794650	TRT1417
ES794653	TRT1417
ES794664	TRT1417
ES794666	TRT1417
ES794677	TRT1417
ES794680	TRT1417
ES794685	TRT1417
ES794687	TRT1417
ES794698	TRT1417
ES794702	TRT1417
ES794703	TRT1417
ES794716	TRT1417
ES794718	TRT1417
ES794722	TRT1417
ES794727	TRT1417
ES794730	TRT1417
ES794733	TRT1417
ES794745	TRT1417
ES794749	TRT1417
