FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
162450	13		QDOT 565-A		CD45
162450	2		FSC-H		FSC-H
162450	15		Alexa 700-A		CD3-CD4
162450	11		PE-Cy7-A	CD38	CD38
162451	15		Alexa 700-A	HLA-DRA	HLA DR
162451	11		PE-Cy7-A	CD1C	CD1c
162452	16		APC-Cy7-A	FCG3A	CD16
162452	2		FSC-H		FSC-H
162453	13		QDOT 565-A		CD45
162453	6		SSC-W		SSC-W
162454	2		FSC-H		FSC-H
162454	14		APC-A	SDC1	CD138
162454	4		SSC-A		SSC-A
162454	9		PE-Texas Red-A	CD19	CD19
162456	17		Time		Time
162457	8		PE-A	CCR6	CCR6
162457	1		FSC-A		FSC-A
162457	14		APC-A	ICOS	ICOS
162459	7		FITC-A	CXCR5	CXCR5
162460	1		FSC-A		FSC-A
162460	15		Alexa 700-A		CD3-CD14
162461	2		FSC-H		FSC-H
162461	1		FSC-A		FSC-A
162461	11		PE-Cy7-A	CD1C	CD1c
162461	10		PE-Cy5-A	ITAX	CD11c
162461	7		FITC-A		LIN1
162461	3		FSC-W		FSC-W
162462	6		SSC-W		SSC-W
162462	7		FITC-A	CX3CR1	CX3CR1
162463	17		Time		Time
162464	16		APC-Cy7-A	CD27	CD27
162464	17		Time		Time
162464	10		PE-Cy5-A	CD20	CD20
162464	4		SSC-A		SSC-A
162464	7		FITC-A	IGHD	IgD
162465	4		SSC-A		SSC-A
162466	14		APC-A		SLAN
162466	11		PE-Cy7-A	ITGAM	CD11b
162466	12		Pacific Blue-A	CD86	CD86
162466	2		FSC-H		FSC-H
162468	16		APC-Cy7-A	CD27	CD27
162469	11		PE-Cy7-A	CCR7	CCR7
162469	12		Pacific Blue-A	CD4	CD4
162470	12		Pacific Blue-A	CD86	CD86
162470	6		SSC-W		SSC-W
162471	11		PE-Cy7-A	CCR7	CCR7
162471	16		APC-Cy7-A	CD8A	CD8
162471	12		Pacific Blue-A	CD4	CD4
162472	2		FSC-H		FSC-H
162472	1		FSC-A		FSC-A
162472	14		APC-A	SDC1	CD138
162472	6		SSC-W		SSC-W
162472	5		SSC-H		SSC-H
162473	3		FSC-W		FSC-W
162473	17		Time		Time
162473	14		APC-A	ICOS	ICOS
162474	8		PE-A	CD24	CD24
162474	13		QDOT 565-A		CD45
162475	13		QDOT 565-A		CD45
162475	17		Time		Time
162475	2		FSC-H		FSC-H
162475	10		PE-Cy5-A	ITAX	CD11c
162476	3		FSC-W		FSC-W
162476	1		FSC-A		FSC-A
162477	17		Time		Time
162478	12		Pacific Blue-A	CD86	CD86
162478	10		PE-Cy5-A	CD20	CD20
162479	17		Time		Time
162479	7		FITC-A	CXCR5	CXCR5
162480	9		PE-Texas Red-A	CD19	CD19
162480	7		FITC-A	IGHD	IgD
162480	13		QDOT 565-A		CD45
162480	17		Time		Time
162481	13		QDOT 565-A		CD45
162482	6		SSC-W		SSC-W
162482	11		PE-Cy7-A	CD38	CD38
162482	17		Time		Time
162483	13		QDOT 565-A		CD45
162483	17		Time		Time
162484	9		PE-Texas Red-A	CD19	CD19
162484	8		PE-A	CD24	CD24
162484	17		Time		Time
162485	12		Pacific Blue-A	CD86	CD86
162486	4		SSC-A		SSC-A
162486	2		FSC-H		FSC-H
162487	11		PE-Cy7-A	CCR7	CCR7
162487	10		PE-Cy5-A	CXCR3	CXCR3
162488	15		Alexa 700-A		CD3-CD14
162489	5		SSC-H		SSC-H
162489	2		FSC-H		FSC-H
162489	15		Alexa 700-A	CD3E	CD3
162489	4		SSC-A		SSC-A
162490	2		FSC-H		FSC-H
162490	9		PE-Texas Red-A	CD19	CD19
162490	5		SSC-H		SSC-H
162491	11		PE-Cy7-A	CCR7	CCR7
162492	7		FITC-A	IGHD	IgD
162493	7		FITC-A	CXCR5	CXCR5
162493	5		SSC-H		SSC-H
162494	4		SSC-A		SSC-A
162495	12		Pacific Blue-A	CD4	CD4
162496	17		Time		Time
162496	8		PE-A	CD24	CD24
162497	3		FSC-W		FSC-W
162497	15		Alexa 700-A	HLA-DRA	HLA DR
162498	1		FSC-A		FSC-A
162498	14		APC-A		SLAN
162498	16		APC-Cy7-A	FCG3A	CD16
162499	3		FSC-W		FSC-W
162499	16		APC-Cy7-A	CD8A	CD8
162499	10		PE-Cy5-A	CXCR3	CXCR3
162499	4		SSC-A		SSC-A
162500	17		Time		Time
162501	10		PE-Cy5-A	CXCR3	CXCR3
162501	4		SSC-A		SSC-A
162501	13		QDOT 565-A		CD45
162502	3		FSC-W		FSC-W
162502	14		APC-A	SDC1	CD138
162502	6		SSC-W		SSC-W
162503	12		Pacific Blue-A	CD4	CD4
162503	2		FSC-H		FSC-H
162503	3		FSC-W		FSC-W
162504	16		APC-Cy7-A	CD27	CD27
162505	11		PE-Cy7-A	CCR7	CCR7
162506	8		PE-A	CD24	CD24
162506	14		APC-A	SDC1	CD138
162507	6		SSC-W		SSC-W
162508	13		QDOT 565-A		CD45
162508	17		Time		Time
162508	10		PE-Cy5-A	CD20	CD20
162508	8		PE-A	CD24	CD24
162508	3		FSC-W		FSC-W
162509	7		FITC-A		LIN1
162509	5		SSC-H		SSC-H
162510	2		FSC-H		FSC-H
162510	1		FSC-A		FSC-A
162511	16		APC-Cy7-A	CD8A	CD8
162511	17		Time		Time
162511	6		SSC-W		SSC-W
162511	5		SSC-H		SSC-H
162512	7		FITC-A	IGHD	IgD
162513	9		PE-Texas Red-A	PTPRC	CD45RA
162514	16		APC-Cy7-A	CD27	CD27
162514	12		Pacific Blue-A	CD86	CD86
162514	14		APC-A	SDC1	CD138
162515	7		FITC-A	CXCR5	CXCR5
162515	15		Alexa 700-A	CD3E	CD3
162515	10		PE-Cy5-A	CXCR3	CXCR3
