FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
1199642	lymphocyte	Lymph		573914
1199647	lymphocyte	Lymph		573915
1199658	singlet	Singlet		573917
1199659		WBC		573917
1199668	CD38+	CD38+	ANA808	573918
1199670	B7-2+	CD86+	ANA868	573918
1199675	CD38+	CD38+	ANA808	573919
1199685		WBC		573921
1199693	CD19	CD19	ANA805	573922
1199696	singlet	Singlet		573923
1199714	singlet	Singlet		573926
1199718	CD19+	CD19+	ANA805	573926
1199719	CD20-	CD20-	ANA806	573926
1199724	CD27-	CD27-	ANA40	573927
1199732	IgD+	IgD+	ANA813	573928
1199739	IgD-	IgD-	ANA813	573929
1199741	singlet	Singlet		573930
1199742		WBC		573930
1199749		WBC		573931
1199750	lymphocyte	Lymph		573931
1199751	CD19	CD19	ANA805	573931
1199755	singlet	Singlet		573932
1199756		WBC		573932
1199766	HLADR	HLADR	ANA812	573933
1199773	singlet	Singlet		573935
1199781		WBC		573936
1199783	CD14+	CD14+	ANA804	573936
1199809		WBC		573940
1199813	CD16+	CD16+	ANA811	573940
1199814	CCRL1+	CX3CR1+	ANA59	573940
1199818	CD14+	CD14+	ANA804	573941
1199820	CD16+	CD16+	ANA811	573941
1199821	CCRL1-	CX3CR1-	ANA59	573941
1199824		Mono		573942
1199827	CD16-	CD16-	ANA811	573942
1199828	CCRL1-	CX3CR1-	ANA59	573942
1199838		Mono		573944
1199843	singlet	Singlet		573945
1199848	CD16+	CD16+	ANA811	573945
1199851		WBC		573946
1199855	CD16-	CD16-	ANA811	573946
1199858		WBC		573947
1199859		Mono		573947
1199865		WBC		573948
1199870	HLADR+	HLADR+	ANA812	573948
1199873		Mono		573949
1199874	CD14+	CD14+	ANA804	573949
1199881	CD14+	CD14+	ANA804	573950
1199892	singlet	Singlet		573952
1199897	CD16+	CD16+	ANA811	573952
1199902	CD14+	CD14+	ANA804	573953
1199911	CD16-	CD16-	ANA811	573954
1199926	SLAN+	SLAN+	ANA906	573956
1199932	CD16+	CD16+	ANA811	573957
1199936		Mono		573958
1199939	CD16-	CD16-	ANA811	573958
1199942		WBC		573959
1199949		WBC		573961
1199958		Lymo		573963
1199962	singlet	Singlet		573964
1199965		Lin1-DR+		573964
1199971		Lymo		573965
1199972		Lin1-DR+		573965
1199973	BDCA2, CD303+	BDCA2+	ANA870	573965
1199977		WBC		573966
1199998		Lymo		573969
1200011		WBC		573971
1200033		WBC		573974
1200035		Lin1-DR+		573974
1200042		WBC		573975
1200049	CD2+	CD2+	ANA860	573975
1200058	B7-2+	CD86+	ANA868	573976
1200068	singlet	Singlet		573978
1200072	BDCA2, CD303-	BDCA2-	ANA870	573978
1200073	CD11c+	CD11c+	ANA814	573978
1200074	BDCA3+	BDCA3+	ANA894	573978
1200083	BDCA1-	CD1c-	ANA895	573979
1200084	CD2-	CD2-	ANA860	573979
1200095		WBC		573981
1200109	BDCA3+	BDCA3+	ANA894	573982
1200149	lymphocyte	Lymph		573989
1200157		WBC		573990
1200178	CD3	CD3	ANA809	573992
1200179	CD4	CD4	ANA41	573992
1200187	lymphocyte	Lymph		573993
1200196	lymphocyte	Lymph		573994
1200208	CD4	CD4	ANA41	573995
1200221	CCR6-	CCR6-	ANA36	573996
1200231		WBC		573998
1200242	CD4	CD4	ANA41	573999
1200253	CD45RA-	CD45RA-	ANA816	574000
1200260	CD3	CD3	ANA809	574001
1200261	CD4	CD4	ANA41	574001
1200268	lymphocyte	Lymph		574002
1200286		WBC		574004
1200291	CD45RA-	CD45RA-	ANA816	574004
1200306	lymphocyte	Lymph		574006
1200316	lymphocyte	Lymph		574007
1200335	CD8	CD8	ANA810	574010
1200339	lymphocyte	Lymph		574011
1200343	singlet	Singlet		574012
1200351	B7-2+	CD86+	ANA868	574013
1200361	CD27+	CD27+	ANA40	574015
1200362	CD138+	CD138+	ANA891	574015
1200365	lymphocyte	Lymph		574016
1200393	CD38+	CD38+	ANA808	574020
1200400	CD27-	CD27-	ANA40	574021
1200415		WBC		574024
1200418	CD27-	CD27-	ANA40	574024
1200426	singlet	Singlet		574026
1200431	CD20-	CD20-	ANA806	574026
1200451	IgD-	IgD-	ANA813	574029
1200457	CD27-	CD27-	ANA40	574030
1200459	B7-2+	CD86+	ANA868	574030
1200468		WBC		574032
1200478	singlet	Singlet		574034
1200480	lymphocyte	Lymph		574034
1200482	CD278+	ICOS+	ANA898	574034
1200497	CD3	CD3	ANA809	574037
1200504	CD3	CD3	ANA809	574038
1200510		WBC		574039
1200518	singlet	Singlet		574040
1200522	CD4	CD4	ANA41	574040
1200529		WBC		574041
1200533	CXCR5+	CXCR5+	ANA78	574041
1200540	CD3	CD3	ANA809	574042
1200542	CXCR5+	CXCR5+	ANA78	574042
1200547	singlet	Singlet		574043
1200548		WBC		574043
1200549	lymphocyte	Lymph		574043
1200558	lymphocyte	Lymph		574044
1200576		WBC		574046
1200578	CD3	CD3	ANA809	574046
1200584	CD278+	ICOS+	ANA898	574046
