EXPERIMENT_ACCESSION	PROTOCOL_ACCESSION
EXP14117	PTL7694
EXP14121	PTL7701
EXP14113	PTL7694
EXP14116	PTL7694
EXP14118	PTL7701
EXP14120	PTL7702
EXP14121	PTL7694
EXP14121	PTL7702
EXP10659	PTL5297
EXP14118	PTL7694
EXP14118	PTL7702
EXP14119	PTL7701
EXP14119	PTL7702
EXP14120	PTL7694
EXP14120	PTL7701
EXP14119	PTL7694
EXP14117	PTL7701
EXP14117	PTL7702
