EXPSAMPLE_ACCESSION	TREATMENT_ACCESSION
ES983007	TRT2025
ES983010	TRT2025
ES983021	TRT2025
ES983026	TRT2025
ES983036	TRT2025
ES983041	TRT2025
ES983043	TRT2025
ES983053	TRT2025
ES983054	TRT2025
ES983068	TRT2025
ES983078	TRT2025
ES983081	TRT2025
ES983083	TRT2025
ES983084	TRT2025
ES983089	TRT2025
ES983092	TRT2025
ES983120	TRT2025
ES983121	TRT2025
ES983122	TRT2025
ES983127	TRT2025
ES983142	TRT2025
ES983150	TRT2025
ES983159	TRT2025
ES983169	TRT2025
ES983176	TRT2025
ES983187	TRT2025
ES983188	TRT2025
ES983189	TRT2025
ES983203	TRT2025
ES983204	TRT2025
ES983215	TRT2025
ES983226	TRT2025
ES983229	TRT2025
ES983234	TRT2025
ES983245	TRT2025
ES983247	TRT2025
ES983255	TRT2025
ES983257	TRT2025
ES983271	TRT2025
ES983275	TRT2025
ES983541	TRT2025
ES983543	TRT2025
ES983546	TRT2025
ES983553	TRT2025
ES983559	TRT2025
ES983577	TRT2025
ES983590	TRT2025
ES983595	TRT2025
ES983599	TRT2025
ES983601	TRT2025
ES983627	TRT2025
ES983631	TRT2025
ES983639	TRT2025
ES983654	TRT2025
ES983690	TRT2025
ES983698	TRT2025
ES983699	TRT2025
ES983738	TRT2025
ES983746	TRT2025
ES983754	TRT2025
ES983755	TRT2025
ES983758	TRT2025
ES983762	TRT2025
ES983768	TRT2025
ES983770	TRT2025
ES983775	TRT2025
ES983780	TRT2025
ES983783	TRT2025
ES983786	TRT2025
ES983793	TRT2025
ES983823	TRT2025
ES983830	TRT2025
ES983837	TRT2025
ES982809	TRT2025
ES982810	TRT2025
ES982817	TRT2025
ES982828	TRT2025
ES982830	TRT2025
ES982840	TRT2025
ES982846	TRT2025
ES982856	TRT2025
ES982863	TRT2025
ES982866	TRT2025
ES982872	TRT2025
ES982907	TRT2025
ES982909	TRT2025
ES982918	TRT2025
ES982921	TRT2025
ES982925	TRT2025
ES982928	TRT2025
ES982936	TRT2025
ES982946	TRT2025
ES982951	TRT2025
ES982956	TRT2025
ES982958	TRT2025
ES982959	TRT2025
ES982961	TRT2025
ES982963	TRT2025
ES982973	TRT2025
ES982979	TRT2025
ES982982	TRT2025
ES982986	TRT2025
ES982990	TRT2025
ES982996	TRT2025
ES982997	TRT2025
ES983295	TRT2025
ES983304	TRT2025
ES983309	TRT2025
ES983328	TRT2025
ES983331	TRT2025
ES983347	TRT2025
ES983372	TRT2025
ES983400	TRT2025
ES983402	TRT2025
ES983403	TRT2025
ES983406	TRT2025
ES983408	TRT2025
ES983440	TRT2025
ES983442	TRT2025
ES983450	TRT2025
ES983460	TRT2025
ES983465	TRT2025
ES983486	TRT2025
ES983491	TRT2025
ES983504	TRT2025
ES983506	TRT2025
ES983516	TRT2025
ES983522	TRT2025
ES983536	TRT2025
ES983848	TRT2025
ES983855	TRT2025
ES983859	TRT2025
ES983863	TRT2025
ES983864	TRT2025
ES983866	TRT2025
ES983868	TRT2025
ES983877	TRT2025
ES983887	TRT2025
ES983897	TRT2025
ES983901	TRT2025
ES983905	TRT2025
ES983907	TRT2025
ES983917	TRT2025
ES983924	TRT2025
ES983935	TRT2025
ES983937	TRT2025
ES983946	TRT2025
ES983961	TRT2025
ES983964	TRT2025
ES983971	TRT2025
ES983973	TRT2025
ES983977	TRT2025
ES983989	TRT2025
ES983992	TRT2025
ES983997	TRT2025
ES984000	TRT2025
ES984013	TRT2025
ES984015	TRT2025
ES984017	TRT2025
ES984021	TRT2025
ES984037	TRT2025
ES984041	TRT2025
ES984048	TRT2025
ES984055	TRT2025
ES984056	TRT2025
ES984058	TRT2025
