FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
262894	8		FJComp-G710-A	ITAX	CD11c
262894	9		FJComp-G780-A		Lineage
262894	18		Time		Time
262895	14		FJComp-V545-A		Viability
262895	15		FJComp-V605-A	CD4	CD4
262896	16		FJComp-V655-A	CD14	CD14
262896	17		FJComp-V800-A		CD45
262896	18		Time		Time
262897	1		FSC-A		FSC-A
262898	5		FJComp-G560-A	CD40	CD40
262898	15		FJComp-V605-A	CD4	CD4
263272	8		FJComp-G710-A	HLA-DRA	HLA-DR
263273	4		FJComp-B710-A	CD38	CD38
263273	15		FJComp-V605-A	CD8A	CD8
263274	11		FJComp-R710-A		CD197
263275	1		FSC-A		FSC-A
263275	2		SSC-A		SSC-A
263344	2		SSC-A		SSC-A
263344	10		FJComp-R660-A	IL7R	CD127
263344	12		FJComp-R780-A	CD3E	CD3
263344	15		FJComp-V605-A	CD8A	CD8
263345	7		FJComp-G660-A	ITGAE	CD103
263345	10		FJComp-R660-A	IL7R	CD127
263346	9		FJComp-G780-A	IL2RA	CD25
263346	11		FJComp-R710-A		CD197
263348	3		FJComp-B515-A		CD39
263416	16		FJComp-V655-A	CD27	CD27
263420	6		FJComp-G610-A		CD45-RA
263490	2		SSC-A		SSC-A
263490	9		FJComp-G780-A	IL2RA	CD25
263490	12		FJComp-R780-A	CD3E	CD3
263491	7		FJComp-G660-A	ITGAE	CD103
263492	4		FJComp-B710-A	CD38	CD38
263492	8		FJComp-G710-A	HLA-DRA	HLA-DR
263493	16		FJComp-V655-A	CD27	CD27
263562	16		FJComp-V655-A	CD27	CD27
263563	17		FJComp-V800-A		CD45
263564	9		FJComp-G780-A	IL2RA	CD25
263564	16		FJComp-V655-A	CD27	CD27
263565	4		FJComp-B710-A	CD38	CD38
263565	7		FJComp-G660-A	ITGAE	CD103
263565	8		FJComp-G710-A	HLA-DRA	HLA-DR
263565	14		FJComp-V545-A		Viability
263566	4		FJComp-B710-A	CD38	CD38
263566	17		FJComp-V800-A		CD45
262505	8		FJComp-G710-A	CD20	CD20
262505	12		FJComp-R780-A		CD10
262506	11		FJComp-R710-A	IGHM	IgM
262507	1		FSC-A		FSC-A
262507	16		FJComp-V655-A	CD19	CD19
262508	1		FSC-A		FSC-A
262508	2		SSC-A		SSC-A
262508	11		FJComp-R710-A	IGHM	IgM
262509	3		FJComp-B515-A		IgA
262578	5		FJComp-G560-A		CD21
262578	14		FJComp-V545-A		Viability
262579	3		FJComp-B515-A		IgA
262579	10		FJComp-R660-A	IGHD	IgD
262580	7		FJComp-G660-A		IgG
262580	10		FJComp-R660-A	IGHD	IgD
262580	12		FJComp-R780-A		CD10
262580	13		FJComp-V450-A	CD80	CD80
262580	18		Time		Time
262582	2		SSC-A		SSC-A
262582	5		FJComp-G560-A		CD21
262582	8		FJComp-G710-A	CD20	CD20
262651	12		FJComp-R780-A		CD10
262651	15		FJComp-V605-A	CD27	CD27
262652	4		FJComp-B710-A	CD86	CD86
262652	9		FJComp-G780-A		CD23
262653	10		FJComp-R660-A	IGHD	IgD
262654	1		FSC-A		FSC-A
262654	2		SSC-A		SSC-A
262654	12		FJComp-R780-A		CD10
262655	6		FJComp-G610-A	CD38	CD38
262655	12		FJComp-R780-A		CD10
262724	2		SSC-A		SSC-A
262724	14		FJComp-V545-A		Viability
262724	18		Time		Time
262725	4		FJComp-B710-A	TNF	TNFa
262725	17		FJComp-V800-A		CD45
262726	5		FJComp-G560-A	CD40	CD40
262728	3		FJComp-B515-A	IFN1@	IFNa
262728	5		FJComp-G560-A	CD40	CD40
262796	14		FJComp-V545-A		Viability
262797	10		FJComp-R660-A	CLEC4C	BDCA-2
262798	7		FJComp-G660-A		CD83
262798	11		FJComp-R710-A	CD33	CD33
262798	13		FJComp-V450-A	IL3RA	CD123
262800	7		FJComp-G660-A		CD83
262864	7		FJComp-G660-A		CD83
262864	10		FJComp-R660-A	CLEC4C	BDCA-2
262865	3		FJComp-B515-A	IFN1@	IFNa
262865	8		FJComp-G710-A	ITAX	CD11c
262865	11		FJComp-R710-A	CD33	CD33
262865	17		FJComp-V800-A		CD45
262866	11		FJComp-R710-A	CD33	CD33
262866	14		FJComp-V545-A		Viability
262867	6		FJComp-G610-A	HLA-DRA	HLA-DR
262867	9		FJComp-G780-A		Lineage
262898	18		Time		Time
262900	1		FSC-A		FSC-A
262900	3		FJComp-B515-A	IFN1@	IFNa
262900	7		FJComp-G660-A		CD83
262900	11		FJComp-R710-A	CD33	CD33
262900	17		FJComp-V800-A		CD45
262901	17		FJComp-V800-A		CD45
262902	1		FSC-A		FSC-A
262902	2		SSC-A		SSC-A
262902	5		FJComp-G560-A	CD40	CD40
262902	11		FJComp-R710-A	CD33	CD33
262902	14		FJComp-V545-A		Viability
262903	6		FJComp-G610-A	HLA-DRA	HLA-DR
262903	7		FJComp-G660-A		CD83
263275	15		FJComp-V605-A	CD8A	CD8
263277	1		FSC-A		FSC-A
263277	2		SSC-A		SSC-A
263277	3		FJComp-B515-A		CD39
263277	13		FJComp-V450-A	CD4	CD4
263278	5		FJComp-G560-A		FOXp3
263278	6		FJComp-G610-A		CD45-RA
263278	12		FJComp-R780-A	CD3E	CD3
263278	18		Time		Time
263279	2		SSC-A		SSC-A
263279	15		FJComp-V605-A	CD8A	CD8
263349	2		SSC-A		SSC-A
263349	9		FJComp-G780-A	IL2RA	CD25
263349	17		FJComp-V800-A		CD45
263351	1		FSC-A		FSC-A
263351	13		FJComp-V450-A	CD4	CD4
263352	4		FJComp-B710-A	CD38	CD38
263421	5		FJComp-G560-A		FOXp3
263421	12		FJComp-R780-A	CD3E	CD3
263421	18		Time		Time
263422	1		FSC-A		FSC-A
263423	1		FSC-A		FSC-A
263423	12		FJComp-R780-A	CD3E	CD3
263423	13		FJComp-V450-A	CD4	CD4
263423	15		FJComp-V605-A	CD8A	CD8
263423	16		FJComp-V655-A	CD27	CD27
263424	1		FSC-A		FSC-A
263424	3		FJComp-B515-A		CD39
263424	16		FJComp-V655-A	CD27	CD27
263425	4		FJComp-B710-A	CD38	CD38
263425	9		FJComp-G780-A	IL2RA	CD25
263494	8		FJComp-G710-A	HLA-DRA	HLA-DR
263494	15		FJComp-V605-A	CD8A	CD8
263495	17		FJComp-V800-A		CD45
263495	18		Time		Time
263496	11		FJComp-R710-A		CD197
263497	4		FJComp-B710-A	CD38	CD38
263497	7		FJComp-G660-A	ITGAE	CD103
263498	1		FSC-A		FSC-A
263567	1		FSC-A		FSC-A
263567	13		FJComp-V450-A	CD4	CD4
263567	14		FJComp-V545-A		Viability
263568	4		FJComp-B710-A	CD38	CD38
263568	12		FJComp-R780-A	CD3E	CD3
263569	11		FJComp-R710-A		CD197
263570	5		FJComp-G560-A		FOXp3
263571	7		FJComp-G660-A	ITGAE	CD103
262509	18		Time		Time
262510	2		SSC-A		SSC-A
262511	10		FJComp-R660-A	IGHD	IgD
262512	16		FJComp-V655-A	CD19	CD19
262513	1		FSC-A		FSC-A
262513	7		FJComp-G660-A		IgG
262514	4		FJComp-B710-A	CD86	CD86
262514	7		FJComp-G660-A		IgG
262582	17		FJComp-V800-A		CD45
