EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES983130	ESR16457
ES983130	ESR16447
ES983130	ESR16446
ES983131	ESR16444
ES983132	ESR16457
ES983132	ESR16445
ES983133	ESR16463
ES983133	ESR16462
ES983133	ESR16458
ES983133	ESR16447
ES983134	ESR16461
ES983135	ESR16500
ES983135	ESR16461
ES983135	ESR16457
ES983135	ESR16446
ES983136	ESR16445
ES983137	ESR16447
ES983139	ESR16464
ES983140	ESR16500
ES983140	ESR16464
ES983141	ESR16461
ES983142	ESR16448
ES983142	ESR16446
ES983143	ESR16446
ES983144	ESR16466
ES983144	ESR16465
ES983144	ESR16462
ES983144	ESR16460
ES983144	ESR16457
ES983145	ESR16460
ES983145	ESR16458
ES983146	ESR16500
ES983147	ESR16463
ES983148	ESR16457
ES983148	ESR16448
ES983149	ESR16458
ES983150	ESR16462
ES983151	ESR16464
ES983151	ESR16458
ES983152	ESR16462
ES983154	ESR16465
ES983154	ESR16445
ES983155	ESR16500
ES983155	ESR16462
ES983156	ESR16447
ES983157	ESR16465
ES983157	ESR16464
ES983158	ESR16500
ES983159	ESR16459
ES983160	ESR16500
ES983160	ESR16463
ES983161	ESR16463
ES983162	ESR16465
ES983162	ESR16464
ES983163	ESR16466
ES983163	ESR16465
ES983163	ESR16464
ES983163	ESR16458
ES983164	ESR16466
ES983165	ESR16466
ES983165	ESR16460
ES983165	ESR16459
ES983166	ESR16459
ES983166	ESR16444
ES983168	ESR16466
ES983168	ESR16458
ES983169	ESR16465
ES983169	ESR16464
ES983169	ESR16447
ES983169	ESR16445
ES983170	ESR16500
ES983170	ESR16445
ES983170	ESR16444
ES983171	ESR16448
ES983171	ESR16445
ES983172	ESR16446
ES983173	ESR16444
ES983174	ESR16457
ES983175	ESR16462
ES983175	ESR16460
ES983176	ESR16445
ES983178	ESR16465
ES983178	ESR16462
ES983180	ESR16466
ES983181	ESR16459
ES983183	ESR16460
ES983183	ESR16458
ES983183	ESR16457
ES983184	ESR16463
ES983185	ESR16500
ES983185	ESR16464
ES983185	ESR16462
ES983186	ESR16464
ES983186	ESR16457
ES983186	ESR16444
ES983188	ESR16500
ES983188	ESR16463
ES983188	ESR16460
ES983188	ESR16458
ES983189	ESR16462
ES983189	ESR16444
ES983190	ESR16465
ES983191	ESR16463
ES983191	ESR16444
ES983192	ESR16458
