STANDARD_CURVE_ACCESSION	EXPERIMENT_ACCESSION	FILE_INFO_ID	DATA_FORMAT	RESULT_SCHEMA
SC7082	EXP13950	533146	MBAA	MBAA
SC7091	EXP13950	533146	MBAA	MBAA
SC7101	EXP13950	533146	MBAA	MBAA
SC7115	EXP13950	533146	MBAA	MBAA
SC7123	EXP13950	533146	MBAA	MBAA
SC7135	EXP13950	533146	MBAA	MBAA
SC7147	EXP13950	533146	MBAA	MBAA
SC7148	EXP13950	533146	MBAA	MBAA
SC7152	EXP13950	533146	MBAA	MBAA
SC7158	EXP13950	533146	MBAA	MBAA
SC7168	EXP13950	533146	MBAA	MBAA
SC7171	EXP13950	533146	MBAA	MBAA
SC7196	EXP13950	533146	MBAA	MBAA
SC6635	EXP13950	533146	MBAA	MBAA
SC6643	EXP13950	533146	MBAA	MBAA
SC6656	EXP13950	533146	MBAA	MBAA
SC6662	EXP13950	533146	MBAA	MBAA
SC6664	EXP13950	533146	MBAA	MBAA
SC6673	EXP13950	533146	MBAA	MBAA
SC6678	EXP13950	533146	MBAA	MBAA
SC6679	EXP13950	533146	MBAA	MBAA
SC6680	EXP13950	533146	MBAA	MBAA
SC6686	EXP13950	533146	MBAA	MBAA
SC6698	EXP13950	533146	MBAA	MBAA
SC6700	EXP13950	533146	MBAA	MBAA
SC6709	EXP13950	533146	MBAA	MBAA
SC6710	EXP13950	533146	MBAA	MBAA
SC6719	EXP13950	533146	MBAA	MBAA
SC6722	EXP13950	533146	MBAA	MBAA
SC6731	EXP13950	533146	MBAA	MBAA
SC6735	EXP13950	533146	MBAA	MBAA
SC6744	EXP13950	533146	MBAA	MBAA
SC6752	EXP13950	533146	MBAA	MBAA
SC6756	EXP13950	533146	MBAA	MBAA
SC6766	EXP13950	533146	MBAA	MBAA
SC6772	EXP13950	533146	MBAA	MBAA
SC6782	EXP13950	533146	MBAA	MBAA
SC6787	EXP13950	533146	MBAA	MBAA
SC6791	EXP13950	533146	MBAA	MBAA
SC6792	EXP13950	533146	MBAA	MBAA
SC6803	EXP13950	533146	MBAA	MBAA
SC6806	EXP13950	533146	MBAA	MBAA
SC6811	EXP13950	533146	MBAA	MBAA
SC6819	EXP13950	533146	MBAA	MBAA
SC6836	EXP13950	533146	MBAA	MBAA
SC6858	EXP13950	533146	MBAA	MBAA
SC6863	EXP13950	533146	MBAA	MBAA
SC6874	EXP13950	533146	MBAA	MBAA
SC6875	EXP13950	533146	MBAA	MBAA
SC6883	EXP13950	533146	MBAA	MBAA
SC6891	EXP13950	533146	MBAA	MBAA
SC6893	EXP13950	533146	MBAA	MBAA
SC6901	EXP13950	533146	MBAA	MBAA
SC6902	EXP13950	533146	MBAA	MBAA
SC6910	EXP13950	533146	MBAA	MBAA
