EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES784280	ESR12217
ES784282	ESR12213
ES784283	ESR12219
ES784284	ESR12236
ES784285	ESR12232
ES784285	ESR12231
ES784285	ESR12230
ES784285	ESR12229
ES784285	ESR12227
ES784286	ESR12215
ES784286	ESR12212
ES784286	ESR12211
ES784287	ESR12242
ES784288	ESR12240
ES784288	ESR12236
ES784288	ESR12235
ES784288	ESR12217
ES784290	ESR12215
ES784290	ESR12214
ES784291	ESR12222
ES784291	ESR12220
ES784291	ESR12219
ES784292	ESR12236
ES784293	ESR12232
ES784294	ESR12210
ES784296	ESR12235
ES784297	ESR12230
ES784297	ESR12229
ES784297	ESR12228
ES784297	ESR12226
ES784298	ESR12213
ES784299	ESR12221
ES784299	ESR12219
ES784300	ESR12240
ES784301	ESR12227
ES784302	ESR12212
ES784303	ESR12223
ES784303	ESR12218
ES784305	ESR12228
ES784306	ESR12225
ES784307	ESR12218
ES784307	ESR12217
ES784308	ESR12238
ES784308	ESR12235
ES784308	ESR12225
ES784309	ESR12243
ES784310	ESR12209
ES784311	ESR12242
ES784311	ESR12225
ES784311	ESR12220
ES784312	ESR12236
ES784313	ESR12225
ES784314	ESR12212
ES784315	ESR12225
ES784315	ESR12220
ES784318	ESR12210
ES784319	ESR12222
ES784320	ESR12239
ES784320	ESR12238
ES784320	ESR12236
ES784320	ESR12217
ES784321	ESR12231
ES784322	ESR12241
ES784322	ESR12215
ES784322	ESR12209
ES784323	ESR12224
ES784323	ESR12223
ES784323	ESR12219
ES784325	ESR12234
ES784325	ESR12229
ES784327	ESR12222
ES784328	ESR12235
ES784328	ESR12225
ES784329	ESR12226
ES784329	ESR12225
ES784330	ESR12215
ES784330	ESR12210
ES784333	ESR12243
ES784334	ESR12212
ES784335	ESR12223
ES784336	ESR12237
ES784337	ESR12231
ES784338	ESR12209
ES784339	ESR12213
ES784340	ESR12240
ES784340	ESR12237
ES784340	ESR12236
ES784342	ESR12234
ES784342	ESR12231
ES784344	ESR12242
ES784344	ESR12225
ES784344	ESR12222
ES784346	ESR12217
ES784347	ESR12224
ES784348	ESR12237
ES784348	ESR12235
ES784349	ESR12233
ES784349	ESR12232
ES784350	ESR12241
ES784350	ESR12213
ES784350	ESR12209
ES784351	ESR12225
ES784351	ESR12221
ES784352	ESR12244
ES784352	ESR12238
ES784354	ESR12217
ES784354	ESR12212
ES784355	ESR12225
ES784355	ESR12222
ES784355	ESR12221
ES784356	ESR12235
ES784356	ESR12225
ES784358	ESR12211
ES784359	ESR12242
ES784360	ESR12244
ES784361	ESR12243
ES784361	ESR12233
ES784361	ESR12225
ES784362	ESR12209
ES784363	ESR12224
ES784364	ESR12236
ES784365	ESR12234
ES784366	ESR12241
ES784366	ESR12215
ES784366	ESR12212
ES784366	ESR12210
ES784367	ESR12222
ES784367	ESR12218
ES784369	ESR12243
ES784369	ESR12230
ES784370	ESR12213
ES784371	ESR12242
ES784371	ESR12223
ES784371	ESR12222
ES784371	ESR12218
ES784373	ESR12243
ES784373	ESR12231
ES784373	ESR12227
ES779455	ESR12084
ES779457	ESR12084
ES779467	ESR12084
ES779478	ESR12088
ES779480	ESR12088
ES779481	ESR12088
ES779481	ESR12087
ES779481	ESR12085
ES779482	ESR12088
ES779483	ESR12088
ES779486	ESR12088
ES779487	ESR12088
ES779487	ESR12085
ES779489	ESR12085
ES779491	ESR12088
ES779492	ESR12085
ES779493	ESR12088
ES779500	ESR12085
ES779502	ESR12085
ES779503	ESR12085
ES779505	ESR12088
ES779506	ESR12087
ES779509	ESR12087
ES779510	ESR12086
ES779513	ESR12087
ES779517	ESR12086
ES779517	ESR12085
ES779524	ESR12087
ES779524	ESR12085
ES779525	ESR12088
ES779526	ESR12088
ES779528	ESR12087
ES779531	ESR12087
ES779531	ESR12085
ES779532	ESR12086
ES779533	ESR12087
ES779534	ESR12088
ES779541	ESR12085
ES779542	ESR12085
ES779544	ESR12088
ES779545	ESR12088
ES779547	ESR12086
ES779549	ESR12088
ES779551	ESR12087
ES779552	ESR12088
ES779555	ESR12087
ES779556	ESR12085
ES779557	ESR12087
ES779559	ESR12088
ES779561	ESR12085
ES779563	ESR12088
ES779563	ESR12085
ES779565	ESR12085
ES779567	ESR12085
ES779570	ESR12092
ES779572	ESR12091
ES779573	ESR12093
ES779574	ESR12094
ES779576	ESR12091
ES779577	ESR12094
ES779580	ESR12091
ES779581	ESR12091
ES779584	ESR12094
ES779589	ESR12094
ES779593	ESR12094
ES779595	ESR12094
ES779596	ESR12093
ES779599	ESR12094
ES779599	ESR12093
ES779599	ESR12092
ES779601	ESR12094
ES779601	ESR12092
ES779604	ESR12093
ES779605	ESR12094
ES779606	ESR12093
ES779606	ESR12092
ES779611	ESR12091
ES779612	ESR12092
ES779613	ESR12092
ES779613	ESR12091
ES779629	ESR12094
ES779632	ESR12094
ES779632	ESR12092
ES779632	ESR12091
ES779638	ESR12094
ES779639	ESR12091
ES779640	ESR12092
ES779642	ESR12091
ES779645	ESR12094
ES779645	ESR12091
ES779646	ESR12092
ES779646	ESR12091
ES779647	ESR12094
ES779648	ESR12093
ES779648	ESR12092
ES779650	ESR12092
ES779652	ESR12092
ES779653	ESR12094
ES779653	ESR12093
ES779654	ESR12092
ES779656	ESR12093
ES779658	ESR12092
ES779659	ESR12093
ES779660	ESR12094
ES779660	ESR12092
ES779663	ESR12093
ES779663	ESR12092
ES779664	ESR12092
ES779665	ESR12093
ES779666	ESR12094
ES779669	ESR12092
ES779669	ESR12091
ES779670	ESR12094
ES779670	ESR12092
ES779675	ESR12094
ES779676	ESR12094
ES779677	ESR12094
ES779679	ESR12091
ES779680	ESR12091
ES779682	ESR12092
ES779683	ESR12091
ES779690	ESR12092
ES779692	ESR12092
ES779692	ESR12091
ES779693	ESR12094
ES779695	ESR12092
ES779696	ESR12093
ES779702	ESR12091
ES779706	ESR12091
ES783577	ESR12215
ES783578	ESR12225
ES783578	ESR12217
ES783580	ESR12233
ES783580	ESR12227
ES783581	ESR12215
ES783582	ESR12225
ES783582	ESR12223
ES783583	ESR12237
ES783584	ESR12228
ES783586	ESR12220
ES783586	ESR12218
ES783587	ESR12238
ES783588	ESR12225
ES783589	ESR12209
ES783590	ESR12219
ES783592	ESR12233
ES783592	ESR12228
ES783593	ESR12225
ES783593	ESR12210
ES783594	ESR12219
ES783594	ESR12218
ES783595	ESR12240
ES783595	ESR12236
ES783596	ESR12234
ES783596	ESR12230
ES783596	ESR12229
ES783597	ESR12214
ES783598	ESR12224
ES783598	ESR12221
ES783598	ESR12220
ES783600	ESR12234
ES783600	ESR12230
ES783600	ESR12225
ES783601	ESR12225
ES783601	ESR12214
ES783602	ESR12225
ES783603	ESR12239
ES783603	ESR12235
ES783604	ESR12228
ES783605	ESR12214
ES783605	ESR12212
ES783606	ESR12225
ES783606	ESR12224
ES783607	ESR12244
ES783607	ESR12240
ES783608	ESR12228
ES783608	ESR12226
ES783609	ESR12225
ES783609	ESR12209
ES783610	ESR12223
ES783611	ESR12244
ES783611	ESR12239
ES783611	ESR12236
ES783611	ESR12235
ES783612	ESR12232
ES783612	ESR12230
ES783613	ESR12213
ES783614	ESR12217
ES783615	ESR12236
ES783615	ESR12217
ES783616	ESR12233
ES783616	ESR12226
ES783618	ESR12219
ES783618	ESR12217
ES783619	ESR12217
ES783620	ESR12233
ES783622	ESR12242
ES783622	ESR12225
ES783622	ESR12223
ES783623	ESR12237
ES783624	ESR12229
ES783626	ESR12225
ES783626	ESR12221
ES783626	ESR12219
ES783627	ESR12238
ES783627	ESR12237
ES783629	ESR12215
ES783629	ESR12212
ES783630	ESR12225
ES783630	ESR12219
ES783631	ESR12236
ES783631	ESR12217
ES783632	ESR12229
ES783633	ESR12241
ES783633	ESR12217
ES783633	ESR12215
ES783633	ESR12214
ES783633	ESR12209
ES783634	ESR12242
ES783634	ESR12224
ES783634	ESR12221
ES783634	ESR12218
ES783635	ESR12244
ES783635	ESR12225
ES783636	ESR12232
ES783636	ESR12225
ES783637	ESR12217
ES783637	ESR12213
ES783639	ESR12238
ES783640	ESR12228
ES783641	ESR12217
ES783641	ESR12209
ES783642	ESR12223
ES783642	ESR12221
ES783643	ESR12239
ES783643	ESR12217
ES783645	ESR12217
ES783645	ESR12209
ES783646	ESR12242
ES783649	ESR12215
ES783650	ESR12221
ES783650	ESR12220
ES783651	ESR12237
ES783651	ESR12236
ES783652	ESR12234
ES783652	ESR12231
ES783652	ESR12229
ES783653	ESR12214
ES783654	ESR12225
ES783654	ESR12218
ES783656	ESR12243
ES783657	ESR12211
ES783658	ESR12221
ES783660	ESR12231
ES783660	ESR12229
ES783660	ESR12227
ES783660	ESR12225
ES783661	ESR12215
ES783661	ESR12209
ES783662	ESR12242
ES783662	ESR12224
ES783663	ESR12238
ES783664	ESR12226
ES784116	ESR12235
ES784117	ESR12243
ES784117	ESR12229
ES784117	ESR12227
ES784120	ESR12225
ES784121	ESR12227
ES784121	ESR12226
ES784122	ESR12216
ES784122	ESR12214
ES784122	ESR12209
ES784123	ESR12242
ES784124	ESR12238
ES784124	ESR12225
ES784125	ESR12229
ES784127	ESR12242
ES784127	ESR12221
ES784128	ESR12244
ES784128	ESR12239
ES784129	ESR12227
ES784132	ESR12237
ES784133	ESR12234
ES784133	ESR12229
ES784133	ESR12226
ES784134	ESR12216
ES784134	ESR12213
ES784135	ESR12219
ES784137	ESR12234
ES784137	ESR12231
ES784137	ESR12228
ES784138	ESR12215
ES784139	ESR12242
ES784139	ESR12218
ES784141	ESR12226
ES784142	ESR12216
ES784143	ESR12222
ES784144	ESR12225
ES784145	ESR12228
ES784146	ESR12241
ES784146	ESR12225
ES784147	ESR12242
ES784147	ESR12225
ES784147	ESR12220
ES784148	ESR12244
ES784148	ESR12238
ES784149	ESR12233
ES784150	ESR12209
ES784152	ESR12239
ES784152	ESR12235
ES784153	ESR12234
ES784153	ESR12229
ES784154	ESR12241
ES784154	ESR12216
ES784155	ESR12225
ES784155	ESR12219
ES784156	ESR12236
ES784157	ESR12234
ES784158	ESR12217
ES784159	ESR12220
ES784160	ESR12237
ES784162	ESR12217
ES784162	ESR12216
ES784162	ESR12215
ES784162	ESR12209
ES784163	ESR12242
ES784164	ESR12244
ES784164	ESR12237
ES784164	ESR12235
ES784165	ESR12243
ES784165	ESR12233
ES784165	ESR12227
ES784166	ESR12217
ES784166	ESR12216
ES784166	ESR12213
ES784166	ESR12210
ES784167	ESR12219
ES784168	ESR12239
ES784169	ESR12234
ES784169	ESR12233
ES784169	ESR12232
ES784172	ESR12240
ES784175	ESR12219
ES784177	ESR12230
ES784178	ESR12211
ES784179	ESR12242
ES784180	ESR12244
ES784180	ESR12239
ES784183	ESR12223
ES784183	ESR12222
ES784185	ESR12229
ES784186	ESR12214
ES784186	ESR12211
ES784187	ESR12222
ES784187	ESR12219
ES784188	ESR12238
ES784188	ESR12217
ES784189	ESR12234
ES784189	ESR12226
ES784190	ESR12214
ES784191	ESR12220
ES784191	ESR12217
ES784193	ESR12232
ES784194	ESR12216
ES784197	ESR12234
ES784198	ESR12214
ES784199	ESR12242
ES784199	ESR12221
ES784200	ESR12235
