FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
1042372	CD14-	CD14-	ANA804	529768
1042376	CD14-	CD14-	ANA804	529769
1042385	CD14-	CD14-	ANA804	529771
1042400	CD19+	CD19+	ANA805	529774
1042410	B7-2+	CD86+	ANA868	529775
1042411	CD19+	CD19+	ANA805	529776
1042414	CD27-	CD27-	ANA40	529776
1042437	CD14-	CD14-	ANA804	529781
1042443	IgD+	IgD+	ANA813	529782
1042450	B7-2+	CD86+	ANA868	529783
1042473		Lin1-		529788
1042482		Lin1-		529790
1042484	BDCA2, CD303+	BDCA2+	ANA870	529790
1042486	CD2+	CD2+	ANA860	529790
1042493	HLADR+	HLA-DR+	ANA812	529792
1042501		Lin1-		529794
1042508	BDCA2, CD303-	BDCA2-	ANA870	529795
1042523	BDCA2, CD303-	BDCA2-	ANA870	529798
1042525	BDCA3-	BDCA3-	ANA894	529798
1042528	HLADR+	HLA-DR+	ANA812	529799
1042541		Lin1-		529801
1042543	BDCA2, CD303-	BDCA2-	ANA870	529801
1042549	HLADR+	HLA-DR+	ANA812	529802
1042555		Lin1-		529803
1042556	HLADR+	HLA-DR+	ANA812	529803
1042571	CD11c+	CD11c+	ANA814	529805
1042590	HLADR+	HLA-DR+	ANA812	529808
1042593	CD40+	CD40+	ANA42	529809
1042596	CD16+	CD16+	ANA811	529810
1042614	CD14+	CD14+	ANA804	529816
1042616	CD16+	CD16+	ANA811	529816
1042617	CCRL1-	CX3CR1-	ANA59	529816
1042618	CD14+	CD14+	ANA804	529817
1042623	HLADR+	HLA-DR+	ANA812	529818
1042656	CD16+	CD16+	ANA811	529827
1042665	B7-2-	CD86-	ANA868	529829
1042675	HLADR+	HLA-DR+	ANA812	529832
1042681	SLAN-	SLAN-	ANA906	529833
1042687	CD3+	CD3+	ANA809	529839
1042689	CD3+	CD3+	ANA809	529840
1042698	CD8-	CD8-	ANA810	529842
1042705	CD45RA-	CD45RA-	ANA816	529843
1042717	CXCR5+	CXCR5+	ANA78	529845
