EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES786967	ESR12350
ES786967	ESR12345
ES786968	ESR12342
ES786968	ESR12339
ES786968	ESR12337
ES786968	ESR12335
ES786968	ESR12334
ES786969	ESR12357
ES786969	ESR12352
ES786970	ESR12347
ES786971	ESR12333
ES786972	ESR12336
ES786972	ESR12334
ES786974	ESR12348
ES786975	ESR12335
ES786976	ESR12360
ES786976	ESR12354
ES786977	ESR12347
ES786978	ESR12342
ES786978	ESR12331
ES786978	ESR12327
ES786979	ESR12335
ES786980	ESR12360
ES786980	ESR12341
ES786981	ESR12346
ES786982	ESR12340
ES786982	ESR12337
ES786982	ESR12336
ES786983	ESR12354
ES786984	ESR12361
ES787039	ESR12332
ES787039	ESR12330
ES787040	ESR12337
ES787041	ESR12337
ES787041	ESR12334
ES787042	ESR12361
ES787042	ESR12344
ES787043	ESR12342
ES787043	ESR12337
ES787044	ESR12356
ES787044	ESR12341
ES787045	ESR12361
ES787048	ESR12352
ES787051	ESR12360
ES787051	ESR12355
ES787051	ESR12342
ES787052	ESR12343
ES787053	ESR12334
ES787054	ESR12336
ES787054	ESR12334
ES787055	ESR12334
ES787056	ESR12346
ES787056	ESR12345
ES787058	ESR12360
ES787059	ESR12350
ES787060	ESR12342
ES787060	ESR12333
ES787061	ESR12338
ES787062	ESR12356
ES787062	ESR12354
ES787063	ESR12343
ES787065	ESR12357
ES773777	ESR9769
ES773778	ESR9768
ES773786	ESR9769
ES773787	ESR9769
ES773796	ESR9769
ES773797	ESR9769
ES773797	ESR9767
ES773799	ESR9769
ES773799	ESR9767
ES773801	ESR9768
ES773801	ESR9766
ES773804	ESR9769
ES773804	ESR9768
ES773814	ESR9767
ES773814	ESR9766
ES773834	ESR9768
ES773835	ESR9769
ES773881	ESR11486
ES773903	ESR11486
ES773914	ESR11486
ES773938	ESR11486
ES773943	ESR11486
ES773975	ESR11497
ES773977	ESR11497
ES774001	ESR11497
ES774003	ESR11497
ES774036	ESR11497
ES774038	ESR11497
ES774054	ESR11497
ES774059	ESR11497
ES774066	ESR11497
ES774067	ESR11497
ES717607	ESR9767
ES717607	ESR9766
ES717609	ESR9768
ES717613	ESR9769
ES717613	ESR9768
ES717617	ESR9766
ES717620	ESR9768
ES717620	ESR9766
ES717621	ESR9766
ES717647	ESR9766
ES717650	ESR9769
ES717651	ESR9767
ES717652	ESR9766
ES717656	ESR9766
ES773645	ESR9766
ES773646	ESR9766
ES773651	ESR9767
ES773656	ESR9766
ES773658	ESR9769
ES773658	ESR9766
ES773659	ESR9766
ES773661	ESR9767
ES773662	ESR9768
ES773663	ESR9766
ES773665	ESR9768
ES773675	ESR9768
ES773676	ESR9769
ES773684	ESR9767
ES773692	ESR9768
ES773693	ESR9767
ES773694	ESR9766
ES773695	ESR9769
ES773696	ESR9769
ES773697	ESR9769
ES773697	ESR9768
ES773701	ESR9768
ES773701	ESR9767
ES773709	ESR9766
ES773732	ESR9769
ES773732	ESR9766
ES773737	ESR9769
ES773738	ESR9767
ES773739	ESR9767
ES773747	ESR9768
ES773747	ESR9766
ES773754	ESR9767
ES773759	ESR9769
ES773766	ESR9766
ES773767	ESR9769
ES788912	ESR12327
ES788913	ESR12355
ES788914	ESR12353
ES788915	ESR12349
ES788916	ESR12351
ES788916	ESR12348
ES788916	ESR12346
ES788917	ESR12341
ES788918	ESR12340
ES788919	ESR12330
ES789185	ESR12342
ES789185	ESR12334
ES789186	ESR12334
ES789187	ESR12355
ES789187	ESR12353
ES789188	ESR12345
ES789189	ESR12338
ES789190	ESR12354
ES789191	ESR12346
ES789192	ESR12334
ES789193	ESR12341
ES789193	ESR12339
ES789193	ESR12336
ES789194	ESR12360
ES789194	ESR12352
