FILE_INFO_ID	DETAIL	FILESIZE_BYTES	NAME	ORIGINAL_FILE_NAME	WORKSPACE_ID
477671	Flow cytometry compensation or control	32128283	3230.477671.fcs	3230.fcs	2799
477672	Flow cytometry compensation or control	11920993	3232.477672.fcs	3232.fcs	2799
477673	Flow cytometry result	39643007	2995.477673.txt	2995.txt	2799
477674	Flow cytometry result	58455438	3177.477674.fcs	3177.fcs	2799
477675	Flow cytometry compensation or control	18085811	3116.477675.fcs	3116.fcs	2799
477676	Flow cytometry compensation or control	10292345	3071.477676.fcs	3071.fcs	2799
477677	Flow cytometry compensation or control	14250381	3125.477677.fcs	3125.fcs	2799
477678	Flow cytometry compensation or control	15430864	3127.477678.fcs	3127.fcs	2799
477679	Flow cytometry compensation or control	13704410	3129.477679.fcs	3129.fcs	2799
477680	Flow cytometry compensation or control	13645396	3131.477680.fcs	3131.fcs	2799
477681	Flow cytometry compensation or control	13211210	3133.477681.fcs	3133.fcs	2799
477682	Flow cytometry compensation or control	14286222	3135.477682.fcs	3135.fcs	2799
477683	Flow cytometry compensation or control	17583140	3137.477683.fcs	3137.fcs	2799
477684	Flow cytometry compensation or control	16252988	3139.477684.fcs	3139.fcs	2799
477685	Flow cytometry compensation or control	16849547	3141.477685.fcs	3141.fcs	2799
477686	Flow cytometry compensation or control	20542769	3143.477686.fcs	3143.fcs	2799
477687	Flow cytometry compensation or control	12808515	3145.477687.fcs	3145.fcs	2799
477688	Flow cytometry result	61250067	3177.477688.txt	3177.txt	2799
477754	Flow cytometry workspace	966340	Flu Vaccine 2011 10-27-11.477754.xml	Flu Vaccine 2011 10-27-11.xml	2799
477755	Flow cytometry workspace	1156489	Flu Vaccine 2011 10-28-11.477755.xml	Flu Vaccine 2011 10-28-11.xml	2799
477756	Flow cytometry workspace	1163919	Flu Vaccine 2011 11-29-11.477756.xml	Flu Vaccine 2011 11-29-11.xml	2799
477757	Flow cytometry workspace	1100282	Flu Vaccine 2011 11-3-11.477757.xml	Flu Vaccine 2011 11-3-11.xml	2799
477758	Flow cytometry workspace	1028260	nchvk_11_1_11_day0.477758.xml	nchvk_11_1_11_day0.xml	2799
477759	Flow cytometry workspace	1534619	Flu Vaccine 2011 11-2-11.477759.xml	Flu Vaccine 2011 11-2-11.xml	2799
477760	Flow cytometry workspace	985247	Flu Vaccine 2011 11-28-11.477760.xml	Flu Vaccine 2011 11-28-11.xml	2799
477761	Flow cytometry workspace	926813	Flu Vaccine 2011 11-7-11.477761.xml	Flu Vaccine 2011 11-7-11.xml	2799
477762	Flow cytometry workspace	3311278	Flu Vaccine 2011,3a, 11-16-11.477762.xml	Flu Vaccine 2011,3a, 11-16-11.xml	2799
477763	Flow cytometry workspace	1131067	Flu Vaccine 2011 12-15-11.477763.xml	Flu Vaccine 2011 12-15-11.xml	2799
477764	Flow cytometry workspace	1327445	Flu Vaccine 2011 11-22-11.477764.xml	Flu Vaccine 2011 11-22-11.xml	2799
477765	Flow cytometry workspace	1085091	Flu Vaccine 2011 11-10-11_nchvk_11_10_11_day0.477765.xml	Flu Vaccine 2011 11-10-11_nchvk_11_10_11_day0.xml	2799
477766	Flow cytometry workspace	1240726	Flu Vaccine 2011 11-11-11.477766.xml	Flu Vaccine 2011 11-11-11.xml	2799
477767	Flow cytometry workspace	1124370	Flu Vaccine 2011 12-8-11.477767.xml	Flu Vaccine 2011 12-8-11.xml	2799
477768	Flow cytometry workspace	1493619	Flu Vaccine 2011 11-17-11.477768.xml	Flu Vaccine 2011 11-17-11.xml	2799
477769	Flow cytometry workspace	1070693	Flu Vaccine 2011 12-6-11.477769.xml	Flu Vaccine 2011 12-6-11.xml	2799
477770	Flow cytometry workspace	952857	Flu Vaccine 2011 12-7-11.477770.xml	Flu Vaccine 2011 12-7-11.xml	2799
477771	Flow cytometry workspace	901534	Flu Vaccine 2011 1-3-12.477771.xml	Flu Vaccine 2011 1-3-12.xml	2799
477772	Flow cytometry workspace	513340	Flu Vaccine 2011 12-14-11.477772.xml	Flu Vaccine 2011 12-14-11.xml	2799
477773	Flow cytometry workspace	864051	Flu vaccine 2011 1-26-12.477773.xml	Flu vaccine 2011 1-26-12.xml	2799
477774	Flow cytometry workspace	723430	Flu vaccine 2011,3a, 1-27-2012.477774.xml	Flu vaccine 2011,3a, 1-27-2012.xml	2799
477775	Flow cytometry workspace	1052493	Flu vaccine 2011,3a, 2-23-2012.477775.xml	Flu vaccine 2011,3a, 2-23-2012.xml	2799
477776	Flow cytometry workspace	754651	Flu vaccine 2011,3a, 2-2-2012.477776.xml	Flu vaccine 2011,3a, 2-2-2012.xml	2799
477777	Flow cytometry workspace	1313705	Flu vaccine 2011,3a, 2-9-2012.477777.xml	Flu vaccine 2011,3a, 2-9-2012.xml	2799
477778	Flow cytometry workspace	836264	Flu Vaccine 2011 1-19-12.477778.xml	Flu Vaccine 2011 1-19-12.xml	2799
477779	Flow cytometry workspace	799236	Flu Vaccine - 2011 1-11-12.477779.xml	Flu Vaccine - 2011 1-11-12.xml	2799
477780	Flow cytometry workspace	568103	Flu vaccine 2011,3a, 2-10-2012.477780.xml	Flu vaccine 2011,3a, 2-10-2012.xml	2799
477781	Flow cytometry workspace	596677	Flu Vaccine 2011 1-24-12.477781.xml	Flu Vaccine 2011 1-24-12.xml	2799
477782	Flow cytometry workspace	240826495	NCH Healthy_2011_2012_IMMP.477782.xml	NCH Healthy_2011_2012_IMMP.xml	2799
703259	Illumina BeadArray	66730870	SDY144_EXP13603_microarray.703259.tsv	SDY144_EXP13603_microarray.tsv	2799
