EXPSAMPLE_ACCESSION	REAGENT_ACCESSION
ES787512	ESR12377
ES787512	ESR12376
ES787514	ESR12377
ES787517	ESR12373
ES787519	ESR12374
ES787520	ESR12376
ES787521	ESR12374
ES787522	ESR12373
ES787523	ESR12375
ES787524	ESR12374
ES787525	ESR12374
ES787526	ESR12376
ES787529	ESR12375
ES787531	ESR12377
ES787533	ESR12375
ES787538	ESR12376
ES787538	ESR12374
ES787540	ESR12377
ES787540	ESR12375
ES787544	ESR12375
ES787546	ESR12376
ES787546	ESR12373
ES787548	ESR12376
ES787548	ESR12373
ES789230	ESR12462
ES789231	ESR12458
ES789232	ESR12446
ES789233	ESR12445
ES789234	ESR12429
ES789235	ESR12461
ES789235	ESR12453
ES789235	ESR12430
ES789235	ESR12428
ES789237	ESR12433
ES789237	ESR12428
ES789241	ESR12460
ES789241	ESR12436
ES789243	ESR12435
ES789244	ESR12458
ES789244	ESR12454
ES789245	ESR12452
ES789245	ESR12450
ES789246	ESR12430
ES789247	ESR12427
ES789248	ESR12443
ES789249	ESR12456
ES789250	ESR12448
ES789251	ESR12435
ES789251	ESR12434
ES789251	ESR12430
ES789252	ESR12461
ES789255	ESR12439
ES789256	ESR12458
ES789256	ESR12456
ES789256	ESR12455
ES789256	ESR12454
ES789257	ESR12464
ES789259	ESR12461
ES789260	ESR12443
ES789260	ESR12438
ES789261	ESR12454
ES789261	ESR12443
ES789262	ESR12464
ES789265	ESR12444
ES789265	ESR12443
ES789265	ESR12435
ES789266	ESR12462
ES789266	ESR12458
ES789266	ESR12443
ES789266	ESR12436
ES789267	ESR12451
ES789267	ESR12445
ES789268	ESR12434
ES789268	ESR12433
ES789269	ESR12431
ES789269	ESR12427
ES789270	ESR12440
ES789271	ESR12455
ES789271	ESR12454
ES789272	ESR12447
ES789273	ESR12436
ES789274	ESR12436
ES789276	ESR12458
ES789276	ESR12443
ES789277	ESR12450
ES789278	ESR12436
ES789278	ESR12431
ES789279	ESR12430
ES789279	ESR12427
ES789298	ESR12438
ES789299	ESR12437
ES789300	ESR12450
ES789301	ESR12446
ES789301	ESR12436
ES789303	ESR12461
ES789303	ESR12432
ES789303	ESR12430
ES789304	ESR12462
ES789305	ESR12443
ES789305	ESR12436
ES789306	ESR12458
ES789306	ESR12456
ES789306	ESR12435
ES789307	ESR12440
ES789307	ESR12435
ES789308	ESR12463
ES789308	ESR12437
ES789308	ESR12436
ES789309	ESR12436
ES789310	ESR12451
ES789310	ESR12448
ES789310	ESR12447
ES789311	ESR12464
ES789311	ESR12451
ES789312	ESR12451
ES789314	ESR12431
ES789315	ESR12428
ES789316	ESR12443
ES789316	ESR12435
ES789317	ESR12438
ES789318	ESR12452
ES789318	ESR12448
ES789318	ESR12445
ES789319	ESR12461
ES789319	ESR12433
ES789319	ESR12430
ES789336	ESR12443
ES789336	ESR12442
ES789337	ESR12443
ES789337	ESR12436
ES789339	ESR12445
ES789340	ESR12451
ES789343	ESR12430
ES789345	ESR12458
ES789345	ESR12457
