REAGENT_SET_ACCESSION	REAGENT_ACCESSION	WORKSPACE_ID
ESR12460	ESR12427	2799
ESR12460	ESR12428	2799
ESR12460	ESR12429	2799
ESR12460	ESR12430	2799
ESR12460	ESR12431	2799
ESR12460	ESR12432	2799
ESR12460	ESR12433	2799
ESR12460	ESR12434	2799
ESR12460	ESR12435	2799
ESR12460	ESR12436	2799
ESR12461	ESR12427	2799
ESR12461	ESR12428	2799
ESR12461	ESR12429	2799
ESR12461	ESR12430	2799
ESR12461	ESR12431	2799
ESR12461	ESR12432	2799
ESR12461	ESR12433	2799
ESR12461	ESR12434	2799
ESR12461	ESR12436	2799
ESR12461	ESR12453	2799
ESR12462	ESR12435	2799
ESR12462	ESR12436	2799
ESR12462	ESR12440	2799
ESR12462	ESR12443	2799
ESR12462	ESR12454	2799
ESR12462	ESR12455	2799
ESR12462	ESR12456	2799
ESR12462	ESR12457	2799
ESR12462	ESR12458	2799
ESR12462	ESR12459	2799
ESR12463	ESR12435	2799
ESR12463	ESR12436	2799
ESR12463	ESR12437	2799
ESR12463	ESR12438	2799
ESR12463	ESR12439	2799
ESR12463	ESR12440	2799
ESR12463	ESR12441	2799
ESR12463	ESR12442	2799
ESR12463	ESR12443	2799
ESR12463	ESR12444	2799
ESR12464	ESR12436	2799
ESR12464	ESR12445	2799
ESR12464	ESR12446	2799
ESR12464	ESR12447	2799
ESR12464	ESR12448	2799
ESR12464	ESR12449	2799
ESR12464	ESR12450	2799
ESR12464	ESR12451	2799
ESR12464	ESR12452	2799
ESR12464	ESR12453	2799
